timestamp,gpu_util_percent,memory_util_percent
1767195205,2,1
1767195206,6,4
1767195207,14,7
1767195208,13,7
1767195210,14,7
1767195211,14,7
1767195212,13,7
1767195213,23,9
1767195214,88,44
1767195215,83,43
1767195216,78,36
1767195217,86,40
1767195218,79,36
1767195219,71,36
1767195220,63,31
1767195221,86,45
1767195222,82,43
1767195223,83,43
1767195224,83,43
1767195225,79,36
1767195226,80,41
1767195227,81,37
1767195228,87,41
1767195229,86,44
1767195230,78,35
1767195231,86,39
1767195232,87,45
1767195233,70,39
1767195234,61,32
1767195235,87,41
1767195236,87,40
1767195237,86,42
1767195238,84,44
1767195239,81,41
1767195240,79,36
1767195241,84,43
1767195242,80,40
1767195243,78,37
1767195244,78,36
1767195245,77,35
1767195246,83,38
1767195247,62,31
1767195248,73,37
1767195250,77,37
1767195251,75,33
1767195252,77,35
1767195253,79,36
1767195254,87,39
1767195255,88,42
1767195256,85,43
1767195257,78,35
1767195258,79,36
1767195259,87,40
1767195260,87,42
1767195261,85,39
1767195262,65,36
1767195263,75,41
1767195264,79,37
1767195265,87,45
1767195266,82,41
1767195267,77,35
1767195268,81,36
1767195269,88,41
1767195270,86,45
1767195271,81,40
1767195272,88,43
1767195273,84,43
1767195274,78,37
1767195275,79,35
1767195276,75,41
1767195277,68,33
1767195278,87,45
1767195279,81,41
1767195280,87,44
1767195281,81,42
1767195282,68,30
1767195283,72,31
1767195284,77,35
1767195285,81,37
1767195286,89,43
1767195287,70,37
1767195289,77,34
1767195290,88,45
1767195291,65,34
1767195292,69,38
1767195293,81,37
1767195294,87,40
1767195295,88,44
1767195296,83,37
1767195297,88,42
1767195298,73,33
1767195299,79,35
1767195300,84,37
1767195301,88,41
1767195302,86,45
1767195303,80,40
1767195304,87,45
1767195305,70,33
1767195306,79,37
1767195307,80,36
1767195308,88,41
1767195309,88,46
1767195310,84,38
1767195311,89,43
1767195312,85,44
1767195313,79,37
1767195314,79,35
1767195315,85,39
1767195316,88,44
1767195317,84,43
1767195318,74,41
1767195319,72,36
1767195320,83,43
1767195321,78,37
1767195322,78,35
1767195323,81,36
1767195324,80,37
1767195325,84,44
1767195327,85,44
1767195328,79,37
1767195329,82,37
1767195330,88,39
1767195331,87,45
1767195332,82,41
1767195333,75,40
1767195334,84,43
1767195335,79,36
1767195336,82,37
1767195337,87,39
1767195338,88,43
1767195339,86,44
1767195340,83,42
1767195341,89,44
1767195342,85,44
1767195343,79,36
1767195344,81,36
1767195345,86,39
1767195346,82,40
1767195347,64,31
1767195348,84,43
1767195349,81,37
1767195350,83,38
1767195351,89,43
1767195352,89,44
1767195353,84,43
1767195354,80,36
1767195355,85,38
1767195356,90,44
1767195357,79,37
1767195358,83,38
1767195359,89,43
1767195360,64,33
1767195361,66,37
1767195362,88,41
1767195363,80,41
1767195364,79,36
1767195365,88,41
1767195367,86,45
1767195368,79,37
1767195369,81,36
1767195370,88,41
1767195371,86,44
1767195372,79,36
1767195373,86,45
1767195374,81,39
1767195375,75,41
1767195376,71,34
1767195377,63,30
1767195378,63,32
1767195379,62,32
1767195380,60,31
1767195381,67,37
1767195382,88,40
1767195383,85,44
1767195384,78,36
1767195385,82,37
1767195386,89,42
1767195387,86,45
1767195388,87,40
1767195389,87,44
1767195390,82,42
1767195391,79,36
1767195392,84,38
1767195393,88,44
1767195394,74,39
1767195395,77,42
1767195396,86,39
1767195397,83,37
1767195398,82,37
1767195399,86,40
1767195400,87,43
1767195401,86,44
1767195402,85,44
1767195403,85,39
1767195404,84,38
1767195406,80,35
1767195407,78,34
1767195408,78,35
1767195409,76,41
1767195410,65,31
1767195411,87,41
1767195412,78,35
1767195413,80,36
1767195414,83,37
1767195415,88,42
1767195416,85,44
1767195417,77,36
1767195418,83,38
1767195419,79,35
1767195420,87,40
1767195421,87,45
1767195422,81,40
1767195423,76,40
1767195424,69,32
1767195425,79,37
1767195426,80,36
1767195427,86,39
1767195428,84,38
1767195429,88,41
1767195430,85,44
1767195431,87,45
1767195432,85,44
1767195433,76,34
1767195434,78,35
1767195435,76,34
1767195436,70,32
1767195437,69,39
1767195438,84,38
1767195439,75,33
1767195440,30,13
1767195441,79,37
1767195442,78,36
1767195444,78,35
1767195445,78,35
1767195446,80,36
1767195447,84,38
1767195448,87,41
1767195449,80,35
1767195450,86,39
1767195451,73,40
1767195452,76,40
1767195453,79,37
1767195454,77,35
1767195455,81,37
1767195456,83,43
1767195457,79,37
1767195458,79,34
1767195459,81,36
1767195460,84,38
1767195461,88,41
1767195462,86,45
1767195463,81,39
1767195464,87,45
1767195465,62,29
1767195466,63,34
1767195467,87,39
1767195468,86,44
1767195469,79,36
1767195470,84,38
1767195471,88,43
1767195472,82,36
1767195473,89,40
1767195474,87,43
1767195475,84,43
1767195476,78,36
1767195477,83,37
1767195478,89,42
1767195479,69,33
1767195480,64,33
1767195482,86,44
1767195483,80,37
1767195484,83,37
1767195485,83,36
1767195486,87,45
1767195487,83,42
1767195488,79,35
1767195489,84,38
1767195490,88,43
1767195491,86,44
1767195492,79,36
1767195493,83,37
1767195494,78,36
1767195495,70,39
1767195496,86,43
1767195497,85,43
1767195498,79,37
1767195499,80,36
1767195500,87,41
1767195501,78,35
1767195502,86,40
1767195503,88,43
1767195504,84,43
1767195505,78,36
1767195506,82,37
1767195507,87,41
1767195508,87,45
1767195509,67,37
1767195510,89,43
1767195511,86,44
1767195512,78,37
1767195513,79,35
1767195514,85,39
1767195515,79,36
1767195516,38,18
1767195517,77,33
1767195518,78,34
1767195519,80,35
1767195521,84,38
1767195522,89,43
1767195523,67,37
1767195524,75,41
1767195525,87,44
1767195526,84,43
1767195527,80,36
1767195528,82,36
1767195529,87,40
1767195530,87,42
1767195531,87,41
1767195532,88,44
1767195533,80,36
1767195534,86,39
1767195535,87,43
1767195536,85,43
1767195537,64,32
1767195538,70,38
1767195539,84,37
1767195540,80,40
1767195541,77,37
1767195542,76,35
1767195543,80,39
1767195544,78,35
1767195545,77,35
1767195546,81,36
1767195547,86,39
1767195548,79,38
1767195549,78,35
1767195550,82,37
1767195551,71,35
1767195552,62,31
1767195553,88,40
1767195554,87,44
1767195555,86,43
1767195556,86,39
1767195557,88,44
1767195558,87,45
1767195560,83,43
1767195561,78,36
1767195562,78,35
1767195563,82,37
1767195564,80,40
1767195565,78,36
1767195566,77,42
1767195567,69,33
1767195568,87,40
1767195569,87,43
1767195570,82,42
1767195571,86,39
1767195572,86,44
1767195573,80,41
1767195574,86,43
1767195575,86,38
1767195576,88,42
1767195577,87,45
1767195578,83,38
1767195579,87,39
1767195580,66,35
1767195581,73,40
1767195582,75,36
1767195583,73,34
1767195584,66,31
1767195585,64,34
1767195586,66,31
1767195587,86,42
1767195588,87,41
1767195589,84,38
1767195590,89,41
1767195591,79,36
1767195592,75,34
1767195593,85,39
1767195594,87,43
1767195595,82,42
1767195596,78,35
1767195598,87,40
1767195599,89,42
1767195600,83,43
1767195601,75,39
1767195602,87,45
1767195603,81,40
1767195604,79,35
1767195605,84,38
1767195606,89,43
1767195607,85,44
1767195608,80,39
1767195609,88,43
1767195610,83,42
1767195611,80,36
1767195612,85,37
1767195613,87,40
1767195614,79,41
1767195615,74,38
1767195616,79,36
1767195617,81,40
1767195618,82,41
1767195619,78,35
1767195620,85,39
1767195621,88,43
1767195622,84,43
1767195623,79,36
1767195624,88,45
1767195625,81,40
1767195626,79,35
1767195627,84,38
1767195628,76,42
1767195629,71,35
1767195630,84,42
1767195631,80,36
1767195632,88,44
1767195633,83,42
1767195634,79,36
1767195635,82,37
1767195637,87,40
1767195638,89,44
1767195639,81,41
1767195640,86,43
1767195641,85,44
1767195642,83,42
1767195643,74,41
1767195644,71,35
1767195645,87,44
1767195646,86,44
1767195647,83,43
1767195648,87,39
1767195649,88,41
1767195650,87,44
1767195651,87,42
1767195652,87,45
1767195653,85,43
1767195654,81,41
1767195655,88,42
1767195656,87,45
1767195657,63,32
1767195658,70,39
1767195659,78,34
1767195660,81,36
1767195661,85,38
1767195662,89,41
1767195663,78,35
1767195664,81,36
1767195665,84,38
1767195666,89,39
1767195667,77,34
1767195668,79,36
1767195669,85,44
1767195670,79,36
1767195671,64,33
1767195672,70,39
1767195673,80,36
1767195674,83,37
1767195675,89,39
1767195677,88,44
1767195678,84,43
1767195679,88,41
1767195680,89,43
1767195681,86,44
1767195682,76,36
1767195683,81,36
1767195684,88,39
1767195685,84,38
1767195686,64,35
1767195687,80,39
1767195688,78,36
1767195689,85,41
1767195690,77,33
1767195691,78,36
1767195692,80,35
1767195693,86,39
1767195694,81,38
1767195695,79,36
1767195696,86,39
1767195697,88,44
1767195698,84,43
1767195699,62,32
1767195700,68,38
1767195701,87,42
1767195702,83,38
1767195703,89,43
1767195704,87,45
1767195705,81,41
1767195706,78,36
1767195707,83,37
1767195708,86,39
1767195709,78,36
1767195710,81,36
1767195711,86,39
1767195712,88,44
1767195713,66,37
1767195714,74,40
1767195716,80,35
1767195717,85,38
1767195718,86,44
1767195719,82,42
1767195720,83,42
1767195721,79,36
1767195722,78,35
1767195723,81,36
1767195724,86,39
1767195725,80,38
1767195726,78,34
1767195727,84,38
1767195728,74,40
1767195729,72,35
1767195730,86,39
1767195731,86,39
1767195732,88,42
1767195733,78,36
1767195734,76,34
1767195735,78,38
1767195736,82,42
1767195737,84,44
1767195738,82,42
1767195739,79,36
1767195740,88,45
1767195741,87,43
1767195742,67,32
1767195743,78,38
1767195744,76,33
1767195745,77,33
1767195746,80,36
1767195747,87,39
1767195748,79,37
1767195749,83,38
1767195750,82,36
1767195751,82,35
1767195752,80,35
1767195753,80,36
1767195755,87,39
1767195756,64,31
1767195757,66,35
1767195758,83,38
1767195759,86,44
1767195760,83,42
1767195761,78,36
1767195762,82,36
1767195763,87,40
1767195764,78,36
1767195765,82,37
1767195766,88,40
1767195767,86,41
1767195768,79,36
1767195769,74,32
1767195770,73,40
1767195771,77,42
1767195772,79,37
1767195773,81,40
1767195774,83,42
1767195775,82,41
1767195776,78,36
1767195777,78,35
1767195778,85,44
1767195779,83,37
1767195780,87,40
1767195781,88,43
1767195782,87,40
1767195783,88,41
1767195784,63,33
1767195785,72,39
1767195786,69,33
1767195787,68,36
1767195788,69,38
1767195789,62,33
1767195790,70,38
1767195791,76,33
1767195792,87,45
1767195794,83,42
1767195795,88,40
1767195796,87,44
1767195797,81,39
1767195798,81,36
1767195799,87,39
1767195800,88,43
1767195801,84,43
1767195802,84,38
1767195803,88,41
1767195804,87,44
1767195805,63,34
1767195806,75,40
1767195807,78,34
1767195808,85,38
1767195809,89,41
1767195810,78,35
1767195811,80,36
1767195812,83,37
1767195813,87,39
1767195814,88,40
1767195815,88,42
1767195816,86,42
1767195817,85,44
1767195818,82,36
1767195819,75,41
1767195820,58,27
1767195821,79,36
1767195822,81,40
1767195823,80,36
1767195824,78,35
1767195825,86,44
1767195826,84,43
1767195827,80,36
1767195828,80,36
1767195829,83,37
1767195830,88,40
1767195831,87,40
1767195833,84,38
1767195834,65,32
1767195835,81,42
1767195836,86,42
1767195837,86,39
1767195838,86,40
1767195839,87,45
1767195840,82,42
1767195841,76,32
1767195842,81,36
1767195843,86,39
1767195844,90,40
1767195845,87,43
1767195846,85,43
1767195847,81,40
1767195848,70,34
1767195849,85,43
1767195850,87,44
1767195851,81,40
1767195852,79,34
1767195853,82,37
1767195854,87,40
1767195855,88,44
1767195856,82,37
1767195857,88,40
1767195858,87,43
1767195859,85,44
1767195860,78,36
1767195861,69,31
1767195862,69,37
1767195863,86,39
1767195864,79,36
1767195865,81,36
1767195866,88,40
1767195867,88,43
1767195868,88,44
1767195869,83,41
1767195870,86,44
1767195872,83,37
1767195873,88,40
1767195874,90,43
1767195875,87,44
1767195876,68,35
1767195877,75,41
1767195878,85,37
1767195879,87,40
1767195880,80,37
1767195881,78,36
1767195882,78,35
1767195883,80,38
1767195884,79,38
1767195885,81,42
1767195886,83,43
1767195887,86,44
1767195888,77,34
1767195889,78,35
1767195890,63,31
1767195891,70,37
1767195892,82,36
1767195893,80,35
1767195894,79,34
1767195895,84,38
1767195896,83,37
1767195897,67,30
1767195898,81,36
1767195899,85,38
1767195900,89,41
1767195901,88,42
1767195902,86,45
1767195903,82,37
1767195904,67,32
1767195905,62,33
1767195906,78,36
1767195907,81,36
1767195908,84,37
1767195909,88,39
1767195911,78,36
1767195912,79,34
1767195913,81,40
1767195914,79,36
1767195915,81,36
1767195916,84,38
1767195917,88,40
1767195918,89,42
1767195919,79,40
1767195920,75,34
1767195921,83,38
1767195922,88,39
1767195923,89,42
1767195924,87,44
1767195925,86,43
1767195926,86,38
1767195927,89,39
1767195928,88,44
1767195929,87,44
1767195930,83,42
1767195931,80,38
1767195932,72,32
1767195933,74,40
1767195934,86,44
1767195935,85,38
1767195936,80,34
1767195937,86,41
1767195938,85,38
1767195939,89,41
1767195940,87,43
1767195941,79,35
1767195942,82,37
1767195943,85,37
1767195944,88,41
1767195945,88,44
1767195946,71,38
1767195947,77,40
1767195948,78,36
1767195949,86,38
1767195951,87,41
1767195952,88,39
1767195953,89,42
1767195954,87,44
1767195955,86,43
1767195956,81,39
1767195957,89,42
1767195958,88,45
