timestamp,gpu_util_percent,memory_util_percent
1767316580,0,0
1767316582,0,0
1767316584,0,0
1767316586,0,0
1767316588,0,0
1767316589,0,0
1767316591,0,0
1767316593,0,0
1767316595,0,0
1767316597,0,0
1767316599,0,0
1767316601,0,0
1767316603,0,0
1767316605,0,0
1767316606,0,0
1767316609,0,0
1767316611,0,0
1767316613,0,0
1767316615,0,0
1767316617,0,0
1767316619,0,0
1767316621,0,0
1767316623,0,0
1767316625,0,0
1767316627,0,0
1767316629,0,0
1767316631,0,0
1767316634,0,0
1767316636,0,0
1767316638,0,0
1767316640,0,0
1767316642,0,0
1767316644,0,0
1767316646,0,0
1767316648,0,0
1767316651,0,0
1767316653,0,0
1767316655,0,0
1767316658,0,0
1767316660,0,0
1767316662,3,0
1767316664,0,0
1767316666,2,0
1767316669,0,0
1767316671,0,0
1767316673,0,0
1767316676,0,0
1767316678,0,0
1767316680,0,0
1767316683,0,0
1767316685,0,0
1767316687,0,0
1767316689,0,0
1767316691,0,0
1767316694,0,0
1767316696,0,0
1767316698,0,0
1767316700,0,0
1767316703,0,0
1767316705,0,0
1767316707,2,0
1767316710,0,0
1767316712,0,0
1767316714,0,0
1767316716,0,0
1767316719,0,0
1767316721,0,0
1767316723,0,0
1767316726,0,0
1767316728,0,0
1767316730,0,0
1767316733,0,0
1767316735,0,0
1767316737,0,0
1767316739,2,0
1767316742,0,0
1767316744,3,0
1767316746,0,0
1767316749,0,0
1767316751,0,0
1767316753,0,0
1767316756,2,0
1767316759,0,0
1767316762,0,0
1767316764,3,0
1767316767,0,0
1767316769,0,0
1767316771,0,0
1767316774,0,0
1767316777,2,0
1767316779,0,0
1767316782,0,0
1767316784,0,0
1767316787,0,0
1767316789,0,0
1767316792,0,0
1767316794,0,0
1767316796,0,0
1767316798,0,0
1767316800,0,0
1767316802,0,0
1767316805,0,0
1767316807,2,0
1767316810,1,0
1767316812,0,0
1767316814,0,0
1767316817,0,0
1767316819,0,0
1767316822,1,0
1767316824,0,0
1767316827,0,0
1767316829,0,0
1767316832,0,0
1767316834,0,0
1767316837,0,0
1767316839,3,0
1767316841,1,0
1767316844,0,0
1767316846,0,0
1767316849,0,0
1767316852,0,0
1767316855,0,0
1767316857,0,0
1767316859,0,0
1767316861,0,0
1767316864,0,0
1767316866,2,0
1767316869,0,0
1767316871,0,0
1767316874,0,0
1767316876,0,0
1767316879,0,0
1767316881,0,0
1767316883,0,0
1767316885,0,0
1767316887,0,0
1767316890,0,0
1767316892,0,0
1767316895,2,0
1767316897,0,0
1767316900,0,0
1767316903,0,0
1767316905,0,0
1767316908,0,0
1767316910,0,0
1767316912,0,0
1767316915,0,0
1767316917,0,0
1767316921,0,0
1767316923,0,0
1767316926,0,0
1767316928,0,0
1767316930,0,0
1767316932,0,0
1767316934,0,0
1767316937,0,0
1767316939,0,0
1767316942,0,0
1767316944,0,0
1767316946,0,0
1767316948,0,0
1767316951,0,0
1767316953,0,0
1767316955,0,0
1767316957,0,0
1767316959,0,0
1767316962,0,0
1767316964,0,0
1767316967,0,0
1767316969,3,0
1767316971,0,0
1767316974,0,0
1767316976,3,0
1767316978,0,0
1767316980,2,0
1767316983,0,0
1767316985,0,0
1767316988,0,0
1767316990,0,0
1767316992,0,0
1767316995,0,0
1767316997,0,0
1767316999,0,0
1767317001,2,0
1767317004,0,0
1767317007,2,0
1767317009,0,0
1767317012,0,0
1767317014,0,0
1767317016,0,0
1767317018,0,0
1767317021,0,0
1767317023,0,0
1767317025,0,0
1767317027,0,0
1767317030,0,0
1767317032,0,0
1767317035,0,0
1767317038,0,0
1767317040,0,0
1767317043,0,0
1767317045,0,0
1767317047,0,0
1767317049,2,0
1767317052,0,0
1767317054,0,0
1767317056,0,0
1767317059,0,0
1767317061,0,0
1767317063,0,0
1767317066,0,0
1767317068,0,0
1767317070,2,0
1767317074,0,0
1767317077,0,0
1767317080,0,0
1767317082,0,0
1767317085,0,0
1767317087,0,0
1767317089,2,0
1767317092,2,0
1767317094,0,0
1767317097,2,0
1767317099,0,0
1767317101,0,0
1767317104,0,0
1767317106,0,0
1767317108,0,0
1767317110,0,0
1767317113,2,0
1767317115,0,0
1767317117,0,0
1767317119,0,0
1767317122,0,0
1767317124,0,0
1767317127,0,0
1767317129,2,0
1767317131,0,0
1767317133,0,0
1767317136,2,0
1767317138,0,0
1767317141,0,0
1767317144,0,0
1767317146,3,0
1767317148,0,0
1767317152,0,0
1767317154,0,0
1767317157,0,0
1767317159,0,0
1767317161,0,0
1767317163,0,0
1767317166,0,0
1767317168,0,0
1767317170,0,0
1767317173,2,0
1767317176,0,0
1767317178,0,0
1767317181,2,0
1767317183,0,0
1767317185,0,0
1767317187,0,0
1767317190,2,0
1767317192,0,0
1767317196,0,0
1767317198,0,0
1767317200,0,0
1767317203,0,0
1767317205,0,0
1767317207,0,0
1767317210,0,0
1767317212,0,0
1767317215,2,0
1767317217,0,0
1767317219,0,0
1767317222,0,0
1767317225,0,0
1767317227,0,0
1767317230,0,0
1767317232,0,0
1767317234,0,0
1767317236,0,0
1767317239,2,0
1767317241,0,0
1767317244,0,0
1767317247,0,0
1767317250,0,0
1767317252,0,0
1767317255,0,0
1767317258,0,0
1767317260,0,0
1767317262,0,0
1767317265,0,0
1767317267,0,0
1767317270,0,0
1767317273,0,0
1767317275,0,0
1767317277,0,0
1767317280,2,0
1767317282,0,0
1767317285,0,0
1767317287,0,0
1767317289,0,0
1767317291,0,0
1767317294,2,0
1767317297,0,0
1767317299,0,0
1767317301,0,0
1767317303,0,0
1767317306,0,0
1767317308,0,0
1767317311,0,0
1767317313,2,0
1767317315,0,0
1767317318,0,0
1767317320,0,0
1767317322,2,0
1767317325,0,0
1767317327,0,0
1767317329,2,0
1767317332,0,0
1767317334,0,0
1767317336,0,0
1767317339,0,0
1767317341,0,0
1767317343,0,0
1767317345,2,0
1767317348,0,0
1767317350,0,0
1767317352,0,0
1767317354,0,0
1767317357,0,0
1767317359,0,0
1767317361,0,0
1767317363,0,0
1767317365,0,0
1767317367,0,0
1767317370,0,0
1767317372,0,0
1767317374,0,0
1767317376,0,0
1767317378,1,0
1767317380,0,0
1767317383,0,0
1767317385,0,0
1767317387,0,0
1767317389,0,0
1767317391,0,0
1767317393,0,0
1767317395,0,0
1767317398,0,0
1767317400,0,0
1767317402,0,0
1767317404,0,0
1767317406,0,0
1767317408,0,0
1767317410,0,0
1767317412,0,0
1767317414,0,0
