timestamp,gpu_util_percent,memory_util_percent
1767098683,0,0
1767098685,0,0
1767098686,0,0
1767098688,9,5
1767098689,9,6
1767098690,9,5
1767098691,9,6
1767098692,10,6
1767098693,9,5
1767098694,8,5
1767098695,9,5
1767098696,9,5
1767098697,9,5
1767098698,10,6
1767098699,2,1
1767098700,3,3
1767098701,10,6
1767098702,9,5
1767098703,9,6
1767098704,10,6
1767098705,9,5
1767098706,9,6
1767098707,10,6
1767098708,9,6
1767098709,10,6
1767098710,9,5
1767098711,9,5
1767098712,2,1
1767098713,2,1
1767098714,9,6
1767098715,9,5
1767098716,9,5
1767098717,9,5
1767098718,9,5
1767098719,9,5
1767098720,10,6
1767098721,9,5
1767098723,9,5
1767098724,10,6
1767098725,10,6
1767098726,4,2
1767098727,2,1
1767098728,9,5
1767098729,10,6
1767098730,9,5
1767098731,9,5
1767098732,10,6
1767098733,9,6
1767098734,9,5
1767098735,9,5
1767098736,9,5
1767098737,9,5
1767098738,9,5
1767098739,6,3
1767098740,2,1
1767098741,9,5
1767098742,9,5
1767098743,9,5
1767098744,9,5
1767098745,9,5
1767098746,10,6
1767098747,9,5
1767098748,9,5
1767098749,9,5
1767098750,9,5
1767098751,10,6
1767098752,2,1
1767098753,2,1
1767098754,9,6
1767098755,9,5
1767098756,9,5
1767098757,10,6
1767098758,9,5
1767098759,9,5
1767098760,9,5
1767098762,9,6
1767098763,9,5
1767098764,9,5
1767098765,10,6
1767098766,2,1
1767098767,2,1
1767098768,9,5
1767098769,9,5
1767098770,9,5
1767098771,9,5
1767098772,9,5
1767098773,9,6
1767098774,10,6
1767098775,9,5
1767098776,9,5
1767098777,9,5
1767098778,9,5
1767098779,9,6
1767098780,2,1
1767098781,10,6
1767098782,9,5
1767098783,9,6
1767098784,10,6
1767098785,9,5
1767098786,9,5
1767098787,10,6
1767098788,9,5
1767098789,9,5
1767098790,10,6
1767098791,9,6
1767098792,8,5
1767098793,2,1
1767098794,9,6
1767098795,10,6
1767098796,10,6
1767098797,9,6
1767098798,9,5
1767098799,9,6
1767098801,10,6
1767098802,9,5
1767098803,8,5
1767098804,9,5
1767098805,9,5
1767098806,9,5
1767098807,2,1
1767098808,9,6
1767098809,9,5
1767098810,9,5
1767098811,9,5
1767098812,9,6
1767098813,10,6
1767098814,9,5
1767098815,9,5
1767098816,9,5
1767098817,9,5
1767098818,9,5
1767098819,9,5
1767098820,2,1
1767098821,4,3
1767098822,10,6
1767098823,9,5
1767098824,9,5
1767098825,9,5
1767098826,9,5
1767098827,9,5
1767098828,8,5
1767098829,9,6
1767098830,9,5
1767098831,9,5
1767098832,9,5
1767098833,2,1
1767098834,2,1
1767098835,9,6
1767098836,10,6
1767098837,9,6
1767098838,9,6
1767098840,9,6
1767098841,9,5
1767098842,10,6
1767098843,10,6
1767098844,9,5
1767098845,9,5
1767098846,9,5
1767098847,2,1
1767098848,2,1
1767098849,9,5
1767098850,9,5
1767098851,9,5
1767098852,9,5
1767098853,9,6
1767098854,9,6
1767098855,10,6
1767098856,9,5
1767098857,9,6
1767098858,9,5
1767098859,10,6
1767098860,2,1
1767098861,2,1
1767098862,9,5
1767098863,9,6
1767098864,9,5
1767098865,8,5
1767098866,9,5
1767098867,8,5
1767098868,9,5
1767098869,10,6
1767098870,9,5
1767098871,9,5
1767098872,9,6
1767098873,2,1
1767098874,2,1
1767098875,9,5
1767098876,9,5
1767098877,10,6
1767098879,9,5
1767098880,9,5
1767098881,9,5
1767098882,10,6
1767098883,10,6
1767098884,9,6
1767098885,9,5
1767098886,9,6
1767098887,2,1
1767098888,2,1
1767098889,0,0
