timestamp,power_draw_w
1767098989,78.04
1767098991,75.34
1767098993,75.39
1767098994,88.83
1767098995,93.25
1767098996,93.79
1767098997,93.63
1767098998,93.75
1767098999,93.34
1767099000,93.36
1767099001,93.58
1767099002,93.62
1767099003,93.84
1767099004,93.56
1767099005,93.50
1767099006,87.58
1767099007,88.20
1767099008,93.48
1767099009,93.31
1767099010,93.38
1767099011,93.55
1767099012,93.73
1767099013,93.85
1767099014,93.54
1767099015,93.80
1767099016,93.93
1767099017,94.07
1767099018,93.57
1767099019,91.58
1767099020,87.25
1767099021,90.43
1767099022,94.10
1767099023,93.95
1767099024,94.07
1767099025,94.09
1767099026,94.16
1767099027,94.12
1767099028,94.13
1767099030,94.06
1767099031,93.89
1767099032,94.04
1767099033,93.66
1767099034,87.05
1767099035,89.25
1767099036,93.97
1767099037,94.13
1767099038,94.02
1767099039,94.15
1767099040,94.13
1767099041,94.19
1767099042,94.32
1767099043,94.46
1767099044,94.34
1767099045,94.43
1767099046,94.41
1767099047,87.84
1767099048,88.39
1767099049,94.23
1767099050,93.92
1767099051,94.34
1767099052,94.41
1767099053,94.46
1767099054,94.32
1767099055,94.45
1767099056,94.26
1767099057,94.15
1767099058,93.92
1767099059,94.16
1767099060,91.86
1767099061,87.66
1767099062,91.98
1767099063,94.72
1767099064,94.49
1767099065,94.26
1767099066,94.93
1767099067,94.79
1767099068,94.79
1767099070,94.72
1767099071,94.49
1767099072,94.84
1767099073,94.66
1767099074,93.27
1767099075,87.31
1767099076,87.83
