timestamp,gpu_temp_c,memory_temp_c
1767100175,70,N/A
1767100176,70,N/A
1767100177,70,N/A
1767100178,71,N/A
1767100179,71,N/A
1767100180,71,N/A
1767100181,72,N/A
1767100182,72,N/A
1767100183,72,N/A
1767100184,72,N/A
1767100185,72,N/A
1767100186,72,N/A
1767100187,72,N/A
1767100188,72,N/A
1767100190,73,N/A
1767100191,73,N/A
1767100192,73,N/A
1767100193,73,N/A
1767100194,73,N/A
1767100195,72,N/A
1767100196,72,N/A
1767100197,73,N/A
1767100198,73,N/A
1767100199,73,N/A
1767100200,73,N/A
1767100201,73,N/A
1767100202,73,N/A
1767100203,73,N/A
1767100204,73,N/A
1767100205,74,N/A
1767100206,74,N/A
1767100207,73,N/A
1767100208,74,N/A
1767100209,74,N/A
1767100210,74,N/A
1767100211,74,N/A
1767100212,73,N/A
1767100213,74,N/A
1767100214,74,N/A
1767100215,74,N/A
1767100216,74,N/A
1767100217,74,N/A
1767100218,74,N/A
1767100219,74,N/A
1767100220,74,N/A
1767100221,74,N/A
1767100222,74,N/A
1767100223,74,N/A
1767100224,74,N/A
1767100225,74,N/A
1767100226,74,N/A
1767100228,74,N/A
1767100229,74,N/A
1767100230,74,N/A
1767100231,74,N/A
1767100232,74,N/A
1767100233,74,N/A
1767100234,75,N/A
1767100235,75,N/A
1767100236,75,N/A
1767100237,75,N/A
1767100238,75,N/A
1767100239,75,N/A
1767100240,75,N/A
1767100241,75,N/A
1767100242,75,N/A
1767100243,75,N/A
1767100244,75,N/A
1767100245,75,N/A
1767100246,74,N/A
1767100247,74,N/A
1767100248,75,N/A
1767100249,75,N/A
1767100250,75,N/A
1767100251,75,N/A
1767100252,75,N/A
1767100253,75,N/A
1767100254,75,N/A
1767100255,75,N/A
1767100256,75,N/A
1767100257,75,N/A
1767100258,75,N/A
1767100259,75,N/A
1767100260,75,N/A
1767100261,75,N/A
1767100262,75,N/A
1767100263,75,N/A
1767100264,74,N/A
