timestamp,gpu_util_percent,memory_util_percent
1767102140,46,22
1767102141,42,20
1767102142,44,21
1767102143,42,20
1767102144,33,16
1767102145,36,17
1767102146,39,17
1767102147,40,18
1767102148,41,19
1767102149,33,15
1767102150,34,11
1767102151,39,18
1767102152,33,15
1767102153,38,17
1767102154,36,17
1767102155,33,15
1767102156,38,18
1767102157,41,19
1767102158,37,17
1767102159,43,20
1767102160,38,17
1767102161,34,16
1767102162,39,18
1767102163,39,18
1767102164,37,17
1767102165,37,18
1767102166,40,19
1767102167,45,21
1767102168,34,16
1767102169,36,17
1767102171,33,15
1767102172,38,18
1767102173,44,21
1767102174,36,17
1767102175,35,16
1767102176,39,18
1767102177,39,18
1767102178,41,19
1767102179,38,18
1767102180,37,18
1767102181,36,17
1767102182,39,19
1767102183,38,18
1767102184,40,19
1767102185,38,18
1767102186,36,16
1767102187,42,19
1767102188,39,17
1767102189,30,14
1767102190,40,19
1767102191,36,12
1767102192,35,16
1767102193,37,18
1767102194,39,18
1767102195,39,18
1767102196,35,17
1767102197,39,19
1767102198,38,17
1767102199,36,16
1767102200,36,17
1767102201,39,18
1767102202,38,18
1767102204,39,18
1767102205,41,19
1767102206,37,17
1767102207,38,17
1767102208,38,18
1767102209,29,13
1767102210,41,18
1767102211,37,17
1767102212,38,17
1767102213,41,19
1767102214,39,19
1767102215,45,21
1767102216,41,20
1767102217,39,18
1767102218,37,17
1767102219,40,19
1767102220,35,16
1767102221,36,17
1767102222,36,17
1767102223,39,18
1767102224,40,19
1767102225,28,13
1767102226,38,18
1767102227,37,17
1767102228,33,15
1767102229,35,16
1767102230,38,17
1767102231,36,16
1767102232,30,9
1767102233,37,18
1767102234,37,17
1767102235,36,17
1767102236,36,17
1767102238,29,13
1767102239,42,19
1767102240,43,20
1767102241,43,21
1767102242,36,17
1767102243,38,18
1767102244,38,18
1767102245,40,19
1767102246,34,16
1767102247,36,17
1767102248,41,19
1767102249,36,17
1767102250,33,16
1767102251,38,18
1767102252,36,16
1767102253,38,18
1767102254,37,17
1767102255,38,17
1767102256,38,18
1767102257,38,17
1767102258,38,17
1767102259,40,19
1767102260,34,16
1767102261,39,17
1767102262,36,17
1767102263,40,19
1767102264,42,20
1767102265,40,19
1767102266,38,18
1767102267,37,17
1767102268,40,18
1767102269,38,17
1767102271,37,17
1767102272,43,19
1767102273,40,19
1767102274,35,15
1767102275,33,14
1767102276,35,17
1767102277,37,17
1767102278,38,18
1767102279,40,18
1767102280,39,17
1767102281,41,19
1767102282,41,20
1767102283,37,18
1767102284,41,18
1767102285,37,17
1767102286,39,18
1767102287,38,18
1767102288,38,18
1767102289,43,21
1767102290,43,21
