timestamp,gpu_util_percent,memory_util_percent
1767108903,0,0
1767108904,0,0
1767108906,0,0
1767108907,0,0
1767108908,3,2
1767108909,64,36
1767108910,65,36
1767108911,48,27
1767108912,69,39
1767108914,65,36
1767108915,23,13
1767108916,62,35
1767108917,61,34
1767108918,64,36
1767108919,56,32
1767108920,61,34
1767108921,30,17
1767108922,67,38
1767108923,64,36
1767108924,67,37
1767108925,66,37
1767108926,69,39
1767108927,7,4
1767108928,66,37
1767108929,54,30
1767108930,52,29
1767108931,47,26
1767108932,64,36
1767108933,29,16
1767108934,68,38
1767108935,66,37
1767108936,67,37
1767108937,65,37
1767108938,63,35
1767108939,17,10
1767108940,64,36
1767108941,70,39
1767108942,66,37
1767108943,66,37
1767108944,40,22
1767108945,64,36
1767108946,64,36
1767108947,63,35
1767108948,61,34
1767108949,67,37
1767108951,9,5
1767108952,62,35
1767108953,61,34
1767108954,66,37
1767108955,69,38
1767108956,62,35
1767108957,18,10
1767108958,59,33
1767108959,59,33
1767108960,62,35
1767108961,67,37
1767108962,66,37
1767108963,27,15
1767108964,37,21
1767108965,59,33
1767108966,55,31
1767108967,64,36
1767108968,63,35
1767108969,69,38
1767108970,13,7
1767108971,67,38
1767108972,53,30
1767108973,65,36
1767108974,70,39
1767108975,48,27
1767108976,14,7
1767108977,56,31
1767108978,57,32
1767108979,62,35
1767108980,69,39
1767108981,66,37
1767108982,55,31
1767108983,67,37
1767108984,65,36
1767108985,63,35
1767108986,62,35
1767108987,18,10
1767108989,49,27
1767108990,59,33
1767108991,68,38
1767108992,62,35
1767108993,67,38
1767108994,19,11
1767108995,58,33
1767108996,64,36
1767108997,70,39
1767108998,69,38
1767108999,69,38
1767109000,31,17
1767109001,53,29
1767109002,62,34
1767109003,70,39
1767109004,54,30
1767109005,55,31
1767109006,26,14
1767109007,49,28
1767109008,66,37
1767109009,71,39
1767109010,70,39
1767109011,65,36
1767109012,25,14
1767109013,62,35
1767109014,62,34
1767109015,68,38
1767109016,68,38
1767109017,63,35
1767109018,30,17
1767109019,66,37
1767109020,70,39
1767109021,66,37
1767109022,63,35
1767109023,66,37
1767109025,27,15
1767109026,67,37
1767109027,56,31
1767109028,66,37
1767109029,61,34
1767109030,58,32
1767109031,28,15
1767109032,66,37
1767109033,65,36
1767109034,66,37
1767109035,52,29
1767109036,65,36
1767109037,23,12
1767109038,62,35
1767109039,65,37
1767109040,66,37
1767109041,63,35
1767109042,67,38
1767109043,14,7
1767109044,54,30
1767109045,62,35
1767109046,59,33
1767109047,57,32
1767109048,66,37
1767109049,0,0
1767109050,49,27
1767109051,48,27
1767109052,67,37
1767109053,66,37
1767109054,60,33
1767109055,27,15
1767109056,66,37
1767109057,58,32
1767109059,64,36
1767109060,68,38
1767109061,52,29
1767109062,21,11
1767109063,67,37
1767109064,63,35
1767109065,62,35
1767109066,66,37
1767109067,64,36
1767109068,7,4
