timestamp,power_draw_w
1767117738,99.47
1767117739,99.11
1767117740,97.74
1767117741,97.19
1767117742,92.13
1767117743,96.04
1767117744,214.61
1767117745,203.84
1767117746,216.18
1767117747,227.28
1767117748,224.32
1767117749,220.57
1767117750,179.19
1767117751,213.51
1767117752,230.41
1767117753,223.22
1767117754,214.19
1767117755,228.21
1767117756,229.88
1767117757,188.64
1767117758,209.24
1767117759,218.86
1767117760,213.54
1767117761,217.19
1767117762,239.94
1767117763,223.55
1767117764,195.80
1767117765,207.48
1767117766,247.52
1767117768,227.83
1767117769,235.54
1767117770,233.26
1767117771,230.00
1767117772,184.07
1767117773,205.70
1767117774,226.77
1767117775,244.71
1767117776,235.68
1767117777,243.20
1767117778,223.05
1767117779,181.81
1767117780,235.35
1767117781,230.87
1767117782,226.55
1767117783,218.30
1767117784,223.28
1767117785,214.40
1767117786,173.32
1767117787,221.55
1767117788,235.23
1767117789,231.72
1767117790,233.02
1767117791,230.65
1767117792,213.17
1767117793,189.33
1767117794,221.66
1767117795,207.22
1767117796,221.42
1767117797,215.18
1767117798,211.81
1767117799,215.15
1767117801,190.36
1767117802,219.46
1767117803,221.66
1767117804,228.39
1767117805,223.21
1767117806,223.33
1767117807,205.91
1767117808,172.35
1767117809,220.32
1767117810,219.81
1767117811,217.27
1767117812,217.58
1767117813,223.01
1767117814,217.78
1767117815,185.60
1767117816,210.47
1767117817,222.14
1767117818,223.42
1767117819,210.56
1767117820,221.78
1767117821,216.50
1767117822,183.12
1767117823,219.93
1767117824,226.70
1767117825,233.22
1767117826,228.36
1767117827,233.87
1767117828,208.89
1767117829,182.65
1767117830,228.56
1767117831,225.80
1767117833,228.80
1767117834,222.79
1767117835,224.78
1767117836,210.88
1767117837,188.73
1767117838,234.72
1767117839,229.38
1767117840,229.64
1767117841,229.69
1767117842,225.74
1767117843,200.84
1767117844,193.48
1767117845,219.33
1767117846,220.60
1767117847,227.72
1767117848,225.60
1767117849,231.46
1767117850,217.56
1767117851,198.75
1767117852,231.04
1767117853,233.72
1767117854,212.26
1767117855,223.93
1767117856,234.72
1767117857,204.56
1767117858,207.90
1767117859,230.68
1767117860,220.07
1767117861,232.29
1767117862,221.96
1767117863,225.69
1767117864,205.26
1767117865,206.10
1767117866,225.51
1767117868,233.45
1767117869,229.58
1767117870,231.39
1767117871,231.22
1767117872,210.85
1767117873,206.93
1767117874,231.85
1767117875,222.54
1767117876,231.28
1767117877,231.85
1767117878,223.68
1767117879,194.91
1767117880,217.07
1767117881,233.04
1767117882,225.43
1767117883,226.78
1767117884,231.78
1767117885,226.54
1767117886,190.35
1767117887,223.11
1767117888,234.75
1767117889,232.49
1767117890,226.04
1767117891,224.01
1767117892,211.40
1767117893,178.61
1767117894,210.69
1767117895,235.76
1767117896,230.37
1767117897,235.34
1767117898,229.76
1767117899,216.60
1767117900,182.76
1767117901,231.31
1767117903,227.88
1767117904,221.47
1767117905,223.96
1767117906,217.14
1767117907,217.20
1767117908,190.38
1767117909,221.02
1767117910,229.53
1767117911,231.51
1767117912,230.59
1767117913,233.99
1767117914,204.61
1767117915,187.88
1767117916,227.39
1767117917,223.42
1767117918,237.81
1767117919,223.51
1767117920,215.35
1767117921,221.40
1767117922,178.38
1767117923,233.29
1767117924,229.57
1767117925,225.63
1767117926,227.53
1767117927,225.07
1767117928,209.92
1767117929,183.75
1767117930,234.76
1767117931,232.09
1767117932,226.99
1767117933,223.31
1767117934,221.46
1767117936,207.82
1767117937,206.67
1767117938,230.04
1767117939,226.91
1767117940,225.31
1767117941,219.29
1767117942,231.42
1767117943,206.28
1767117944,199.38
1767117945,232.41
1767117946,228.70
1767117947,222.29
1767117948,217.49
1767117949,223.78
1767117950,195.85
1767117951,196.34
1767117952,232.91
1767117953,232.79
1767117954,233.56
1767117955,222.33
1767117956,226.66
1767117957,204.53
1767117958,210.88
1767117959,227.93
1767117960,236.76
1767117961,227.34
1767117962,220.27
1767117963,220.49
1767117964,195.31
1767117965,206.53
1767117966,232.60
1767117967,228.94
1767117968,224.72
1767117970,228.61
1767117971,196.77
1767117972,196.67
1767117973,225.32
1767117974,216.18
1767117975,229.68
1767117976,224.21
1767117977,217.62
1767117978,197.76
1767117979,203.79
1767117980,222.24
1767117981,234.60
1767117982,235.57
1767117983,234.58
1767117984,229.11
1767117985,191.55
1767117986,208.05
1767117987,219.66
1767117988,230.32
1767117989,229.30
1767117990,219.01
1767117991,213.17
1767117992,188.60
1767117993,187.60
1767117994,229.24
1767117995,229.33
1767117996,227.66
1767117997,225.90
1767117998,228.93
1767117999,204.29
1767118000,199.21
1767118001,232.72
1767118002,232.98
1767118004,231.37
1767118005,224.51
1767118006,219.63
1767118007,203.23
1767118008,203.04
1767118009,230.66
1767118010,219.40
1767118011,223.57
1767118012,226.54
1767118013,223.79
1767118014,200.22
1767118015,212.08
1767118016,233.85
1767118017,228.05
1767118018,229.89
1767118019,222.19
1767118020,221.37
1767118021,188.82
1767118022,196.40
1767118023,227.56
1767118024,231.56
1767118025,224.60
1767118026,223.49
1767118027,227.81
1767118028,198.90
1767118029,208.45
1767118030,236.48
1767118031,228.54
1767118032,226.50
1767118033,216.32
1767118034,211.54
1767118035,190.45
1767118036,201.50
1767118038,227.25
1767118039,226.40
1767118040,222.77
1767118041,226.06
1767118042,229.68
1767118043,201.01
1767118044,213.13
1767118045,231.02
1767118046,229.21
1767118047,209.97
1767118048,211.08
1767118049,224.63
1767118050,186.44
1767118051,205.23
1767118052,222.96
1767118053,233.57
1767118054,226.15
1767118055,230.65
1767118056,233.38
1767118057,186.69
1767118058,230.66
1767118059,227.46
1767118060,219.96
1767118061,223.22
1767118062,219.65
1767118063,224.62
1767118064,192.50
1767118065,215.64
1767118066,224.47
1767118067,229.11
1767118068,229.85
1767118069,225.18
1767118071,216.46
1767118072,174.63
1767118073,216.65
1767118074,221.11
1767118075,227.71
1767118076,234.57
1767118077,229.12
1767118078,223.00
1767118079,181.18
1767118080,217.89
1767118081,235.15
1767118082,219.74
1767118083,221.45
1767118084,218.87
1767118085,214.99
1767118086,184.02
1767118087,221.23
1767118088,222.91
1767118089,230.77
1767118090,222.41
1767118091,228.52
1767118092,212.26
1767118093,187.10
1767118094,233.93
1767118095,217.17
1767118096,220.89
1767118097,224.49
1767118098,225.46
1767118099,214.30
1767118100,190.86
1767118101,225.54
1767118102,227.98
1767118104,225.63
1767118105,227.73
1767118106,227.14
1767118107,194.02
1767118108,196.01
1767118109,211.66
1767118110,214.84
1767118111,218.89
1767118112,218.57
1767118113,229.58
1767118114,214.92
1767118115,195.29
1767118116,229.48
1767118117,228.62
1767118118,232.04
1767118119,218.42
1767118120,226.52
1767118121,197.11
1767118122,199.25
1767118123,217.27
1767118124,219.46
1767118125,222.31
1767118126,228.33
1767118127,224.73
1767118128,198.50
1767118129,219.33
1767118130,220.42
1767118131,216.43
1767118132,227.55
1767118133,226.09
1767118135,232.00
1767118136,188.77
1767118137,228.40
1767118138,224.58
1767118139,212.37
1767118140,222.21
1767118141,216.61
1767118142,210.80
1767118143,196.43
1767118144,212.31
1767118145,225.25
1767118146,221.45
1767118147,223.12
1767118148,230.53
1767118149,224.16
1767118150,192.59
1767118151,234.44
1767118152,232.64
1767118153,217.11
1767118154,219.53
1767118155,222.88
1767118156,221.06
1767118157,180.38
1767118158,221.24
1767118159,224.95
1767118160,231.00
1767118161,229.07
1767118162,226.23
1767118163,202.33
1767118164,200.60
1767118165,233.89
1767118166,220.21
1767118167,217.25
1767118169,215.07
1767118170,217.83
1767118171,212.04
1767118172,191.61
1767118173,229.28
1767118174,224.07
1767118175,224.23
1767118176,226.97
1767118177,227.20
1767118178,203.16
1767118179,185.93
1767118180,226.59
1767118181,218.85
1767118182,223.38
1767118183,219.49
1767118184,219.54
1767118185,213.41
1767118186,179.77
1767118187,232.72
1767118188,228.77
1767118189,227.53
1767118190,222.96
1767118191,213.81
1767118192,214.09
1767118193,186.81
1767118194,227.10
1767118195,213.24
1767118196,212.32
1767118197,207.87
1767118198,217.78
1767118199,222.53
1767118200,194.58
1767118201,211.49
1767118203,224.04
1767118204,210.71
1767118205,225.23
1767118206,216.34
1767118207,227.21
1767118208,198.12
1767118209,191.35
1767118210,218.57
1767118211,223.87
1767118212,229.15
1767118213,227.92
1767118214,222.01
1767118215,200.79
1767118216,177.85
1767118217,233.18
1767118218,227.53
1767118219,228.46
1767118220,223.70
1767118221,222.36
1767118222,194.17
1767118223,187.67
1767118224,221.97
1767118225,218.12
1767118226,222.07
1767118227,224.42
1767118228,229.67
1767118229,214.09
1767118230,194.34
1767118231,221.76
1767118232,227.35
1767118233,231.76
1767118234,214.00
1767118235,216.99
1767118237,201.17
1767118238,180.48
1767118239,227.91
1767118240,213.54
1767118241,224.64
1767118242,213.41
1767118243,229.27
1767118244,199.58
1767118245,218.34
1767118246,230.98
1767118247,225.57
1767118248,228.55
1767118249,220.38
1767118250,219.00
1767118251,177.21
1767118252,206.74
1767118253,219.35
1767118254,228.60
1767118255,223.56
1767118256,223.79
1767118257,228.05
1767118258,199.38
1767118259,212.49
1767118260,224.54
1767118261,207.82
1767118262,222.94
1767118263,219.48
1767118264,223.09
1767118265,191.78
1767118266,214.92
1767118267,235.81
1767118268,229.71
1767118269,237.12
1767118270,227.57
1767118272,204.58
1767118273,177.20
