timestamp,gpu_util_percent,memory_util_percent
1767117738,13,6
1767117739,9,5
1767117740,12,6
1767117741,2,1
1767117742,2,1
1767117743,18,7
1767117744,81,41
1767117745,56,28
1767117746,79,40
1767117747,56,29
1767117748,78,39
1767117749,68,33
1767117750,39,19
1767117751,82,41
1767117752,75,37
1767117753,70,35
1767117754,50,25
1767117755,71,35
1767117756,77,37
1767117757,40,18
1767117758,65,33
1767117759,58,29
1767117760,50,28
1767117761,63,36
1767117762,75,38
1767117763,61,30
1767117764,37,17
1767117765,82,41
1767117766,77,39
1767117768,74,37
1767117769,75,37
1767117770,69,34
1767117771,72,36
1767117772,32,14
1767117773,67,32
1767117774,74,36
1767117775,84,42
1767117776,72,36
1767117777,83,42
1767117778,31,16
1767117779,50,29
1767117780,68,39
1767117781,67,33
1767117782,62,31
1767117783,58,29
1767117784,64,32
1767117785,46,23
1767117786,30,14
1767117787,77,37
1767117788,73,36
1767117789,74,35
1767117790,72,35
1767117791,83,41
1767117792,23,11
1767117793,62,32
1767117794,67,34
1767117795,69,33
1767117796,69,32
1767117797,45,25
1767117798,54,30
1767117799,57,31
1767117801,37,17
1767117802,78,38
1767117803,56,29
1767117804,82,40
1767117805,82,41
1767117806,61,31
1767117807,19,9
1767117808,17,8
1767117809,73,34
1767117810,69,36
1767117811,82,38
1767117812,64,32
1767117813,63,31
1767117814,75,36
1767117815,38,18
1767117816,85,41
1767117817,68,38
1767117818,54,31
1767117819,64,31
1767117820,73,35
1767117821,63,31
1767117822,30,14
1767117823,80,40
1767117824,65,32
1767117825,70,34
1767117826,74,36
1767117827,76,37
1767117828,35,18
1767117829,16,8
1767117830,76,38
1767117831,64,32
1767117833,73,36
1767117834,80,39
1767117835,74,35
1767117836,24,14
1767117837,53,28
1767117838,79,39
1767117839,74,37
1767117840,73,36
1767117841,72,34
1767117842,55,28
1767117843,38,17
1767117844,67,34
1767117845,53,26
1767117846,62,29
1767117847,67,32
1767117848,75,37
1767117849,84,41
1767117850,32,15
1767117851,76,37
1767117852,71,34
1767117853,57,31
1767117854,50,28
1767117855,56,32
1767117856,70,34
1767117857,37,18
1767117858,81,40
1767117859,71,36
1767117860,59,30
1767117861,73,36
1767117862,81,40
1767117863,71,34
1767117864,36,17
1767117865,64,32
1767117866,69,35
1767117868,73,35
1767117869,75,35
1767117870,81,38
1767117871,62,32
1767117872,47,21
1767117873,64,36
1767117874,61,34
1767117875,65,31
1767117876,74,35
1767117877,77,37
1767117878,76,38
1767117879,36,18
1767117880,75,37
1767117881,72,35
1767117882,70,34
1767117883,75,38
1767117884,72,36
1767117885,80,39
1767117886,25,13
1767117887,72,35
1767117888,81,40
1767117889,69,33
1767117890,65,33
1767117891,60,34
1767117892,44,25
1767117893,31,15
1767117894,67,31
1767117895,76,37
1767117896,77,36
1767117897,75,37
1767117898,77,37
1767117899,34,17
1767117900,28,14
1767117901,82,41
1767117903,70,33
1767117904,51,27
1767117905,74,36
1767117906,74,36
1767117907,81,40
1767117908,40,20
1767117909,82,41
1767117910,53,29
1767117911,67,37
1767117912,75,37
1767117913,75,37
1767117914,33,16
1767117915,63,31
1767117916,73,37
1767117917,81,41
1767117918,77,38
1767117919,64,31
1767117920,63,31
1767117921,54,26
1767117922,20,10
1767117923,82,40
1767117924,76,37
1767117925,68,33
