experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,training_duration,l2_regularization,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,is_densenet121,is_hrnet18,is_pcb
default__Person_reID_baseline_pytorch_densenet121_005,2025-11-18T23:01:27.340848,Person_reID_baseline_pytorch,densenet121,False,True,3226.2696459293365,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.753173,,0.909145,0.96348,,,,,,,,,,,104651.9,8679.65,113331.55,237.7468260038235,290.61,11.67,746049.539999998,77.97673677501594,83.0,84.33556405353728,99.0,default,0.0,,,,,,,,,,60.0,,84.33556405353728,83.0,0.9234136478323997,278.94,5.023263224984063,1,0,0
default__Person_reID_baseline_pytorch_hrnet18_006,2025-11-19T00:13:04.690345,Person_reID_baseline_pytorch,hrnet18,False,True,4236.888918638229,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.748936,,0.900238,0.962886,,,,,,,,,,,132745.23,10850.82,143596.05,248.81575066698963,255.93,13.01,1025867.3399999982,81.33737569730779,83.0,67.2406015037594,80.0,default,0.0,,,,,,,,,,60.0,,67.2406015037594,83.0,0.9244351080687806,242.92,1.6626243026922083,0,1,0
default__Person_reID_baseline_pytorch_pcb_007,2025-11-19T01:25:45.050848,Person_reID_baseline_pytorch,pcb,False,True,4300.007735013962,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.775227,,0.924881,0.971496,,,,,,,,,,,142080.75,11084.26,153165.01,235.84919196748768,318.17,11.81,986557.170000001,79.8508247669137,84.0,96.90341859909157,100.0,default,0.0,,,,,,,,,,60.0,,96.90341859909157,84.0,0.9276319049631504,306.36,4.1491752330862965,0,0,1
default__Person_reID_baseline_pytorch_pcb_016_parallel,2025-11-19T04:47:23.246728,Person_reID_baseline_pytorch,pcb,True,True,4346.275467395783,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.775222,,0.924881,0.971496,,,,,,,,,,,198674.72,11935.12,210609.84,233.2790381426203,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_pcb_016_parallel/background_logs,4346.275467395783,0.0,Training completed successfully,60.0,,96.30348258706468,84.0,0.9433306629927642,312.38,3.9798625918028847,0,0,1
default__Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-11-19T06:11:31.988365,Person_reID_baseline_pytorch,hrnet18,True,True,4958.222606658936,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.748936,,0.900238,0.962886,,,,,,,,,,,218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_hrnet18_017_parallel/background_logs,4958.222606658936,0.0,Training completed successfully,60.0,,57.44748858447488,83.0,0.9430214087564776,248.93,2.1056454960564537,0,1,0
default__Person_reID_baseline_pytorch_densenet121_022_parallel,2025-11-19T07:49:34.861156,Person_reID_baseline_pytorch,densenet121,True,True,3526.4963586330414,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.753173,,0.909145,0.96348,,,,,,,,,,,152005.47,9963.13,161968.6,230.32688228438207,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0,default,0.0,,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_densenet121_022_parallel/background_logs,3526.4963586330414,0.0,Training completed successfully,60.0,,80.60052447552448,84.0,0.938487274693984,286.27000000000004,4.967657342657347,1,0,0
mutation_1x__Person_reID_baseline_pytorch_densenet121_057,2025-11-21T15:07:25.782887,Person_reID_baseline_pytorch,densenet121,False,True,1708.4909327030182,0,Training completed successfully,,,,46.0,,,,,,,,0.740731,,0.901722,0.95962,,,,,,,,,,,57180.76,4365.94,61546.7,248.75240796620392,276.02,12.15,412182.7399999999,82.38684369342185,84.0,70.55340977670488,81.0,mutation_1x,1.0,epochs,,,,,,,,,46.0,,70.55340977670488,84.0,0.9290629716946645,263.87,1.6131563065781478,1,0,0
mutation_1x__Person_reID_baseline_pytorch_densenet121_058,2025-11-21T15:44:45.847453,Person_reID_baseline_pytorch,densenet121,False,True,2179.722060918808,0,Training completed successfully,,,,,,0.0484905603406257,,,,,,0.725261,,0.889549,0.960808,,,,,,,,,,,73680.32,5596.21,79276.53,248.8821162021729,277.4,14.06,526883.4400000001,82.31459612659424,84.0,71.5375531412376,77.0,mutation_1x,1.0,learning_rate,,,,,,,,,,,71.5375531412376,84.0,0.9294089940616724,263.34,1.685403873405761,1,0,0
mutation_1x__Person_reID_baseline_pytorch_densenet121_059,2025-11-21T16:22:00.363945,Person_reID_baseline_pytorch,densenet121,False,True,2174.1657547950745,0,Training completed successfully,,,0.3924889517665705,,,,,,,,,0.73947,,0.89905,0.965558,,,,,,,,,,,73515.01,5650.06,79165.07,248.3640340909092,278.49,14.25,524544.8400000002,82.27698863636364,84.0,71.88873106060606,80.0,mutation_1x,1.0,dropout,,,,,,,,,,,71.88873106060606,84.0,0.9286293816199492,264.24,1.7230113636363598,1,0,0
mutation_1x__Person_reID_baseline_pytorch_densenet121_060,2025-11-21T17:17:27.156194,Person_reID_baseline_pytorch,densenet121,False,True,3266.427503347397,0,Training completed successfully,,,,,,,,9598.0,,,,0.730582,,0.896675,0.960214,,,,,,,,,,,106959.24,8629.64,115588.88,227.73355793450875,290.62,13.64,723281.7799999998,78.1146095717884,83.0,84.42569269521411,99.0,mutation_1x,1.0,seed,,,,,,,,,,,84.42569269521411,83.0,0.9253419533090036,276.98,4.885390428211593,1,0,0
