experiment_id,timestamp,training_duration,l2_regularization,hyperparam_kfold,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_top1_accuracy,perf_top5_accuracy
bug-localization-by-dnn-and-rvsm_default_013_parallel,2025-12-15T07:02:27.959127,3816.0,,,,67058.47,69669.08999999994,87.96602272727264,3.689393939393939,66.0,0.9632353675829466,26.679999999999996,2.6085858585858617,0.377,0.624
bug-localization-by-dnn-and-rvsm_default_014_parallel,2025-12-15T07:20:24.259053,2553.0,,,,67199.12,69125.97,87.39060682680152,3.719342604298357,63.0,0.9631225825576288,22.03,1.3969658659924065,0.378,0.626
bug-localization-by-dnn-and-rvsm_default_015_parallel,2025-12-15T07:38:26.044387,10862.0,,,,67637.58,69396.31999999999,86.85396745932414,3.6833541927409263,62.0,0.9631134052992434,25.61,0.8448060075093835,0.378,0.626
bug-localization-by-dnn-and-rvsm_default_016_parallel,2025-12-15T07:56:29.357353,2994.0,,,,67663.88,69306.67999999998,86.74177722152689,3.65081351689612,62.0,0.9635292862307038,46.03999999999999,0.8410513141426819,0.381,0.628
bug-localization-by-dnn-and-rvsm_default_017_parallel,2025-12-15T08:14:20.078398,,,,1765.0,66752.37,68423.98000000007,86.72240811153367,3.719898605830165,62.0,0.964214903530766,43.53999999999999,0.99619771863118,0.364,0.621
bug-localization-by-dnn-and-rvsm_default_018_parallel,2025-12-15T08:32:18.870694,,,,7329.0,67367.9,69207.79000000007,86.94445979899506,3.6608040201005023,62.0,0.9641103552285288,27.179999999999996,0.8869346733668309,0.379,0.625
bug-localization-by-dnn-and-rvsm_default_019_parallel,2025-12-15T08:50:02.526708,,,,3568.0,66195.38,68467.94000000002,87.10933842239189,3.746819338422392,62.0,0.9639405348228228,19.28,0.6068702290076331,0.382,0.63
bug-localization-by-dnn-and-rvsm_default_020_parallel,2025-12-15T09:07:57.247614,,,,6241.0,67194.47,68468.23999999996,86.99903430749677,3.583227445997459,62.0,0.9637677029076946,26.620000000000005,0.4675984752223598,0.385,0.631
bug-localization-by-dnn-and-rvsm_default_021,2025-12-18T17:25:21.519509,,5.033537731186141e-06,,,57744.0,26364.25,74.8984375,0.2840909090909091,63.0,0.96258451094486,40.25,5.230113636363633,0.376,0.626
bug-localization-by-dnn-and-rvsm_default_022,2025-12-18T17:40:24.817993,,6.29612070458038e-06,,,56943.89,25785.95,73.04801699716712,0.320113314447592,53.0,0.9622272029536444,38.870000000000005,1.38243626062323,0.379,0.627
