timestamp,gpu_util_percent,memory_util_percent
1763114326,0,0
1763114328,0,0
1763114329,0,0
1763114331,0,0
1763114333,0,0
1763114334,80,12
1763114335,68,51
1763114336,73,55
1763114337,74,55
1763114338,73,54
1763114339,71,52
1763114340,67,50
1763114341,69,51
1763114342,65,48
1763114343,62,45
1763114344,69,51
1763114345,68,51
1763114346,66,49
1763114347,73,54
1763114348,67,50
1763114349,66,49
1763114350,69,51
1763114351,65,48
1763114352,60,45
1763114353,60,44
1763114354,59,43
1763114355,67,49
1763114357,66,49
1763114358,73,55
1763114359,73,55
1763114360,68,49
1763114361,74,54
1763114362,72,53
1763114363,70,51
1763114364,73,54
1763114365,73,54
1763114366,70,51
1763114367,73,54
1763114368,72,54
1763114369,70,51
1763114370,68,50
1763114371,72,57
1763114372,68,51
1763114373,68,50
1763114374,68,50
1763114375,70,51
1763114376,73,53
1763114377,72,53
1763114378,70,51
1763114379,74,54
1763114380,72,51
1763114381,74,54
1763114382,74,54
1763114383,71,51
1763114384,73,53
1763114385,74,54
1763114386,71,51
1763114387,73,53
1763114388,74,54
1763114389,72,51
1763114390,74,53
1763114391,72,53
1763114392,73,54
1763114393,74,54
1763114394,70,51
1763114396,73,54
1763114397,68,50
1763114398,72,53
1763114399,72,53
1763114400,74,54
1763114401,73,53
1763114402,68,50
1763114403,73,53
1763114404,74,54
1763114405,72,52
1763114406,71,53
1763114407,71,57
1763114408,75,53
1763114409,70,51
1763114410,74,53
1763114411,72,52
1763114412,74,54
1763114413,74,53
1763114414,72,52
1763114415,73,54
1763114416,72,53
1763114417,72,52
1763114418,76,55
1763114419,75,55
1763114420,74,53
1763114421,71,51
1763114422,69,50
1763114423,69,51
1763114424,70,50
1763114425,69,50
1763114426,64,45
1763114427,75,55
1763114428,75,56
1763114429,75,55
1763114430,75,55
1763114431,74,55
1763114432,75,55
1763114434,75,53
1763114435,72,51
1763114436,75,55
1763114437,75,55
1763114438,75,56
1763114439,72,52
1763114440,71,52
1763114441,71,52
1763114442,71,52
1763114443,69,55
1763114444,67,50
1763114445,66,49
1763114446,67,48
1763114447,69,50
1763114448,71,52
1763114449,75,54
1763114450,68,51
1763114451,70,50
1763114452,67,50
1763114453,70,51
1763114454,70,50
1763114455,68,49
1763114456,70,51
1763114457,65,47
1763114458,68,50
1763114459,73,52
1763114460,72,51
1763114461,71,51
1763114462,72,51
1763114463,75,54
1763114464,75,55
1763114465,76,56
1763114466,76,54
1763114467,75,55
1763114468,76,54
1763114469,77,55
1763114471,74,54
1763114472,73,52
1763114473,72,53
1763114474,75,54
1763114475,76,55
