timestamp,gpu_temp_c,memory_temp_c
1763207185,65,N/A
1763207187,65,N/A
1763207188,65,N/A
1763207190,65,N/A
1763207191,71,N/A
1763207192,72,N/A
1763207193,74,N/A
1763207194,75,N/A
1763207195,75,N/A
1763207196,76,N/A
1763207197,76,N/A
1763207198,75,N/A
1763207199,77,N/A
1763207200,77,N/A
1763207201,78,N/A
1763207202,77,N/A
1763207204,78,N/A
1763207205,78,N/A
1763207206,79,N/A
1763207207,79,N/A
1763207208,79,N/A
1763207209,79,N/A
1763207210,80,N/A
1763207211,80,N/A
1763207212,81,N/A
1763207213,80,N/A
1763207214,81,N/A
1763207215,81,N/A
1763207216,81,N/A
1763207217,81,N/A
1763207218,81,N/A
1763207219,81,N/A
1763207220,81,N/A
1763207221,81,N/A
1763207222,81,N/A
1763207223,81,N/A
1763207224,81,N/A
1763207225,81,N/A
1763207226,82,N/A
1763207227,81,N/A
1763207228,81,N/A
1763207229,81,N/A
1763207230,81,N/A
1763207231,81,N/A
1763207232,81,N/A
1763207233,82,N/A
1763207234,81,N/A
1763207235,82,N/A
1763207236,81,N/A
1763207237,82,N/A
1763207238,81,N/A
1763207239,82,N/A
1763207240,82,N/A
1763207241,82,N/A
1763207243,82,N/A
1763207244,81,N/A
1763207245,82,N/A
1763207246,82,N/A
1763207247,82,N/A
1763207248,82,N/A
1763207249,81,N/A
1763207250,82,N/A
1763207251,82,N/A
1763207252,82,N/A
1763207253,82,N/A
1763207254,82,N/A
1763207255,82,N/A
1763207256,83,N/A
1763207257,82,N/A
1763207258,83,N/A
1763207259,83,N/A
1763207260,82,N/A
1763207261,82,N/A
1763207262,82,N/A
1763207263,82,N/A
1763207264,82,N/A
1763207265,82,N/A
1763207266,82,N/A
1763207267,82,N/A
1763207268,82,N/A
1763207269,82,N/A
1763207270,83,N/A
1763207271,83,N/A
1763207272,82,N/A
1763207273,83,N/A
1763207274,81,N/A
1763207275,83,N/A
1763207276,83,N/A
1763207277,83,N/A
1763207278,83,N/A
1763207279,79,N/A
1763207281,78,N/A
1763207282,78,N/A
1763207283,78,N/A
1763207284,77,N/A
1763207285,77,N/A
1763207286,77,N/A
1763207287,77,N/A
1763207288,77,N/A
1763207289,77,N/A
1763207290,76,N/A
1763207291,76,N/A
1763207292,76,N/A
1763207293,76,N/A
1763207294,75,N/A
1763207295,76,N/A
1763207296,75,N/A
1763207297,76,N/A
1763207298,75,N/A
1763207299,75,N/A
1763207300,75,N/A
1763207301,75,N/A
1763207302,75,N/A
1763207303,75,N/A
1763207304,75,N/A
1763207305,75,N/A
1763207306,75,N/A
1763207307,74,N/A
1763207308,75,N/A
1763207309,74,N/A
1763207310,74,N/A
1763207311,74,N/A
1763207312,74,N/A
1763207313,74,N/A
1763207314,74,N/A
1763207315,74,N/A
1763207316,74,N/A
1763207317,74,N/A
1763207318,74,N/A
1763207320,74,N/A
1763207321,74,N/A
1763207322,74,N/A
1763207323,74,N/A
1763207324,74,N/A
1763207325,74,N/A
1763207326,74,N/A
1763207327,74,N/A
1763207328,74,N/A
1763207329,75,N/A
1763207330,75,N/A
1763207331,75,N/A
1763207332,76,N/A
1763207333,75,N/A
1763207334,75,N/A
1763207335,76,N/A
1763207336,75,N/A
1763207337,76,N/A
1763207338,76,N/A
1763207339,76,N/A
1763207340,77,N/A
1763207341,77,N/A
1763207342,77,N/A
1763207343,78,N/A
1763207344,78,N/A
1763207345,78,N/A
1763207346,78,N/A
1763207347,78,N/A
1763207348,79,N/A
1763207349,78,N/A
1763207350,79,N/A
1763207351,80,N/A
1763207352,80,N/A
1763207353,79,N/A
1763207354,80,N/A
1763207355,80,N/A
1763207356,81,N/A
1763207357,80,N/A
1763207359,80,N/A
1763207360,80,N/A
1763207361,81,N/A
1763207362,80,N/A
1763207363,81,N/A
1763207364,81,N/A
1763207365,81,N/A
1763207366,82,N/A
1763207367,82,N/A
