timestamp,power_draw_w
1763303098,76.82
1763303100,76.87
1763303102,76.57
1763303104,76.67
1763303106,76.62
1763303107,76.75
1763303109,76.67
1763303111,76.44
1763303113,76.46
1763303115,76.51
1763303117,76.46
1763303119,76.52
1763303121,76.27
1763303122,76.30
1763303124,78.75
1763303126,76.25
1763303129,76.28
1763303131,76.13
1763303133,78.62
1763303135,78.65
1763303137,76.09
1763303139,76.28
1763303141,76.44
1763303143,76.03
1763303145,76.28
1763303147,75.88
1763303149,78.42
1763303151,78.53
1763303154,75.92
1763303156,76.03
1763303158,76.35
1763303160,75.96
1763303162,76.15
1763303165,85.06
1763303167,75.84
1763303170,85.06
1763303173,84.74
1763303176,84.82
1763303178,75.82
1763303181,61.79
1763303183,75.96
1763303185,67.17
1763303188,78.48
1763303191,84.66
1763303194,76.08
1763303196,75.88
1763303199,75.75
1763303201,75.53
1763303204,84.50
1763303207,75.66
1763303209,84.24
1763303212,84.26
1763303214,75.55
1763303216,82.76
1763303219,84.42
1763303223,84.42
1763303226,70.40
1763303229,75.27
1763303233,56.33
1763303235,80.14
1763303239,73.11
1763303243,83.65
1763303247,75.11
1763303250,74.98
1763303253,70.94
1763303257,78.14
1763303261,80.66
1763303264,80.98
1763303268,74.81
1763303272,83.76
1763303275,75.00
1763303278,83.72
1763303280,75.08
1763303283,75.00
1763303285,80.50
1763303289,74.80
1763303292,83.52
1763303295,69.19
1763303299,76.64
1763303302,79.28
1763303306,76.97
1763303309,74.45
1763303312,78.28
1763303316,74.25
1763303319,74.29
1763303322,83.12
1763303324,75.06
1763303328,83.29
1763303332,76.84
1763303335,76.86
1763303337,81.42
1763303340,79.47
1763303344,73.93
1763303347,83.11
1763303350,82.44
1763303355,76.19
1763303357,73.92
1763303359,73.89
1763303362,74.94
1763303366,74.04
1763303371,71.56
1763303375,73.76
1763303378,76.13
1763303382,61.09
1763303386,75.98
1763303389,81.74
1763303393,81.38
1763303396,81.47
1763303399,81.57
1763303403,59.83
1763303407,81.58
1763303411,72.98
1763303413,69.24
1763303417,74.04
1763303421,72.27
1763303425,81.06
1763303428,74.73
1763303432,72.40
1763303435,77.82
1763303438,81.31
1763303440,80.91
1763303443,81.24
1763303446,81.36
1763303449,81.27
1763303452,74.98
1763303456,72.49
1763303459,50.13
1763303463,76.01
1763303466,71.96
1763303470,77.71
1763303474,81.03
1763303477,69.01
1763303481,81.04
1763303484,80.92
1763303486,71.71
1763303489,71.84
1763303491,71.87
1763303493,80.05
1763303496,80.88
1763303500,80.72
1763303503,72.02
1763303506,81.00
1763303509,72.24
1763303512,71.91
1763303515,74.88
1763303519,68.90
1763303524,61.06
1763303528,71.09
1763303532,72.07
1763303535,71.25
1763303539,75.61
1763303543,72.07
1763303546,72.11
1763303548,72.64
1763303553,77.54
1763303557,71.17
1763303559,80.04
1763303563,65.60
1763303567,71.41
1763303570,72.04
1763303573,72.18
1763303575,71.89
1763303577,71.82
1763303580,72.19
1763303582,72.11
1763303584,71.62
1763303587,80.32
1763303590,68.09
1763303595,71.93
1763303597,68.34
1763303601,80.78
1763303604,71.92
1763303607,80.32
1763303611,77.32
1763303615,71.72
1763303618,71.72
1763303621,71.77
1763303624,80.58
1763303626,72.13
1763303629,71.84
1763303632,71.83
1763303635,71.68
1763303638,80.61
1763303641,80.70
1763303645,74.22
1763303647,74.06
1763303649,80.23
1763303653,78.07
1763303657,70.19
1763303660,80.18
1763303664,80.56
1763303666,78.37
1763303669,80.65
1763303672,80.85
1763303675,71.80
1763303677,80.57
1763303680,71.86
1763303683,53.50
1763303687,71.61
1763303689,77.08
1763303693,78.17
1763303697,71.97
1763303700,76.88
1763303704,77.34
1763303709,73.69
1763303712,71.64
1763303714,71.72
1763303717,64.09
1763303720,73.89
1763303725,69.71
1763303729,71.62
1763303732,74.77
1763303735,66.13
1763303739,80.30
1763303742,73.46
1763303745,80.48
1763303748,80.53
1763303751,45.41
1763303754,63.55
1763303758,80.44
1763303761,80.11
1763303765,70.84
1763303767,71.69
1763303770,72.72
1763303773,71.38
1763303776,67.94
1763303780,80.13
1763303783,75.91
1763303787,80.35
1763303791,72.64
1763303795,76.49
1763303800,77.07
1763303804,77.61
1763303807,71.92
1763303811,78.13
1763303815,73.08
1763303818,77.06
1763303822,80.57
1763303825,71.32
1763303828,71.53
1763303832,80.36
1763303835,80.43
1763303838,80.44
1763303840,72.26
1763303845,80.15
1763303847,74.00
1763303850,66.54
1763303854,80.33
1763303856,80.39
1763303859,71.40
1763303862,77.11
1763303865,75.59
1763303869,78.32
1763303872,78.17
1763303876,80.61
1763303878,80.23
1763303881,71.43
1763303884,74.48
1763303887,68.83
1763303891,71.40
1763303895,75.66
1763303899,80.09
1763303903,71.53
1763303906,69.56
1763303909,76.62
1763303913,80.07
1763303917,80.15
1763303919,80.45
1763303923,73.65
1763303927,71.29
1763303930,80.29
1763303933,71.51
1763303935,80.05
1763303939,71.46
1763303941,71.53
1763303943,80.30
1763303946,71.58
1763303949,80.51
1763303952,71.57
1763303954,80.56
1763303957,80.48
1763303959,80.29
1763303962,80.50
1763303965,71.78
1763303968,71.83
1763303971,80.70
1763303973,71.83
1763303976,80.50
1763303978,74.14
1763303981,80.28
1763303984,71.63
1763303987,74.33
1763303989,63.11
1763303991,71.55
1763303993,71.74
1763303995,56.02
1763303997,74.03
1763303999,73.85
1763304002,71.66
1763304004,71.75
1763304006,71.57
1763304008,73.68
1763304010,71.34
1763304012,74.17
1763304014,71.57
