timestamp,power_draw_w
1763449372,83.75
1763449373,84.26
1763449374,87.17
1763449375,77.84
1763449377,77.73
1763449378,83.89
1763449379,86.97
1763449380,148.02
1763449381,219.49
1763449382,223.18
1763449384,223.99
1763449385,225.53
1763449386,217.00
1763449387,221.55
1763449388,222.70
1763449389,222.76
1763449390,225.03
1763449391,225.21
1763449392,225.92
1763449393,225.13
1763449394,217.23
1763449395,221.77
1763449396,223.46
1763449397,226.07
1763449398,226.93
1763449399,225.26
1763449400,225.17
1763449401,224.03
1763449402,223.88
1763449403,222.58
1763449404,226.24
1763449405,224.86
1763449406,225.31
1763449407,228.71
1763449408,229.02
1763449409,219.52
1763449410,228.58
1763449411,226.25
1763449412,226.84
1763449413,231.70
1763449414,231.28
1763449415,229.34
1763449416,229.55
1763449417,226.56
1763449418,228.45
1763449419,225.90
1763449420,231.65
1763449421,232.62
1763449423,228.35
1763449424,231.46
1763449425,225.73
1763449426,224.82
1763449427,228.77
1763449428,230.05
1763449429,228.96
1763449430,229.87
1763449431,221.27
1763449432,230.48
1763449433,225.90
1763449434,232.36
1763449435,228.16
1763449436,232.53
1763449437,234.17
1763449438,236.88
1763449439,232.85
1763449440,232.41
1763449441,225.70
1763449442,228.57
1763449443,232.60
1763449444,233.95
1763449445,231.98
1763449446,234.00
1763449447,236.62
1763449448,234.32
1763449449,224.74
1763449450,208.85
1763449451,208.99
1763449452,232.15
1763449453,234.80
1763449454,235.72
1763449455,236.95
1763449456,227.33
1763449457,232.66
1763449458,231.14
1763449459,230.01
1763449461,233.70
1763449462,234.96
1763449463,233.55
1763449464,233.27
1763449465,230.99
1763449466,230.56
1763449467,232.66
1763449468,235.55
1763449469,232.06
1763449470,234.61
1763449471,237.24
1763449472,236.89
1763449473,226.60
1763449474,231.27
1763449475,232.00
1763449476,235.19
1763449477,236.04
1763449478,235.20
1763449479,235.62
1763449480,230.52
1763449481,229.90
1763449482,213.60
1763449483,233.65
1763449484,235.81
1763449485,233.90
1763449486,236.38
1763449487,237.31
1763449488,226.10
1763449489,231.53
1763449490,230.59
1763449491,231.33
1763449492,234.53
1763449493,238.18
1763449494,238.21
1763449495,233.21
1763449497,228.37
1763449498,233.10
1763449499,229.54
1763449500,230.38
1763449501,232.64
1763449502,228.97
1763449503,235.97
1763449504,228.22
1763449505,234.32
1763449506,230.46
1763449507,233.96
1763449508,233.00
1763449509,235.95
1763449510,236.50
1763449511,233.18
1763449512,230.15
1763449513,232.32
1763449514,233.25
1763449515,237.00
1763449516,237.77
1763449517,235.30
1763449518,238.28
1763449519,237.52
1763449520,229.22
1763449521,237.63
1763449522,220.25
1763449523,212.17
1763449524,236.23
1763449525,233.95
1763449526,237.50
1763449527,231.07
1763449528,232.64
1763449529,236.08
1763449530,236.83
1763449531,234.02
1763449532,237.02
1763449533,236.58
1763449534,236.69
1763449536,232.02
1763449537,231.84
1763449538,235.56
1763449539,234.64
1763449540,238.28
1763449541,240.83
1763449542,240.01
1763449543,230.08
