timestamp,power_draw_w
1763750749,4.91
1763750750,5.06
1763750751,4.91
1763750752,5.05
1763750753,4.87
1763750754,17.40
1763750755,83.71
1763750756,92.31
1763750757,134.80
1763750758,213.89
1763750759,214.95
1763750760,219.66
1763750761,209.82
1763750762,204.65
1763750763,214.17
1763750764,211.18
1763750765,213.46
1763750766,220.38
1763750767,228.34
1763750768,214.83
1763750769,224.70
1763750770,217.03
1763750771,207.40
1763750772,215.70
1763750773,230.24
1763750774,215.96
1763750775,208.35
1763750776,214.33
1763750777,221.08
1763750779,223.63
1763750780,224.12
1763750781,227.00
1763750782,235.77
1763750783,227.40
1763750784,226.19
1763750785,223.45
1763750786,220.55
1763750787,221.00
1763750788,227.90
1763750789,229.73
1763750790,238.11
1763750791,236.62
1763750792,228.48
1763750793,233.59
1763750794,223.60
1763750795,216.89
1763750796,215.15
1763750797,205.11
1763750798,215.92
1763750799,214.46
1763750800,215.83
1763750801,225.27
1763750802,219.06
1763750803,225.26
1763750804,231.45
1763750805,232.22
1763750806,220.05
1763750807,213.57
1763750808,226.86
1763750809,225.54
1763750810,221.73
1763750811,218.09
1763750812,239.35
1763750813,237.81
1763750815,224.43
1763750816,225.82
1763750817,225.47
1763750818,221.31
1763750819,226.19
1763750820,226.95
1763750821,227.22
1763750822,230.45
1763750823,223.69
1763750824,231.78
1763750825,226.46
1763750826,219.19
1763750827,222.32
1763750828,225.67
1763750829,235.26
1763750830,223.20
1763750831,229.04
1763750832,232.46
1763750833,206.74
1763750834,197.87
1763750835,215.19
1763750836,240.81
1763750837,222.87
1763750838,221.84
1763750839,235.95
1763750840,228.24
1763750841,226.55
1763750842,221.32
1763750843,219.90
1763750844,227.03
1763750845,236.00
1763750846,238.03
1763750847,228.69
1763750848,229.99
1763750849,230.96
1763750850,234.47
1763750851,238.17
1763750853,237.88
1763750854,231.87
1763750855,231.23
1763750856,232.67
1763750857,232.28
1763750858,228.00
1763750859,245.20
1763750860,239.73
1763750861,230.37
1763750862,225.56
1763750863,225.67
1763750864,221.71
1763750865,220.32
1763750866,219.64
1763750867,220.58
1763750868,221.66
1763750869,229.09
1763750870,241.19
1763750871,239.40
1763750872,225.39
1763750873,221.32
1763750874,223.88
1763750875,224.07
1763750876,221.63
1763750877,221.16
1763750878,221.83
1763750879,227.44
1763750880,233.84
1763750881,239.88
1763750882,244.36
1763750883,232.73
1763750884,221.63
1763750885,224.61
1763750887,226.34
1763750888,230.33
1763750889,230.21
1763750890,227.56
1763750891,227.99
1763750892,221.16
1763750893,229.92
1763750894,230.24
1763750895,222.77
1763750896,221.40
1763750897,221.04
1763750898,230.74
1763750899,234.72
1763750900,230.17
1763750901,239.97
1763750902,235.32
1763750903,229.84
1763750904,220.78
1763750905,219.01
1763750906,227.84
1763750907,221.69
1763750908,222.43
1763750909,220.88
1763750910,228.35
1763750911,231.96
1763750912,227.23
1763750913,209.74
1763750914,225.84
1763750915,231.15
1763750916,221.90
1763750917,219.19
1763750918,219.98
1763750919,225.70
1763750920,228.35
1763750922,229.42
1763750923,230.68
1763750924,230.08
1763750925,235.29
1763750926,235.51
1763750927,230.52
1763750928,240.90
1763750929,233.76
1763750930,225.68
1763750931,233.55
1763750932,233.50
1763750933,226.54
1763750934,220.57
1763750935,220.06
1763750936,219.97
1763750937,220.33
1763750938,220.69
1763750939,220.78
1763750940,230.32
1763750941,223.54
1763750942,228.95
1763750943,239.67
1763750944,234.82
1763750945,231.53
1763750946,236.66
1763750947,229.03
1763750948,222.69
1763750949,229.72
1763750950,242.23
1763750951,240.88
1763750952,247.74
1763750953,243.34
1763750954,244.85
1763750955,243.96
1763750956,246.14
1763750957,237.36
1763750959,240.71
1763750960,240.91
1763750961,240.93
1763750962,244.38
1763750963,242.87
1763750964,228.38
1763750965,225.58
1763750966,226.09
1763750967,225.89
1763750968,227.75
1763750969,218.26
1763750970,224.44
1763750971,224.00
1763750972,234.24
1763750973,240.92
1763750974,243.21
1763750975,243.68
1763750976,234.52
1763750977,223.94
1763750978,228.52
1763750979,244.37
1763750980,234.20
1763750981,226.65
1763750982,223.33
1763750983,223.32
1763750984,221.78
1763750985,221.38
1763750986,225.45
1763750987,230.91
1763750988,227.59
1763750989,214.31
1763750990,212.63
1763750991,223.72
1763750992,233.59
1763750994,233.11
1763750995,226.23
1763750996,236.82
1763750997,243.46
1763750998,242.97
1763750999,233.13
1763751000,226.69
1763751001,224.33
1763751002,238.20
1763751003,237.20
1763751004,225.55
1763751005,229.13
1763751006,231.93
1763751007,224.91
1763751008,229.74
1763751009,234.57
1763751010,229.07
1763751011,227.47
1763751012,224.68
1763751013,228.17
1763751014,231.81
1763751015,239.85
1763751016,234.97
1763751017,230.99
1763751018,232.35
1763751019,225.01
1763751020,225.81
1763751021,234.44
1763751022,223.04
1763751023,241.62
1763751024,228.55
1763751025,228.41
1763751026,220.99
1763751027,227.00
1763751028,223.04
1763751030,223.31
1763751031,227.80
1763751032,230.82
1763751033,230.51
1763751034,239.02
1763751035,235.94
1763751036,225.91
1763751037,227.20
1763751038,225.24
1763751039,231.71
1763751040,223.87
1763751041,224.56
1763751042,224.74
1763751043,223.55
1763751044,225.31
1763751045,230.51
1763751046,226.10
1763751047,229.69
1763751048,244.60
1763751049,240.13
1763751050,229.16
1763751051,232.21
1763751052,224.10
1763751053,227.41
1763751054,231.88
1763751055,236.02
1763751056,239.74
1763751057,224.92
1763751058,224.46
1763751059,222.75
1763751060,226.67
1763751061,219.90
1763751063,220.80
1763751064,220.68
1763751065,220.28
1763751066,219.92
1763751067,225.10
1763751068,222.07
1763751069,220.37
1763751070,219.84
1763751071,231.04
1763751072,233.93
1763751073,226.61
1763751074,224.43
1763751075,223.35
1763751076,222.60
1763751077,227.28
1763751078,228.38
1763751079,226.37
1763751080,223.16
1763751081,229.43
1763751082,223.38
1763751083,228.51
1763751084,233.35
1763751085,239.04
1763751086,228.55
1763751087,228.03
1763751088,239.60
1763751089,231.99
1763751090,231.75
1763751091,232.54
1763751092,231.74
1763751093,234.67
1763751094,243.47
1763751095,237.67
1763751096,234.99
1763751097,234.83
1763751098,227.57
1763751100,233.04
1763751101,231.40
1763751102,223.75
1763751103,227.68
1763751104,229.48
1763751105,230.82
1763751106,230.34
1763751107,231.63
1763751108,231.99
1763751109,225.88
1763751110,221.36
1763751111,222.22
1763751112,235.95
1763751113,242.28
1763751114,227.02
1763751115,227.21
1763751116,231.64
1763751117,236.09
1763751118,242.61
1763751119,229.15
1763751120,227.33
1763751121,223.76
1763751122,222.01
1763751123,221.77
1763751124,228.20
1763751125,233.37
1763751126,231.30
1763751127,228.96
1763751128,222.66
1763751129,221.12
1763751130,221.95
1763751131,226.55
1763751132,227.55
1763751133,228.97
1763751135,227.23
1763751136,227.70
1763751137,229.42
1763751138,207.95
1763751139,221.54
1763751140,235.85
1763751141,242.03
1763751142,224.46
1763751143,224.98
1763751144,219.31
1763751145,220.27
1763751146,230.22
1763751147,223.63
1763751148,213.24
1763751149,209.25
1763751150,225.04
1763751151,220.52
1763751152,223.60
1763751153,230.19
1763751154,229.86
1763751155,232.32
1763751156,229.34
1763751157,228.45
1763751158,224.14
1763751159,220.36
1763751160,220.35
1763751161,228.59
1763751162,235.23
1763751163,244.98
1763751164,233.52
1763751165,220.46
1763751166,219.96
1763751167,233.84
1763751168,228.58
1763751170,223.54
1763751171,223.82
1763751172,216.83
1763751173,227.78
1763751174,239.89
1763751175,236.00
1763751176,225.35
1763751177,220.39
1763751178,220.15
1763751179,222.74
1763751180,225.65
1763751181,227.42
1763751182,232.33
1763751183,227.99
1763751184,231.89
1763751185,230.01
1763751186,244.53
1763751187,244.53
1763751188,244.74
1763751189,249.54
1763751190,243.83
