timestamp,power_draw_w
1763814831,189.09
1763814832,189.15
1763814833,189.06
1763814834,188.92
1763814835,188.96
1763814836,188.75
1763814837,188.10
1763814838,187.83
1763814840,187.75
1763814841,188.00
1763814842,188.05
1763814843,187.76
1763814844,187.52
1763814845,188.02
1763814846,187.88
1763814847,187.30
1763814848,187.58
1763814849,187.79
1763814850,188.04
1763814851,187.88
1763814852,187.26
1763814853,187.63
1763814854,187.62
1763814855,187.56
1763814856,187.47
1763814857,187.79
1763814858,187.64
1763814859,187.40
1763814860,187.29
1763814861,187.84
1763814862,188.10
1763814863,188.19
1763814864,187.76
1763814865,187.94
1763814866,187.34
1763814868,187.33
1763814869,187.22
1763814870,187.78
1763814871,187.32
1763814872,187.77
1763814873,187.53
1763814874,187.31
1763814875,187.30
1763814876,187.79
1763814877,187.46
1763814878,187.45
1763814879,187.46
1763814880,187.47
1763814881,187.76
1763814882,188.00
1763814883,187.79
1763814884,151.14
1763814885,313.58
1763814886,218.67
1763814887,168.47
1763814888,168.97
1763814889,168.85
1763814890,169.08
1763814891,168.54
1763814892,168.85
1763814893,169.58
1763814894,176.86
1763814896,176.70
1763814897,177.11
1763814898,176.85
1763814899,176.70
1763814900,176.85
1763814901,176.82
1763814902,176.74
1763814903,177.18
1763814904,177.12
1763814905,177.31
1763814906,177.38
1763814907,177.30
1763814908,177.03
1763814909,177.31
1763814910,177.02
1763814911,176.90
1763814912,177.49
1763814913,177.18
1763814914,177.16
1763814915,177.01
1763814916,176.77
1763814917,176.78
1763814918,176.31
1763814919,176.96
1763814920,176.99
1763814921,177.21
1763814923,177.38
1763814924,177.49
1763814925,177.21
1763814926,176.85
1763814927,177.09
1763814928,176.87
1763814929,176.82
1763814930,176.61
1763814931,176.69
1763814932,176.73
1763814933,177.10
1763814934,176.79
1763814935,176.54
1763814936,176.65
1763814937,176.69
1763814938,177.01
1763814939,176.44
1763814940,179.07
1763814941,184.61
1763814942,184.82
1763814943,185.01
1763814944,184.85
1763814945,184.51
1763814946,184.58
1763814947,184.68
