timestamp,gpu_util_percent,memory_util_percent
1763821746,100,78
1763821747,100,78
1763821748,100,78
1763821749,100,78
1763821750,100,78
1763821751,100,78
1763821752,100,78
1763821753,100,78
1763821754,100,78
1763821755,100,78
1763821756,100,78
1763821758,100,78
1763821759,100,78
1763821760,100,78
1763821761,100,78
1763821762,100,78
1763821763,100,78
1763821764,100,78
1763821765,100,78
1763821766,100,78
1763821767,100,78
1763821768,100,78
1763821769,100,78
1763821770,100,78
1763821771,100,78
1763821773,100,78
1763821774,100,78
1763821775,100,78
1763821776,100,78
1763821777,100,78
1763821778,0,0
1763821779,100,100
1763821780,100,68
1763821781,100,66
1763821782,100,66
1763821783,100,66
1763821784,100,67
1763821786,100,66
1763821787,100,66
1763821788,100,67
1763821789,100,70
1763821790,100,72
1763821791,100,72
1763821792,100,72
1763821793,100,72
1763821794,100,72
1763821795,100,72
1763821796,100,72
1763821797,100,72
1763821798,100,72
1763821799,100,72
1763821800,100,72
1763821802,100,72
1763821803,100,72
1763821804,100,72
1763821805,100,72
1763821806,100,72
1763821807,100,72
1763821808,100,72
1763821809,100,72
1763821810,100,72
1763821811,100,72
1763821812,100,72
1763821813,100,72
1763821814,100,72
1763821816,100,72
1763821817,100,72
1763821818,100,72
1763821819,100,72
1763821820,100,72
1763821821,100,72
1763821822,100,72
1763821823,100,72
1763821824,100,72
1763821825,100,72
1763821826,100,72
1763821827,100,72
1763821828,100,72
1763821829,100,72
1763821830,100,72
1763821832,100,72
1763821833,100,72
1763821834,100,72
1763821835,100,72
1763821836,100,72
1763821837,100,72
1763821838,100,72
1763821839,100,72
1763821840,100,72
1763821841,100,72
1763821842,100,72
1763821843,100,72
1763821844,100,72
1763821846,100,72
1763821847,100,72
1763821848,100,72
1763821849,100,72
1763821850,100,72
1763821851,100,72
1763821852,100,72
1763821853,100,73
1763821854,100,72
1763821855,100,72
1763821856,100,72
1763821857,100,72
1763821858,100,72
1763821860,100,72
1763821861,100,72
1763821862,100,72
1763821863,100,72
1763821864,100,72
1763821865,100,72
1763821866,100,72
1763821867,100,72
1763821868,100,72
1763821869,100,72
1763821870,100,72
1763821871,100,72
1763821872,100,72
1763821873,100,72
1763821875,100,72
1763821876,100,72
1763821877,100,72
1763821878,100,72
1763821879,100,72
1763821880,100,72
1763821881,100,72
1763821882,100,72
1763821883,100,72
1763821884,100,72
1763821885,100,72
1763821886,100,72
1763821887,100,72
1763821888,100,72
1763821889,100,72
1763821891,100,72
1763821892,100,72
1763821893,100,72
1763821894,100,72
1763821895,100,72
1763821896,100,72
1763821897,100,72
1763821898,100,72
1763821899,100,72
1763821900,100,72
1763821901,100,72
1763821902,100,72
1763821903,100,72
1763821904,100,72
1763821906,100,72
1763821907,100,73
1763821908,100,72
1763821909,100,72
1763821910,100,72
1763821911,100,72
1763821912,100,72
1763821913,100,73
1763821914,100,72
1763821915,15,18
1763821916,100,100
1763821917,100,100
1763821918,100,78
1763821919,100,77
1763821921,100,77
1763821922,100,79
1763821923,100,78
1763821924,100,79
1763821925,100,79
1763821926,100,78
1763821927,100,79
1763821928,100,79
1763821929,100,78
1763821930,100,78
1763821931,100,78
1763821932,100,78
1763821934,100,78
1763821935,100,78
1763821936,100,78
1763821937,100,79
1763821938,100,79
1763821939,100,79
1763821940,100,77
1763821941,100,78
1763821942,100,77
1763821943,100,78
1763821944,100,78
1763821945,100,79
1763821946,100,78
1763821947,100,79
1763821948,100,78
1763821950,100,78
1763821951,100,78
1763821952,100,77
1763821953,100,78
1763821954,100,77
1763821955,100,78
1763821956,100,79
1763821957,100,77
1763821958,100,77
1763821959,100,78
1763821960,100,78
1763821961,100,78
1763821962,100,79
1763821964,100,78
1763821965,100,79
1763821966,100,79
1763821967,100,78
1763821968,100,79
1763821969,100,79
1763821970,100,79
1763821971,100,78
1763821972,100,79
1763821973,100,79
1763821974,100,78
1763821975,100,79
1763821976,100,77
1763821977,100,78
1763821979,100,78
1763821980,100,77
1763821981,100,79
1763821982,100,78
1763821983,100,78
1763821984,100,78
1763821985,100,78
1763821986,100,78
1763821987,100,78
1763821988,100,79
1763821989,100,78
1763821990,100,78
1763821991,100,78
1763821992,100,79
1763821994,100,79
1763821995,100,78
1763821996,100,79
1763821997,100,78
1763821998,100,79
1763821999,100,77
1763822000,100,79
1763822001,100,79
1763822002,100,77
1763822003,100,79
1763822004,100,79
1763822005,100,79
1763822006,100,79
1763822008,100,79
1763822009,100,77
1763822010,100,78
1763822011,100,78
1763822012,100,77
1763822013,100,78
1763822014,100,78
1763822015,100,79
1763822016,100,79
1763822017,100,79
1763822018,100,77
1763822019,100,78
1763822020,100,78
1763822021,100,77
1763822022,100,77
1763822024,100,79
1763822025,100,78
1763822026,100,79
1763822027,100,78
1763822028,100,79
1763822029,100,77
1763822030,100,78
1763822031,100,79
1763822032,100,77
1763822033,100,78
1763822034,100,79
1763822035,100,79
1763822036,100,79
1763822038,100,79
1763822039,100,79
1763822040,100,79
1763822041,100,79
1763822042,100,79
1763822043,100,79
1763822044,100,78
1763822045,100,79
1763822046,100,77
1763822047,100,78
1763822048,100,78
1763822049,100,77
1763822050,100,77
1763822052,100,79
1763822053,100,78
1763822054,100,78
1763822055,100,77
1763822056,100,79
1763822057,100,78
1763822058,100,79
1763822059,100,78
1763822060,100,78
1763822061,100,78
1763822062,100,78
1763822063,100,77
1763822064,100,78
1763822066,100,78
1763822067,100,78
1763822068,100,78
1763822069,100,78
1763822070,100,79
1763822071,100,79
1763822072,100,78
1763822073,100,78
1763822074,100,79
1763822075,100,78
1763822076,100,79
1763822077,100,79
1763822078,100,78
1763822080,100,78
1763822081,100,77
1763822082,100,79
1763822083,100,78
1763822084,100,78
1763822085,100,79
1763822086,100,78
1763822087,0,0
1763822088,100,100
1763822089,100,76
1763822090,100,75
1763822091,100,75
1763822092,100,75
1763822093,100,75
1763822094,100,75
1763822096,100,75
1763822097,100,75
1763822098,100,75
1763822099,100,75
1763822100,100,75
1763822101,100,75
1763822102,100,75
1763822103,100,75
1763822104,100,75
1763822105,100,75
1763822106,100,75
1763822107,100,75
1763822108,100,75
1763822110,100,75
1763822111,100,75
1763822112,100,75
1763822113,100,75
1763822114,100,75
1763822115,100,75
1763822116,100,75
1763822117,100,75
1763822118,100,75
1763822119,100,75
1763822120,100,75
1763822121,100,75
1763822122,100,75
1763822124,100,75
1763822125,100,75
1763822126,100,75
1763822127,100,75
1763822128,100,75
1763822129,100,75
1763822130,100,75
1763822131,100,75
1763822132,100,75
1763822133,100,75
1763822134,100,75
1763822135,100,75
1763822136,100,75
1763822137,100,75
1763822138,100,75
1763822140,100,75
1763822141,100,75
1763822142,100,75
1763822143,100,76
1763822144,100,75
1763822145,100,75
1763822146,100,76
1763822147,100,75
1763822148,100,75
1763822149,100,75
1763822150,100,75
1763822151,100,75
1763822152,100,75
1763822154,100,75
1763822155,100,76
1763822156,100,75
1763822157,100,75
1763822158,100,75
1763822159,100,75
1763822160,100,75
1763822161,100,75
1763822162,100,75
1763822163,100,75
1763822164,100,75
1763822165,100,75
1763822166,100,75
1763822167,100,75
1763822169,100,76
1763822170,100,75
1763822171,100,75
1763822172,100,75
1763822173,100,75
1763822174,100,75
1763822175,100,75
1763822176,100,75
1763822177,100,75
1763822178,100,76
1763822179,100,75
1763822180,100,75
1763822181,58,43
1763822183,100,100
1763822184,100,100
1763822185,100,76
1763822186,100,76
1763822187,100,76
1763822188,100,76
1763822189,100,76
1763822190,100,76
1763822191,100,76
1763822192,100,76
1763822193,100,76
1763822195,100,76
1763822196,100,76
1763822197,100,76
1763822198,100,76
1763822199,100,76
1763822200,100,76
1763822201,100,76
1763822202,100,76
1763822203,100,76
1763822204,100,76
1763822205,100,76
1763822206,100,76
1763822207,100,76
1763822208,100,76
1763822209,100,76
1763822211,100,76
1763822212,100,76
1763822213,100,76
1763822214,100,76
1763822215,100,75
1763822216,100,76
1763822217,100,76
1763822218,100,76
1763822219,100,76
1763822220,100,76
1763822221,100,75
1763822222,100,76
1763822223,100,76
1763822225,100,76
1763822226,100,76
1763822227,100,76
1763822228,100,76
1763822229,100,76
1763822230,100,76
1763822231,100,76
1763822232,100,76
1763822233,100,75
1763822234,100,75
1763822235,100,76
1763822236,100,76
1763822238,100,76
1763822239,100,76
1763822240,100,76
1763822241,100,76
1763822242,100,76
1763822243,100,76
1763822244,100,76
1763822245,100,76
1763822246,100,76
1763822247,100,76
1763822248,100,76
1763822249,100,76
1763822250,100,76
1763822251,100,76
1763822252,100,76
1763822254,100,75
1763822255,100,76
1763822256,100,76
1763822257,100,76
1763822258,100,76
1763822259,100,76
1763822260,100,76
1763822261,100,76
1763822262,100,76
1763822263,100,76
1763822264,100,76
1763822265,100,76
1763822266,100,76
1763822268,100,76
1763822269,100,76
1763822270,100,76
1763822271,100,76
1763822272,100,76
1763822273,100,76
1763822274,100,76
1763822275,100,76
1763822276,100,76
1763822277,100,76
1763822278,100,76
1763822279,100,76
1763822280,100,76
1763822282,100,75
1763822283,100,76
