timestamp,gpu_util_percent,memory_util_percent
1764314505,0,0
1764314507,0,0
1764314509,3,0
1764314510,14,7
1764314511,14,7
1764314512,14,7
1764314513,14,7
1764314514,14,7
1764314515,13,7
1764314516,14,7
1764314517,14,7
1764314518,14,7
1764314519,14,7
1764314520,14,7
1764314521,2,1
1764314522,2,1
1764314523,14,7
1764314524,14,7
1764314525,14,7
1764314526,14,7
1764314527,14,7
1764314528,14,7
1764314529,14,7
1764314530,14,7
1764314531,14,7
1764314532,14,7
1764314533,14,7
1764314534,13,7
1764314535,4,3
1764314536,14,8
1764314537,14,7
1764314538,14,7
1764314539,14,7
1764314540,13,7
1764314541,14,7
1764314542,14,7
1764314543,14,7
1764314545,14,7
1764314546,14,7
1764314547,14,7
1764314548,14,7
1764314549,2,1
1764314550,7,4
1764314551,14,7
1764314552,14,7
1764314553,14,7
1764314554,14,7
1764314555,14,7
1764314556,14,7
1764314557,14,7
1764314558,13,7
1764314559,14,7
1764314560,14,7
1764314561,14,7
1764314562,2,1
1764314563,2,1
1764314564,13,7
1764314565,14,7
1764314566,13,7
1764314567,14,7
1764314568,14,7
1764314569,14,7
1764314570,14,7
1764314571,14,7
1764314572,14,7
1764314573,14,7
1764314574,13,7
1764314575,3,1
1764314576,2,1
1764314577,12,6
1764314578,13,7
1764314579,14,7
1764314580,13,7
1764314581,14,7
1764314582,14,7
1764314583,13,7
1764314585,14,7
1764314586,14,7
1764314587,14,7
1764314588,14,7
1764314589,13,7
1764314590,2,1
1764314591,2,1
1764314592,14,7
1764314593,13,7
1764314594,14,7
1764314595,14,7
1764314596,14,7
1764314597,14,7
1764314598,14,7
1764314599,14,7
1764314600,14,7
1764314601,14,7
1764314602,13,7
1764314603,2,1
1764314604,2,1
1764314605,14,7
1764314606,14,7
1764314607,14,7
1764314608,14,7
1764314609,14,7
1764314610,14,7
1764314611,13,7
1764314612,14,7
1764314613,14,7
1764314614,14,7
1764314615,13,7
1764314616,7,4
1764314617,2,1
1764314618,14,7
1764314619,14,7
1764314620,14,7
1764314621,14,7
1764314622,14,7
1764314623,13,7
1764314625,14,7
1764314626,14,7
1764314627,14,7
1764314628,14,7
1764314629,14,7
1764314630,14,7
1764314631,4,3
1764314632,14,7
1764314633,14,7
1764314634,14,7
1764314635,14,7
1764314636,14,7
1764314637,14,7
1764314638,13,7
1764314639,14,7
1764314640,13,7
1764314641,14,7
1764314642,14,7
1764314643,13,7
1764314644,2,1
1764314645,2,1
1764314646,14,7
1764314647,14,7
1764314648,14,7
1764314649,13,7
1764314650,14,7
1764314651,14,7
1764314652,14,7
1764314653,13,7
1764314654,13,7
1764314655,14,7
1764314656,14,7
1764314657,2,2
1764314658,4,3
1764314659,14,7
1764314660,14,7
1764314661,14,7
1764314662,14,7
1764314664,14,7
1764314665,14,7
1764314666,14,7
1764314667,14,7
1764314668,13,7
1764314669,13,7
1764314670,14,7
1764314671,13,7
1764314672,4,3
1764314673,14,7
1764314674,14,7
1764314675,14,7
1764314676,14,7
1764314677,13,7
1764314678,14,7
1764314679,14,7
1764314680,14,7
1764314681,14,7
1764314682,13,7
1764314683,13,6
1764314684,13,6
1764314685,2,1
1764314686,2,1
1764314687,13,7
1764314688,13,7
1764314689,14,7
1764314690,13,7
1764314691,13,7
1764314692,13,7
1764314693,13,7
1764314694,13,6
1764314695,13,6
1764314696,13,6
1764314697,13,6
1764314698,13,6
1764314699,2,1
1764314700,0,0
