timestamp,power_draw_w
1765351907,82.50
1765351909,82.34
1765351911,82.07
1765351913,81.74
1765351915,81.60
1765351916,90.74
1765351917,92.89
1765351918,223.90
1765351919,284.65
1765351920,284.29
1765351921,284.86
1765351922,286.31
1765351923,286.72
1765351924,289.24
1765351925,286.06
1765351926,288.92
1765351927,290.64
1765351928,289.92
1765351929,285.54
1765351930,280.57
1765351931,277.72
1765351932,274.10
1765351933,292.69
1765351934,270.89
1765351935,270.42
1765351936,267.79
1765351937,274.68
1765351939,282.17
1765351940,263.05
1765351941,271.73
1765351942,275.15
1765351943,265.10
1765351944,289.73
1765351945,277.44
1765351946,258.41
1765351947,264.70
1765351948,262.35
1765351949,264.52
1765351950,281.92
1765351951,268.53
1765351952,255.83
1765351953,261.22
1765351954,252.86
1765351955,252.77
1765351956,273.50
1765351957,284.12
1765351958,259.87
1765351959,258.74
1765351960,260.48
1765351961,251.35
1765351962,250.42
1765351963,272.33
1765351964,271.63
1765351965,238.20
1765351966,231.97
1765351967,233.41
1765351968,232.02
1765351969,231.90
1765351970,232.01
1765351971,233.33
1765351972,233.42
1765351973,231.74
1765351974,232.25
1765351975,233.16
1765351976,232.67
1765351977,231.69
1765351979,232.35
1765351980,231.29
1765351981,233.66
1765351982,233.40
1765351983,232.38
1765351984,232.70
1765351985,232.58
1765351986,233.07
1765351987,234.17
1765351988,233.56
1765351989,232.08
1765351990,232.35
1765351991,232.48
1765351992,231.25
1765351993,217.89
1765351994,218.71
1765351995,218.88
1765351996,218.91
1765351997,218.96
1765351998,218.93
1765351999,218.81
1765352000,218.77
1765352001,218.91
1765352002,218.79
1765352003,218.59
1765352004,218.93
1765352005,217.95
1765352006,218.81
1765352007,218.69
1765352008,219.12
1765352009,218.27
1765352010,218.25
1765352011,220.20
1765352012,218.36
1765352013,218.80
1765352014,219.02
1765352015,220.33
1765352016,218.96
1765352017,218.16
1765352019,219.36
1765352020,219.93
1765352021,218.39
1765352022,218.85
1765352023,220.09
1765352024,219.02
1765352025,218.22
1765352026,219.14
1765352027,220.00
1765352028,219.45
1765352029,218.77
1765352030,219.58
1765352031,219.11
1765352032,218.74
1765352033,218.86
1765352034,219.53
1765352035,219.20
1765352036,218.52
1765352037,219.21
1765352038,219.56
1765352039,218.81
1765352040,219.32
1765352041,220.07
1765352042,218.41
1765352043,218.77
1765352044,218.86
1765352045,220.67
1765352046,218.56
1765352047,217.67
1765352048,220.14
1765352049,219.18
1765352050,218.46
1765352051,217.84
1765352052,219.33
1765352053,219.30
1765352054,218.07
1765352055,217.43
1765352056,219.58
1765352057,218.84
1765352058,218.02
1765352060,218.86
1765352061,219.32
1765352062,218.21
1765352063,217.89
1765352064,220.01
1765352065,219.40
1765352066,218.84
1765352067,217.33
1765352068,220.38
1765352069,218.40
1765352070,217.62
1765352071,218.23
1765352072,219.50
1765352073,218.00
1765352074,217.57
1765352075,218.86
1765352076,218.90
1765352077,218.27
1765352078,217.20
1765352079,218.29
1765352080,218.54
1765352081,218.30
1765352082,217.86
1765352083,219.23
1765352084,218.61
1765352085,218.11
1765352086,218.99
1765352087,218.45
1765352088,218.06
1765352089,218.18
1765352090,218.78
1765352091,219.23
1765352092,218.54
1765352093,216.86
1765352094,218.38
1765352095,218.53
1765352096,218.24
1765352097,217.90
1765352098,218.17
1765352100,218.87
1765352101,217.16
1765352102,218.47
1765352103,218.97
1765352104,218.43
1765352105,217.58
1765352106,218.56
1765352107,218.54
1765352108,218.29
1765352109,217.58
1765352110,218.91
1765352111,217.87
1765352112,218.00
1765352113,218.95
1765352114,219.08
1765352115,218.36
1765352116,217.53
1765352117,218.86
1765352118,218.03
1765352119,218.94
1765352120,217.58
1765352121,218.21
1765352122,218.47
1765352123,218.25
1765352124,217.99
1765352125,219.12
1765352126,218.28
1765352127,217.31
1765352128,218.23
1765352129,218.51
1765352130,218.75
1765352131,217.09
1765352132,218.69
1765352133,218.79
1765352134,218.57
1765352135,218.39
1765352136,219.30
1765352137,218.41
1765352139,217.66
1765352140,218.82
1765352141,218.82
1765352142,219.14
1765352143,217.97
1765352144,218.76
1765352145,218.94
1765352146,219.02
1765352147,217.52
1765352148,218.38
1765352149,218.76
1765352150,219.10
1765352151,217.64
1765352152,218.67
1765352153,218.30
1765352154,218.65
1765352155,218.20
1765352156,219.06
1765352157,218.69
1765352158,218.46
1765352159,218.67
1765352160,218.64
1765352161,218.15
1765352162,217.47
1765352163,218.05
1765352164,218.41
1765352165,218.80
1765352166,217.03
1765352167,218.84
1765352168,218.51
1765352169,218.24
1765352170,217.38
1765352171,218.50
1765352172,217.70
1765352173,218.52
1765352174,218.66
1765352175,218.93
1765352176,218.16
1765352177,217.33
1765352179,217.91
1765352180,218.21
1765352181,218.56
1765352182,217.29
1765352183,218.48
1765352184,218.27
1765352185,218.07
1765352186,217.80
1765352187,218.58
1765352188,218.14
1765352189,218.38
1765352190,218.25
1765352191,218.16
1765352192,218.31
1765352193,216.64
1765352194,217.89
1765352195,218.57
1765352196,218.21
1765352197,217.71
1765352198,218.60
1765352199,218.08
1765352200,218.16
1765352201,218.48
1765352202,218.45
1765352203,218.07
1765352204,217.17
1765352205,218.70
1765352206,218.51
1765352207,218.99
1765352208,216.94
1765352209,218.57
1765352210,218.52
1765352211,218.34
1765352212,217.45
1765352213,219.01
1765352214,218.71
1765352215,218.60
1765352216,217.61
1765352218,218.22
1765352219,217.72
1765352220,218.11
1765352221,218.18
1765352222,218.61
1765352223,218.32
1765352224,218.91
1765352225,218.21
1765352226,218.40
1765352227,218.56
1765352228,217.63
1765352229,218.27
1765352230,217.82
1765352231,218.20
1765352232,217.14
1765352233,217.77
1765352234,218.34
1765352235,218.00
1765352236,217.94
1765352237,218.68
1765352238,217.97
1765352239,218.49
1765352240,217.87
1765352241,218.16
1765352242,218.08
1765352243,218.61
1765352244,218.10
1765352245,217.93
1765352246,217.97
1765352247,218.98
1765352248,218.01
1765352249,218.15
1765352250,218.79
1765352251,218.20
1765352252,218.48
1765352253,218.13
1765352254,219.12
1765352255,218.73
1765352256,218.02
1765352258,217.80
1765352259,219.13
1765352260,218.35
1765352261,218.02
1765352262,219.07
1765352263,219.25
1765352264,218.25
1765352265,218.16
1765352266,218.49
1765352267,219.64
1765352268,218.38
1765352269,217.79
1765352270,219.41
1765352271,219.29
1765352272,217.98
1765352273,218.76
1765352274,218.91
1765352275,212.77
1765352276,227.10
1765352277,227.27
1765352278,159.29
1765352279,306.52
1765352280,286.44
1765352281,241.70
1765352282,223.09
1765352283,222.63
1765352284,222.40
1765352285,221.80
1765352286,221.63
1765352287,223.76
1765352288,223.60
1765352289,222.19
1765352290,222.00
1765352291,224.05
1765352292,222.90
1765352293,222.16
1765352294,221.21
1765352295,224.44
1765352296,223.39
1765352298,223.11
1765352299,222.19
1765352300,222.37
1765352301,223.99
1765352302,222.19
1765352303,222.83
1765352304,223.19
1765352305,224.59
1765352306,222.97
1765352307,222.38
1765352308,222.17
1765352309,223.32
1765352310,223.69
1765352311,222.53
1765352312,222.15
1765352313,222.90
1765352314,223.63
1765352315,222.60
1765352316,222.00
1765352317,222.96
1765352318,223.99
1765352319,222.04
1765352320,222.42
1765352321,222.15
1765352322,223.12
1765352323,222.46
1765352324,222.46
1765352325,222.20
1765352326,223.60
1765352327,221.79
1765352328,222.26
1765352329,221.85
1765352330,223.11
1765352331,222.92
1765352332,222.43
1765352333,222.54
1765352334,221.42
1765352335,222.22
1765352336,222.53
1765352338,222.06
1765352339,222.69
1765352340,221.73
1765352341,223.03
1765352342,222.59
1765352343,222.58
1765352344,222.49
1765352345,222.80
1765352346,222.95
1765352347,222.98
1765352348,222.65
1765352349,222.06
1765352350,222.37
1765352351,222.65
1765352352,222.07
1765352353,221.99
1765352354,222.32
1765352355,223.32
1765352356,222.43
1765352357,222.30
1765352358,220.79
1765352359,223.96
1765352360,222.65
1765352361,222.37
1765352362,223.08
1765352363,224.46
1765352364,222.49
1765352365,221.87
1765352366,222.58
1765352367,223.21
1765352368,224.08
1765352369,223.15
1765352370,222.34
1765352371,223.29
1765352372,223.78
1765352373,222.84
1765352374,222.15
1765352375,222.60
1765352376,224.17
1765352378,223.54
1765352379,222.53
1765352380,222.54
1765352381,223.48
1765352382,223.99
1765352383,222.97
1765352384,222.74
1765352385,223.78
1765352386,224.40
1765352387,222.71
1765352388,222.42
1765352389,223.19
1765352390,224.49
1765352391,222.65
1765352392,222.66
1765352393,223.39
1765352394,221.79
1765352395,223.19
1765352396,222.84
1765352397,222.29
1765352398,221.80
1765352399,222.11
1765352400,222.10
1765352401,222.34
1765352402,221.74
