timestamp,gpu_util_percent,memory_util_percent
1765766400,3,2
1765766401,8,5
1765766402,13,7
1765766403,13,7
1765766404,14,7
1765766406,14,7
1765766407,14,7
1765766408,14,7
1765766409,27,7
1765766410,29,7
1765766411,94,66
1765766412,95,62
1765766413,96,63
1765766414,94,68
1765766415,93,67
1765766416,95,63
1765766417,100,67
1765766418,95,61
1765766419,95,67
1765766420,95,62
1765766421,96,62
1765766422,95,67
1765766423,95,62
1765766424,100,66
1765766425,95,61
1765766426,95,61
1765766427,95,67
1765766428,94,68
1765766429,95,60
1765766430,95,66
1765766431,95,62
1765766432,96,67
1765766433,95,62
1765766434,95,63
1765766435,100,67
1765766436,95,61
1765766437,95,66
1765766438,95,62
1765766439,95,67
1765766440,95,63
1765766441,93,68
1765766442,93,67
1765766444,95,62
1765766445,96,67
1765766446,95,61
1765766447,98,66
1765766448,99,64
1765766449,96,61
1765766450,95,60
1765766451,95,58
1765766452,96,66
1765766453,95,62
1765766454,95,65
1765766455,95,66
1765766456,94,67
1765766457,95,61
1765766458,95,61
1765766459,96,68
1765766460,95,62
1765766461,100,66
1765766462,95,60
1765766463,95,66
1765766464,95,63
1765766465,95,67
1765766466,95,66
1765766467,95,65
1765766468,95,62
1765766469,94,68
1765766470,94,66
1765766471,95,67
1765766472,95,61
1765766473,96,67
1765766474,95,61
1765766475,100,67
1765766476,100,66
1765766477,95,60
1765766478,95,66
1765766479,95,66
1765766480,95,62
1765766481,95,63
1765766482,95,62
1765766484,87,62
1765766485,87,62
1765766486,98,63
1765766487,94,60
1765766488,95,64
1765766489,95,64
1765766490,95,66
1765766491,95,63
1765766492,95,64
1765766493,95,67
1765766494,95,62
1765766495,96,62
1765766496,100,65
1765766497,94,61
1765766498,94,67
1765766499,95,66
1765766500,96,62
1765766501,96,61
1765766502,100,66
1765766503,97,60
1765766504,96,60
1765766505,95,59
1765766506,95,64
1765766507,95,66
1765766508,95,63
1765766509,95,61
1765766510,95,67
1765766511,94,66
1765766512,94,67
1765766513,94,68
1765766514,94,67
1765766515,93,68
1765766516,94,68
1765766517,93,67
1765766518,94,64
1765766519,95,60
1765766520,95,66
1765766521,95,61
1765766522,95,66
1765766524,96,66
1765766525,94,61
1765766526,96,61
1765766527,100,67
1765766528,100,65
1765766529,100,66
1765766530,100,65
1765766531,93,65
1765766532,94,67
1765766533,95,61
