timestamp,gpu_util_percent,memory_util_percent
1765752367,2,1
1765752368,10,5
1765752369,14,7
1765752370,14,7
1765752371,13,7
1765752372,14,7
1765752373,3,2
1765752374,13,7
1765752375,13,7
1765752376,13,7
1765752377,14,7
1765752378,14,7
1765752379,14,7
1765752380,14,7
1765752381,2,1
1765752382,14,7
1765752383,13,7
1765752384,14,7
1765752385,14,7
1765752386,14,7
1765752387,14,7
1765752388,13,7
1765752389,13,6
1765752390,12,6
1765752391,13,7
1765752392,13,7
1765752393,13,7
1765752394,0,0
1765752396,2,1
1765752397,2,1
1765752398,7,4
1765752399,7,4
1765752400,10,5
1765752401,9,5
1765752402,9,5
1765752403,6,3
1765752404,8,4
1765752406,8,4
1765752407,7,4
1765752408,7,4
1765752409,8,4
1765752410,8,4
1765752411,8,4
1765752412,7,4
1765752413,8,4
1765752414,7,4
1765752416,7,4
1765752417,7,4
1765752418,7,4
1765752419,2,1
1765752420,2,1
1765752421,5,3
1765752422,9,5
1765752423,9,4
1765752424,7,4
1765752426,7,3
1765752427,8,4
1765752428,8,4
1765752429,8,4
1765752430,4,2
1765752431,5,2
1765752432,5,2
1765752434,4,2
1765752435,4,2
1765752436,4,2
1765752437,4,2
1765752438,4,2
1765752439,7,4
1765752440,7,4
1765752442,5,3
1765752443,4,2
1765752444,5,2
1765752445,6,3
1765752446,7,4
1765752448,2,1
1765752449,0,0
1765752450,2,1
1765752451,2,1
1765752452,0,0
1765752453,5,3
1765752455,3,2
1765752456,7,4
1765752457,5,2
1765752458,3,2
1765752459,4,2
1765752460,4,2
1765752462,7,4
1765752463,5,3
1765752464,5,3
1765752465,6,3
1765752466,5,2
1765752467,7,4
1765752469,7,4
1765752470,4,2
1765752471,4,2
1765752472,7,4
1765752473,7,4
1765752475,7,4
1765752476,7,4
1765752477,6,3
1765752478,7,3
1765752479,7,4
1765752480,5,2
1765752482,2,1
1765752483,0,0
1765752484,0,0
1765752485,0,0
1765752486,0,0
1765752487,4,3
1765752488,4,2
1765752490,5,2
1765752491,4,2
1765752492,7,4
1765752493,4,2
1765752494,7,3
1765752495,5,2
1765752497,6,3
1765752498,7,4
1765752499,4,2
1765752500,3,2
1765752501,5,2
1765752503,5,3
1765752504,3,2
1765752505,3,1
1765752506,3,2
1765752508,3,2
1765752509,5,2
1765752510,3,2
1765752511,3,2
1765752513,3,1
1765752514,3,1
1765752515,3,2
1765752516,4,2
1765752518,3,2
1765752519,3,2
1765752520,3,1
1765752521,3,1
1765752523,3,2
1765752524,3,2
1765752525,4,2
1765752526,3,2
1765752528,3,2
1765752529,3,2
1765752530,2,1
1765752532,0,0
1765752533,0,0
1765752534,0,0
1765752535,0,0
1765752537,0,0
1765752538,3,2
1765752539,4,2
1765752540,4,2
1765752542,3,2
1765752543,3,2
1765752544,3,2
1765752545,3,1
1765752547,3,2
1765752548,2,1
1765752549,3,1
1765752550,3,2
1765752552,3,2
1765752553,3,2
1765752554,3,1
1765752555,2,1
1765752557,3,2
1765752558,3,1
1765752559,3,2
1765752560,3,2
