timestamp,power_draw_w
1765787150,82.33
1765787151,85.32
1765787152,76.26
1765787154,81.67
1765787155,88.94
1765787156,92.44
1765787157,92.84
1765787158,91.43
1765787159,94.55
1765787161,95.75
1765787162,92.98
1765787163,93.06
1765787164,92.69
1765787165,93.14
1765787166,93.44
1765787167,93.12
1765787168,91.03
1765787169,85.67
1765787170,92.20
1765787171,92.93
1765787172,91.67
1765787173,92.33
1765787174,93.49
1765787175,93.45
1765787176,96.30
1765787177,93.96
1765787178,93.82
1765787179,93.36
1765787180,93.55
1765787181,93.25
1765787182,86.41
1765787183,87.85
1765787184,96.23
1765787185,93.76
1765787186,93.70
1765787187,93.42
1765787188,93.56
1765787189,93.97
1765787190,93.86
1765787191,96.74
1765787192,94.05
1765787193,93.89
1765787194,93.82
1765787195,90.20
1765787196,86.54
1765787197,92.60
1765787199,94.13
1765787200,96.86
1765787201,94.37
1765787202,94.25
1765787203,93.74
1765787204,94.08
1765787205,94.13
1765787206,94.68
1765787207,94.38
1765787208,97.21
1765787209,92.99
1765787210,86.90
1765787211,89.77
1765787212,94.06
1765787213,94.46
1765787214,94.33
1765787215,97.36
1765787216,94.67
1765787217,94.67
1765787218,94.11
1765787219,94.01
1765787220,94.34
1765787221,94.43
1765787222,94.03
1765787223,92.21
1765787224,87.78
1765787225,94.42
1765787226,94.11
1765787227,94.50
1765787228,94.80
1765787229,95.08
1765787230,94.78
1765787231,97.68
1765787232,94.99
1765787233,94.81
1765787235,94.40
1765787236,94.45
1765787237,93.00
1765787238,87.22
1765787239,90.00
1765787240,96.07
1765787241,93.67
1765787242,93.54
1765787243,93.91
1765787244,94.74
1765787245,94.96
1765787246,94.68
1765787247,97.62
1765787248,95.15
1765787249,95.26
1765787250,94.75
1765787251,94.76
1765787252,87.61
1765787253,89.82
1765787254,94.81
1765787255,97.83
1765787256,95.36
1765787257,95.26
1765787258,94.96
1765787259,95.15
1765787260,94.37
1765787261,94.87
1765787262,94.98
1765787263,98.04
1765787264,95.08
1765787265,91.97
1765787266,87.72
1765787267,92.69
1765787268,95.04
1765787269,94.83
1765787270,97.87
1765787271,94.97
1765787272,94.96
1765787273,95.15
1765787275,94.47
1765787276,95.25
1765787277,95.72
1765787278,95.46
1765787279,98.31
1765787280,89.46
1765787281,89.29
1765787282,94.94
1765787283,95.26
1765787284,95.14
1765787285,95.78
1765787286,95.58
1765787287,98.27
1765787288,95.70
1765787289,95.66
1765787290,94.81
1765787291,95.67
1765787292,95.55
1765787293,92.90
1765787294,90.56
1765787295,96.42
1765787296,95.94
1765787297,95.85
1765787298,95.57
1765787299,95.86
1765787300,96.00
1765787301,95.96
1765787302,98.95
1765787303,96.26
1765787304,96.02
1765787305,95.57
1765787306,94.81
1765787307,88.12
1765787308,91.14
1765787309,95.84
1765787310,98.73
1765787311,95.94
1765787312,95.81
1765787314,95.16
1765787315,95.58
1765787316,95.70
1765787317,96.07
1765787318,95.80
1765787319,99.07
1765787320,95.93
1765787321,89.95
1765787322,88.32
1765787323,95.67
1765787324,95.92
1765787325,95.57
1765787326,98.35
1765787327,95.77
1765787328,95.60
1765787329,95.58
1765787330,95.21
1765787331,95.41
1765787332,96.14
1765787333,95.97
1765787334,97.42
1765787335,88.38
1765787336,92.71
1765787337,94.75
1765787338,94.52
1765787339,94.59
1765787340,96.12
1765787341,96.00
1765787342,98.07
1765787343,96.15
1765787344,96.09
1765787345,95.63
1765787346,96.03
1765787347,96.34
1765787348,93.48
1765787349,90.86
