timestamp,power_draw_w
1765831423,76.40
1765831425,76.08
1765831427,78.58
1765831429,85.31
1765831430,85.78
1765831431,85.93
1765831432,86.04
1765831433,86.04
1765831434,86.13
1765831435,86.29
1765831436,86.23
1765831437,86.30
1765831438,86.36
1765831439,86.36
1765831440,18.31
1765831441,6.03
1765831442,5.77
1765831443,5.49
1765831444,5.25
1765831445,5.19
1765831446,5.35
1765831447,5.18
1765831448,5.19
1765831449,5.34
1765831450,4.95
1765831451,5.11
1765831452,5.25
1765831453,5.10
1765831454,5.15
1765831455,5.28
1765831456,5.02
1765831457,5.14
1765831458,5.00
1765831459,5.16
1765831460,5.20
1765831462,5.10
1765831463,5.15
1765831464,5.32
1765831465,5.16
1765831466,22.88
1765831467,84.96
1765831468,85.04
1765831469,85.36
1765831470,96.14
1765831471,257.83
1765831472,268.28
1765831473,268.56
1765831474,270.40
1765831475,269.71
1765831476,269.98
1765831477,271.71
1765831478,269.88
1765831479,271.79
1765831480,272.26
1765831481,272.55
1765831482,274.79
1765831483,271.51
1765831484,271.70
1765831485,275.70
1765831486,273.38
1765831487,274.81
1765831488,269.98
1765831489,271.35
1765831490,271.61
1765831491,274.85
1765831492,273.05
1765831493,276.68
1765831494,272.61
1765831495,278.09
1765831496,275.04
1765831497,278.32
1765831498,277.03
1765831499,278.17
1765831501,277.18
1765831502,278.67
1765831503,278.69
1765831504,281.82
1765831505,278.42
1765831506,279.49
1765831507,280.25
1765831508,282.12
1765831509,278.90
1765831510,282.85
1765831511,281.18
1765831512,281.09
1765831513,282.67
1765831514,282.98
1765831515,283.60
1765831516,284.17
1765831517,283.60
1765831518,283.68
1765831519,285.43
1765831520,282.69
1765831521,284.93
1765831522,284.61
1765831523,282.81
1765831524,285.82
1765831525,284.53
1765831526,282.29
1765831527,281.37
1765831528,274.24
1765831529,278.57
1765831530,282.52
1765831531,280.21
1765831532,281.48
1765831533,280.50
1765831534,279.70
1765831535,282.18
1765831536,272.78
1765831537,284.00
1765831538,281.37
1765831539,277.84
1765831541,278.31
1765831542,279.89
1765831543,274.54
1765831544,275.06
1765831545,277.79
1765831546,280.85
1765831547,273.64
1765831548,272.46
1765831549,274.98
1765831550,275.39
1765831551,271.20
1765831552,274.83
1765831553,276.57
1765831554,271.67
1765831555,274.63
1765831556,272.92
1765831557,273.27
1765831558,274.03
1765831559,274.38
1765831560,274.99
1765831561,273.03
1765831562,277.99
1765831563,271.60
1765831564,273.67
1765831565,272.87
1765831566,275.42
1765831567,270.38
1765831568,271.01
1765831569,271.21
1765831570,277.43
1765831571,275.65
1765831572,272.64
1765831573,274.73
1765831574,266.45
1765831575,272.57
1765831576,268.69
1765831577,277.77
1765831578,265.72
1765831580,269.53
1765831581,267.85
1765831582,268.54
1765831583,270.77
1765831584,266.30
1765831585,272.95
1765831586,265.18
1765831587,266.01
1765831588,267.95
1765831589,273.34
1765831590,269.71
1765831591,264.51
1765831592,259.29
1765831593,246.98
1765831594,247.83
1765831595,246.92
1765831596,245.20
1765831597,245.34
1765831598,246.03
1765831599,246.19
1765831600,233.38
1765831601,229.85
1765831602,227.65
1765831603,227.26
1765831604,229.94
1765831605,229.72
1765831606,229.56
1765831607,227.93
1765831608,227.40
1765831609,229.12
1765831610,229.23
1765831611,228.62
1765831612,227.24
1765831613,227.40
1765831614,230.04
1765831615,229.21
1765831616,228.70
1765831617,227.53
1765831618,226.83
1765831620,228.34
1765831621,229.22
1765831622,227.17
1765831623,227.61
1765831624,228.98
