timestamp,gpu_util_percent,memory_util_percent
1765847798,0,0
1765847800,0,0
1765847802,0,0
1765847803,0,0
1765847804,0,0
1765847805,0,0
1765847806,0,0
1765847807,0,0
1765847808,0,0
1765847809,0,0
1765847810,0,0
1765847811,0,0
1765847812,0,0
1765847813,0,0
1765847814,0,0
1765847815,0,0
1765847816,0,0
1765847817,0,0
1765847818,0,0
1765847819,0,0
1765847820,0,0
1765847821,0,0
1765847822,0,0
1765847823,0,0
1765847824,0,0
1765847825,0,0
1765847826,0,0
1765847827,0,0
1765847829,0,0
1765847830,0,0
1765847831,0,0
1765847832,0,0
1765847833,0,0
1765847834,0,0
1765847835,0,0
1765847836,0,0
1765847837,0,0
1765847838,0,0
1765847839,5,0
1765847840,3,0
1765847841,8,0
1765847842,8,0
1765847843,37,25
1765847844,90,75
1765847845,93,77
1765847846,95,78
1765847847,91,75
1765847848,90,75
1765847849,93,77
1765847850,91,76
1765847851,90,75
1765847852,90,75
1765847853,90,75
1765847854,94,77
1765847855,95,78
1765847856,93,78
1765847857,94,77
1765847858,95,78
1765847859,91,75
1765847860,90,75
1765847861,90,75
1765847862,89,75
1765847863,91,76
1765847864,90,75
1765847865,90,75
1765847867,90,75
1765847868,93,77
1765847869,94,77
1765847870,95,77
1765847871,92,75
1765847872,91,76
1765847873,95,77
1765847874,92,76
1765847875,91,76
1765847876,90,75
1765847877,90,75
1765847878,90,75
1765847879,90,75
1765847880,89,74
1765847881,90,75
1765847882,90,75
1765847883,90,75
1765847884,93,77
1765847885,93,76
1765847886,95,77
1765847887,95,77
1765847888,92,76
1765847889,93,76
1765847890,93,76
1765847891,95,77
1765847892,94,77
1765847893,92,75
1765847894,91,75
1765847895,91,75
1765847896,95,77
1765847897,94,77
1765847898,91,75
1765847899,91,76
1765847900,90,75
1765847901,90,74
1765847902,89,74
1765847903,91,75
1765847904,91,76
1765847905,89,74
1765847907,90,75
1765847908,90,74
1765847909,90,75
1765847910,90,75
1765847911,91,75
1765847912,90,75
1765847913,89,74
1765847914,89,74
1765847915,90,75
1765847916,93,77
1765847917,93,75
1765847918,95,77
1765847919,95,77
1765847920,91,76
1765847921,93,77
1765847922,93,75
1765847923,95,77
1765847924,94,77
1765847925,91,75
1765847926,91,76
1765847927,94,77
1765847928,95,77
1765847929,93,76
1765847930,91,74
1765847931,91,76
1765847932,90,75
1765847933,90,75
1765847934,90,75
1765847935,91,75
1765847936,90,75
1765847937,89,74
1765847938,90,75
1765847939,90,75
1765847940,90,75
1765847941,90,75
1765847942,90,74
1765847943,90,74
1765847944,90,75
1765847945,90,75
1765847947,89,74
1765847948,90,74
1765847949,92,76
1765847950,93,76
1765847951,90,75
1765847952,90,75
1765847953,91,75
1765847954,93,75
1765847955,95,77
1765847956,95,77
1765847957,92,75
1765847958,91,75
1765847959,94,77
1765847960,95,77
1765847961,94,76
1765847962,92,74
1765847963,91,75
1765847964,91,76
1765847965,90,75
1765847966,89,74
1765847967,95,77
1765847968,93,76
1765847969,91,75
1765847970,91,76
1765847971,90,74
1765847972,90,74
1765847973,90,75
1765847974,92,75
1765847975,94,76
1765847976,91,74
1765847977,91,76
1765847978,91,75
1765847979,90,74
1765847980,89,74
1765847981,89,74
1765847982,92,75
1765847983,91,73
1765847984,91,75
1765847985,91,76
1765847987,91,75
1765847988,90,74
1765847989,89,74
1765847990,90,75
1765847991,93,76
1765847992,91,74
1765847993,91,73
1765847994,91,76
1765847995,91,75
1765847996,89,74
1765847997,89,74
1765847998,95,76
1765847999,93,75
1765848000,91,74
1765848001,91,74
1765848002,91,75
1765848003,91,76
1765848004,91,75
1765848005,89,74
1765848006,95,76
1765848007,95,76
1765848008,95,76
1765848009,95,76
1765848010,95,76
1765848011,94,75
1765848012,95,76
1765848013,93,73
1765848014,91,74
1765848015,92,72
1765848016,95,74
1765848017,94,74
1765848018,93,75
1765848019,90,73
1765848020,90,73
1765848021,95,75
1765848022,93,74
1765848023,90,73
1765848024,89,72
1765848025,89,72
1765848027,91,72
1765848028,94,74
1765848029,95,74
1765848030,90,72
1765848031,91,73
1765848032,94,74
1765848033,95,75
1765848034,94,74
1765848035,91,73
1765848036,90,73
1765848037,89,72
1765848038,94,73
1765848039,92,74
1765848040,84,68
1765848041,90,73
1765848042,91,72
1765848043,95,74
1765848044,95,75
1765848045,90,72
1765848046,91,73
1765848047,92,73
1765848048,95,75
1765848049,93,73
1765848050,92,74
1765848051,89,73
1765848052,90,73
1765848053,94,74
1765848054,93,75
1765848055,90,73
1765848056,90,73
1765848057,90,72
1765848058,91,73
1765848059,93,73
1765848060,95,75
1765848061,89,72
1765848062,90,73
1765848063,91,72
1765848064,95,75
1765848066,95,75
1765848067,93,75
1765848068,90,73
1765848069,95,74
1765848070,95,75
1765848071,93,74
1765848072,92,74
1765848073,87,71
1765848074,89,72
1765848075,91,73
1765848076,91,72
1765848077,90,73
1765848078,90,73
1765848079,90,72
1765848080,91,73
1765848081,93,74
1765848082,95,74
1765848083,93,74
1765848084,92,74
1765848085,91,72
1765848086,95,75
1765848087,95,75
1765848088,94,74
1765848089,91,73
1765848090,90,73
1765848091,89,72
1765848092,94,74
1765848093,93,75
1765848094,90,73
1765848095,90,73
1765848096,90,72
1765848097,91,72
1765848098,95,74
1765848099,95,75
1765848100,90,73
1765848101,90,73
1765848102,91,72
1765848103,95,75
1765848105,95,75
1765848106,90,72
1765848107,90,73
1765848108,95,75
1765848109,95,75
1765848110,93,74
1765848111,92,74
1765848112,90,73
1765848113,90,73
1765848114,90,72
1765848115,93,74
1765848116,90,73
1765848117,89,73
1765848118,90,73
1765848119,91,74
1765848120,92,72
1765848121,95,75
1765848122,94,74
1765848123,90,72
1765848124,91,72
1765848125,95,74
1765848126,94,74
1765848127,93,74
1765848128,90,73
1765848129,89,72
1765848130,90,72
1765848131,93,74
1765848132,91,73
1765848133,85,69
1765848134,100,75
1765848135,100,74
1765848136,100,73
1765848137,100,74
1765848138,100,73
1765848139,100,74
1765848140,100,75
1765848141,100,75
1765848142,100,73
1765848143,100,74
1765848145,8,0
1765848146,0,0
1765848147,7,0
1765848148,6,0
1765848149,0,0
1765848150,0,0
1765848151,0,0
1765848152,0,0
1765848153,89,74
1765848154,90,75
1765848155,90,75
1765848156,90,75
1765848157,90,75
1765848158,91,75
1765848159,93,77
1765848160,93,76
1765848161,95,77
1765848162,91,75
1765848163,93,77
1765848164,93,76
1765848165,95,77
1765848166,95,77
1765848167,93,76
1765848168,91,75
1765848169,93,76
1765848170,95,77
1765848171,95,77
1765848172,94,77
1765848173,91,74
1765848174,91,75
1765848175,91,76
1765848176,90,75
1765848177,95,77
1765848178,93,76
1765848179,91,74
1765848180,91,76
1765848181,91,76
1765848182,89,74
1765848184,89,74
1765848185,90,75
1765848186,92,75
1765848187,91,74
1765848188,91,76
1765848189,91,75
1765848190,89,74
1765848191,89,74
1765848192,89,74
1765848193,92,75
1765848194,91,74
1765848195,91,74
1765848196,91,76
