timestamp,power_draw_w
1765915195,5.19
1765915196,5.33
1765915197,5.14
1765915198,5.18
1765915199,5.34
1765915200,5.34
1765915201,5.31
1765915202,5.14
1765915203,5.15
1765915204,5.28
1765915205,5.06
1765915206,5.09
1765915207,5.14
1765915208,4.98
1765915209,4.84
1765915210,4.86
1765915211,5.05
1765915212,4.95
1765915213,5.00
1765915214,5.13
1765915215,4.94
1765915216,4.95
1765915218,5.19
1765915219,5.00
1765915220,4.96
1765915221,5.15
1765915222,5.01
1765915223,5.02
1765915224,5.10
1765915225,4.95
1765915226,5.23
1765915227,5.74
1765915228,5.56
1765915229,5.30
1765915230,5.15
1765915231,5.13
1765915232,5.28
1765915233,5.13
1765915234,5.32
1765915235,5.14
1765915236,5.14
1765915237,5.32
1765915238,5.20
1765915239,5.21
1765915240,5.36
1765915241,5.23
1765915242,5.26
1765915243,64.42
1765915244,84.80
1765915245,84.92
1765915246,85.14
1765915247,142.63
1765915248,259.10
1765915250,262.70
1765915251,258.61
1765915252,259.19
1765915253,250.91
1765915254,251.16
1765915255,256.09
1765915256,259.87
1765915257,260.82
1765915258,263.70
1765915259,267.21
1765915260,263.94
1765915261,266.24
1765915262,270.74
1765915263,268.19
1765915264,276.19
1765915265,268.59
1765915266,267.75
1765915267,268.05
1765915268,272.71
1765915269,270.85
1765915270,271.50
1765915271,270.73
1765915272,269.46
1765915273,258.56
1765915274,264.77
1765915275,261.93
1765915276,272.29
1765915277,269.35
1765915278,268.21
1765915279,263.95
1765915280,270.97
1765915281,272.30
1765915282,268.86
1765915283,269.23
1765915284,270.80
1765915285,269.41
1765915287,274.99
1765915288,271.95
1765915289,270.85
1765915290,273.88
1765915291,275.44
1765915292,273.58
1765915293,274.30
1765915294,279.44
1765915295,276.60
1765915296,275.76
1765915297,278.76
1765915298,270.48
1765915299,277.46
1765915300,277.31
1765915301,272.31
1765915302,278.57
1765915303,269.27
1765915304,259.19
1765915305,276.29
1765915306,274.87
1765915307,272.10
1765915308,265.29
1765915309,278.28
1765915310,279.29
1765915311,272.37
1765915312,273.71
1765915313,268.47
1765915314,276.54
1765915315,268.03
1765915316,273.74
1765915317,268.51
1765915318,272.20
1765915319,266.16
1765915320,274.19
1765915322,268.60
1765915323,273.50
1765915324,278.71
1765915325,271.40
1765915326,274.58
1765915327,267.38
1765915328,274.86
1765915329,272.99
1765915330,267.60
1765915331,268.22
1765915332,276.76
1765915333,277.98
1765915334,261.32
1765915335,269.95
1765915336,266.21
1765915337,260.75
1765915338,260.84
1765915339,260.98
1765915340,265.46
1765915341,261.06
1765915342,266.05
1765915343,268.49
1765915344,270.21
1765915345,263.83
1765915346,269.23
1765915347,272.18
1765915348,270.67
1765915349,273.58
1765915350,270.89
1765915351,262.55
1765915352,268.07
1765915353,271.56
1765915354,270.44
1765915356,265.45
1765915357,266.03
1765915358,261.23
1765915359,263.59
1765915360,267.26
1765915361,262.49
1765915362,267.96
1765915363,266.77
1765915364,268.12
1765915365,256.25
1765915366,259.14
1765915367,263.23
1765915368,266.78
1765915369,265.02
1765915370,260.90
1765915371,263.18
1765915372,267.38
1765915373,257.63
1765915374,252.10
1765915375,265.92
1765915376,260.77
1765915377,258.44
1765915378,264.13
1765915379,259.20
1765915380,259.06
1765915381,248.76
1765915382,255.17
1765915383,263.37
1765915384,261.57
1765915385,256.59
1765915386,265.65
1765915387,256.09
1765915388,253.47
1765915389,259.35
1765915390,264.45
1765915392,263.73
1765915393,263.27
1765915394,255.56
1765915395,260.50
1765915396,257.57
1765915397,269.95
1765915398,258.20
1765915399,260.58
1765915400,262.57
1765915401,253.15
1765915402,205.35
1765915403,205.64
1765915404,204.96
1765915405,206.43
1765915406,204.24
1765915407,204.72
1765915408,204.73
1765915409,206.03
1765915410,204.81
1765915411,204.89
1765915412,205.30
1765915413,206.07
1765915414,204.88
1765915415,204.55
1765915416,205.43
1765915417,204.98
1765915418,204.74
1765915419,205.48
1765915420,202.85
1765915421,203.36
1765915422,203.98
1765915423,206.20
1765915424,204.30
1765915425,204.22
1765915427,205.26
1765915428,204.63
1765915429,203.67
1765915430,203.88
1765915431,202.46
1765915432,203.95
1765915433,204.91
1765915434,204.98
1765915435,204.92
1765915436,205.02
1765915437,204.64
1765915438,204.30
1765915439,205.07
1765915440,205.02
1765915441,204.61
1765915442,203.57
1765915443,204.55
1765915444,203.23
1765915445,204.30
1765915446,204.63
1765915447,204.66
1765915448,205.09
1765915449,204.69
1765915450,200.59
1765915451,204.10
1765915452,204.49
1765915453,202.79
1765915454,202.56
1765915455,202.71
1765915456,203.35
1765915457,203.96
1765915458,205.37
1765915459,205.62
1765915461,203.66
1765915462,204.11
1765915463,205.77
1765915464,204.40
1765915465,204.60
1765915466,205.70
1765915467,204.12
1765915468,204.79
1765915469,206.07
1765915470,202.90
1765915471,202.61
1765915472,200.47
1765915473,203.71
1765915474,203.99
1765915475,202.54
1765915476,205.37
1765915477,204.27
1765915478,204.86
1765915479,203.78
1765915480,204.35
1765915481,205.07
1765915482,204.22
1765915483,204.18
1765915484,204.83
1765915485,203.74
1765915486,203.67
1765915487,203.52
1765915488,205.46
1765915489,204.73
1765915490,204.86
1765915491,205.97
1765915492,206.14
1765915493,205.94
1765915494,207.03
1765915495,204.62
1765915497,206.75
1765915498,204.59
1765915499,204.89
1765915500,204.43
1765915501,205.02
1765915502,205.07
1765915503,203.64
1765915504,202.85
1765915505,204.56
1765915506,204.65
1765915507,204.31
1765915508,205.38
1765915509,204.43
1765915510,204.54
1765915511,202.48
1765915512,204.08
1765915513,204.09
1765915514,202.17
1765915515,208.02
1765915516,205.31
1765915517,207.80
1765915518,209.28
1765915519,210.42
1765915520,209.43
1765915521,209.35
1765915522,210.61
1765915523,207.68
1765915524,208.59
1765915525,208.11
1765915526,210.51
1765915527,208.49
1765915528,208.36
1765915529,209.83
1765915530,208.04
1765915532,209.13
1765915533,208.43
1765915534,209.51
1765915535,205.87
1765915536,210.66
1765915537,207.46
1765915538,209.00
1765915539,213.16
1765915540,217.06
1765915541,223.51
1765915542,224.87
1765915543,232.63
1765915544,228.15
1765915545,227.57
1765915546,230.07
1765915547,225.23
1765915548,230.44
1765915549,233.35
1765915550,228.32
1765915551,230.51
1765915552,227.20
1765915553,227.99
1765915554,227.68
1765915555,225.73
1765915556,225.72
1765915557,226.41
1765915558,225.03
1765915559,223.76
1765915560,242.44
1765915561,242.66
1765915562,242.58
1765915563,242.41
1765915564,242.67
1765915566,242.57
1765915567,241.76
1765915568,241.61
1765915569,241.85
1765915570,242.08
1765915571,173.65
1765915572,129.65
1765915573,105.90
1765915574,101.92
1765915575,99.57
1765915576,98.99
1765915577,98.95
1765915578,98.61
1765915579,98.11
1765915580,166.98
1765915581,270.33
1765915582,274.70
1765915583,270.95
1765915584,266.29
1765915585,274.11
1765915586,276.60
1765915587,273.20
1765915588,276.33
1765915589,276.92
1765915590,268.57
1765915591,274.31
1765915592,276.17
1765915593,275.97
1765915594,275.21
1765915595,276.67
1765915596,265.96
1765915597,273.25
1765915598,271.46
1765915599,265.33
1765915600,258.99
1765915602,265.54
1765915603,266.05
1765915604,267.06
1765915605,267.25
1765915606,274.67
1765915607,272.99
1765915608,262.89
1765915609,267.29
1765915610,261.75
1765915611,267.11
1765915612,266.88
1765915613,264.05
1765915614,259.83
1765915615,255.00
1765915616,263.52
1765915617,263.95
1765915618,260.30
1765915619,256.85
1765915620,258.52
1765915621,258.69
1765915622,263.37
1765915623,263.09
1765915624,261.30
1765915625,258.01
1765915626,261.01
1765915627,245.01
1765915628,253.33
1765915629,250.84
1765915630,250.08
1765915631,248.53
1765915632,248.89
1765915633,254.57
1765915634,265.23
1765915635,253.48
1765915637,250.93
1765915638,256.71
1765915639,257.82
1765915640,253.12
1765915641,247.23
1765915642,250.26
1765915643,250.80
1765915644,261.47
1765915645,249.90
1765915646,262.15
1765915647,257.84
1765915648,260.51
1765915649,257.70
1765915650,262.21
1765915651,255.08
1765915652,266.15
1765915653,231.56
1765915654,208.56
1765915655,192.43
1765915656,192.23
1765915657,192.35
1765915658,192.68
1765915659,191.51
1765915660,191.85
1765915661,191.47
1765915662,192.03
1765915663,192.14
1765915664,191.32
1765915665,191.71
1765915666,188.82
1765915667,191.63
1765915668,192.23
1765915669,191.99
1765915670,192.13
1765915672,191.49
1765915673,191.80
1765915674,192.15
1765915675,192.52
1765915676,192.17
1765915677,191.91
1765915678,192.71
1765915679,192.19
1765915680,191.46
1765915681,192.40
1765915682,191.52
1765915683,192.08
1765915684,191.40
1765915685,190.33
1765915686,189.49
1765915687,189.35
1765915688,188.01
1765915689,189.97
1765915690,192.00
1765915691,191.88
1765915692,192.26
1765915693,192.29
1765915694,191.40
1765915695,191.70
1765915696,191.62
1765915697,191.07
1765915698,191.32
1765915699,191.61
1765915700,191.90
1765915701,191.70
1765915702,190.95
1765915703,193.64
1765915704,191.59
1765915705,192.17
1765915707,190.92
1765915708,190.87
1765915709,191.16
1765915710,190.48
1765915711,186.85
1765915712,189.98
1765915713,184.87
1765915714,187.73
1765915715,189.61
1765915716,189.72
1765915717,190.70
1765915718,191.16
1765915719,191.82
1765915720,191.12
1765915721,191.34
1765915722,190.99
1765915723,191.15
1765915724,191.35
1765915725,191.14
1765915726,193.05
1765915727,192.03
1765915728,190.21
1765915729,191.06
1765915730,191.47
1765915731,191.40
1765915732,191.37
1765915733,191.53
1765915734,191.13
1765915735,191.31
1765915736,191.42
1765915737,191.25
1765915738,190.44
1765915739,191.12
1765915740,191.10
1765915742,191.11
1765915743,190.66
1765915744,190.06
1765915745,191.77
1765915746,196.21
1765915747,195.77
1765915748,195.90
1765915749,196.57
1765915750,196.25
1765915751,196.22
1765915752,196.09
1765915753,190.91
1765915754,200.31
1765915755,200.07
1765915756,200.29
1765915757,200.76
1765915758,201.42
1765915759,200.48
1765915760,200.75
1765915761,200.20
1765915762,202.02
1765915763,200.46
1765915764,200.70
1765915765,199.94
1765915766,201.16
1765915767,201.15
1765915768,199.74
1765915769,201.31
1765915770,203.31
1765915771,203.14
1765915772,207.97
1765915773,205.34
1765915775,204.41
1765915776,204.37
1765915777,202.46
1765915778,204.37
1765915779,202.88
1765915780,205.58
1765915781,205.17
1765915782,207.31
1765915783,206.66
1765915784,205.47
1765915785,205.70
1765915786,205.65
1765915787,205.17
1765915788,206.29
1765915789,206.88
1765915790,206.51
1765915791,206.40
1765915792,205.32
1765915793,205.86
1765915794,205.81
1765915795,206.35
1765915796,205.74
1765915797,205.21
1765915798,205.10
1765915799,204.15
1765915800,212.65
1765915801,215.04
1765915802,214.24
1765915803,213.12
1765915804,214.00
1765915805,213.02
1765915806,213.39
1765915807,213.99
1765915808,213.55
1765915810,212.87
1765915811,212.38
1765915812,212.77
1765915813,214.30
1765915814,214.26
1765915815,215.02
1765915816,213.40
1765915817,214.52
1765915818,216.77
1765915819,214.44
1765915820,215.26
1765915821,216.73
1765915822,215.49
1765915823,214.70
1765915824,215.99
1765915825,215.30
1765915826,214.70
1765915827,215.18
1765915828,214.93
1765915829,214.78
1765915830,214.04
1765915831,214.55
1765915832,216.25
1765915833,214.51
1765915834,215.96
1765915835,215.24
1765915836,213.21
1765915837,215.00
1765915838,215.27
1765915839,213.66
1765915840,215.63
1765915841,214.59
1765915842,214.62
1765915843,214.37
1765915844,214.01
1765915846,215.59
1765915847,214.29
1765915848,217.41
1765915849,214.10
1765915850,213.19
1765915851,214.67
1765915852,213.30
1765915853,211.72
1765915854,215.20
1765915855,214.24
1765915856,212.63
1765915857,214.51
1765915858,213.98
1765915859,216.83
1765915860,215.95
1765915861,213.27
1765915862,216.21
1765915863,214.93
1765915864,214.70
1765915865,213.04
1765915866,214.04
1765915867,211.71
1765915868,212.57
1765915869,214.24
1765915870,215.65
1765915871,212.75
1765915872,214.02
1765915873,213.79
1765915874,214.71
1765915875,215.30
1765915876,215.88
1765915877,215.76
1765915878,213.50
1765915879,213.27
1765915880,216.14
1765915882,215.03
1765915883,212.03
1765915884,213.34
1765915885,213.66
1765915886,214.12
1765915887,211.42
1765915888,214.55
1765915889,213.82
1765915890,214.64
1765915891,217.38
1765915892,215.72
1765915893,216.63
1765915894,215.17
1765915895,213.74
1765915896,222.21
1765915897,222.81
1765915898,223.05
1765915899,222.81
1765915900,223.26
1765915901,223.22
1765915902,222.56
1765915903,222.34
1765915904,222.48
1765915905,222.40
1765915906,204.57
1765915907,127.78
1765915908,127.25
1765915909,105.93
1765915910,100.19
1765915911,100.01
1765915912,99.49
1765915913,99.07
1765915914,117.62
1765915915,273.21
1765915917,274.35
1765915918,275.55
1765915919,272.67
1765915920,277.04
1765915921,273.89
1765915922,272.98
1765915923,276.85
1765915924,274.97
1765915925,274.67
1765915926,278.63
1765915927,276.00
1765915928,278.14
1765915929,277.43
1765915930,273.81
1765915931,274.21
1765915932,272.84
1765915933,268.89
1765915934,263.26
1765915935,267.92
1765915936,264.64
1765915937,271.49
1765915938,270.19
1765915939,273.49
1765915940,260.99
1765915941,272.44
1765915942,266.93
1765915943,265.20
1765915944,265.89
1765915945,266.21
1765915946,260.93
1765915947,266.93
1765915948,263.13
1765915949,265.47
1765915950,254.38
1765915951,262.85
1765915953,262.58
1765915954,254.77
1765915955,263.92
1765915956,252.41
1765915957,253.71
1765915958,252.06
1765915959,262.90
1765915960,259.45
1765915961,261.94
1765915962,261.62
1765915963,264.59
1765915964,260.59
1765915965,248.37
1765915966,224.94
1765915967,220.42
1765915968,220.76
1765915969,223.88
1765915970,223.39
1765915971,222.04
1765915972,225.77
1765915973,224.49
1765915974,227.93
1765915975,226.20
1765915976,226.31
1765915977,226.66
1765915978,225.41
1765915979,223.66
1765915980,221.01
1765915981,226.77
1765915982,223.39
1765915983,226.11
1765915984,229.79
1765915985,226.68
1765915986,226.92
1765915988,223.73
1765915989,226.92
1765915990,225.25
1765915991,226.90
1765915992,225.47
1765915993,224.96
1765915994,225.10
1765915995,226.48
1765915996,223.85
1765915997,222.94
1765915998,223.43
1765915999,222.24
1765916000,223.77
1765916001,220.17
1765916002,223.73
1765916003,223.86
1765916004,226.68
1765916005,225.37
1765916006,226.88
1765916007,226.02
1765916008,228.40
1765916009,225.90
1765916010,221.17
1765916011,220.34
1765916012,220.41
1765916013,223.67
1765916014,222.23
1765916015,222.79
1765916016,220.77
1765916017,222.89
1765916018,225.52
1765916019,226.13
1765916020,225.16
1765916021,225.84
1765916023,216.72
1765916024,223.63
1765916025,222.73
1765916026,221.17
1765916027,225.32
1765916028,225.77
1765916029,227.31
1765916030,226.51
1765916031,225.77
1765916032,227.76
1765916033,229.07
1765916034,220.63
1765916035,224.64
1765916036,222.96
1765916037,222.65
1765916038,223.74
1765916039,223.37
1765916040,225.51
1765916041,225.80
1765916042,227.36
1765916043,225.09
1765916044,221.78
1765916045,222.71
1765916046,224.94
1765916047,224.60
1765916048,225.13
1765916049,226.17
1765916050,225.11
1765916051,226.77
1765916052,220.85
1765916053,225.83
1765916054,226.70
1765916055,226.86
1765916056,227.94
1765916058,225.27
1765916059,226.05
1765916060,225.65
1765916061,225.75
1765916062,229.04
1765916063,225.70
1765916064,228.31
1765916065,225.88
1765916066,224.99
1765916067,223.10
1765916068,224.76
1765916069,224.88
1765916070,226.20
1765916071,225.59
1765916072,228.06
1765916073,225.01
1765916074,228.03
1765916075,223.20
1765916076,220.88
1765916077,224.62
1765916078,225.95
