timestamp,gpu_temp_c,memory_temp_c
1766009413,63,N/A
1766009415,63,N/A
1766009417,64,N/A
1766009418,64,N/A
1766009419,64,N/A
1766009420,64,N/A
1766009421,64,N/A
1766009422,64,N/A
1766009423,64,N/A
1766009424,65,N/A
1766009425,65,N/A
1766009426,65,N/A
1766009427,63,N/A
1766009428,62,N/A
1766009429,62,N/A
1766009430,62,N/A
1766009431,62,N/A
1766009432,62,N/A
1766009433,61,N/A
1766009434,61,N/A
1766009435,61,N/A
1766009436,61,N/A
1766009437,61,N/A
1766009438,61,N/A
1766009439,61,N/A
1766009440,61,N/A
1766009441,61,N/A
1766009442,60,N/A
1766009443,60,N/A
1766009444,60,N/A
1766009445,60,N/A
1766009446,60,N/A
1766009447,60,N/A
1766009448,60,N/A
1766009450,60,N/A
1766009451,60,N/A
1766009452,60,N/A
1766009453,60,N/A
1766009454,61,N/A
1766009455,62,N/A
1766009456,62,N/A
1766009457,62,N/A
1766009458,67,N/A
1766009459,70,N/A
1766009460,70,N/A
1766009461,72,N/A
1766009462,72,N/A
1766009463,72,N/A
1766009464,73,N/A
1766009465,73,N/A
1766009466,73,N/A
1766009467,75,N/A
1766009468,75,N/A
1766009469,75,N/A
1766009470,75,N/A
1766009471,76,N/A
1766009472,76,N/A
1766009473,77,N/A
1766009474,77,N/A
1766009475,77,N/A
1766009476,78,N/A
1766009477,78,N/A
1766009478,78,N/A
1766009479,78,N/A
1766009480,79,N/A
1766009481,79,N/A
1766009482,79,N/A
1766009483,80,N/A
1766009484,80,N/A
1766009485,80,N/A
1766009486,80,N/A
1766009488,80,N/A
1766009489,80,N/A
1766009490,81,N/A
1766009491,81,N/A
1766009492,81,N/A
1766009493,81,N/A
1766009494,82,N/A
1766009495,81,N/A
1766009496,81,N/A
1766009497,82,N/A
1766009498,81,N/A
1766009499,81,N/A
1766009500,82,N/A
1766009501,82,N/A
1766009502,81,N/A
1766009503,82,N/A
1766009504,82,N/A
1766009505,82,N/A
1766009506,82,N/A
1766009507,82,N/A
1766009508,82,N/A
1766009509,82,N/A
1766009510,82,N/A
1766009511,82,N/A
1766009512,82,N/A
1766009513,82,N/A
1766009514,82,N/A
1766009515,82,N/A
1766009516,82,N/A
1766009517,82,N/A
1766009518,82,N/A
1766009519,82,N/A
1766009520,82,N/A
1766009521,83,N/A
1766009522,82,N/A
1766009523,82,N/A
1766009524,82,N/A
1766009525,83,N/A
1766009526,82,N/A
1766009528,83,N/A
1766009529,82,N/A
1766009530,82,N/A
1766009531,82,N/A
1766009532,82,N/A
1766009533,81,N/A
1766009534,82,N/A
1766009535,82,N/A
1766009536,82,N/A
1766009537,82,N/A
1766009538,82,N/A
1766009539,82,N/A
1766009540,83,N/A
1766009541,82,N/A
1766009542,81,N/A
1766009543,83,N/A
1766009544,83,N/A
1766009545,82,N/A
1766009546,82,N/A
1766009547,83,N/A
1766009548,83,N/A
1766009549,83,N/A
1766009550,82,N/A
1766009551,83,N/A
1766009552,83,N/A
1766009553,82,N/A
1766009554,82,N/A
1766009555,83,N/A
1766009556,83,N/A
1766009557,83,N/A
1766009558,83,N/A
1766009559,83,N/A
1766009560,82,N/A
1766009561,83,N/A
1766009562,83,N/A
1766009563,82,N/A
1766009564,83,N/A
1766009566,82,N/A
1766009567,83,N/A
1766009568,83,N/A
1766009569,82,N/A
1766009570,83,N/A
1766009571,82,N/A
1766009572,83,N/A
1766009573,83,N/A
1766009574,83,N/A
1766009575,83,N/A
1766009576,82,N/A
1766009577,83,N/A
1766009578,83,N/A
1766009579,82,N/A
1766009580,83,N/A
1766009581,82,N/A
1766009582,82,N/A
1766009583,82,N/A
1766009584,80,N/A
1766009585,80,N/A
1766009586,80,N/A
1766009587,80,N/A
1766009588,80,N/A
1766009589,80,N/A
1766009590,80,N/A
1766009591,80,N/A
1766009592,80,N/A
1766009593,79,N/A
1766009594,79,N/A
1766009595,79,N/A
1766009596,79,N/A
1766009597,79,N/A
1766009598,79,N/A
1766009599,79,N/A
1766009600,79,N/A
1766009601,79,N/A
1766009602,79,N/A
1766009603,79,N/A
1766009605,79,N/A
1766009606,79,N/A
1766009607,78,N/A
1766009608,78,N/A
1766009609,78,N/A
1766009610,78,N/A
1766009611,78,N/A
1766009612,78,N/A
1766009613,78,N/A
1766009614,78,N/A
1766009615,78,N/A
1766009616,78,N/A
1766009617,78,N/A
1766009618,78,N/A
1766009619,78,N/A
1766009620,78,N/A
1766009621,78,N/A
1766009622,78,N/A
1766009623,78,N/A
1766009624,78,N/A
1766009625,78,N/A
1766009626,78,N/A
1766009627,78,N/A
1766009628,78,N/A
1766009629,78,N/A
1766009630,78,N/A
1766009631,78,N/A
1766009632,78,N/A
1766009633,78,N/A
1766009634,78,N/A
1766009635,78,N/A
1766009636,78,N/A
1766009637,78,N/A
1766009638,78,N/A
1766009639,78,N/A
1766009640,78,N/A
1766009641,78,N/A
1766009642,78,N/A
1766009644,78,N/A
1766009645,78,N/A
1766009646,78,N/A
1766009647,78,N/A
1766009648,78,N/A
1766009649,78,N/A
1766009650,78,N/A
1766009651,78,N/A
1766009652,78,N/A
1766009653,77,N/A
1766009654,77,N/A
1766009655,78,N/A
1766009656,78,N/A
1766009657,78,N/A
1766009658,78,N/A
1766009659,78,N/A
1766009660,78,N/A
1766009661,77,N/A
1766009662,77,N/A
1766009663,78,N/A
1766009664,78,N/A
1766009665,78,N/A
1766009666,77,N/A
1766009667,77,N/A
1766009668,78,N/A
1766009669,77,N/A
1766009670,77,N/A
1766009671,77,N/A
1766009672,77,N/A
1766009673,77,N/A
1766009674,77,N/A
1766009675,77,N/A
1766009676,77,N/A
1766009677,77,N/A
1766009678,77,N/A
1766009679,77,N/A
1766009680,77,N/A
1766009681,77,N/A
1766009683,77,N/A
1766009684,77,N/A
1766009685,77,N/A
1766009686,77,N/A
1766009687,77,N/A
1766009688,77,N/A
1766009689,77,N/A
1766009690,77,N/A
1766009691,77,N/A
1766009692,77,N/A
1766009693,77,N/A
1766009694,77,N/A
1766009695,77,N/A
1766009696,77,N/A
1766009697,77,N/A
1766009698,77,N/A
1766009699,77,N/A
1766009700,77,N/A
1766009701,77,N/A
1766009702,77,N/A
1766009703,77,N/A
1766009704,77,N/A
1766009705,77,N/A
1766009706,77,N/A
1766009707,77,N/A
1766009708,77,N/A
1766009709,77,N/A
1766009710,77,N/A
1766009711,77,N/A
1766009712,77,N/A
1766009713,77,N/A
1766009714,77,N/A
1766009715,77,N/A
1766009716,77,N/A
1766009717,77,N/A
1766009718,77,N/A
1766009719,77,N/A
1766009720,77,N/A
1766009721,77,N/A
1766009723,77,N/A
1766009724,77,N/A
1766009725,77,N/A
1766009726,77,N/A
1766009727,77,N/A
1766009728,77,N/A
1766009729,77,N/A
1766009730,77,N/A
1766009731,77,N/A
1766009732,77,N/A
1766009733,77,N/A
1766009734,77,N/A
1766009735,77,N/A
1766009736,77,N/A
1766009737,77,N/A
1766009738,77,N/A
1766009739,77,N/A
1766009740,77,N/A
1766009741,77,N/A
1766009742,77,N/A
1766009743,77,N/A
1766009744,77,N/A
1766009745,77,N/A
1766009746,77,N/A
1766009747,77,N/A
1766009748,77,N/A
1766009749,77,N/A
1766009750,77,N/A
1766009751,77,N/A
1766009752,77,N/A
1766009753,77,N/A
1766009754,77,N/A
1766009755,77,N/A
1766009756,77,N/A
1766009757,77,N/A
1766009758,78,N/A
1766009759,77,N/A
1766009760,77,N/A
1766009761,78,N/A
1766009763,75,N/A
1766009764,75,N/A
1766009765,73,N/A
1766009766,73,N/A
1766009767,73,N/A
1766009768,72,N/A
1766009769,72,N/A
1766009770,72,N/A
1766009771,78,N/A
1766009772,78,N/A
1766009773,79,N/A
1766009774,79,N/A
1766009775,80,N/A
1766009776,80,N/A
1766009777,80,N/A
1766009778,80,N/A
1766009779,80,N/A
1766009780,80,N/A
1766009781,81,N/A
1766009782,81,N/A
1766009783,81,N/A
1766009784,81,N/A
1766009785,82,N/A
1766009786,82,N/A
1766009787,82,N/A
1766009788,82,N/A
1766009789,82,N/A
1766009790,82,N/A
1766009791,82,N/A
1766009792,83,N/A
1766009793,82,N/A
1766009794,82,N/A
1766009795,83,N/A
1766009796,82,N/A
1766009797,82,N/A
1766009798,82,N/A
1766009799,82,N/A
1766009800,83,N/A
1766009802,83,N/A
1766009803,82,N/A
1766009804,82,N/A
1766009805,83,N/A
1766009806,83,N/A
1766009807,83,N/A
1766009808,83,N/A
1766009809,82,N/A
1766009810,82,N/A
1766009811,83,N/A
1766009812,83,N/A
1766009813,83,N/A
1766009814,83,N/A
1766009815,82,N/A
1766009816,82,N/A
1766009817,83,N/A
1766009818,83,N/A
1766009819,83,N/A
1766009820,83,N/A
1766009821,83,N/A
1766009822,83,N/A
1766009823,82,N/A
1766009824,83,N/A
1766009825,83,N/A
1766009826,82,N/A
1766009827,82,N/A
1766009828,81,N/A
1766009829,81,N/A
1766009830,81,N/A
1766009831,80,N/A
1766009832,80,N/A
1766009833,80,N/A
1766009834,79,N/A
1766009835,80,N/A
1766009836,80,N/A
1766009837,80,N/A
1766009838,79,N/A
1766009839,79,N/A
1766009841,79,N/A
1766009842,79,N/A
1766009843,79,N/A
1766009844,79,N/A
1766009845,79,N/A
1766009846,79,N/A
1766009847,78,N/A
