timestamp,gpu_util_percent,memory_util_percent
1766060354,0,0
1766060356,0,0
1766060358,0,0
1766060360,0,0
1766060362,0,0
1766060364,0,0
1766060366,0,0
1766060368,0,0
1766060370,0,0
1766060371,0,0
1766060373,0,0
1766060375,0,0
1766060377,0,0
1766060379,0,0
1766060381,0,0
1766060383,0,0
1766060385,0,0
1766060387,0,0
1766060389,0,0
1766060392,0,0
1766060394,0,0
1766060396,0,0
1766060398,0,0
1766060400,0,0
1766060402,0,0
1766060404,0,0
1766060406,0,0
1766060408,0,0
1766060410,0,0
1766060412,0,0
1766060414,0,0
1766060417,0,0
1766060419,0,0
1766060422,0,0
1766060424,0,0
1766060426,0,0
1766060428,0,0
1766060430,0,0
1766060433,0,0
1766060435,0,0
1766060437,0,0
1766060440,0,0
1766060442,0,0
1766060444,0,0
1766060446,0,0
1766060448,0,0
1766060450,0,0
1766060453,0,0
1766060455,2,0
1766060457,0,0
1766060460,0,0
1766060462,2,0
1766060464,0,0
1766060467,2,0
1766060469,0,0
1766060472,0,0
1766060474,0,0
1766060476,0,0
1766060478,0,0
1766060480,0,0
1766060483,1,0
1766060487,0,0
1766060489,0,0
1766060492,2,0
1766060495,3,0
1766060497,0,0
1766060500,2,0
1766060502,0,0
1766060505,0,0
1766060508,0,0
1766060510,0,0
1766060513,0,0
1766060515,0,0
1766060517,0,0
1766060519,0,0
1766060521,0,0
1766060523,2,0
1766060527,2,0
1766060529,0,0
1766060532,0,0
1766060534,3,0
1766060536,0,0
1766060539,0,0
1766060541,0,0
1766060543,2,0
1766060545,0,0
1766060547,0,0
1766060550,0,0
1766060552,0,0
1766060554,0,0
1766060556,0,0
1766060560,0,0
1766060562,0,0
1766060565,2,0
1766060567,0,0
1766060570,0,0
1766060572,0,0
1766060574,0,0
1766060577,2,0
1766060579,0,0
1766060581,0,0
1766060584,0,0
1766060586,0,0
1766060588,2,0
1766060591,0,0
1766060593,0,0
1766060595,1,0
1766060598,0,0
1766060600,0,0
1766060603,0,0
1766060605,2,0
1766060608,0,0
1766060610,0,0
1766060613,0,0
1766060615,0,0
1766060617,0,0
1766060620,0,0
1766060622,0,0
1766060625,0,0
1766060627,0,0
1766060629,0,0
1766060632,0,0
1766060634,0,0
1766060636,0,0
1766060638,0,0
1766060641,0,0
1766060643,0,0
1766060645,0,0
1766060647,2,0
1766060650,0,0
1766060653,2,0
1766060655,0,0
1766060658,0,0
1766060660,0,0
1766060662,2,0
1766060665,2,0
1766060667,0,0
1766060670,0,0
1766060672,0,0
1766060674,0,0
1766060677,0,0
1766060679,0,0
1766060681,0,0
1766060685,0,0
1766060688,0,0
1766060690,0,0
1766060692,2,0
1766060695,0,0
1766060697,0,0
1766060700,0,0
1766060702,0,0
1766060706,0,0
1766060708,0,0
1766060711,0,0
1766060714,0,0
1766060716,0,0
1766060718,2,0
1766060720,0,0
1766060723,0,0
1766060725,0,0
1766060727,2,0
1766060729,0,0
1766060732,0,0
1766060734,2,0
1766060737,0,0
1766060740,0,0
1766060742,0,0
1766060744,0,0
1766060747,0,0
1766060749,0,0
1766060751,0,0
1766060753,0,0
1766060756,2,0
1766060758,0,0
1766060760,2,0
1766060763,0,0
1766060765,0,0
1766060767,0,0
1766060769,0,0
1766060771,0,0
1766060774,0,0
1766060776,0,0
1766060778,0,0
1766060781,0,0
1766060783,0,0
1766060785,0,0
1766060788,0,0
1766060790,2,0
1766060792,0,0
1766060794,0,0
1766060797,0,0
1766060799,0,0
1766060801,0,0
1766060804,2,0
1766060807,0,0
1766060809,0,0
1766060812,2,0
1766060814,0,0
1766060817,0,0
1766060819,0,0
1766060821,2,0
1766060824,0,0
1766060827,0,0
1766060829,0,0
1766060831,0,0
1766060834,0,0
1766060837,0,0
1766060839,2,0
1766060842,0,0
1766060844,0,0
1766060847,0,0
1766060849,0,0
1766060851,0,0
1766060853,1,0
1766060856,0,0
1766060858,0,0
1766060861,0,0
1766060863,0,0
1766060866,0,0
1766060868,0,0
1766060871,0,0
1766060873,0,0
1766060875,0,0
1766060878,0,0
1766060880,0,0
1766060882,0,0
1766060884,0,0
1766060887,0,0
1766060890,0,0
1766060893,0,0
1766060896,0,0
1766060898,0,0
1766060900,0,0
1766060903,0,0
1766060905,0,0
1766060907,0,0
1766060910,0,0
1766060913,0,0
1766060916,0,0
1766060918,2,0
1766060920,0,0
1766060923,0,0
1766060925,0,0
1766060927,0,0
1766060930,2,0
1766060933,2,0
1766060936,2,0
