timestamp,gpu_temp_c,memory_temp_c
1766465609,66,N/A
1766465610,66,N/A
1766465611,67,N/A
1766465612,67,N/A
1766465613,67,N/A
1766465614,67,N/A
1766465615,67,N/A
1766465616,67,N/A
1766465617,67,N/A
1766465618,67,N/A
1766465619,67,N/A
1766465620,67,N/A
1766465621,67,N/A
1766465622,67,N/A
1766465623,67,N/A
1766465624,67,N/A
1766465625,67,N/A
1766465626,67,N/A
1766465627,67,N/A
1766465628,67,N/A
1766465629,67,N/A
1766465630,67,N/A
1766465631,67,N/A
1766465632,68,N/A
1766465633,68,N/A
1766465634,68,N/A
1766465635,68,N/A
1766465636,68,N/A
1766465637,68,N/A
1766465638,68,N/A
1766465639,68,N/A
1766465640,68,N/A
1766465641,68,N/A
1766465642,68,N/A
1766465643,68,N/A
1766465644,68,N/A
1766465645,68,N/A
1766465646,68,N/A
1766465648,68,N/A
1766465649,68,N/A
1766465650,68,N/A
1766465651,68,N/A
1766465652,68,N/A
1766465653,68,N/A
1766465654,68,N/A
1766465655,68,N/A
1766465656,68,N/A
1766465657,70,N/A
1766465658,75,N/A
1766465659,76,N/A
1766465660,76,N/A
1766465661,76,N/A
1766465662,77,N/A
1766465663,78,N/A
1766465664,78,N/A
1766465665,79,N/A
1766465666,79,N/A
1766465667,79,N/A
1766465668,79,N/A
1766465669,79,N/A
1766465670,80,N/A
1766465671,80,N/A
1766465672,80,N/A
1766465673,81,N/A
1766465674,80,N/A
1766465675,81,N/A
1766465676,81,N/A
1766465677,82,N/A
1766465678,82,N/A
1766465679,82,N/A
1766465680,82,N/A
1766465681,81,N/A
1766465682,82,N/A
1766465683,82,N/A
1766465684,82,N/A
1766465686,82,N/A
1766465687,82,N/A
1766465688,82,N/A
1766465689,82,N/A
1766465690,82,N/A
1766465691,82,N/A
1766465692,82,N/A
1766465693,82,N/A
1766465694,82,N/A
1766465695,83,N/A
1766465696,82,N/A
1766465697,82,N/A
1766465698,82,N/A
1766465699,83,N/A
1766465700,82,N/A
1766465701,82,N/A
1766465702,82,N/A
1766465703,82,N/A
1766465704,82,N/A
1766465705,82,N/A
1766465706,82,N/A
1766465707,82,N/A
1766465708,82,N/A
1766465709,82,N/A
1766465710,82,N/A
1766465711,83,N/A
1766465712,83,N/A
1766465713,82,N/A
1766465714,81,N/A
1766465715,82,N/A
1766465716,82,N/A
1766465717,82,N/A
1766465718,82,N/A
1766465719,82,N/A
1766465720,82,N/A
1766465721,83,N/A
1766465722,83,N/A
1766465723,82,N/A
1766465724,82,N/A
1766465726,83,N/A
1766465727,82,N/A
1766465728,82,N/A
1766465729,82,N/A
1766465730,82,N/A
1766465731,83,N/A
1766465732,82,N/A
1766465733,82,N/A
1766465734,82,N/A
1766465735,83,N/A
1766465736,82,N/A
1766465737,82,N/A
1766465738,82,N/A
1766465739,83,N/A
1766465740,82,N/A
1766465741,83,N/A
1766465742,83,N/A
1766465743,83,N/A
1766465744,83,N/A
1766465745,82,N/A
1766465746,82,N/A
1766465747,83,N/A
1766465748,83,N/A
1766465749,83,N/A
1766465750,82,N/A
1766465751,83,N/A
1766465752,83,N/A
1766465753,83,N/A
1766465754,83,N/A
1766465755,82,N/A
1766465756,83,N/A
1766465757,83,N/A
1766465758,82,N/A
1766465759,83,N/A
1766465760,83,N/A
1766465761,82,N/A
1766465762,82,N/A
1766465763,83,N/A
1766465765,84,N/A
1766465766,83,N/A
1766465767,82,N/A
1766465768,83,N/A
1766465769,82,N/A
1766465770,82,N/A
1766465771,83,N/A
1766465772,83,N/A
1766465773,83,N/A
1766465774,83,N/A
1766465775,84,N/A
1766465776,84,N/A
1766465777,83,N/A
1766465778,83,N/A
1766465779,82,N/A
1766465780,83,N/A
1766465781,82,N/A
1766465782,83,N/A
1766465783,83,N/A
1766465784,83,N/A
1766465785,83,N/A
1766465786,83,N/A
1766465787,83,N/A
1766465788,83,N/A
1766465789,83,N/A
1766465790,84,N/A
1766465791,83,N/A
1766465792,83,N/A
1766465793,83,N/A
1766465794,83,N/A
1766465795,83,N/A
1766465796,83,N/A
1766465797,83,N/A
1766465798,83,N/A
1766465799,84,N/A
1766465800,83,N/A
1766465801,83,N/A
1766465802,82,N/A
1766465804,83,N/A
1766465805,83,N/A
1766465806,83,N/A
1766465807,82,N/A
1766465808,83,N/A
1766465809,83,N/A
1766465810,83,N/A
1766465811,83,N/A
1766465812,83,N/A
1766465813,83,N/A
1766465814,83,N/A
1766465815,83,N/A
1766465816,83,N/A
1766465817,83,N/A
1766465818,83,N/A
1766465819,81,N/A
1766465820,81,N/A
1766465821,80,N/A
1766465822,80,N/A
1766465823,80,N/A
1766465824,80,N/A
1766465825,80,N/A
1766465826,80,N/A
1766465827,80,N/A
1766465828,79,N/A
1766465829,79,N/A
1766465830,79,N/A
1766465831,79,N/A
1766465832,79,N/A
1766465833,79,N/A
1766465834,79,N/A
1766465835,79,N/A
1766465836,79,N/A
1766465837,79,N/A
1766465838,79,N/A
1766465839,79,N/A
1766465840,79,N/A
1766465841,79,N/A
1766465842,78,N/A
1766465844,79,N/A
1766465845,78,N/A
1766465846,78,N/A
1766465847,78,N/A
1766465848,79,N/A
1766465849,78,N/A
1766465850,79,N/A
1766465851,78,N/A
1766465852,78,N/A
1766465853,78,N/A
1766465854,78,N/A
1766465855,78,N/A
1766465856,78,N/A
1766465857,78,N/A
1766465858,78,N/A
1766465859,78,N/A
1766465860,78,N/A
1766465861,78,N/A
1766465862,78,N/A
1766465863,78,N/A
1766465864,78,N/A
1766465865,77,N/A
1766465866,78,N/A
1766465867,78,N/A
1766465868,78,N/A
1766465869,77,N/A
1766465870,78,N/A
1766465871,77,N/A
1766465872,78,N/A
1766465873,78,N/A
1766465874,77,N/A
1766465875,77,N/A
1766465876,77,N/A
1766465877,77,N/A
1766465878,77,N/A
1766465879,77,N/A
1766465880,77,N/A
1766465881,78,N/A
1766465882,77,N/A
1766465884,77,N/A
1766465885,77,N/A
1766465886,78,N/A
1766465887,77,N/A
1766465888,77,N/A
1766465889,77,N/A
1766465890,77,N/A
1766465891,77,N/A
1766465892,77,N/A
1766465893,77,N/A
1766465894,78,N/A
1766465895,77,N/A
1766465896,77,N/A
1766465897,77,N/A
1766465898,77,N/A
1766465899,77,N/A
1766465900,77,N/A
1766465901,77,N/A
1766465902,77,N/A
1766465903,77,N/A
1766465904,77,N/A
1766465905,77,N/A
1766465906,77,N/A
1766465907,77,N/A
1766465908,77,N/A
1766465909,77,N/A
1766465910,77,N/A
1766465911,77,N/A
1766465912,77,N/A
1766465913,77,N/A
1766465914,77,N/A
1766465915,77,N/A
1766465916,77,N/A
1766465917,77,N/A
1766465918,77,N/A
1766465919,77,N/A
1766465920,77,N/A
1766465921,77,N/A
1766465923,77,N/A
1766465924,77,N/A
1766465925,77,N/A
1766465926,77,N/A
1766465927,76,N/A
1766465928,77,N/A
1766465929,77,N/A
1766465930,77,N/A
1766465931,76,N/A
1766465932,77,N/A
1766465933,77,N/A
1766465934,77,N/A
1766465935,77,N/A
1766465936,76,N/A
1766465937,77,N/A
1766465938,76,N/A
1766465939,77,N/A
1766465940,77,N/A
1766465941,77,N/A
1766465942,77,N/A
1766465943,77,N/A
1766465944,78,N/A
1766465945,77,N/A
1766465946,77,N/A
1766465947,77,N/A
1766465948,78,N/A
1766465949,77,N/A
1766465950,78,N/A
1766465951,78,N/A
1766465952,78,N/A
1766465953,78,N/A
1766465954,78,N/A
1766465955,78,N/A
1766465956,78,N/A
1766465957,79,N/A
1766465958,79,N/A
1766465959,78,N/A
1766465960,78,N/A
1766465961,78,N/A
1766465963,79,N/A
1766465964,78,N/A
1766465965,78,N/A
1766465966,79,N/A
1766465967,78,N/A
1766465968,79,N/A
1766465969,79,N/A
1766465970,78,N/A
1766465971,79,N/A
1766465972,78,N/A
1766465973,79,N/A
1766465974,79,N/A
1766465975,79,N/A
1766465976,79,N/A
1766465977,79,N/A
1766465978,79,N/A
1766465979,79,N/A
1766465980,79,N/A
1766465981,79,N/A
1766465982,79,N/A
1766465983,79,N/A
1766465984,79,N/A
1766465985,78,N/A
1766465986,79,N/A
1766465987,79,N/A
1766465988,79,N/A
1766465989,79,N/A
1766465990,79,N/A
1766465991,79,N/A
1766465992,79,N/A
1766465993,79,N/A
1766465994,79,N/A
1766465995,79,N/A
1766465996,79,N/A
1766465997,80,N/A
1766465998,79,N/A
1766465999,79,N/A
1766466001,79,N/A
1766466002,79,N/A
1766466003,79,N/A
1766466004,79,N/A
1766466005,79,N/A
1766466006,80,N/A
1766466007,79,N/A
1766466008,79,N/A
1766466009,80,N/A
1766466010,80,N/A
1766466011,80,N/A
1766466012,80,N/A
1766466013,80,N/A
1766466014,80,N/A
1766466015,80,N/A
1766466016,80,N/A
1766466017,80,N/A
1766466018,77,N/A
1766466019,76,N/A
1766466020,74,N/A
1766466021,74,N/A
1766466022,74,N/A
1766466023,74,N/A
1766466024,73,N/A
1766466025,76,N/A
1766466026,79,N/A
1766466027,80,N/A
1766466028,80,N/A
1766466029,80,N/A
1766466030,80,N/A
1766466031,81,N/A
1766466032,81,N/A
1766466033,81,N/A
1766466034,81,N/A
1766466035,81,N/A
1766466036,81,N/A
1766466037,82,N/A
1766466038,82,N/A
1766466040,81,N/A
1766466041,82,N/A
1766466042,82,N/A
1766466043,82,N/A
1766466044,82,N/A
1766466045,82,N/A
1766466046,83,N/A
1766466047,83,N/A
1766466048,83,N/A
1766466049,83,N/A
1766466050,82,N/A
1766466051,83,N/A
1766466052,82,N/A
1766466053,83,N/A
1766466054,82,N/A
1766466055,83,N/A
1766466056,82,N/A
1766466057,83,N/A
1766466058,83,N/A
1766466059,82,N/A
1766466060,82,N/A
1766466061,83,N/A
1766466062,83,N/A
1766466063,82,N/A
1766466064,84,N/A
1766466065,83,N/A
1766466066,82,N/A
1766466067,83,N/A
1766466068,84,N/A
1766466069,82,N/A
1766466070,83,N/A
1766466071,82,N/A
1766466072,83,N/A
1766466073,82,N/A
1766466074,84,N/A
1766466075,83,N/A
1766466076,83,N/A
1766466077,83,N/A
1766466078,83,N/A
1766466080,83,N/A
1766466081,83,N/A
1766466082,84,N/A
1766466083,83,N/A
1766466084,83,N/A
1766466085,82,N/A
1766466086,84,N/A
1766466087,82,N/A
1766466088,83,N/A
1766466089,82,N/A
1766466090,82,N/A
1766466091,81,N/A
1766466092,82,N/A
1766466093,81,N/A
1766466094,81,N/A
1766466095,81,N/A
1766466096,81,N/A
1766466097,81,N/A
1766466098,81,N/A
1766466099,81,N/A
1766466100,81,N/A
1766466101,81,N/A
1766466102,80,N/A
1766466103,81,N/A
1766466104,80,N/A
1766466105,81,N/A
1766466106,81,N/A
1766466107,81,N/A
1766466108,81,N/A
1766466109,80,N/A
1766466110,81,N/A
1766466111,80,N/A
1766466112,80,N/A
1766466113,80,N/A
1766466114,80,N/A
1766466115,81,N/A
1766466116,80,N/A
1766466117,80,N/A
1766466118,80,N/A
1766466120,80,N/A
1766466121,81,N/A
1766466122,80,N/A
1766466123,80,N/A
1766466124,80,N/A
1766466125,80,N/A
1766466126,80,N/A
1766466127,80,N/A
1766466128,80,N/A
1766466129,80,N/A
1766466130,80,N/A
