timestamp,gpu_util_percent,memory_util_percent
1766469479,2,1
1766469480,5,3
1766469481,12,6
1766469482,12,6
1766469483,11,5
1766469484,11,6
1766469485,11,6
1766469486,11,6
1766469487,11,5
1766469488,11,6
1766469489,11,6
1766469490,11,5
1766469491,10,5
1766469492,10,5
1766469493,10,5
1766469494,11,6
1766469495,0,0
1766469496,2,1
1766469498,12,6
1766469499,10,5
1766469500,12,6
1766469501,10,5
1766469502,11,6
1766469503,10,5
1766469504,11,6
1766469505,11,6
1766469506,10,5
1766469507,12,6
1766469508,12,6
1766469509,12,6
1766469510,12,6
1766469511,12,6
1766469512,2,1
1766469513,0,0
1766469514,13,7
1766469515,11,6
1766469516,11,6
1766469517,11,6
1766469518,11,6
1766469519,13,7
1766469520,14,7
1766469521,13,7
1766469522,14,7
1766469523,28,7
1766469524,28,7
1766469525,28,7
1766469526,29,7
1766469527,89,69
1766469528,95,72
1766469529,93,70
1766469530,96,72
1766469531,97,72
1766469532,93,70
1766469533,95,71
1766469534,94,69
1766469536,97,72
1766469537,96,72
1766469538,93,69
1766469539,96,71
1766469540,95,71
1766469541,89,74
1766469542,89,74
1766469543,95,70
1766469544,96,71
1766469545,94,70
1766469546,95,71
1766469547,96,71
1766469548,93,70
1766469549,96,71
1766469550,96,71
1766469551,96,71
1766469552,93,70
1766469553,96,71
1766469554,96,71
1766469555,90,74
1766469556,96,72
1766469557,96,71
1766469558,96,71
1766469559,93,69
1766469560,96,71
1766469561,96,72
1766469562,93,69
1766469563,96,71
1766469564,96,71
1766469565,93,70
1766469566,93,68
1766469567,96,71
1766469568,90,74
1766469569,94,76
1766469570,96,70
1766469571,94,71
1766469572,96,71
1766469573,96,71
1766469574,96,71
1766469576,93,69
1766469577,97,71
1766469578,96,71
1766469579,93,70
1766469580,97,71
1766469581,96,72
1766469582,93,75
1766469583,91,75
1766469584,96,72
1766469585,95,70
1766469586,92,69
1766469587,96,72
1766469588,96,71
1766469589,93,69
1766469590,93,70
1766469591,96,71
1766469592,96,71
1766469593,94,70
1766469594,97,71
1766469595,93,69
1766469596,88,73
1766469597,90,74
1766469598,95,71
1766469599,94,70
1766469600,96,71
1766469601,93,69
1766469602,96,71
1766469603,92,69
1766469604,96,70
1766469605,96,71
1766469606,95,71
1766469607,93,69
1766469608,96,71
1766469609,77,61
1766469610,92,76
1766469611,92,68
1766469612,95,70
1766469613,95,70
1766469614,93,69
1766469616,95,70
1766469617,92,68
1766469618,96,70
1766469619,93,69
1766469620,94,69
1766469621,94,69
1766469622,97,71
1766469623,96,70
1766469624,94,76
1766469625,92,74
1766469626,92,69
1766469627,96,71
1766469628,95,70
1766469629,95,71
1766469630,95,70
1766469631,96,70
1766469632,95,70
1766469633,96,70
1766469634,92,67
1766469635,96,70
1766469636,92,67
1766469637,89,74
1766469638,90,73
1766469639,91,68
1766469640,95,70
1766469641,94,69
1766469642,91,67
1766469643,95,68
1766469644,89,66
1766469645,95,70
1766469646,92,68
1766469647,96,71
1766469648,91,67
1766469649,96,71
1766469650,95,71
1766469651,94,76
1766469652,88,70
1766469653,95,76
1766469655,95,75
1766469656,93,76
1766469657,87,71
1766469658,89,73
1766469659,96,71
1766469660,93,70
1766469661,97,71
1766469662,96,71
1766469663,93,69
1766469664,96,70
1766469665,94,70
1766469666,92,68
1766469667,96,69
1766469668,95,72
1766469669,97,69
1766469670,96,69
1766469671,96,76
1766469672,94,76
1766469673,96,72
1766469674,93,70
1766469675,96,71
1766469676,96,70
1766469677,92,68
1766469678,96,71
1766469679,95,71
1766469680,96,70
1766469681,96,70
1766469682,96,72
1766469683,96,70
1766469684,94,71
1766469685,90,73
1766469686,95,69
1766469687,92,69
1766469688,95,69
1766469689,95,69
1766469690,94,68
1766469691,96,71
1766469693,93,69
1766469694,96,70
1766469695,93,69
1766469696,96,71
1766469697,96,71
1766469698,93,68
1766469699,88,72
1766469700,90,71
1766469701,96,66
1766469702,96,66
1766469703,96,66
1766469704,96,66
1766469705,93,65
1766469706,95,67
1766469707,95,66
1766469708,96,66
1766469709,96,66
1766469710,96,66
1766469711,96,66
1766469712,92,65
1766469713,94,71
1766469714,97,66
1766469715,97,67
1766469716,94,65
1766469717,95,67
1766469718,96,67
1766469719,97,66
1766469720,95,66
1766469721,93,66
1766469722,96,67
1766469723,97,66
1766469724,96,66
1766469725,97,67
1766469726,90,69
1766469727,91,71
1766469728,95,66
1766469729,95,67
1766469730,96,67
1766469732,96,66
1766469733,94,65
1766469734,95,67
1766469735,97,66
1766469736,97,67
1766469737,93,65
1766469738,93,66
1766469739,96,66
1766469740,94,69
1766469741,91,71
1766469742,94,67
1766469743,96,66
1766469744,96,66
1766469745,96,66
1766469746,93,66
1766469747,96,67
1766469748,97,67
1766469749,96,66
1766469750,94,65
1766469751,94,67
1766469752,97,67
1766469753,94,66
1766469754,90,72
1766469755,92,72
1766469756,96,67
1766469757,94,67
1766469758,95,67
1766469759,95,66
1766469760,92,66
1766469761,94,67
1766469762,95,68
1766469763,92,66
1766469764,93,69
1766469765,95,68
1766469766,90,66
1766469767,89,72
1766469768,94,75
1766469770,94,68
1766469771,89,65
1766469772,94,68
1766469773,95,68
1766469774,96,70
1766469775,93,70
1766469776,96,70
1766469777,95,71
1766469778,96,70
1766469779,96,71
1766469780,93,68
1766469781,94,69
1766469782,87,71
1766469783,93,74
1766469784,96,70
1766469785,94,70
1766469786,96,71
1766469787,96,70
1766469788,94,69
1766469789,95,69
1766469790,96,70
1766469791,93,69
1766469792,96,70
1766469793,93,69
1766469794,96,70
1766469795,95,70
1766469796,90,74
1766469797,96,70
1766469798,96,70
1766469799,93,68
1766469800,96,70
1766469801,92,69
1766469802,96,70
1766469803,95,71
1766469804,92,69
1766469805,96,70
1766469806,96,70
1766469807,95,69
1766469809,96,70
1766469810,92,74
1766469811,87,72
1766469812,96,70
1766469813,93,69
1766469814,96,70
1766469815,93,69
1766469816,96,70
1766469817,93,69
1766469818,96,70
1766469819,95,70
1766469820,91,68
1766469821,96,69
1766469822,93,69
1766469823,95,72
1766469824,92,74
1766469825,96,70
1766469826,96,71
1766469827,95,71
1766469828,97,70
1766469829,95,70
1766469830,94,68
1766469831,96,70
1766469832,93,69
1766469833,96,70
1766469834,92,68
1766469835,93,68
1766469836,96,70
1766469837,93,74
1766469838,92,74
1766469839,92,67
1766469840,95,69
1766469841,92,67
