timestamp,power_draw_w
1766437594,91.12
1766437595,88.06
1766437597,94.46
1766437598,95.34
1766437599,95.36
1766437600,93.39
1766437601,92.04
1766437602,95.70
1766437603,95.86
1766437604,95.82
1766437605,95.68
1766437606,95.94
1766437607,96.07
1766437608,95.91
1766437609,92.36
1766437610,88.51
1766437611,94.49
1766437612,95.73
1766437613,95.42
1766437614,95.60
1766437615,96.03
1766437616,96.01
1766437617,95.81
1766437618,95.64
1766437619,95.54
1766437620,96.11
1766437621,94.40
1766437622,92.23
1766437624,91.37
1766437625,88.92
1766437626,87.99
1766437627,87.78
1766437628,91.69
1766437629,91.38
1766437630,91.36
1766437631,91.27
1766437632,91.36
1766437633,91.49
1766437635,91.65
1766437636,91.53
1766437637,91.62
1766437638,91.82
1766437639,91.79
1766437640,91.58
1766437641,91.75
1766437642,91.68
1766437643,91.77
1766437645,91.66
1766437646,91.87
1766437647,92.21
1766437648,92.57
1766437649,92.24
1766437650,88.17
1766437651,87.97
1766437652,90.05
1766437653,91.50
1766437654,91.44
1766437656,91.64
1766437657,91.75
1766437658,91.49
1766437659,90.15
1766437660,90.12
1766437661,89.85
1766437662,91.56
1766437664,90.84
1766437665,91.70
1766437666,91.42
1766437667,91.14
1766437668,89.56
1766437670,89.71
1766437671,89.66
1766437672,90.25
1766437673,89.49
1766437674,89.56
1766437675,90.01
1766437677,90.95
1766437678,89.91
1766437679,90.37
1766437680,88.70
1766437681,86.69
1766437683,86.59
1766437684,87.05
1766437685,86.92
1766437686,86.92
1766437687,87.22
1766437688,88.89
1766437690,89.54
1766437691,89.41
1766437692,89.78
1766437693,89.89
1766437694,89.17
1766437695,89.42
1766437696,89.55
1766437698,91.96
1766437699,90.60
1766437700,90.35
1766437701,89.76
1766437702,89.78
1766437703,89.73
1766437705,91.60
1766437706,90.78
1766437707,90.35
1766437708,90.17
1766437709,89.42
1766437710,89.39
1766437712,90.16
1766437713,90.15
1766437714,89.28
1766437715,89.76
1766437716,89.11
1766437717,91.22
1766437719,89.49
1766437720,88.81
1766437721,88.57
1766437722,86.64
1766437723,87.09
1766437724,86.65
1766437726,87.16
1766437727,86.73
1766437728,87.04
1766437729,87.41
1766437731,88.61
1766437732,88.70
1766437733,89.31
1766437734,89.31
1766437736,89.26
1766437737,88.88
1766437738,89.03
1766437739,88.57
1766437741,88.48
1766437742,88.59
1766437743,88.99
1766437745,88.42
1766437746,88.83
1766437747,88.82
1766437748,88.53
1766437750,88.70
1766437751,88.88
1766437752,88.53
1766437753,88.48
1766437755,88.60
1766437756,88.95
1766437757,88.54
1766437758,88.53
1766437760,89.64
1766437761,89.29
1766437762,89.86
1766437763,89.17
1766437765,89.66
1766437766,88.58
1766437767,88.58
1766437768,89.04
1766437770,88.44
1766437771,88.25
1766437772,88.61
1766437773,88.46
1766437775,88.61
1766437776,88.38
1766437777,88.53
1766437778,87.92
1766437780,86.81
1766437781,87.18
1766437782,86.79
1766437784,86.70
1766437785,86.54
1766437786,86.68
1766437787,87.26
1766437789,88.44
1766437790,88.54
1766437791,88.46
1766437792,88.57
1766437794,88.46
1766437795,88.76
1766437796,88.87
1766437797,88.77
1766437799,88.87
1766437800,88.73
1766437801,88.89
1766437802,89.12
1766437804,88.64
1766437805,88.42
1766437806,88.96
1766437808,88.33
1766437809,88.40
1766437810,88.23
1766437811,88.38
1766437813,88.29
1766437814,88.49
1766437815,88.39
1766437816,88.81
1766437818,88.60
1766437819,88.39
1766437820,88.41
1766437821,88.78
1766437823,88.85
1766437824,88.61
1766437825,88.69
1766437827,88.39
1766437828,87.72
1766437829,88.11
1766437830,87.91
1766437832,87.80
1766437833,87.84
1766437834,88.60
1766437836,88.91
1766437837,88.69
1766437838,88.83
1766437839,88.47
1766437841,88.34
1766437842,87.09
1766437843,86.56
1766437845,86.63
1766437846,86.73
1766437847,86.58
1766437848,86.59
1766437850,86.63
1766437851,88.22
1766437852,88.64
1766437853,87.96
1766437855,88.43
1766437856,88.29
1766437857,88.68
1766437859,88.86
1766437860,88.31
1766437861,88.63
1766437862,88.14
1766437863,88.30
1766437865,88.50
1766437866,88.59
1766437867,87.93
1766437869,88.20
1766437870,88.82
1766437871,88.49
1766437872,88.60
1766437874,88.47
1766437875,88.32
1766437876,88.29
1766437878,88.24
1766437879,88.05
1766437880,88.30
1766437881,88.31
1766437883,88.32
1766437884,88.15
1766437885,88.22
1766437886,88.13
1766437888,88.54
1766437889,88.23
1766437890,88.48
1766437891,88.47
1766437893,88.42
1766437894,88.25
1766437895,88.08
1766437896,88.29
1766437898,88.26
1766437899,88.25
1766437900,88.12
1766437902,88.23
1766437903,87.59
1766437904,87.65
1766437905,88.10
1766437907,88.03
1766437908,86.26
1766437909,86.78
1766437911,86.29
1766437912,86.80
1766437913,86.37
1766437914,86.23
1766437916,88.38
1766437917,88.53
1766437918,88.11
1766437919,87.89
1766437921,88.03
1766437922,87.92
1766437923,88.67
1766437924,88.67
1766437926,88.25
1766437927,88.24
1766437928,88.41
1766437930,88.29
1766437931,88.07
1766437932,87.93
1766437933,87.89
1766437935,87.65
1766437936,87.93
1766437937,87.99
1766437938,87.99
1766437940,87.89
1766437941,88.12
1766437942,88.74
1766437943,88.06
1766437945,88.17
1766437946,87.88
1766437947,88.76
1766437948,88.11
1766437950,88.12
1766437951,88.89
1766437952,89.81
1766437954,88.39
1766437955,88.26
1766437956,88.38
1766437957,88.20
1766437959,88.48
1766437960,88.46
1766437961,88.51
1766437962,88.34
1766437964,88.65
1766437965,88.16
1766437966,88.08
1766437967,87.33
1766437969,86.42
1766437970,86.65
1766437971,86.76
1766437972,86.12
1766437974,86.77
1766437975,87.63
1766437976,88.09
1766437977,87.97
1766437979,88.09
1766437980,88.12
1766437981,88.03
1766437983,88.46
1766437984,88.09
1766437985,88.23
1766437986,88.81
1766437988,88.48
1766437989,88.07
1766437990,88.31
1766437991,88.22
1766437993,88.67
1766437994,88.63
1766437995,88.32
1766437996,88.15
1766437998,88.39
1766437999,88.06
1766438000,88.42
1766438001,88.70
1766438003,89.37
1766438004,88.99
1766438005,88.44
1766438006,88.22
1766438008,87.97
1766438009,88.34
1766438010,88.40
1766438011,88.31
1766438013,88.39
1766438014,88.25
1766438015,88.27
1766438017,88.26
1766438018,88.22
1766438019,88.31
1766438020,88.35
1766438022,89.06
1766438023,89.11
1766438024,89.20
1766438025,88.90
1766438026,86.45
1766438027,86.69
1766438029,86.30
1766438030,86.30
1766438031,86.35
1766438032,86.24
1766438034,87.79
1766438035,87.64
1766438036,88.14
1766438038,88.15
1766438039,88.12
1766438040,88.34
1766438041,88.02
1766438042,88.19
1766438044,88.10
1766438045,88.50
1766438046,88.29
1766438048,87.75
1766438049,88.35
1766438050,88.27
1766438051,88.31
1766438053,88.21
1766438054,88.12
1766438055,88.61
1766438056,88.04
1766438058,88.05
1766438059,88.22
1766438060,88.51
1766438061,88.48
1766438063,88.75
1766438064,88.81
1766438065,88.69
1766438066,89.00
1766438068,88.79
1766438069,88.28
1766438070,88.31
1766438072,88.14
1766438073,88.16
1766438074,88.25
1766438075,89.00
1766438077,88.89
1766438078,88.70
1766438079,88.37
1766438080,88.29
1766438082,88.56
1766438083,88.52
1766438084,88.48
1766438086,88.49
1766438087,87.41
1766438088,87.16
1766438089,86.82
1766438091,86.78
1766438092,86.71
1766438093,86.55
1766438094,87.07
1766438096,87.93
1766438097,88.61
1766438098,88.51
1766438100,88.41
1766438101,88.25
1766438102,88.26
1766438103,90.03
1766438104,90.99
1766438106,89.52
1766438107,90.11
1766438108,90.22
1766438109,91.55
1766438110,89.49
1766438112,89.39
1766438113,89.29
1766438114,90.81
1766438115,89.80
1766438116,90.21
1766438117,91.40
1766438119,89.59
1766438120,89.28
1766438121,89.75
1766438122,88.80
1766438123,88.48
1766438125,88.24
1766438126,88.61
1766438127,88.52
1766438128,88.63
1766438130,88.50
1766438131,88.66
1766438132,89.17
1766438133,88.68
1766438135,88.33
1766438136,87.62
1766438137,87.07
1766438139,86.62
1766438140,86.50
1766438141,86.54
1766438142,86.99
1766438144,86.50
1766438145,86.51
1766438146,86.24
1766438148,75.95
1766438151,78.99
1766438153,69.84
1766438156,78.94
1766438158,76.32
1766438161,75.53
1766438163,85.43
1766438166,85.11
1766438167,87.35
1766438168,87.52
1766438169,87.69
1766438171,87.64
1766438172,88.06
1766438173,87.66
1766438174,87.94
1766438176,87.88
1766438177,87.92
1766438178,87.92
1766438179,88.08
1766438181,88.63
1766438182,89.27
1766438183,88.28
1766438184,87.98
1766438186,88.51
1766438187,88.88
1766438188,89.06
1766438190,88.43
1766438191,88.61
1766438192,88.94
1766438193,89.14
1766438194,88.78
1766438196,88.51
1766438197,88.39
1766438198,88.59
1766438200,88.65
1766438201,88.65
1766438202,88.34
1766438203,88.56
1766438205,88.35
1766438206,88.64
1766438207,89.02
1766438208,88.98
1766438210,88.67
1766438211,88.31
1766438212,88.30
1766438214,89.09
1766438215,89.21
1766438216,89.38
1766438217,89.33
1766438218,87.53
1766438219,87.20
1766438220,87.18
1766438222,87.20
1766438223,86.61
1766438224,86.65
1766438225,88.78
1766438226,88.25
1766438228,88.71
1766438229,88.49
1766438230,88.42
1766438232,88.34
1766438233,88.51
1766438234,88.71
1766438235,88.56
1766438237,88.83
1766438238,89.10
1766438239,88.70
1766438240,88.76
1766438242,88.99
1766438243,88.28
1766438244,88.71
1766438245,88.37
1766438247,89.04
1766438248,88.37
1766438249,88.58
1766438250,88.64
1766438252,89.11
1766438253,89.17
1766438254,88.56
1766438255,88.60
1766438257,88.59
1766438258,88.37
1766438259,88.31
1766438261,88.91
1766438262,88.76
1766438263,88.62
1766438264,88.85
1766438266,89.13
1766438267,89.00
1766438268,89.41
1766438269,88.56
1766438271,88.59
1766438272,88.49
1766438273,88.51
1766438274,88.40
1766438276,88.43
1766438277,88.59
1766438278,88.64
1766438279,86.94
1766438281,86.88
1766438282,86.82
1766438283,86.84
1766438284,86.87
1766438286,86.76
1766438287,86.94
1766438288,88.55
1766438289,88.56
1766438291,88.33
1766438292,88.80
1766438293,88.50
1766438295,88.42
1766438296,88.47
1766438297,88.51
1766438298,88.50
1766438300,88.61
1766438301,88.54
1766438302,88.90
1766438303,89.19
1766438304,89.60
1766438305,89.74
1766438307,89.47
1766438308,89.17
1766438309,89.52
1766438310,89.58
1766438311,89.90
1766438312,89.56
1766438314,89.20
1766438315,89.32
1766438316,89.69
1766438317,88.60
1766438318,89.29
1766438320,88.74
1766438321,88.57
1766438322,88.41
1766438323,88.90
1766438325,89.31
1766438326,88.64
1766438327,88.51
1766438328,88.45
1766438330,88.51
1766438331,88.67
1766438332,88.69
1766438333,88.69
1766438335,88.74
1766438336,88.24
1766438337,87.31
1766438338,86.87
1766438340,87.35
1766438341,86.80
1766438342,87.17
1766438343,86.88
1766438345,88.20
1766438346,88.67
1766438347,88.80
1766438349,88.74
1766438350,89.02
1766438351,89.03
1766438352,88.45
1766438354,88.93
1766438355,88.64
1766438356,88.56
1766438357,88.64
1766438359,88.72
1766438360,88.61
1766438361,88.73
1766438363,88.67
1766438364,88.91
1766438365,89.37
1766438366,88.93
1766438368,88.96
1766438369,89.80
1766438370,88.49
1766438372,88.46
1766438373,88.57
1766438374,88.62
