timestamp,gpu_util_percent,memory_util_percent
1763218125,0,0
1763218127,0,0
1763218129,0,0
1763218130,0,0
1763218132,0,0
1763218134,2,0
1763218135,1,0
1763218136,94,69
1763218137,94,69
1763218138,94,68
1763218139,94,69
1763218140,94,68
1763218141,94,68
1763218142,94,68
1763218143,94,68
1763218144,94,68
1763218145,92,67
1763218146,94,63
1763218147,94,67
1763218148,94,68
1763218149,94,68
1763218150,94,68
1763218151,94,68
1763218152,94,68
1763218153,94,67
1763218154,94,67
1763218155,91,65
1763218156,94,64
1763218157,94,65
1763218158,94,68
1763218159,94,69
1763218160,94,67
1763218161,94,68
1763218162,94,68
1763218163,94,63
1763218164,94,65
1763218165,93,67
1763218166,94,69
1763218167,94,68
1763218168,94,68
1763218169,90,64
1763218171,94,68
1763218172,94,68
1763218173,94,68
1763218174,94,68
1763218175,94,67
1763218176,94,65
1763218177,94,67
1763218178,94,68
1763218179,94,67
1763218180,94,64
1763218181,91,64
1763218182,94,66
1763218183,94,68
1763218184,94,68
1763218185,91,65
1763218186,94,67
1763218187,94,67
1763218188,94,68
1763218189,94,68
1763218190,94,65
1763218191,94,68
1763218192,94,67
1763218193,94,68
1763218194,94,63
1763218195,94,67
1763218196,94,68
1763218197,94,68
1763218198,94,64
1763218199,94,66
1763218200,94,68
1763218201,94,68
1763218202,94,64
1763218203,94,67
1763218204,94,67
1763218205,94,68
1763218206,94,64
1763218207,94,68
1763218208,94,67
1763218209,93,67
1763218210,94,64
1763218212,94,67
1763218213,94,67
1763218214,94,67
1763218215,94,66
1763218216,94,67
1763218217,94,68
1763218218,92,65
1763218219,94,68
1763218220,94,67
1763218221,94,67
1763218222,92,65
1763218223,94,67
1763218224,94,68
1763218225,94,65
1763218226,94,66
1763218227,94,68
1763218228,94,64
1763218229,94,67
1763218230,94,67
1763218231,93,66
1763218232,94,66
1763218233,94,67
1763218234,94,64
1763218235,94,66
1763218236,94,68
1763218237,94,66
1763218238,94,67
1763218239,94,67
1763218240,94,68
1763218241,94,65
1763218242,94,65
1763218243,94,66
1763218244,94,67
1763218245,94,68
1763218246,94,66
1763218248,94,63
1763218249,94,66
1763218250,94,65
1763218251,94,65
1763218252,94,65
1763218253,94,65
1763218254,94,63
1763218255,94,65
1763218256,94,65
1763218257,94,65
1763218258,94,63
1763218259,94,65
1763218260,94,65
1763218261,94,64
1763218262,93,63
1763218263,94,65
1763218264,94,65
1763218265,94,65
1763218266,94,63
1763218267,94,65
1763218268,94,64
1763218269,94,65
1763218270,94,63
1763218271,94,65
1763218272,94,65
1763218273,94,65
1763218274,92,63
1763218275,94,65
1763218276,94,65
1763218277,94,65
1763218278,94,64
1763218279,94,64
1763218280,94,64
1763218281,94,65
1763218282,94,65
1763218283,94,65
1763218284,94,64
1763218286,93,63
1763218287,94,65
1763218288,94,65
1763218289,94,65
1763218290,94,63
1763218291,94,65
1763218292,94,65
1763218293,94,65
1763218294,94,63
1763218295,94,65
1763218296,94,64
1763218297,94,65
1763218298,92,63
1763218299,94,65
1763218300,94,65
1763218301,94,65
1763218302,94,64
1763218303,94,65
1763218304,94,65
1763218305,94,65
1763218306,94,64
1763218307,94,65
1763218308,94,65
1763218309,93,63
1763218310,94,65
1763218311,94,65
1763218312,94,65
1763218313,94,63
1763218314,94,64
1763218315,94,65
1763218316,94,65
1763218317,94,63
1763218318,94,65
1763218319,94,65
1763218320,94,65
1763218321,93,64
1763218322,94,65
1763218324,94,65
1763218325,94,64
1763218326,94,65
1763218327,94,65
1763218328,94,64
1763218329,94,64
1763218330,94,65
1763218331,94,65
1763218332,94,65
1763218333,93,63
1763218334,94,65
1763218335,94,65
1763218336,94,65
1763218337,94,63
1763218338,94,65
1763218339,94,65
1763218340,94,64
1763218341,94,63
1763218342,94,65
1763218343,94,65
1763218344,94,64
1763218345,93,63
1763218346,94,65
1763218347,94,65
1763218348,94,65
1763218349,94,63
1763218350,94,65
1763218351,94,65
1763218352,94,64
1763218353,94,63
1763218354,94,65
1763218355,94,65
1763218356,94,65
1763218357,92,63
1763218358,94,65
1763218359,94,65
1763218360,94,65
1763218361,94,63
1763218362,94,64
1763218364,94,65
1763218365,94,65
1763218366,94,63
1763218367,94,65
1763218368,94,65
1763218369,94,65
1763218370,93,64
1763218371,94,65
1763218372,94,65
1763218373,94,65
1763218374,94,64
1763218375,94,65
1763218376,94,65
1763218377,94,65
1763218378,94,64
1763218379,94,64
1763218380,94,65
1763218381,94,65
1763218382,92,63
1763218383,94,65
1763218384,94,65
1763218385,94,65
1763218386,94,64
1763218387,94,64
1763218388,94,65
1763218389,94,65
1763218390,94,63
1763218391,94,65
1763218392,94,65
1763218393,94,65
1763218394,93,63
1763218395,94,65
1763218396,94,65
1763218397,94,65
1763218398,94,63
1763218399,94,65
1763218400,94,65
1763218401,94,65
1763218403,94,64
1763218404,94,65
1763218405,94,65
1763218406,94,65
1763218407,92,63
1763218408,94,65
1763218409,94,65
1763218410,94,65
1763218411,94,64
1763218412,94,64
1763218413,94,65
1763218414,94,65
1763218415,94,65
1763218416,94,65
1763218417,94,64
1763218418,94,64
1763218419,94,65
1763218420,94,65
1763218421,94,65
1763218422,94,65
1763218423,94,65
1763218424,94,65
1763218425,94,65
1763218426,94,64
1763218427,94,65
1763218428,94,65
1763218429,94,65
1763218430,93,63
1763218431,94,65
1763218432,94,65
1763218433,94,65
1763218434,94,63
1763218435,94,65
1763218436,94,65
1763218437,94,65
1763218439,94,63
1763218440,94,64
1763218441,94,65
1763218442,94,65
1763218443,92,63
1763218444,94,65
1763218445,94,65
1763218446,94,65
1763218447,94,64
1763218448,94,65
1763218449,94,65
1763218450,94,65
1763218451,94,65
1763218452,94,65
1763218453,94,65
1763218454,93,63
1763218455,94,65
1763218456,94,65
1763218457,94,65
1763218458,94,63
1763218459,94,65
1763218460,94,65
1763218461,94,65
1763218462,94,64
1763218463,94,65
1763218464,94,65
1763218465,94,64
1763218466,94,65
1763218467,94,65
1763218468,94,65
1763218469,94,63
1763218470,94,65
1763218471,94,65
1763218472,94,65
1763218474,94,64
1763218475,94,65
1763218476,97,82
1763218477,97,82
1763218478,97,82
1763218479,0,0
1763218480,97,85
1763218481,97,85
1763218482,97,85
1763218483,90,64
1763218484,94,68
1763218485,94,67
1763218486,94,68
1763218487,94,68
1763218488,94,67
1763218489,94,66
1763218490,94,67
1763218491,94,68
1763218492,94,64
1763218493,94,63
1763218494,94,67
1763218495,94,66
1763218496,94,66
1763218497,94,67
1763218498,94,67
1763218499,94,68
1763218500,94,66
1763218501,94,67
1763218502,94,65
1763218503,93,64
1763218504,94,68
1763218505,94,66
1763218506,94,65
1763218507,94,67
1763218508,94,66
1763218510,94,68
1763218511,94,68
1763218512,94,63
1763218513,94,65
1763218514,94,64
1763218515,94,65
1763218516,94,65
1763218517,93,63
1763218518,94,65
1763218519,94,65
1763218520,94,64
1763218521,94,64
1763218522,94,63
1763218523,94,65
1763218524,94,64
1763218525,94,64
1763218526,94,65
1763218527,94,63
1763218528,94,65
1763218529,94,65
1763218530,94,64
1763218531,94,65
1763218532,93,63
1763218533,94,65
1763218534,94,64
1763218535,94,65
1763218536,94,64
1763218537,94,64
1763218538,94,64
1763218539,94,64
1763218540,94,65
1763218541,94,63
1763218542,94,65
1763218543,94,64
1763218545,94,65
1763218546,94,65
1763218547,93,63
1763218548,94,65
1763218549,94,64
1763218550,94,64
1763218551,94,64
1763218552,94,64
1763218553,94,64
1763218554,94,64
1763218555,94,65
1763218556,94,63
1763218557,94,64
1763218558,94,65
1763218559,94,64
1763218560,94,64
1763218561,94,65
1763218562,94,65
1763218563,94,65
1763218564,93,64
1763218565,94,63
1763218566,94,65
1763218567,94,65
1763218568,94,64
1763218569,94,65
1763218570,94,63
1763218571,94,64
1763218572,94,64
1763218573,94,65
1763218574,93,63
1763218575,94,65
1763218576,94,65
1763218577,94,65
1763218578,94,64
1763218579,93,63
1763218580,94,65
1763218582,94,64
1763218583,94,64
1763218584,94,65
1763218585,94,63
1763218586,94,64
1763218587,94,64
1763218588,94,64
1763218589,94,64
1763218590,93,63
1763218591,94,65
1763218592,94,65
1763218593,94,64
1763218594,94,63
1763218595,93,64
1763218596,94,65
1763218597,94,64
1763218598,94,65
1763218599,94,63
1763218600,93,64
1763218601,94,64
1763218602,94,65
1763218603,93,63
1763218604,93,64
1763218605,93,64
1763218606,94,65
1763218607,94,64
1763218608,94,63
1763218609,93,64
1763218610,94,64
1763218611,94,65
1763218612,94,65
1763218613,94,63
1763218614,94,64
1763218615,94,64
1763218616,94,65
1763218617,94,64
1763218618,94,64
1763218620,93,64
1763218621,94,64
1763218622,94,65
1763218623,94,63
1763218624,94,65
1763218625,94,64
1763218626,94,64
1763218627,94,64
1763218628,94,63
1763218629,94,65
1763218630,94,64
1763218631,94,64
1763218632,94,64
1763218633,93,63
1763218634,94,64
1763218635,94,64
1763218636,93,64
1763218637,94,64
1763218638,94,63
1763218639,94,64
1763218640,94,64
1763218641,93,64
1763218642,94,64
1763218643,94,63
1763218644,94,65
1763218645,94,65
1763218646,94,64
1763218647,94,65
1763218648,93,63
1763218649,94,64
1763218650,94,64
1763218651,93,64
1763218652,94,65
1763218653,94,63
1763218654,94,65
1763218655,94,65
1763218656,94,64
1763218657,94,63
1763218658,94,64
1763218660,94,65
1763218661,94,64
1763218662,94,64
1763218663,93,64
1763218664,94,64
1763218665,94,64
1763218666,94,64
1763218667,94,63
1763218668,94,65
1763218669,94,65
1763218670,94,65
1763218671,93,63
1763218672,94,64
1763218673,94,64
1763218674,94,65
1763218675,94,65
1763218676,93,63
1763218677,94,65
1763218678,94,65
1763218679,94,64
1763218680,94,64
1763218681,93,64
1763218682,94,64
1763218683,94,65
1763218684,94,65
1763218685,94,63
1763218686,94,64
1763218687,94,64
1763218688,94,65
1763218689,93,63
1763218690,94,64
1763218691,93,64
1763218692,94,65
1763218693,94,65
1763218694,94,63
1763218695,94,64
1763218696,93,64
1763218697,94,65
1763218698,94,64
1763218700,94,64
1763218701,94,64
1763218702,94,65
1763218703,94,64
1763218704,93,63
1763218705,94,64
1763218706,94,64
1763218707,94,64
1763218708,94,65
1763218709,94,63
1763218710,94,65
1763218711,94,64
1763218712,94,64
1763218713,94,63
1763218714,94,65
1763218715,94,65
1763218716,94,64
1763218717,94,65
1763218718,92,63
1763218719,94,64
1763218720,94,64
1763218721,94,64
1763218722,94,63
1763218723,94,65
1763218724,94,64
1763218725,94,65
1763218726,94,65
1763218727,94,63
1763218728,94,65
1763218729,94,64
