timestamp,gpu_temp_c,memory_temp_c
1763290936,61,N/A
1763290938,61,N/A
1763290940,61,N/A
1763290941,61,N/A
1763290942,61,N/A
1763290943,61,N/A
1763290944,62,N/A
1763290945,62,N/A
1763290946,62,N/A
1763290947,62,N/A
1763290948,62,N/A
1763290949,62,N/A
1763290950,62,N/A
1763290951,69,N/A
1763290952,70,N/A
1763290953,70,N/A
1763290954,72,N/A
1763290955,72,N/A
1763290956,73,N/A
1763290957,73,N/A
1763290958,73,N/A
1763290959,74,N/A
1763290961,75,N/A
1763290962,75,N/A
1763290963,75,N/A
1763290964,76,N/A
1763290965,76,N/A
1763290966,77,N/A
1763290967,76,N/A
1763290968,77,N/A
1763290969,77,N/A
1763290970,78,N/A
1763290971,78,N/A
1763290972,78,N/A
1763290973,78,N/A
1763290974,78,N/A
1763290975,78,N/A
1763290976,79,N/A
1763290977,79,N/A
1763290978,79,N/A
1763290979,79,N/A
1763290980,80,N/A
1763290981,79,N/A
1763290982,80,N/A
1763290983,80,N/A
1763290984,80,N/A
1763290985,80,N/A
1763290986,80,N/A
1763290987,81,N/A
1763290988,81,N/A
1763290989,81,N/A
1763290990,81,N/A
1763290991,81,N/A
1763290992,81,N/A
1763290993,82,N/A
1763290994,82,N/A
1763290995,81,N/A
1763290996,82,N/A
1763290998,81,N/A
1763290999,81,N/A
1763291000,82,N/A
1763291001,82,N/A
1763291002,80,N/A
1763291003,81,N/A
1763291004,82,N/A
1763291005,81,N/A
1763291006,81,N/A
1763291007,82,N/A
1763291008,82,N/A
1763291009,81,N/A
1763291010,81,N/A
1763291011,81,N/A
1763291012,81,N/A
1763291013,82,N/A
1763291014,81,N/A
1763291015,82,N/A
1763291016,82,N/A
1763291017,81,N/A
1763291018,82,N/A
1763291019,82,N/A
1763291020,82,N/A
1763291021,82,N/A
1763291022,81,N/A
1763291023,82,N/A
1763291024,82,N/A
1763291025,81,N/A
1763291026,81,N/A
1763291027,82,N/A
1763291028,82,N/A
1763291029,82,N/A
1763291030,82,N/A
1763291031,82,N/A
1763291032,81,N/A
1763291034,82,N/A
1763291035,82,N/A
1763291036,82,N/A
1763291037,81,N/A
1763291038,81,N/A
1763291039,82,N/A
1763291040,82,N/A
1763291041,82,N/A
1763291042,82,N/A
1763291043,81,N/A
1763291044,82,N/A
1763291045,82,N/A
1763291046,82,N/A
1763291047,82,N/A
1763291048,82,N/A
1763291049,82,N/A
1763291050,82,N/A
1763291051,82,N/A
1763291052,82,N/A
1763291053,82,N/A
1763291054,82,N/A
1763291055,82,N/A
1763291056,82,N/A
1763291057,81,N/A
1763291058,82,N/A
1763291059,82,N/A
1763291060,81,N/A
1763291061,83,N/A
1763291062,82,N/A
1763291063,83,N/A
1763291064,81,N/A
1763291065,82,N/A
1763291066,81,N/A
1763291067,83,N/A
1763291068,82,N/A
1763291070,82,N/A
1763291071,82,N/A
1763291072,83,N/A
1763291073,83,N/A
1763291074,83,N/A
1763291075,83,N/A
1763291076,83,N/A
1763291077,82,N/A
1763291078,83,N/A
1763291079,78,N/A
1763291080,77,N/A
1763291081,74,N/A
1763291082,74,N/A
1763291083,74,N/A
1763291084,73,N/A
1763291085,73,N/A
1763291086,73,N/A
1763291087,72,N/A
1763291088,72,N/A
1763291089,78,N/A
1763291090,80,N/A
1763291091,81,N/A
