experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
MRT-OAST_default_001,2025-11-17T18:46:51.904094,MRT-OAST,default,True,1299.2162704467773,0,,,0.2,10,,0.0001,,1334,0.0,4692.0,,,0.9834,,,0.808854,,,37784.17,2980.02,40764.19,241.18772041302577,318.48,75.72,303655.33999999944,79.51707704527402,84.0,92.84273232724385,100.0
bug-localization-by-dnn-and-rvsm_default_002,2025-11-17T19:03:03.556151,bug-localization-by-dnn-and-rvsm,default,True,911.6484351158142,0,1e-05,,,,10,,10000,42,,,,,,,,,,,59391.63,2279.01,61670.64,75.14707006369429,85.03,45.83,23596.180000000004,54.89171974522293,64.0,0.6210191082802548,3.0
pytorch_resnet_cifar10_resnet20_003,2025-11-17T19:22:48.702736,pytorch_resnet_cifar10,resnet20,True,1125.1360807418823,0,,,,200,,0.1,,1334,0.0001,,91.71,,,,,,91.71,,47773.56,3052.42,50825.98,228.89796703296716,252.22,70.5,249956.58000000013,77.26373626373626,80.0,60.172161172161175,74.0
VulBERTa_mlp_004,2025-11-17T20:16:03.130009,VulBERTa,mlp,True,3134.3196115493774,0,,,,10,,3e-05,,42,0.0,,,,,,,,,,90186.51,7226.56,97413.07,240.74177916120544,318.92,4.86,734743.909999999,78.59239842726082,83.0,89.27948885976409,100.0
Person_reID_baseline_pytorch_densenet121_005,2025-11-17T21:10:35.162061,Person_reID_baseline_pytorch,densenet121,True,3211.6824469566345,0,,,0.5,60,,0.05,,1334,,,,0.753173,,0.909145,0.96348,,,,104106.72,8724.99,112831.71,238.9037548015365,290.94,8.18,746335.3300000001,78.04897567221511,83.0,83.41677336747759,99.0
Person_reID_baseline_pytorch_hrnet18_006,2025-11-17T21:14:57.726078,Person_reID_baseline_pytorch,hrnet18,False,42.18944454193115,3,,,0.5,60,,0.05,,1334,,,,,,,,,,,560.49,30.32,590.81,45.02789473684211,82.17,4.54,1711.06,56.526315789473685,59.0,0.0,0.0
Person_reID_baseline_pytorch_pcb_007,2025-11-17T22:26:40.697882,Person_reID_baseline_pytorch,pcb,True,4242.619853973389,0,,,0.5,60,,0.05,,1334,,,,0.775236,,0.924881,0.971496,,,,140314.87,11157.48,151472.35,250.77655038759642,318.85,10.9,1035205.599999998,80.07049418604652,84.0,96.82315891472868,100.0
examples_mnist_008,2025-11-17T22:30:15.411629,examples,mnist,True,154.70843863487244,0,,32,,10,,0.01,,1,,,,,,,,,96.0,0.1203,4734.4,365.25,5099.65,94.70638888888885,97.76,75.75,13637.719999999994,65.52083333333333,66.0,11.305555555555555,14.0
examples_mnist_rnn_009,2025-11-17T22:35:04.441368,examples,mnist_rnn,True,229.02452635765076,0,,32,,10,,0.01,,1,,,,,,,,,60.0,1.3176,9282.32,563.29,9845.61,9.757136363636356,84.62,4.09,2146.5699999999983,50.7,62.0,0.004545454545454545,1.0
examples_mnist_ff_010,2025-11-17T22:36:12.423793,examples,mnist_ff,True,7.980802059173584,0,,32,,10,,0.01,,1,,,,,,,,,,,197.8,16.51,214.31,74.93,78.76,69.71,374.65000000000003,48.4,49.0,0.6,3.0
examples_siamese_011,2025-11-17T22:42:18.396540,examples,siamese,True,305.9674651622772,0,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,9556.61,739.83,10296.44,172.66929054054054,179.43,69.72,51110.11,68.0641891891892,72.0,50.11486486486486,53.0
pytorch_resnet_cifar10_resnet20_013,2025-11-17T23:02:53.307832,pytorch_resnet_cifar10,resnet20,True,1144.8308947086334,0,,,,200,,0.1,,1334,0.0001,,91.71,,,,,,91.71,,51395.46,3222.07,54617.53,227.50135547576326,252.13,74.86,253436.51000000027,77.51346499102334,80.0,59.192998204667866,79.0
VulBERTa_mlp_015,2025-11-18T00:06:51.978748,VulBERTa,mlp,True,3748.6015050411224,0,,,,10,,3e-05,,42,0.0,,,,,,,,,,133237.68,9201.14,142438.82,238.45801259238962,319.25,87.91,871087.1199999993,79.38680536545306,84.0,91.6082671776622,100.0
examples_mnist_017,2025-11-18T00:10:47.633060,examples,mnist,True,145.64444041252136,0,,32,,10,,0.01,,1,,,,,,,,,96.0,0.1204,5191.14,357.04,5548.18,251.54872340425518,285.89,4.78,35468.36999999998,78.97872340425532,83.0,85.1063829787234,97.0
MRT-OAST_default_019,2025-11-18T00:34:38.222115,MRT-OAST,default,True,1340.5243196487427,0,,,0.2,10,,0.0001,,1334,0.0,4692.0,,,0.9834,,,0.808854,,,58114.02,3291.7,61405.72,230.2628264208911,316.93,4.78,299802.2000000002,79.04608294930875,84.0,90.29185867895545,100.0
Person_reID_baseline_pytorch_pcb_021,2025-11-18T01:49:15.852684,Person_reID_baseline_pytorch,pcb,True,4387.26877951622,0,,,0.5,60,,0.05,,1334,,,,0.775227,,0.924881,0.971496,,,,200594.02,12255.61,212849.63,227.4900000000002,315.66,4.97,969334.8900000008,79.8169443792537,84.0,96.3231635766252,99.0
Person_reID_baseline_pytorch_hrnet18_023,2025-11-18T01:54:18.757261,Person_reID_baseline_pytorch,hrnet18,False,50.350828647613525,3,,,0.5,60,,0.05,,1334,,,,,,,,,,,1946.88,117.03,2063.91,31.700624999999988,81.73,4.32,1521.6299999999994,54.875,58.0,0.020833333333333332,1.0
examples_siamese_025,2025-11-18T02:03:11.017519,examples,siamese,True,442.24930787086487,0,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,16349.73,1146.37,17496.1,274.65765116279056,309.77,233.93,118102.78999999994,82.63023255813954,84.0,99.23488372093023,100.0
examples_mnist_rnn_027,2025-11-18T02:08:46.037131,examples,mnist_rnn,True,245.00958395004272,0,,32,,10,,0.01,,1,,,,,,,,,60.0,1.3176,11048.0,676.5,11724.5,247.03647058823543,314.5,191.88,58794.68000000003,80.96218487394958,84.0,97.85714285714286,99.0
examples_mnist_ff_029,2025-11-18T02:10:23.300308,examples,mnist_ff,True,7.257284641265869,0,,32,,10,,0.01,,1,,,,,,,,,,,218.04,16.58,234.62,278.09285714285716,281.41,275.05,1946.65,80.57142857142857,81.0,81.71428571428571,85.0
bug-localization-by-dnn-and-rvsm_default_031,2025-11-18T02:32:08.983382,bug-localization-by-dnn-and-rvsm,default,True,1215.6722099781036,0,1e-05,,,,10,,10000,42,,,,,,,,,,,83309.78,3261.22,86571.0,231.59044147843954,311.72,112.52,225569.0900000001,80.51129363449692,84.0,63.71252566735113,99.0
Person_reID_baseline_pytorch_densenet121_033,2025-11-18T03:33:12.172704,Person_reID_baseline_pytorch,densenet121,True,3572.758589029312,0,,,0.5,60,,0.05,,1334,,,,0.753167,,0.909145,0.96348,,,,154159.03,10197.16,164356.19,225.08714491086872,293.7,5.22,782853.0900000014,79.14864864864865,84.0,80.84330074755607,100.0
