timestamp,power_draw_w
1763457221,315.01
1763457222,316.13
1763457223,314.22
1763457224,315.24
1763457225,316.22
1763457226,307.31
1763457228,307.77
1763457229,318.08
1763457230,314.89
1763457231,315.66
1763457232,316.84
1763457233,311.72
1763457234,314.51
1763457235,316.98
1763457236,316.65
1763457237,311.73
1763457238,312.71
1763457239,317.05
1763457240,317.52
1763457241,316.41
1763457242,309.86
1763457243,312.14
1763457244,308.87
1763457245,309.68
1763457246,309.17
1763457247,307.60
1763457248,308.26
1763457249,316.19
1763457250,311.52
1763457252,307.63
1763457253,309.73
1763457254,315.06
1763457255,312.74
1763457256,304.86
1763457257,316.79
1763457258,302.43
1763457259,309.24
1763457260,305.85
1763457262,308.07
1763457263,310.45
1763457264,226.35
1763457265,248.79
1763457266,152.29
1763457267,122.52
1763457268,96.88
1763457269,95.59
1763457270,95.22
1763457272,94.82
1763457273,94.27
1763457274,93.79
1763457275,93.20
1763457276,92.47
1763457277,92.04
1763457278,90.61
1763457279,90.21
1763457280,89.97
1763457282,89.69
1763457283,89.32
1763457284,23.69
1763457285,8.04
1763457286,7.72
1763457287,7.22
1763457288,6.77
1763457290,77.13
1763457292,85.50
1763457295,85.19
1763457297,78.55
1763457300,65.23
1763457302,83.22
1763457304,84.72
1763457305,84.62
1763457306,84.46
1763457307,84.53
1763457308,84.66
1763457309,84.29
1763457310,84.10
1763457312,83.92
1763457313,113.39
1763457314,122.99
1763457315,104.04
1763457316,84.47
1763457317,84.27
1763457319,84.36
1763457320,84.60
1763457321,114.22
1763457322,101.11
1763457323,84.66
1763457325,84.65
1763457326,84.75
1763457327,96.81
1763457328,84.65
1763457329,84.74
1763457331,96.60
1763457332,84.83
1763457333,84.88
1763457334,84.76
1763457335,84.93
1763457337,84.90
1763457338,109.49
1763457339,108.09
1763457340,85.37
1763457341,85.16
1763457342,85.07
1763457343,85.11
1763457345,111.40
1763457346,103.83
1763457347,85.18
1763457348,85.07
1763457350,85.15
1763457351,85.11
1763457352,97.19
1763457353,85.13
1763457355,85.11
1763457356,85.14
1763457357,85.24
1763457359,85.18
1763457360,85.28
1763457361,113.72
1763457362,104.46
1763457364,85.44
1763457365,85.30
1763457366,85.36
1763457367,85.37
1763457369,97.54
1763457370,85.37
1763457371,85.19
1763457373,85.28
1763457374,85.29
1763457375,85.38
1763457376,93.69
1763457378,85.35
1763457379,85.25
1763457380,85.19
1763457381,85.16
1763457383,85.08
