timestamp,gpu_util_percent,memory_util_percent
1763457006,99,69
1763457007,98,72
1763457008,99,64
1763457009,99,65
1763457010,99,72
1763457011,99,69
1763457012,99,67
1763457013,98,71
1763457014,99,67
1763457015,99,62
1763457016,99,69
1763457017,98,72
1763457018,99,63
1763457019,99,71
1763457020,98,71
1763457021,99,63
1763457022,99,65
1763457023,99,72
1763457024,99,69
1763457025,99,68
1763457026,98,72
1763457027,99,66
1763457028,99,63
1763457029,99,71
1763457030,98,71
1763457031,99,63
1763457032,99,65
