timestamp,power_draw_w
1763120082,82.85
1763120084,85.03
1763120086,82.37
1763120087,84.55
1763120089,90.34
1763120090,90.74
1763120091,99.07
1763120092,256.68
1763120093,283.58
1763120094,284.49
1763120096,282.40
1763120097,284.86
1763120098,283.52
1763120099,285.63
1763120100,284.74
1763120101,286.56
1763120102,284.14
1763120103,288.90
1763120104,289.43
1763120105,287.89
1763120106,287.59
1763120107,289.95
1763120108,282.95
1763120109,283.20
1763120110,284.87
1763120111,290.04
1763120112,279.98
1763120113,280.78
1763120114,271.87
1763120115,280.36
1763120116,292.17
1763120117,281.86
1763120118,279.86
1763120119,281.14
1763120120,291.83
1763120121,274.90
1763120122,278.68
1763120123,273.79
1763120124,283.66
1763120125,286.64
1763120126,269.07
1763120127,272.85
1763120128,271.73
1763120129,280.53
1763120130,270.65
1763120131,268.78
1763120132,272.38
1763120133,268.70
1763120134,281.53
1763120136,276.70
1763120137,258.10
1763120138,257.91
1763120139,261.84
1763120140,275.05
1763120141,278.74
1763120142,258.59
1763120143,259.08
1763120144,261.39
1763120145,260.78
1763120146,275.98
1763120147,278.83
1763120148,244.31
1763120149,244.85
1763120150,243.25
1763120151,244.01
1763120152,245.50
1763120153,247.14
1763120154,246.22
1763120155,245.89
1763120156,246.46
1763120157,244.82
1763120158,245.10
1763120159,233.81
1763120160,226.85
1763120161,226.34
1763120162,214.14
1763120163,212.47
1763120164,213.30
1763120165,213.44
1763120166,212.20
1763120167,213.55
1763120168,213.71
1763120169,213.12
1763120170,213.67
1763120171,214.29
1763120172,213.50
1763120173,214.17
1763120175,213.98
1763120176,214.12
1763120177,213.21
1763120178,213.63
1763120179,213.39
1763120180,212.54
1763120181,213.68
1763120182,213.90
1763120183,213.38
1763120184,213.40
1763120185,213.51
1763120186,213.48
1763120187,213.49
1763120188,213.82
1763120189,213.49
1763120190,213.75
1763120191,213.83
1763120192,213.40
1763120193,214.24
1763120194,213.31
1763120195,213.29
1763120196,213.90
1763120197,214.68
1763120198,212.95
1763120199,213.81
1763120200,214.96
1763120201,213.96
1763120202,213.48
1763120203,213.87
1763120204,214.85
1763120205,213.28
1763120206,213.91
1763120207,214.31
1763120208,213.35
1763120209,212.75
1763120210,214.17
1763120211,213.60
1763120213,213.45
1763120214,213.78
1763120215,214.90
1763120216,213.38
1763120217,214.30
1763120218,214.45
1763120219,213.81
1763120220,212.32
1763120221,214.63
1763120222,213.78
1763120223,213.09
1763120224,213.52
1763120225,214.87
1763120226,213.33
1763120227,211.86
1763120228,214.81
1763120229,213.55
1763120230,213.16
1763120231,212.29
1763120232,214.85
1763120233,213.41
1763120234,212.79
1763120235,215.36
1763120236,214.04
1763120237,213.77
1763120238,213.39
1763120239,215.12
1763120240,213.93
1763120241,212.96
1763120242,214.84
1763120243,213.85
1763120244,213.39
1763120245,213.58
1763120246,214.34
1763120247,212.69
1763120248,212.40
1763120250,215.04
1763120251,214.02
1763120252,212.33
1763120253,213.97
1763120254,213.87
1763120255,213.12
1763120256,213.57
1763120257,215.03
1763120258,213.63
1763120259,213.42
1763120260,214.08
1763120261,214.15
1763120262,213.82
1763120263,212.80
1763120264,214.28
1763120265,213.26
1763120266,213.16
1763120267,213.46
1763120268,213.33
1763120269,213.36
1763120270,212.72
1763120271,214.11
1763120272,214.07
1763120273,213.12
1763120274,214.57
1763120275,213.14
1763120276,213.96
1763120277,212.61
1763120278,213.67
1763120279,214.01
1763120280,213.49
1763120281,214.09
1763120282,214.24
1763120283,213.80
1763120284,212.87
1763120285,214.51
1763120286,213.35
1763120287,213.21
1763120289,214.00
1763120290,213.56
1763120291,213.41
1763120292,213.71
1763120293,213.91
1763120294,213.20
1763120295,214.69
1763120296,214.20
1763120297,213.37
1763120298,213.68
1763120299,215.46
1763120300,213.53
1763120301,213.69
1763120302,214.25
1763120303,214.34
1763120304,213.23
1763120305,213.84
1763120306,214.94
1763120307,213.31
1763120308,213.48
1763120309,214.06
1763120310,215.23
1763120311,212.91
1763120312,213.87
1763120313,215.33
1763120314,213.65
1763120315,213.67
1763120316,214.29
1763120317,215.78
1763120318,213.76
1763120319,213.93
1763120320,215.11
1763120321,214.26
1763120322,213.72
1763120323,214.37
1763120324,215.10
1763120325,214.54
1763120327,213.33
1763120328,213.94
1763120329,215.90
1763120330,213.90
1763120331,213.67
1763120332,215.46
1763120333,215.68
1763120334,213.11
1763120335,214.43
1763120336,214.78
1763120337,214.43
1763120338,213.78
1763120339,214.08
1763120340,215.00
1763120341,213.83
1763120342,217.24
1763120343,219.27
1763120344,219.93
1763120345,218.70
1763120346,218.69
1763120347,218.88
1763120348,220.21
1763120349,218.44
1763120350,218.40
1763120351,218.87
1763120352,219.49
1763120353,221.82
1763120354,223.35
1763120355,223.80
1763120356,223.71
1763120357,222.82
1763120358,222.68
1763120359,223.78
1763120360,224.26
1763120361,223.88
1763120362,224.19
1763120363,224.17
1763120364,224.88
1763120366,225.08
1763120367,225.16
1763120368,223.93
1763120369,224.10
1763120370,223.74
1763120371,224.52
1763120372,222.25
1763120373,224.40
1763120374,224.34
1763120375,224.21
1763120376,224.40
1763120377,224.07
1763120378,222.90
1763120379,225.25
1763120380,224.63
1763120381,223.90
1763120382,223.22
1763120383,224.02
1763120384,224.54
1763120385,223.44
1763120386,223.47
1763120387,223.92
1763120388,225.52
1763120389,223.28
1763120390,223.17
1763120391,223.58
1763120392,224.90
1763120393,223.42
1763120394,223.47
1763120395,223.81
1763120396,224.44
1763120397,222.97
1763120398,223.52
1763120399,224.21
1763120400,223.81
1763120401,223.63
1763120403,222.60
1763120404,223.61
1763120405,223.57
1763120406,224.21
1763120407,223.23
1763120408,222.98
1763120409,223.31
1763120410,223.98
1763120411,223.69
1763120412,222.90
1763120413,222.48
1763120414,225.28
1763120415,224.34
1763120416,224.10
1763120417,223.37
1763120418,224.68
1763120419,224.88
1763120420,224.49
1763120421,223.65
1763120422,223.36
1763120423,223.85
1763120424,224.40
1763120425,223.71
1763120426,223.91
1763120427,224.04
1763120428,223.89
1763120429,222.33
1763120430,223.47
1763120431,223.65
1763120432,223.56
1763120433,223.15
1763120434,222.44
1763120435,223.59
1763120436,223.46
1763120437,222.92
1763120438,223.08
1763120439,222.47
1763120440,223.60
1763120441,224.03
1763120442,223.00
1763120444,222.95
1763120445,224.44
1763120446,224.31
1763120447,223.98
1763120448,211.88
1763120449,312.22
1763120450,313.73
1763120451,250.27
1763120452,197.97
1763120453,313.45
1763120454,312.28
1763120455,294.93
1763120456,287.19
1763120457,286.52
1763120458,289.79
1763120459,287.27
1763120460,281.59
1763120461,282.97
1763120462,277.87
1763120463,284.47
1763120464,290.69
1763120465,272.48
1763120466,277.23
1763120467,274.58
1763120468,287.16
1763120469,278.72
1763120470,273.69
1763120471,275.00
1763120472,269.80
1763120473,285.43
1763120474,283.19
1763120475,267.10
1763120476,279.22
1763120477,267.16
1763120478,279.42
1763120479,284.80
1763120480,262.90
1763120481,271.32
1763120482,266.14
1763120484,269.76
1763120485,275.45
1763120486,271.28
1763120487,257.52
1763120488,256.02
1763120489,239.91
1763120490,239.01
1763120491,236.28
1763120492,238.71
1763120493,236.75
1763120494,236.89
1763120495,237.52
1763120496,238.06
1763120497,237.69
1763120498,236.19
1763120499,238.48
1763120500,237.02
1763120501,237.73
1763120502,239.82
1763120503,239.33
1763120504,235.91
1763120505,238.18
1763120506,236.40
1763120507,237.62
1763120508,238.68
1763120509,235.79
1763120510,236.15
1763120511,238.53
1763120512,238.59
1763120513,236.88
1763120514,238.60
1763120515,239.73
1763120516,235.32
1763120517,238.01
1763120518,236.85
1763120519,237.93
1763120520,238.26
1763120521,236.00
1763120522,238.51
1763120524,238.06
1763120525,236.44
1763120526,239.19
1763120527,238.12
1763120528,236.35
1763120529,236.54
1763120530,235.72
1763120531,236.49
1763120532,240.29
1763120533,238.16
1763120534,236.23
