timestamp,gpu_util_percent,memory_util_percent
1763220826,0,0
1763220828,0,0
1763220830,0,0
1763220832,0,0
1763220833,0,0
1763220835,1,0
1763220836,0,0
1763220837,94,69
1763220838,94,67
1763220839,94,69
1763220840,94,68
1763220841,94,68
1763220842,94,68
1763220843,94,69
1763220844,94,69
1763220845,94,69
1763220846,94,68
1763220847,94,68
1763220848,94,68
1763220849,94,69
1763220850,94,68
1763220851,94,69
1763220852,94,68
1763220853,94,66
1763220854,94,68
1763220856,91,66
1763220857,94,68
1763220858,94,69
1763220859,94,68
1763220860,94,69
1763220861,94,66
1763220862,94,68
1763220863,92,66
1763220864,94,68
1763220865,94,68
1763220866,94,68
1763220867,94,68
1763220868,94,66
1763220869,94,68
1763220870,94,69
1763220871,92,66
1763220872,94,68
1763220873,94,67
1763220874,94,66
1763220875,94,67
1763220876,94,67
1763220877,94,67
1763220878,94,68
1763220879,94,68
1763220880,94,68
1763220881,94,68
1763220882,94,68
1763220883,94,68
1763220884,94,67
1763220885,94,66
1763220886,94,67
1763220887,94,68
1763220888,92,66
1763220889,94,68
1763220891,94,68
1763220892,94,66
1763220893,94,68
1763220894,94,67
1763220895,94,68
1763220896,94,67
1763220897,94,68
1763220898,94,68
1763220899,93,66
1763220900,94,68
1763220901,94,68
1763220902,94,68
1763220903,94,68
1763220904,94,68
1763220905,94,66
1763220906,94,68
1763220907,94,67
1763220908,93,67
1763220909,94,66
1763220910,94,68
1763220911,94,66
1763220912,94,67
1763220913,94,67
1763220914,94,67
1763220915,94,68
1763220916,94,67
1763220917,94,67
1763220918,91,66
1763220919,94,68
1763220920,94,68
1763220921,94,66
1763220922,94,67
1763220923,94,67
1763220924,94,68
1763220925,94,66
1763220926,94,67
1763220928,94,66
1763220929,94,67
1763220930,92,66
1763220931,93,66
1763220932,94,68
1763220933,94,68
1763220934,94,66
1763220935,94,67
1763220936,94,68
1763220937,94,67
1763220938,94,66
1763220939,94,68
1763220940,94,67
1763220941,94,66
1763220942,93,66
1763220943,95,66
1763220944,94,64
1763220945,94,64
1763220946,94,65
1763220947,94,65
1763220948,94,65
1763220949,94,65
1763220950,93,64
1763220951,93,65
1763220952,93,64
1763220953,94,64
1763220954,94,65
1763220955,94,65
1763220956,95,66
1763220957,94,65
1763220958,94,65
1763220959,94,65
1763220960,94,66
1763220961,94,64
1763220962,94,65
1763220964,94,65
1763220965,93,64
1763220966,93,66
1763220967,93,64
1763220968,93,64
1763220969,93,64
1763220970,95,66
1763220971,94,64
1763220972,94,65
1763220973,94,65
1763220974,94,65
1763220975,94,65
1763220976,94,65
1763220977,94,65
1763220978,94,64
1763220979,94,65
1763220980,93,64
1763220981,93,64
1763220982,93,64
1763220983,93,64
1763220984,95,66
1763220985,94,65
1763220986,94,65
1763220987,93,64
1763220988,93,65
1763220989,94,65
1763220990,94,65
1763220991,94,65
1763220992,94,65
1763220993,94,66
1763220994,94,65
1763220995,93,64
1763220996,93,64
1763220997,93,64
1763220998,95,66
1763220999,94,65
1763221000,94,65
1763221001,94,65
1763221003,94,65
1763221004,94,66
1763221005,94,65
1763221006,94,65
1763221007,94,65
1763221008,94,65
1763221009,94,66
1763221010,94,65
1763221011,93,64
1763221012,93,65
1763221013,93,64
1763221014,95,66
1763221015,94,65
1763221016,94,65
1763221017,94,65
1763221018,94,66
1763221019,94,64
1763221020,94,65
1763221021,94,65
1763221022,94,65
1763221023,94,66
1763221024,94,65
1763221025,94,65
1763221026,93,64
1763221027,95,66
1763221028,94,65
1763221029,93,64
1763221030,94,65
1763221031,94,65
1763221032,94,66
1763221033,94,65
1763221034,93,64
1763221035,93,65
1763221036,94,66
1763221037,94,65
1763221038,94,65
1763221039,94,65
1763221040,94,65
1763221041,95,66
1763221043,94,64
1763221044,94,65
1763221045,94,65
1763221046,94,65
1763221047,94,66
1763221048,94,65
1763221049,94,64
1763221050,93,64
1763221051,93,65
1763221052,93,64
1763221053,94,64
1763221054,94,64
1763221055,94,65
1763221056,95,66
1763221057,94,65
1763221058,94,65
1763221059,94,65
1763221060,94,65
1763221061,94,66
1763221062,94,65
1763221063,94,65
1763221064,94,65
1763221065,94,65
1763221066,93,64
1763221067,93,64
1763221068,93,64
1763221069,94,65
1763221070,95,66
1763221071,94,65
1763221072,94,65
1763221073,94,65
1763221074,94,64
1763221075,94,66
1763221076,94,65
1763221077,94,65
1763221078,94,65
1763221079,94,66
1763221080,94,65
1763221081,93,64
1763221083,93,64
1763221084,93,64
1763221085,95,66
1763221086,94,65
1763221087,94,64
1763221088,94,65
1763221089,94,65
1763221090,94,65
1763221091,94,65
1763221092,94,65
1763221093,94,65
1763221094,94,66
1763221095,94,65
1763221096,94,65
1763221097,94,65
1763221098,93,64
1763221099,95,66
1763221100,94,65
1763221101,94,65
1763221102,94,65
1763221103,94,65
1763221104,94,66
1763221105,94,65
1763221106,94,65
1763221107,94,65
1763221108,94,66
1763221109,94,64
1763221110,94,65
1763221111,94,65
1763221112,94,65
1763221113,95,66
1763221114,94,65
1763221115,94,65
1763221116,94,65
1763221117,94,65
1763221118,94,65
1763221119,94,65
1763221120,94,65
1763221121,94,65
1763221123,94,66
1763221124,94,65
1763221125,94,65
1763221126,94,65
1763221127,94,64
1763221128,95,66
1763221129,94,65
1763221130,94,65
1763221131,94,65
1763221132,94,66
1763221133,94,65
1763221134,94,65
1763221135,94,65
1763221136,94,65
1763221137,94,65
1763221138,94,65
1763221139,94,65
1763221140,94,65
1763221141,95,66
1763221142,94,64
1763221143,94,65
1763221144,94,65
1763221145,94,65
1763221146,94,66
1763221147,94,65
1763221148,94,65
1763221149,94,65
1763221150,94,66
