timestamp,gpu_temp_c,memory_temp_c
1763212950,66,N/A
1763212952,66,N/A
1763212954,66,N/A
1763212955,66,N/A
1763212956,68,N/A
1763212957,72,N/A
1763212958,73,N/A
1763212959,74,N/A
1763212960,74,N/A
1763212961,73,N/A
1763212962,74,N/A
1763212963,75,N/A
1763212964,75,N/A
1763212965,75,N/A
1763212966,75,N/A
1763212967,73,N/A
1763212968,76,N/A
1763212969,77,N/A
1763212970,77,N/A
1763212971,77,N/A
1763212972,75,N/A
1763212974,77,N/A
1763212975,78,N/A
1763212976,78,N/A
1763212977,78,N/A
1763212978,78,N/A
1763212979,77,N/A
1763212980,78,N/A
1763212981,79,N/A
1763212982,79,N/A
1763212983,79,N/A
1763212984,76,N/A
1763212985,79,N/A
1763212986,79,N/A
1763212987,80,N/A
1763212988,80,N/A
1763212989,80,N/A
1763212990,78,N/A
1763212991,80,N/A
1763212992,80,N/A
1763212993,80,N/A
1763212994,80,N/A
1763212995,78,N/A
1763212996,80,N/A
1763212997,80,N/A
1763212998,81,N/A
1763212999,81,N/A
1763213000,81,N/A
1763213001,79,N/A
1763213002,81,N/A
1763213003,81,N/A
1763213004,81,N/A
1763213005,81,N/A
1763213006,79,N/A
1763213007,81,N/A
1763213008,81,N/A
1763213010,81,N/A
1763213011,81,N/A
1763213012,82,N/A
1763213013,80,N/A
1763213014,81,N/A
1763213015,82,N/A
1763213016,82,N/A
1763213017,82,N/A
1763213018,80,N/A
1763213019,80,N/A
1763213020,82,N/A
1763213021,82,N/A
1763213022,82,N/A
1763213023,82,N/A
1763213024,80,N/A
1763213025,82,N/A
1763213026,82,N/A
1763213027,82,N/A
1763213028,82,N/A
1763213029,82,N/A
1763213030,79,N/A
1763213031,82,N/A
1763213032,82,N/A
1763213033,82,N/A
1763213034,82,N/A
1763213035,81,N/A
1763213036,82,N/A
1763213037,82,N/A
1763213038,82,N/A
1763213039,82,N/A
1763213040,82,N/A
1763213041,79,N/A
1763213042,82,N/A
1763213043,82,N/A
1763213044,82,N/A
1763213045,82,N/A
1763213047,80,N/A
1763213048,82,N/A
1763213049,82,N/A
1763213050,82,N/A
1763213051,82,N/A
1763213052,82,N/A
1763213053,79,N/A
1763213054,81,N/A
1763213055,82,N/A
1763213056,82,N/A
1763213057,82,N/A
1763213058,79,N/A
1763213059,81,N/A
1763213060,82,N/A
1763213061,81,N/A
1763213062,81,N/A
1763213063,81,N/A
1763213064,79,N/A
1763213065,81,N/A
1763213066,81,N/A
1763213067,81,N/A
1763213068,81,N/A
1763213069,81,N/A
1763213070,78,N/A
1763213071,81,N/A
1763213072,81,N/A
1763213073,81,N/A
1763213074,81,N/A
1763213075,80,N/A
1763213076,80,N/A
1763213077,81,N/A
1763213078,81,N/A
1763213079,81,N/A
1763213080,81,N/A
1763213081,79,N/A
1763213082,81,N/A
1763213083,81,N/A
1763213085,81,N/A
1763213086,81,N/A
1763213087,80,N/A
1763213088,80,N/A
1763213089,81,N/A
1763213090,81,N/A
1763213091,81,N/A
1763213092,81,N/A
1763213093,79,N/A
1763213094,81,N/A
1763213095,81,N/A
1763213096,81,N/A
1763213097,81,N/A
1763213098,80,N/A
1763213099,79,N/A
1763213100,81,N/A
1763213101,81,N/A
1763213102,81,N/A
1763213103,81,N/A
1763213104,79,N/A
1763213105,81,N/A
1763213106,81,N/A
1763213107,81,N/A
1763213108,81,N/A
1763213109,81,N/A
1763213110,79,N/A
1763213111,81,N/A
1763213112,81,N/A
1763213113,81,N/A
1763213114,81,N/A
1763213115,79,N/A
1763213116,81,N/A
1763213117,81,N/A
1763213118,81,N/A
1763213119,81,N/A
1763213120,80,N/A
1763213121,78,N/A
1763213123,81,N/A
1763213124,81,N/A
1763213125,81,N/A
1763213126,81,N/A
1763213127,79,N/A
1763213128,81,N/A
1763213129,80,N/A
1763213130,81,N/A
1763213131,81,N/A
1763213132,81,N/A
1763213133,78,N/A
1763213134,81,N/A
1763213135,81,N/A
1763213136,81,N/A
1763213137,80,N/A
1763213138,78,N/A
1763213139,80,N/A
1763213140,81,N/A
1763213141,81,N/A
1763213142,81,N/A
1763213143,81,N/A
1763213144,79,N/A
1763213145,80,N/A
1763213146,81,N/A
1763213147,81,N/A
1763213148,81,N/A
1763213149,81,N/A
1763213150,78,N/A
1763213151,81,N/A
1763213152,81,N/A
1763213153,81,N/A
1763213154,81,N/A
1763213155,79,N/A
1763213156,80,N/A
1763213157,81,N/A
1763213158,81,N/A
1763213159,81,N/A
1763213161,81,N/A
1763213162,78,N/A
1763213163,81,N/A
1763213164,81,N/A
1763213165,81,N/A
1763213166,81,N/A
1763213167,79,N/A
1763213168,81,N/A
1763213169,81,N/A
1763213170,81,N/A
1763213171,81,N/A
1763213172,81,N/A
1763213173,78,N/A
