timestamp,gpu_temp_c,memory_temp_c
1763286689,65,N/A
1763286691,65,N/A
1763286692,65,N/A
1763286694,65,N/A
1763286696,65,N/A
1763286697,65,N/A
1763286698,66,N/A
1763286699,66,N/A
1763286700,66,N/A
1763286701,66,N/A
1763286702,66,N/A
1763286703,66,N/A
1763286704,66,N/A
1763286705,66,N/A
1763286706,64,N/A
1763286707,64,N/A
1763286708,63,N/A
1763286709,63,N/A
1763286710,63,N/A
1763286711,63,N/A
1763286712,62,N/A
1763286713,62,N/A
1763286714,62,N/A
1763286715,62,N/A
1763286716,62,N/A
1763286717,62,N/A
1763286718,62,N/A
1763286719,61,N/A
1763286720,61,N/A
1763286721,61,N/A
1763286722,61,N/A
1763286723,61,N/A
1763286724,61,N/A
1763286725,61,N/A
1763286726,61,N/A
1763286727,60,N/A
1763286728,60,N/A
1763286729,60,N/A
1763286731,60,N/A
1763286732,60,N/A
1763286733,62,N/A
1763286734,62,N/A
1763286735,62,N/A
1763286736,63,N/A
1763286737,63,N/A
1763286738,63,N/A
1763286739,68,N/A
1763286740,70,N/A
1763286741,71,N/A
1763286742,71,N/A
1763286743,73,N/A
1763286744,73,N/A
1763286745,73,N/A
1763286746,74,N/A
1763286747,75,N/A
1763286748,74,N/A
1763286749,75,N/A
1763286750,76,N/A
1763286751,76,N/A
1763286752,77,N/A
1763286753,77,N/A
1763286754,77,N/A
1763286755,78,N/A
1763286756,78,N/A
1763286757,78,N/A
1763286758,79,N/A
1763286759,79,N/A
1763286760,79,N/A
1763286761,80,N/A
1763286762,80,N/A
1763286763,80,N/A
1763286764,80,N/A
1763286765,81,N/A
1763286766,80,N/A
1763286767,81,N/A
1763286768,81,N/A
1763286770,81,N/A
1763286771,81,N/A
1763286772,81,N/A
1763286773,81,N/A
1763286774,81,N/A
1763286775,81,N/A
1763286776,82,N/A
1763286777,82,N/A
1763286778,81,N/A
1763286779,82,N/A
1763286780,82,N/A
1763286781,82,N/A
1763286782,82,N/A
1763286783,82,N/A
1763286784,82,N/A
1763286785,81,N/A
1763286786,82,N/A
1763286787,82,N/A
1763286788,81,N/A
1763286789,82,N/A
1763286790,82,N/A
1763286791,82,N/A
1763286792,82,N/A
1763286793,82,N/A
1763286794,82,N/A
1763286795,82,N/A
1763286796,82,N/A
1763286797,82,N/A
1763286798,83,N/A
1763286799,82,N/A
1763286800,82,N/A
1763286801,83,N/A
1763286802,82,N/A
1763286803,82,N/A
1763286804,83,N/A
1763286805,83,N/A
1763286806,83,N/A
1763286807,82,N/A
1763286808,83,N/A
1763286810,83,N/A
1763286811,82,N/A
1763286812,82,N/A
1763286813,83,N/A
1763286814,83,N/A
1763286815,82,N/A
1763286816,82,N/A
1763286817,83,N/A
1763286818,82,N/A
1763286819,82,N/A
1763286820,83,N/A
1763286821,82,N/A
1763286822,83,N/A
1763286823,82,N/A
1763286824,82,N/A
1763286825,82,N/A
1763286826,83,N/A
1763286827,82,N/A
1763286828,82,N/A
1763286829,83,N/A
1763286830,81,N/A
1763286831,83,N/A
1763286832,82,N/A
1763286833,83,N/A
1763286834,83,N/A
1763286835,82,N/A
1763286836,83,N/A
1763286837,83,N/A
1763286838,82,N/A
1763286839,83,N/A
1763286840,82,N/A
1763286841,82,N/A
1763286842,83,N/A
1763286843,83,N/A
1763286844,83,N/A
1763286845,82,N/A
1763286846,83,N/A
1763286847,83,N/A
1763286848,83,N/A
1763286850,83,N/A
1763286851,83,N/A
1763286852,82,N/A
1763286853,83,N/A
1763286854,81,N/A
1763286855,81,N/A
1763286856,80,N/A
1763286857,79,N/A
1763286858,79,N/A
1763286859,79,N/A
1763286860,79,N/A
1763286861,79,N/A
1763286862,79,N/A
1763286863,78,N/A
1763286864,78,N/A
1763286865,78,N/A
1763286866,78,N/A
1763286867,78,N/A
