timestamp,gpu_util_percent,memory_util_percent
1763310745,0,0
1763310747,0,0
1763310749,0,0
1763310751,0,0
1763310752,10,5
1763310753,72,21
1763310754,60,34
1763310755,64,31
1763310756,68,37
1763310757,61,31
1763310758,72,40
1763310759,62,35
1763310760,67,34
1763310761,69,36
1763310762,63,35
1763310763,63,30
1763310764,68,37
1763310765,61,31
1763310766,72,39
1763310767,62,35
1763310768,61,32
1763310769,70,38
1763310770,63,35
1763310772,65,32
1763310773,67,37
1763310774,62,31
1763310775,72,39
1763310776,62,35
1763310777,61,31
1763310778,72,39
1763310779,62,35
1763310780,69,37
1763310781,64,35
1763310782,64,30
1763310783,69,37
1763310784,61,32
1763310785,60,31
1763310786,69,36
1763310787,66,36
1763310788,60,31
1763310789,68,35
1763310790,67,37
1763310791,61,33
1763310792,61,32
1763310793,68,35
1763310794,67,37
1763310795,61,32
1763310796,69,36
1763310797,67,36
1763310798,61,31
1763310799,70,37
1763310800,66,33
1763310801,68,37
1763310802,61,34
1763310803,64,31
1763310804,71,38
1763310805,61,35
1763310806,65,32
1763310807,66,32
1763310808,69,37
1763310809,61,33
1763310811,66,33
1763310812,70,37
1763310813,61,35
1763310814,65,30
1763310815,72,39
1763310816,72,39
1763310817,62,34
1763310818,60,29
1763310819,56,31
1763310820,14,7
1763310821,63,30
1763310822,73,39
1763310823,62,35
1763310824,62,35
1763310825,61,29
1763310826,74,39
1763310827,64,35
1763310828,63,30
1763310829,70,36
1763310830,65,36
1763310831,64,35
1763310832,64,30
1763310833,73,39
1763310834,63,35
1763310835,69,34
1763310836,67,36
1763310837,60,31
1763310838,69,36
1763310839,71,37
1763310840,66,35
1763310841,61,30
1763310842,75,39
1763310843,63,35
1763310844,65,30
1763310845,72,38
1763310846,61,35
1763310847,62,34
1763310848,68,35
1763310849,68,35
1763310851,67,36
1763310852,61,31
1763310853,69,36
1763310854,72,39
1763310855,63,35
1763310856,64,30
1763310857,70,37
1763310858,61,33
1763310859,68,35
1763310860,67,36
1763310861,62,30
1763310862,61,29
1763310863,73,39
1763310864,62,35
1763310865,65,31
1763310866,69,37
1763310867,60,31
1763310868,70,36
1763310869,65,36
1763310870,63,35
1763310871,63,30
1763310872,71,38
1763310873,62,34
1763310874,69,36
1763310875,66,36
1763310876,62,29
1763310877,72,39
1763310878,72,38
1763310879,62,35
1763310880,68,35
1763310881,67,36
1763310882,61,31
1763310883,69,37
1763310884,67,37
1763310885,55,29
1763310886,64,35
1763310887,61,29
1763310888,72,39
1763310890,62,35
1763310891,64,31
1763310892,69,37
1763310893,61,34
1763310894,61,32
1763310895,70,36
1763310896,65,36
1763310897,62,29
1763310898,73,40
1763310899,63,35
1763310900,63,30
1763310901,70,37
1763310902,67,37
1763310903,61,31
1763310904,70,38
1763310905,65,36
1763310906,61,30
1763310907,73,40
1763310908,62,35
1763310909,62,36
1763310910,65,32
1763310911,69,37
1763310912,61,31
1763310913,70,36
1763310914,68,37
1763310915,62,31
1763310916,72,39
1763310917,72,39
1763310918,62,35
1763310919,67,34
1763310920,67,36
1763310921,62,31
1763310922,73,40
1763310923,62,35
1763310924,66,33
1763310925,70,36
1763310926,65,35
1763310927,62,29
1763310928,72,39
1763310930,63,35
1763310931,71,36
1763310932,66,36
1763310933,63,35
1763310934,64,30
1763310935,69,37
1763310936,62,32
1763310937,72,39
1763310938,63,35
1763310939,64,31
1763310940,71,37
1763310941,67,36
1763310942,62,30
1763310943,73,40
1763310944,62,35
1763310945,66,33
1763310946,68,37
1763310947,61,31
1763310948,70,36
1763310949,72,40
1763310950,67,36
1763310951,55,29
1763310952,61,29
1763310953,72,39
1763310954,63,35
1763310955,65,31
1763310956,67,33
1763310957,67,36
1763310958,61,32
1763310959,70,36
1763310960,66,36
1763310961,62,33
1763310962,69,36
1763310963,65,36
1763310964,64,35
1763310965,61,29
1763310966,72,39
1763310967,62,35
1763310968,62,30
1763310970,72,39
1763310971,62,35
1763310972,63,34
1763310973,65,31
1763310974,69,37
1763310975,61,33
1763310976,68,35
1763310977,66,36
1763310978,62,30
1763310979,72,39
1763310980,72,40
1763310981,63,35
1763310982,63,30
1763310983,71,38
1763310984,66,35
1763310985,62,30
1763310986,72,39
1763310987,62,35
1763310988,62,35
1763310989,66,32
1763310990,68,37
1763310991,63,32
1763310992,69,36
1763310993,69,36
1763310994,61,31
1763310995,62,29
1763310996,73,39
1763310997,62,35
1763310998,64,30
1763310999,71,38
1763311000,64,35
1763311001,66,33
1763311002,68,37
1763311003,66,36
1763311004,62,31
1763311005,72,38
1763311006,64,35
1763311007,62,29
1763311009,72,40
1763311010,63,35
1763311011,63,30
1763311012,63,30
1763311013,72,39
1763311014,62,35
1763311015,68,34
1763311016,67,36
1763311017,56,30
1763311018,58,30
1763311019,61,31
1763311020,73,40
1763311021,62,35
1763311022,65,31
1763311023,69,37
1763311024,62,31
1763311025,70,37
1763311026,65,35
1763311027,63,35
1763311028,65,30
1763311029,70,37
1763311030,62,33
1763311031,70,36
1763311032,65,36
1763311033,62,29
1763311034,28,15
1763311035,73,40
1763311036,62,35
1763311037,64,30
1763311038,70,37
1763311039,62,33
1763311040,71,36
1763311041,66,36
1763311042,67,36
1763311043,61,31
1763311044,70,36
1763311045,66,36
1763311046,63,31
1763311047,70,36
1763311049,67,36
1763311050,61,31
1763311051,62,31
1763311052,71,38
1763311053,64,35
1763311054,61,30
1763311055,72,40
1763311056,63,35
1763311057,62,30
1763311058,73,40
1763311059,72,39
1763311060,62,35
1763311061,63,30
1763311062,72,39
1763311063,63,35
1763311064,63,30
1763311065,72,39
1763311066,73,39
1763311067,63,35
1763311068,62,30
1763311069,73,39
1763311070,62,35
1763311071,65,30
1763311072,72,39
1763311073,62,35
1763311074,62,35
1763311075,63,30
1763311076,72,39
1763311077,62,34
1763311078,61,29
1763311079,73,40
1763311080,63,35
1763311081,63,35
1763311082,55,29
1763311083,31,17
1763311084,72,39
1763311085,63,35
1763311086,61,31
1763311087,72,36
1763311089,67,36
1763311090,66,36
1763311091,61,30
1763311092,72,39
1763311093,64,35
1763311094,61,29
1763311095,71,37
1763311096,65,36
1763311097,61,30
1763311098,61,29
1763311099,73,40
1763311100,64,35
1763311101,61,29
1763311102,72,39
1763311103,63,35
1763311104,62,29
1763311105,63,30
1763311106,71,38
1763311107,63,35
1763311108,66,31
1763311109,71,38
1763311110,62,35
1763311111,66,33
1763311112,68,37
1763311113,52,27
1763311114,67,36
1763311115,62,30
1763311116,69,34
1763311117,67,36
1763311118,61,32
1763311119,69,36
1763311120,70,36
1763311121,67,36
1763311122,61,31
1763311123,70,36
1763311124,66,36
1763311125,61,30
1763311126,72,39
1763311128,63,35
1763311129,65,34
1763311130,62,29
1763311131,73,39
1763311132,64,35
1763311133,61,29
1763311134,73,39
1763311135,63,35
1763311136,62,35
1763311137,61,30
1763311138,72,39
1763311139,64,35
1763311140,61,29
1763311141,74,40
1763311142,63,35
1763311143,68,37
1763311144,58,33
1763311145,60,29
1763311146,54,30
1763311147,71,39
1763311148,56,27
1763311149,68,37
1763311150,54,29
1763311151,72,39
1763311152,72,39
1763311153,62,35
1763311154,62,29
1763311155,72,40
1763311156,64,35
1763311157,61,29
1763311158,72,39
1763311159,73,39
1763311160,65,35
1763311161,61,29
1763311162,74,39
1763311163,63,35
1763311164,64,29
1763311165,73,40
1763311167,62,35
1763311168,62,35
1763311169,62,29
1763311170,72,39
1763311171,62,35
1763311172,63,30
1763311173,72,39
1763311174,63,34
1763311175,61,35
1763311176,63,30
1763311177,72,39
1763311178,61,35
1763311179,63,30
1763311180,72,39
1763311181,63,35
1763311182,62,30
