timestamp,power_draw_w
1763452742,72.48
1763452744,72.29
1763452746,72.36
1763452748,72.66
1763452750,71.15
1763452752,72.12
1763452754,71.99
1763452756,71.96
1763452758,72.07
1763452760,72.14
1763452761,71.62
1763452763,71.44
1763452765,71.70
1763452767,71.45
1763452769,71.59
1763452771,71.24
1763452773,71.26
1763452775,71.05
1763452777,71.02
1763452779,71.09
1763452781,71.21
1763452783,73.47
1763452786,66.63
1763452788,73.19
1763452790,70.80
1763452792,70.80
1763452794,70.67
1763452796,72.98
1763452798,79.33
1763452800,72.74
1763452803,73.03
1763452805,78.66
1763452808,77.32
1763452811,79.17
1763452813,70.36
1763452816,70.27
1763452819,79.12
1763452822,70.53
1763452824,70.27
1763452827,70.26
1763452830,70.16
1763452832,78.73
1763452835,72.71
1763452837,78.90
1763452839,78.86
1763452841,70.09
1763452844,72.63
1763452846,69.26
1763452849,78.63
1763452851,78.87
1763452854,70.24
1763452857,70.40
1763452859,70.33
1763452861,79.05
1763452865,73.61
1763452869,70.78
1763452873,80.30
1763452877,77.25
1763452882,68.91
1763452885,71.67
1763452888,67.98
1763452891,76.81
1763452896,80.57
1763452898,71.51
1763452901,71.53
1763452904,71.31
1763452908,71.20
1763452910,71.16
1763452913,77.95
1763452917,71.11
1763452920,80.06
1763452922,73.80
1763452925,79.88
1763452928,79.68
1763452931,75.33
1763452935,79.85
1763452939,78.88
1763452942,70.66
1763452944,72.45
1763452948,72.29
1763452952,70.20
1763452957,79.40
1763452961,70.51
1763452964,66.02
1763452969,77.91
1763452971,70.26
1763452974,66.26
1763452977,65.58
1763452982,77.75
1763452986,70.15
1763452990,66.93
1763452994,74.19
1763452998,79.10
1763453001,70.10
1763453003,73.33
1763453007,70.17
1763453009,78.77
1763453012,76.09
1763453016,61.94
1763453020,78.49
1763453023,71.71
1763453026,47.50
1763453029,65.93
1763453032,72.40
1763453035,68.65
1763453038,68.46
1763453043,70.11
1763453046,69.40
1763453048,78.67
1763453051,57.03
1763453055,63.69
1763453059,66.73
1763453064,69.34
1763453066,65.05
1763453071,69.22
1763453073,78.14
1763453076,77.79
1763453080,69.03
1763453082,62.69
1763453086,77.74
1763453088,71.43
1763453091,69.16
1763453093,77.90
1763453096,77.73
1763453099,61.76
1763453104,71.36
1763453107,77.41
1763453109,77.69
1763453112,72.47
1763453116,77.50
1763453119,71.00
1763453121,72.97
1763453125,68.87
1763453127,68.83
1763453130,76.98
1763453132,71.32
1763453135,68.81
1763453138,74.61
1763453141,68.89
1763453144,69.23
1763453146,77.54
1763453150,77.39
1763453153,66.97
1763453157,77.63
1763453161,77.47
1763453163,77.34
1763453167,77.06
1763453171,68.83
1763453174,77.48
1763453176,68.79
1763453179,74.02
1763453183,56.66
1763453185,77.39
1763453188,77.39
1763453192,52.53
1763453196,77.49
1763453199,68.75
1763453201,68.01
1763453205,73.32
1763453209,68.86
1763453211,70.95
1763453215,68.97
1763453218,68.86
1763453220,68.95
1763453222,77.29
1763453225,77.36
1763453228,77.15
1763453231,74.43
1763453234,71.76
1763453237,77.28
1763453241,72.87
1763453243,70.18
1763453248,68.25
1763453250,76.86
1763453253,68.25
1763453256,61.41
1763453260,69.05
1763453264,76.86
1763453267,56.95
1763453271,77.32
1763453275,77.11
1763453277,69.42
1763453282,69.19
1763453285,69.86
1763453289,51.98
1763453293,77.25
1763453297,77.18
1763453300,68.72
1763453303,50.67
1763453307,68.75
1763453310,76.76
1763453314,68.73
1763453317,74.06
1763453320,68.05
1763453323,68.72
1763453325,76.89
1763453328,76.68
1763453330,70.81
1763453333,70.27
1763453336,66.04
1763453339,77.00
1763453343,70.24
1763453346,68.67
1763453348,72.98
1763453351,76.94
1763453355,70.80
1763453359,43.69
1763453362,68.50
1763453364,73.90
1763453368,63.93
1763453372,71.00
1763453377,76.27
1763453380,68.60
1763453382,77.00
1763453386,77.22
1763453389,73.68
1763453393,68.62
1763453397,53.33
1763453399,77.03
1763453402,74.14
1763453404,66.64
1763453408,64.69
1763453413,77.23
1763453415,73.97
1763453419,67.10
1763453423,68.32
1763453426,76.74
1763453429,68.32
1763453432,75.19
1763453436,50.04
1763453439,73.61
1763453443,49.27
1763453445,68.29
1763453448,71.08
1763453451,76.72
1763453454,76.76
1763453458,77.08
1763453461,68.49
1763453464,68.52
1763453467,77.42
1763453469,76.98
1763453472,76.78
1763453476,68.28
1763453479,67.63
1763453482,76.35
1763453485,68.62
1763453488,68.51
1763453491,68.62
1763453494,68.33
1763453498,68.18
1763453501,68.90
1763453503,76.52
1763453506,77.02
1763453509,76.74
1763453512,73.74
1763453516,68.37
1763453518,76.87
1763453521,68.44
1763453523,70.73
1763453526,68.22
1763453528,77.09
1763453531,77.15
1763453533,76.69
1763453537,73.44
1763453540,76.55
1763453544,68.65
1763453547,76.81
1763453551,77.08
1763453555,73.45
1763453559,66.78
1763453563,68.14
1763453566,66.09
1763453569,68.28
1763453571,68.49
1763453573,68.12
1763453576,68.38
1763453578,68.57
1763453581,68.50
1763453584,68.49
1763453586,76.68
1763453588,76.50
1763453592,68.61
1763453594,77.11
1763453596,68.41
1763453598,77.02
1763453601,68.83
1763453603,68.67
1763453606,70.81
1763453608,76.96
1763453611,77.22
1763453613,70.99
1763453616,53.44
1763453618,77.09
1763453621,77.33
1763453623,68.70
1763453625,68.72
1763453627,71.12
1763453629,71.03
1763453631,48.91
1763453633,70.99
1763453635,68.88
1763453638,71.33
1763453640,71.11
1763453642,71.02
1763453644,68.76
1763453646,71.10
1763453648,68.93
1763453650,71.34
1763453652,71.28
