timestamp,gpu_util_percent,memory_util_percent
1763547044,0,0
1763547046,0,0
1763547048,0,0
1763547050,0,0
1763547051,28,8
1763547052,59,31
1763547053,65,49
1763547054,65,49
1763547055,60,45
1763547056,70,53
1763547057,70,52
1763547058,70,52
1763547059,71,53
1763547060,70,51
1763547061,69,51
1763547062,69,51
1763547063,70,52
1763547064,71,53
1763547065,69,51
1763547066,71,53
1763547067,68,50
1763547068,71,53
1763547069,69,51
1763547070,70,52
1763547071,71,54
1763547072,70,52
1763547073,72,54
1763547074,69,51
1763547075,69,51
1763547076,70,51
1763547077,70,52
1763547078,70,52
1763547079,70,52
1763547081,71,52
1763547082,69,51
1763547083,72,53
1763547084,70,52
1763547085,67,50
1763547086,69,51
1763547087,71,52
1763547088,69,55
1763547089,70,52
1763547090,71,53
1763547091,69,51
1763547092,71,53
1763547093,70,52
1763547094,70,52
1763547095,70,52
1763547096,69,51
1763547097,70,52
1763547098,70,52
1763547099,60,44
1763547100,70,52
1763547101,71,52
1763547102,68,50
1763547103,66,49
1763547104,65,49
1763547105,62,45
1763547106,59,43
1763547107,58,42
1763547108,67,50
1763547109,66,49
1763547110,62,45
1763547111,61,44
1763547112,70,51
1763547113,69,51
1763547114,70,52
1763547115,70,53
1763547117,69,51
1763547118,67,50
1763547119,67,50
1763547120,66,49
1763547121,64,47
1763547122,69,51
1763547123,70,52
1763547124,69,51
1763547125,71,56
1763547126,70,52
1763547127,69,51
1763547128,66,49
1763547129,67,49
1763547130,66,49
1763547131,66,49
1763547132,68,50
1763547133,68,50
1763547134,70,51
1763547135,68,50
1763547136,69,51
1763547137,69,51
1763547138,70,52
1763547139,61,45
1763547140,70,52
1763547141,70,52
1763547142,70,52
1763547143,69,51
1763547144,70,52
1763547145,70,52
1763547146,69,51
1763547147,69,51
1763547148,72,53
1763547149,69,51
1763547150,71,53
1763547151,70,51
1763547153,70,52
1763547154,71,52
1763547155,61,45
1763547156,71,53
1763547157,70,51
1763547158,71,52
1763547159,63,47
1763547160,69,51
1763547161,71,53
1763547162,68,55
1763547163,66,49
1763547164,71,52
1763547165,70,52
1763547166,69,51
1763547167,70,51
1763547168,71,52
1763547169,70,51
1763547170,65,48
1763547171,70,52
1763547172,70,52
1763547173,69,51
1763547174,65,48
1763547175,61,45
1763547176,64,47
1763547177,64,47
1763547178,62,45
1763547179,65,49
1763547180,67,50
1763547181,66,49
1763547182,71,52
1763547183,66,49
1763547184,72,53
1763547185,68,51
1763547186,68,51
1763547187,70,52
1763547188,69,51
1763547190,70,52
1763547191,70,52
1763547192,69,51
1763547193,70,52
1763547194,71,53
1763547195,70,52
1763547196,71,52
1763547197,68,50
1763547198,66,49
1763547199,74,59
1763547200,70,52
1763547201,69,51
1763547202,70,51
1763547203,70,52
1763547204,60,43
1763547205,70,52
1763547206,69,51
1763547207,71,53
1763547208,71,53
1763547209,70,51
1763547210,70,51
1763547211,71,53
1763547212,70,51
1763547213,70,52
1763547214,71,53
1763547215,71,52
1763547216,72,54
1763547217,71,52
1763547218,71,54
1763547219,71,52
1763547220,71,53
1763547221,72,53
1763547222,70,51
1763547223,71,53
1763547224,72,53
1763547226,70,51
1763547227,71,53
1763547228,69,51
1763547229,71,53
1763547230,71,52
1763547231,69,51
1763547232,69,51
1763547233,61,45
1763547234,63,46
1763547235,64,51
1763547236,71,53
1763547237,69,51
1763547238,71,53
1763547239,63,46
1763547240,63,46
1763547241,70,52
1763547242,69,51
1763547243,70,52
1763547244,70,52
1763547245,69,51
1763547246,69,51
1763547247,69,51
1763547248,72,54
1763547249,69,51
1763547250,70,52
1763547251,70,52
1763547252,69,51
1763547253,69,51
1763547254,70,52
1763547255,69,51
1763547256,69,51
1763547257,70,52
1763547258,70,52
1763547259,70,52
1763547260,69,51
1763547261,69,51
1763547263,65,48
1763547264,70,52
1763547265,69,51
1763547266,69,51
1763547267,69,51
1763547268,69,52
1763547269,69,51
1763547270,69,51
1763547271,71,53
1763547272,10,8
1763547273,70,51
1763547274,71,52
1763547275,69,51
1763547276,70,52
1763547277,71,52
1763547278,69,51
1763547279,69,51
1763547280,66,49
1763547281,66,49
1763547282,65,48
1763547283,67,50
1763547284,67,50
1763547285,63,47
1763547286,61,45
1763547287,63,46
1763547288,67,50
1763547289,66,49
1763547290,61,45
1763547291,60,44
1763547292,61,44
1763547293,66,50
1763547294,66,49
1763547295,70,52
1763547296,70,52
1763547297,70,52
1763547298,69,51
1763547300,70,52
1763547301,70,52
1763547302,69,51
1763547303,69,51
1763547304,71,52
1763547305,70,52
1763547306,64,48
1763547307,70,52
1763547308,71,53
1763547309,66,52
1763547310,70,52
1763547311,71,53
1763547312,69,51
1763547313,71,52
1763547314,66,48
1763547315,67,50
1763547316,66,49
1763547317,64,48
1763547318,71,53
1763547319,70,52
1763547320,67,50
1763547321,70,51
1763547322,71,53
1763547323,69,51
1763547324,72,53
1763547325,70,52
1763547326,71,53
1763547327,70,52
1763547328,71,52
1763547329,70,52
1763547330,70,52
1763547331,69,51
1763547332,69,51
1763547333,70,52
1763547334,70,52
1763547335,69,51
1763547336,71,53
1763547338,71,52
1763547339,67,50
1763547340,67,50
1763547341,70,52
1763547342,71,52
1763547343,71,54
1763547344,70,51
1763547345,54,42
1763547346,69,51
1763547347,71,52
1763547348,71,52
1763547349,68,51
1763547350,65,48
1763547351,71,53
1763547352,62,45
1763547353,62,46
1763547354,70,51
1763547355,69,51
1763547356,67,50
1763547357,71,52
1763547358,71,53
1763547359,69,51
1763547360,71,53
1763547361,71,51
1763547362,71,52
1763547363,70,52
1763547364,69,51
1763547365,66,49
1763547366,66,49
1763547367,62,46
1763547368,61,44
1763547369,71,53
1763547370,69,51
1763547372,70,52
1763547373,62,46
1763547374,61,45
1763547375,70,52
1763547376,69,51
1763547377,70,52
1763547378,70,52
1763547379,69,51
1763547380,67,49
1763547381,69,51
1763547382,60,48
1763547383,69,51
1763547384,69,51
1763547385,71,51
1763547386,67,49
1763547387,71,53
1763547388,69,51
1763547389,70,51
1763547390,70,52
1763547391,69,51
1763547392,69,51
1763547393,67,50
1763547394,71,51
1763547395,71,53
1763547396,69,51
1763547397,66,49
1763547398,71,52
1763547399,69,51
1763547400,69,51
1763547401,70,52
1763547402,68,51
1763547403,71,53
1763547404,72,53
1763547405,65,49
1763547406,70,52
1763547407,70,52
1763547409,70,52
1763547410,65,46
1763547411,70,51
1763547412,69,51
1763547413,70,52
1763547414,70,52
1763547415,70,52
1763547416,69,51
1763547417,71,51
1763547418,71,52
1763547419,0,0
1763547420,71,52
1763547421,70,52
1763547422,69,51
1763547423,70,52
1763547424,64,47
1763547425,69,51
1763547426,71,51
1763547427,70,52
1763547428,70,53
1763547429,69,51
1763547430,70,52
1763547431,71,52
1763547432,72,52
1763547433,71,52
1763547434,71,53
1763547435,69,51
1763547436,70,51
1763547437,71,53
1763547438,65,48
1763547439,74,54
1763547440,70,51
1763547441,61,45
1763547442,61,45
1763547443,65,47
1763547445,66,50
1763547446,66,49
1763547447,65,48
1763547448,61,45
1763547449,68,50
1763547450,71,52
1763547451,70,53
1763547452,70,51
1763547453,72,52
1763547454,70,51
1763547455,67,49
1763547456,66,52
1763547457,72,53
1763547458,71,53
