timestamp,power_draw_w
1763549407,76.81
1763549409,79.15
1763549411,79.18
1763549413,85.39
1763549414,102.35
1763549415,174.07
1763549416,244.91
1763549417,256.44
1763549418,258.61
1763549419,251.55
1763549420,248.81
1763549421,259.27
1763549422,258.46
1763549423,260.58
1763549424,258.68
1763549425,259.67
1763549426,260.08
1763549427,260.48
1763549428,261.84
1763549429,262.24
1763549431,238.47
1763549432,262.37
1763549433,260.66
1763549434,262.97
1763549435,263.84
1763549436,263.45
1763549437,259.55
1763549438,260.76
1763549439,260.71
1763549440,260.98
1763549441,261.82
1763549442,256.73
1763549443,262.17
1763549444,260.33
1763549445,252.24
1763549446,252.57
1763549447,247.67
1763549448,257.19
1763549449,261.22
1763549450,261.95
1763549451,248.93
1763549452,239.88
1763549453,254.17
1763549454,263.21
1763549455,263.81
1763549456,264.46
1763549457,265.21
1763549458,264.85
1763549459,265.55
1763549460,265.17
1763549461,259.56
1763549462,253.99
1763549463,265.80
1763549464,267.27
1763549465,266.55
1763549466,266.45
1763549467,266.88
1763549468,266.81
1763549470,266.46
1763549471,266.47
1763549472,266.93
1763549473,266.29
1763549474,267.10
1763549475,266.73
1763549476,267.14
1763549477,267.70
1763549478,267.09
1763549479,267.80
1763549480,267.48
1763549481,267.62
1763549482,267.75
1763549483,266.61
1763549484,267.10
1763549485,266.95
1763549486,267.82
1763549487,254.72
1763549488,247.18
1763549489,258.86
1763549490,265.86
1763549491,263.24
1763549492,265.28
1763549493,266.76
1763549494,265.32
1763549495,266.05
1763549496,262.79
1763549497,265.27
1763549498,266.86
1763549499,266.11
1763549500,266.27
1763549501,261.12
1763549502,260.16
1763549503,266.29
1763549504,266.68
1763549505,267.38
1763549507,267.76
1763549508,265.51
1763549509,266.79
1763549510,266.38
1763549511,266.60
1763549512,266.66
1763549513,266.81
1763549514,254.38
1763549515,255.91
1763549516,267.42
1763549517,265.70
1763549518,258.03
1763549519,258.47
1763549520,240.82
1763549521,257.60
1763549522,258.76
1763549523,258.89
1763549524,257.51
1763549525,250.13
1763549526,254.20
