timestamp,gpu_util_percent,memory_util_percent
1763631207,0,0
1763631209,0,0
1763631211,0,0
1763631213,0,0
1763631214,5,0
1763631215,98,44
1763631216,98,38
1763631217,99,70
1763631218,99,73
1763631219,99,71
1763631220,99,71
1763631221,99,75
1763631222,98,78
1763631223,98,78
1763631224,99,78
1763631225,99,72
1763631226,99,70
1763631227,99,73
1763631228,99,70
1763631229,99,74
1763631230,98,77
1763631231,98,78
1763631232,99,76
1763631233,99,71
1763631234,99,70
1763631235,99,71
1763631236,99,69
1763631237,98,75
1763631238,98,77
1763631239,99,72
1763631240,99,69
1763631241,99,74
1763631242,99,71
1763631243,98,78
1763631244,99,78
1763631245,99,71
1763631247,99,70
1763631248,98,77
1763631249,99,77
1763631250,99,70
1763631251,99,72
1763631252,99,69
1763631253,98,75
1763631254,99,77
1763631255,99,70
1763631256,99,72
1763631257,98,78
1763631258,98,77
1763631259,99,77
1763631260,99,67
1763631261,98,76
1763631262,99,68
1763631263,98,75
1763631264,99,69
1763631265,98,72
1763631266,98,74
1763631267,99,66
1763631268,98,74
1763631269,99,66
1763631270,99,74
1763631271,99,68
1763631272,99,69
1763631273,98,72
1763631274,99,74
1763631275,99,69
1763631276,47,34
1763631277,98,68
1763631278,98,71
1763631279,99,68
1763631280,98,75
1763631281,99,72
1763631282,99,72
1763631283,99,69
1763631284,98,73
1763631286,99,67
1763631287,98,74
1763631288,99,66
1763631289,99,74
1763631290,99,68
1763631291,98,75
1763631292,99,66
1763631293,98,73
1763631294,99,66
1763631295,99,73
1763631296,99,70
1763631297,98,75
1763631298,99,66
1763631299,99,75
1763631300,99,67
1763631301,99,73
1763631302,99,71
1763631303,99,69
1763631304,98,72
1763631305,99,74
1763631306,99,67
1763631307,99,72
1763631308,99,72
1763631309,99,69
1763631310,98,73
1763631311,99,67
1763631312,98,75
1763631313,99,71
1763631314,99,72
1763631315,99,69
1763631316,98,73
1763631317,99,67
1763631318,98,75
1763631319,99,66
1763631320,99,72
1763631321,99,69
1763631322,98,73
1763631323,99,67
1763631324,98,75
1763631326,99,66
1763631327,99,74
1763631328,99,66
1763631329,98,73
1763631330,99,67
1763631331,98,75
1763631332,99,66
1763631333,99,74
1763631334,99,66
1763631335,99,74
1763631336,99,67
1763631337,98,75
1763631338,99,66
1763631339,99,73
1763631340,99,66
1763631341,98,69
1763631342,63,42
1763631343,99,72
1763631344,98,75
1763631345,99,66
1763631346,98,75
1763631347,99,66
