timestamp,power_draw_w
1764157011,74.60
1764157013,74.39
1764157015,83.62
1764157016,84.07
1764157017,84.15
1764157018,84.25
1764157019,84.23
1764157020,84.26
1764157021,84.22
1764157022,84.30
1764157023,84.45
1764157024,84.51
1764157025,84.58
1764157026,18.24
1764157027,5.93
1764157028,5.73
1764157029,5.49
1764157030,5.35
1764157031,5.34
1764157032,5.45
1764157033,5.23
1764157034,5.24
1764157035,5.42
1764157036,5.08
1764157037,5.25
1764157039,5.43
1764157040,5.26
1764157041,5.11
1764157042,5.27
1764157043,5.09
1764157044,5.16
1764157045,5.15
1764157046,5.00
1764157047,5.01
1764157048,5.13
1764157049,4.97
1764157050,4.94
1764157051,5.07
1764157052,26.09
1764157053,82.49
1764157054,83.03
1764157055,83.00
1764157056,109.83
1764157057,263.00
1764157058,264.35
1764157059,264.03
1764157060,267.89
1764157061,266.11
1764157062,269.81
1764157063,271.30
1764157064,269.86
1764157065,270.94
1764157066,271.42
1764157067,270.45
1764157068,275.07
1764157069,273.55
1764157070,272.60
1764157071,277.04
1764157072,273.87
1764157073,274.38
1764157074,271.53
1764157075,271.93
1764157077,274.58
1764157078,276.90
1764157079,274.78
1764157080,276.91
1764157081,274.37
1764157082,277.93
1764157083,275.29
1764157084,278.13
1764157085,277.41
1764157086,279.02
1764157087,277.16
1764157088,279.17
1764157089,277.45
1764157090,281.55
1764157091,277.86
1764157092,280.00
1764157093,277.79
1764157094,279.87
1764157095,277.62
1764157096,279.53
1764157097,276.31
1764157098,276.53
1764157099,278.54
1764157100,277.80
1764157101,278.44
1764157102,278.19
1764157103,277.54
1764157104,280.67
1764157105,277.98
1764157106,276.32
1764157107,280.75
1764157108,281.38
1764157109,277.25
1764157110,281.71
1764157111,280.50
1764157112,277.29
1764157113,282.30
1764157114,278.64
1764157116,281.29
1764157117,280.93
1764157118,280.81
1764157119,282.02
1764157120,279.23
1764157121,280.87
1764157122,281.14
1764157123,280.34
1764157124,284.89
1764157125,282.81
1764157126,281.03
1764157127,280.89
1764157128,283.83
1764157129,280.70
1764157130,281.09
1764157131,281.37
1764157132,282.22
1764157133,280.85
1764157134,281.62
1764157135,280.15
1764157136,280.20
1764157137,280.06
1764157138,283.35
1764157139,280.52
1764157140,279.66
1764157141,281.56
1764157142,277.85
1764157143,279.96
1764157144,279.28
1764157145,280.83
1764157146,280.23
1764157147,284.73
1764157148,283.45
1764157149,280.61
1764157150,285.11
1764157151,280.64
1764157152,281.64
1764157153,280.41
1764157154,282.62
1764157156,284.65
1764157157,284.59
1764157158,282.45
1764157159,282.67
1764157160,282.79
1764157161,280.63
1764157162,278.06
1764157163,279.31
1764157164,279.67
1764157165,280.87
1764157166,280.54
1764157167,279.51
1764157168,281.20
1764157169,282.97
1764157170,282.66
1764157171,282.19
1764157172,283.85
1764157173,282.32
1764157174,283.21
1764157175,283.12
1764157176,282.33
1764157177,281.24
1764157178,280.30
1764157179,283.05
1764157180,284.17
1764157181,284.33
1764157182,283.72
1764157183,283.77
1764157184,283.19
1764157185,286.14
1764157186,281.57
1764157187,285.61
1764157188,283.49
1764157189,284.09
1764157190,283.80
1764157191,285.02
1764157192,286.23
1764157193,279.35
1764157195,282.00
1764157196,281.95
1764157197,280.26
1764157198,282.61
1764157199,283.06
1764157200,285.67
1764157201,283.01
1764157202,285.98
1764157203,283.23
1764157204,283.29
1764157205,283.01
1764157206,285.38
1764157207,282.11
1764157208,284.06
1764157209,283.43
1764157210,285.36
1764157211,280.24
1764157212,282.12
1764157213,284.97
1764157214,281.91
1764157215,286.44
1764157216,284.28
1764157217,283.86
1764157218,285.11
1764157219,284.08
1764157220,283.90
1764157221,283.74
1764157222,282.74
1764157223,284.46
1764157224,282.58
1764157225,282.03
1764157226,284.15
1764157227,283.07
1764157228,284.06
1764157229,284.21
1764157230,283.71
1764157231,283.71
1764157232,282.10
1764157234,282.95
1764157235,286.98
1764157236,284.38
1764157237,286.00
1764157238,283.62
