timestamp,gpu_util_percent,memory_util_percent
1764159335,0,0
1764159337,0,0
1764159339,0,0
1764159340,0,0
1764159341,0,0
1764159343,0,0
1764159344,0,0
1764159345,0,0
1764159346,0,0
1764159347,0,0
1764159348,0,0
1764159349,0,0
1764159350,0,0
1764159351,0,0
1764159352,0,0
1764159353,0,0
1764159354,0,0
1764159355,0,0
1764159356,0,0
1764159357,0,0
1764159358,0,0
1764159359,0,0
1764159360,0,0
1764159361,0,0
1764159362,0,0
1764159363,0,0
1764159364,0,0
1764159365,0,0
1764159366,0,0
1764159367,0,0
1764159368,0,0
1764159369,0,0
1764159370,0,0
1764159371,0,0
1764159372,0,0
1764159373,0,0
1764159374,0,0
1764159375,0,0
1764159376,0,0
1764159377,8,0
1764159379,7,0
1764159380,8,0
1764159381,7,0
1764159382,91,71
1764159383,93,77
1764159384,91,77
1764159385,95,78
1764159386,91,75
1764159387,90,75
1764159388,89,75
1764159389,90,75
1764159390,90,75
1764159391,93,77
1764159392,95,77
1764159393,91,76
1764159394,93,77
1764159395,95,77
1764159396,95,78
1764159397,91,75
1764159398,91,75
1764159399,90,75
1764159400,91,75
1764159401,91,75
1764159402,89,74
1764159403,89,74
1764159404,89,75
1764159405,90,75
1764159406,91,76
1764159407,93,77
1764159408,89,74
1764159409,92,76
1764159410,94,77
1764159411,95,77
1764159412,95,77
1764159413,93,76
1764159414,91,75
1764159415,94,76
1764159416,95,77
1764159418,93,76
1764159419,91,75
1764159420,91,76
1764159421,89,74
1764159422,89,74
1764159423,90,74
1764159424,91,75
1764159425,91,76
1764159426,90,75
1764159427,89,74
1764159428,90,75
1764159429,90,75
1764159430,89,74
1764159431,89,74
1764159432,89,74
1764159433,90,75
1764159434,91,75
1764159435,93,77
1764159436,93,76
1764159437,95,77
1764159438,90,75
1764159439,92,76
1764159440,94,77
1764159441,93,76
1764159442,95,77
1764159443,94,76
1764159444,91,74
1764159445,93,75
1764159446,95,77
1764159447,95,76
1764159448,92,75
1764159449,91,75
1764159450,91,76
1764159451,89,74
1764159452,89,74
1764159453,93,76
1764159454,91,74
1764159456,90,75
1764159457,90,75
1764159458,89,74
1764159459,90,74
1764159460,89,74
1764159461,90,74
1764159462,91,74
1764159463,91,75
1764159464,90,75
1764159465,90,75
1764159466,90,74
1764159467,90,74
1764159468,90,73
1764159469,95,77
1764159470,95,76
1764159471,93,75
1764159472,92,74
1764159473,91,74
1764159474,91,74
1764159475,91,75
1764159476,93,76
1764159477,93,74
1764159478,93,75
1764159479,95,76
1764159480,95,77
1764159481,95,76
1764159482,95,74
1764159483,95,77
1764159484,90,73
1764159485,90,74
1764159486,89,74
1764159487,89,74
1764159488,89,74
1764159489,90,74
1764159490,89,74
1764159491,91,75
1764159492,90,74
1764159494,91,75
1764159495,90,74
1764159496,91,75
1764159497,91,75
1764159498,91,74
1764159499,91,74
1764159500,93,75
1764159501,93,75
1764159502,93,75
1764159503,93,74
1764159504,93,75
1764159505,93,74
1764159506,93,75
1764159507,89,74
1764159508,89,73
1764159509,89,74
1764159510,89,73
1764159511,89,73
1764159512,89,74
1764159513,89,74
1764159514,89,73
1764159515,93,74
1764159516,93,75
1764159517,90,72
1764159518,91,71
1764159519,94,72
1764159520,90,71
1764159521,91,70
1764159522,95,72
1764159523,95,71
1764159524,93,73
1764159525,90,70
1764159526,95,72
1764159527,90,71
1764159528,91,71
1764159529,95,72
1764159530,93,71
1764159531,94,72
1764159532,90,71
1764159534,91,70
1764159535,94,72
1764159536,89,71
1764159537,92,71
1764159538,93,71
1764159539,95,72
1764159540,92,72
1764159541,90,71
1764159542,95,72
1764159543,91,72
1764159544,90,71
1764159545,95,72
1764159546,91,71
1764159547,95,72
1764159548,90,71
1764159549,91,71
1764159550,95,73
1764159551,90,71
1764159552,91,71
1764159553,95,72
1764159554,92,70
1764159555,93,71
1764159556,90,71
1764159557,91,70
1764159558,93,72
1764159559,90,71
1764159560,91,70
1764159561,94,72
1764159562,95,72
1764159563,94,72
1764159564,90,71
1764159565,95,72
1764159566,94,73
1764159567,90,71
1764159568,91,72
1764159569,90,71
1764159570,95,72
1764159572,93,73
1764159573,90,71
1764159574,95,72
1764159575,94,73
1764159576,90,71
1764159577,90,71
1764159578,90,71
1764159579,95,72
1764159580,93,73
1764159581,90,71
1764159582,95,72
1764159583,92,70
1764159584,95,72
1764159585,94,73
1764159586,90,71
1764159587,94,72
1764159588,94,72
1764159589,90,71
