timestamp,power_draw_w
1763471686,76.38
1763471687,76.46
1763471689,85.14
1763471690,85.78
1763471691,85.86
1763471692,85.87
1763471693,85.97
1763471694,86.04
1763471695,86.00
1763471696,86.04
1763471697,85.88
1763471698,86.03
1763471700,86.05
1763471701,18.40
1763471702,5.98
1763471703,5.73
1763471704,5.47
1763471705,5.32
1763471706,5.29
1763471707,5.43
1763471708,5.26
1763471709,5.21
1763471710,5.31
1763471711,5.37
1763471712,5.32
1763471713,5.07
1763471714,5.06
1763471715,5.21
1763471716,4.99
1763471717,5.00
1763471718,4.72
1763471719,4.87
1763471720,5.08
1763471721,4.97
1763471722,4.95
1763471723,5.08
1763471724,4.97
1763471725,5.00
1763471726,18.55
1763471727,83.83
1763471728,83.88
1763471729,84.03
1763471730,100.56
1763471731,259.23
1763471732,268.66
1763471733,268.08
1763471734,270.24
1763471735,269.65
1763471736,272.27
1763471737,273.95
1763471739,271.57
1763471740,272.53
1763471741,270.34
1763471742,269.12
1763471743,273.44
1763471744,272.03
1763471745,272.44
1763471746,275.28
1763471747,271.61
1763471748,273.87
1763471749,272.34
1763471750,273.65
1763471751,274.85
1763471752,276.72
1763471753,275.43
1763471754,277.46
1763471755,275.89
1763471756,279.36
1763471757,274.68
1763471758,276.44
1763471759,275.32
1763471760,276.59
1763471761,275.13
1763471762,277.53
1763471763,278.52
1763471764,279.15
1763471765,276.25
1763471766,279.55
1763471767,277.53
1763471768,279.68
1763471769,278.42
1763471770,280.88
1763471771,278.61
1763471772,279.26
1763471773,280.21
1763471774,281.78
1763471775,282.28
1763471776,281.25
1763471777,280.92
1763471779,281.02
1763471780,280.64
1763471781,281.36
1763471782,283.31
1763471783,281.30
1763471784,282.56
1763471785,282.34
1763471786,281.20
1763471787,279.48
1763471788,283.43
1763471789,280.32
1763471790,282.14
1763471791,281.19
1763471792,279.13
1763471793,280.99
1763471794,280.03
1763471795,280.57
1763471796,281.33
1763471797,281.97
1763471798,280.91
1763471799,281.13
1763471800,279.02
1763471801,282.45
1763471802,281.45
1763471803,282.79
1763471804,282.44
1763471805,280.08
1763471806,283.23
1763471807,280.36
1763471808,281.42
1763471809,281.25
1763471810,279.40
1763471811,280.53
1763471812,281.86
1763471813,279.57
1763471814,281.47
1763471815,281.56
1763471816,280.15
1763471817,281.47
1763471819,282.39
1763471820,279.89
1763471821,282.12
1763471822,284.08
1763471823,281.43
1763471824,283.40
1763471825,282.74
1763471826,281.10
1763471827,281.72
1763471828,282.78
1763471829,284.41
1763471830,283.98
1763471831,282.78
1763471832,280.48
1763471833,283.32
1763471834,282.13
1763471835,279.48
1763471836,280.99
1763471837,281.87
1763471838,280.75
1763471839,280.90
1763471840,279.68
1763471841,280.51
1763471842,282.41
1763471843,282.77
1763471844,283.02
1763471845,284.67
1763471846,281.86
1763471847,280.50
1763471848,283.47
1763471849,280.67
1763471850,280.68
1763471851,281.77
1763471852,280.87
1763471853,283.29
1763471854,283.22
1763471855,282.42
1763471856,282.44
1763471857,284.39
1763471859,284.55
1763471860,281.92
1763471861,284.25
1763471862,282.08
1763471863,283.87
1763471864,283.23
1763471865,283.29
1763471866,283.15
1763471867,279.65
1763471868,281.81
1763471869,282.15
1763471870,279.56
1763471871,282.82
1763471872,281.16
1763471873,285.13
1763471874,283.97
1763471875,283.50
1763471876,282.72
1763471877,281.56
1763471878,282.57
1763471879,283.58
1763471880,281.53
