timestamp,gpu_temp_c,memory_temp_c
1763503982,83,N/A
1763503983,83,N/A
1763503984,83,N/A
1763503985,82,N/A
1763503986,82,N/A
1763503987,82,N/A
1763503988,82,N/A
1763503989,83,N/A
1763503990,83,N/A
1763503991,83,N/A
1763503992,83,N/A
1763503993,83,N/A
1763503994,83,N/A
1763503995,83,N/A
1763503996,83,N/A
1763503997,83,N/A
1763503998,83,N/A
1763503999,83,N/A
1763504000,82,N/A
1763504001,83,N/A
1763504002,83,N/A
1763504003,82,N/A
1763504004,82,N/A
1763504005,83,N/A
1763504006,82,N/A
1763504007,83,N/A
1763504008,83,N/A
1763504009,82,N/A
1763504010,83,N/A
1763504011,83,N/A
1763504012,83,N/A
1763504013,83,N/A
1763504014,83,N/A
1763504015,82,N/A
1763504016,83,N/A
1763504017,83,N/A
1763504018,82,N/A
1763504019,83,N/A
1763504020,82,N/A
1763504022,83,N/A
1763504023,83,N/A
1763504024,83,N/A
1763504025,82,N/A
1763504026,83,N/A
1763504027,83,N/A
1763504028,83,N/A
1763504029,83,N/A
1763504030,83,N/A
1763504031,83,N/A
1763504032,83,N/A
1763504033,83,N/A
1763504034,83,N/A
1763504035,83,N/A
1763504036,83,N/A
1763504037,83,N/A
1763504038,83,N/A
1763504039,83,N/A
1763504040,83,N/A
1763504041,83,N/A
1763504042,83,N/A
1763504043,83,N/A
1763504044,83,N/A
1763504045,83,N/A
1763504046,83,N/A
1763504047,83,N/A
1763504048,83,N/A
1763504049,83,N/A
1763504050,83,N/A
1763504051,81,N/A
1763504052,83,N/A
1763504053,83,N/A
1763504054,83,N/A
1763504055,83,N/A
1763504056,83,N/A
1763504057,83,N/A
1763504058,83,N/A
1763504059,83,N/A
1763504061,83,N/A
1763504062,83,N/A
1763504063,83,N/A
1763504064,83,N/A
1763504065,82,N/A
1763504066,83,N/A
1763504067,83,N/A
1763504068,83,N/A
1763504069,83,N/A
1763504070,83,N/A
1763504071,83,N/A
1763504072,83,N/A
1763504073,83,N/A
1763504074,83,N/A
1763504075,83,N/A
1763504076,84,N/A
1763504077,83,N/A
1763504078,83,N/A
1763504079,83,N/A
1763504080,83,N/A
1763504081,84,N/A
1763504082,83,N/A
1763504083,83,N/A
1763504084,83,N/A
1763504085,83,N/A
1763504086,83,N/A
1763504087,83,N/A
1763504088,83,N/A
1763504089,84,N/A
1763504090,83,N/A
1763504091,83,N/A
1763504092,83,N/A
1763504093,83,N/A
1763504094,83,N/A
1763504095,84,N/A
1763504096,83,N/A
1763504097,83,N/A
1763504098,84,N/A
1763504099,83,N/A
1763504101,83,N/A
1763504102,83,N/A
1763504103,83,N/A
1763504104,84,N/A
1763504105,83,N/A
1763504106,84,N/A
1763504107,83,N/A
1763504108,83,N/A
1763504109,84,N/A
1763504110,84,N/A
1763504111,83,N/A
1763504112,83,N/A
1763504113,84,N/A
1763504114,83,N/A
1763504115,84,N/A
1763504116,83,N/A
1763504117,83,N/A
1763504118,84,N/A
1763504119,84,N/A
1763504120,83,N/A
1763504121,83,N/A
1763504122,83,N/A
1763504123,83,N/A
1763504124,84,N/A
1763504125,83,N/A
1763504126,83,N/A
1763504127,83,N/A
1763504128,84,N/A
1763504129,84,N/A
1763504130,83,N/A
1763504131,84,N/A
1763504132,84,N/A
1763504133,83,N/A
1763504134,83,N/A
1763504135,83,N/A
1763504136,83,N/A
1763504137,84,N/A
1763504139,83,N/A
1763504140,83,N/A
1763504141,83,N/A
1763504142,84,N/A
1763504143,84,N/A
1763504144,84,N/A
1763504145,84,N/A
1763504146,84,N/A
1763504147,83,N/A
1763504148,83,N/A
1763504149,83,N/A
1763504150,84,N/A
1763504151,84,N/A
1763504152,83,N/A
1763504153,84,N/A
1763504154,83,N/A
1763504155,84,N/A
1763504156,83,N/A
1763504157,84,N/A
1763504158,83,N/A
1763504159,84,N/A
1763504160,84,N/A
1763504161,83,N/A
1763504162,83,N/A
1763504163,84,N/A
1763504164,84,N/A
1763504165,83,N/A
1763504166,84,N/A
1763504167,84,N/A
1763504168,84,N/A
1763504169,83,N/A
1763504170,84,N/A
1763504171,83,N/A
1763504172,84,N/A
1763504173,84,N/A
1763504174,84,N/A
1763504175,84,N/A
1763504176,83,N/A
1763504178,84,N/A
1763504179,84,N/A
1763504180,83,N/A
1763504181,84,N/A
1763504182,83,N/A
1763504183,84,N/A
1763504184,84,N/A
1763504185,84,N/A
1763504186,84,N/A
1763504187,83,N/A
1763504188,84,N/A
1763504189,84,N/A
1763504190,84,N/A
1763504191,84,N/A
1763504192,84,N/A
1763504193,83,N/A
1763504194,83,N/A
1763504195,83,N/A
1763504196,83,N/A
1763504197,83,N/A
1763504198,83,N/A
1763504199,84,N/A
1763504200,84,N/A
1763504201,83,N/A
1763504202,84,N/A
1763504203,84,N/A
1763504204,84,N/A
1763504205,83,N/A
1763504206,84,N/A
1763504207,84,N/A
1763504208,84,N/A
1763504209,83,N/A
1763504210,84,N/A
1763504211,84,N/A
1763504212,83,N/A
1763504213,84,N/A
1763504214,84,N/A
1763504215,84,N/A
1763504216,84,N/A
1763504218,84,N/A
1763504219,84,N/A
1763504220,84,N/A
1763504221,84,N/A
1763504222,84,N/A
1763504223,84,N/A
1763504224,84,N/A
1763504225,84,N/A
1763504226,83,N/A
1763504227,84,N/A
1763504228,84,N/A
1763504229,83,N/A
1763504230,84,N/A
1763504231,84,N/A
1763504232,83,N/A
1763504233,83,N/A
1763504234,82,N/A
1763504235,83,N/A
1763504236,83,N/A
1763504237,83,N/A
1763504238,83,N/A
1763504239,83,N/A
1763504240,82,N/A
1763504241,82,N/A
1763504242,82,N/A
1763504243,82,N/A
1763504244,82,N/A
1763504245,82,N/A
1763504246,81,N/A
1763504247,82,N/A
1763504248,81,N/A
1763504249,81,N/A
1763504250,81,N/A
1763504251,81,N/A
1763504252,81,N/A
1763504253,81,N/A
1763504254,81,N/A
1763504255,81,N/A
1763504257,81,N/A
1763504258,81,N/A
1763504259,81,N/A
1763504260,81,N/A
1763504261,81,N/A
1763504262,81,N/A
1763504263,81,N/A
1763504264,81,N/A
1763504265,81,N/A
1763504266,80,N/A
1763504267,81,N/A
1763504268,81,N/A
1763504269,81,N/A
1763504270,80,N/A
1763504271,80,N/A
1763504272,80,N/A
1763504273,80,N/A
1763504274,80,N/A
1763504275,80,N/A
1763504276,80,N/A
1763504277,80,N/A
1763504278,80,N/A
1763504279,80,N/A
1763504280,80,N/A
1763504281,80,N/A
1763504282,80,N/A
1763504283,80,N/A
1763504284,80,N/A
1763504285,80,N/A
1763504286,80,N/A
1763504287,79,N/A
1763504288,80,N/A
1763504289,80,N/A
1763504290,80,N/A
1763504291,80,N/A
1763504292,80,N/A
1763504293,80,N/A
1763504294,80,N/A
1763504295,80,N/A
1763504297,80,N/A
1763504298,80,N/A
1763504299,80,N/A
1763504300,79,N/A
1763504301,80,N/A
1763504302,80,N/A
1763504303,80,N/A
1763504304,80,N/A
1763504305,79,N/A
1763504306,80,N/A
1763504307,80,N/A
1763504308,80,N/A
1763504309,80,N/A
1763504310,80,N/A
1763504311,80,N/A
1763504312,80,N/A
1763504313,80,N/A
1763504314,80,N/A
1763504315,80,N/A
1763504316,80,N/A
1763504317,80,N/A
1763504318,79,N/A
1763504319,80,N/A
1763504320,79,N/A
1763504321,80,N/A
1763504322,80,N/A
1763504323,79,N/A
1763504324,80,N/A
1763504325,79,N/A
1763504326,79,N/A
1763504327,79,N/A
1763504328,79,N/A
1763504329,79,N/A
1763504330,79,N/A
1763504331,79,N/A
1763504332,79,N/A
1763504333,79,N/A
1763504334,79,N/A
1763504335,79,N/A
1763504337,79,N/A
1763504338,79,N/A
1763504339,79,N/A
1763504340,79,N/A
1763504341,79,N/A
1763504342,79,N/A
1763504343,79,N/A
1763504344,79,N/A
1763504345,79,N/A
1763504346,79,N/A
1763504347,79,N/A
1763504348,79,N/A
1763504349,79,N/A
1763504350,79,N/A
1763504351,79,N/A
1763504352,79,N/A
1763504353,79,N/A
1763504354,79,N/A
1763504355,79,N/A
1763504356,79,N/A
1763504357,79,N/A
1763504358,79,N/A
1763504359,79,N/A
1763504360,79,N/A
1763504361,79,N/A
1763504362,79,N/A
1763504363,79,N/A
1763504364,79,N/A
1763504365,79,N/A
1763504366,79,N/A
1763504367,79,N/A
1763504368,79,N/A
1763504369,79,N/A
1763504370,79,N/A
1763504371,79,N/A
1763504372,79,N/A
1763504373,79,N/A
1763504374,79,N/A
1763504376,79,N/A
1763504377,79,N/A
1763504378,79,N/A
1763504379,79,N/A
1763504380,79,N/A
1763504381,79,N/A
1763504382,79,N/A
1763504383,79,N/A
1763504384,79,N/A
1763504385,79,N/A
1763504386,79,N/A
1763504387,79,N/A
1763504388,79,N/A
1763504389,79,N/A
1763504390,79,N/A
1763504391,79,N/A
1763504392,79,N/A
1763504393,79,N/A
1763504394,79,N/A
1763504395,79,N/A
1763504396,79,N/A
1763504397,79,N/A
1763504398,79,N/A
1763504399,79,N/A
1763504400,79,N/A
1763504401,79,N/A
1763504402,79,N/A
1763504403,80,N/A
1763504404,80,N/A
1763504405,80,N/A
1763504406,80,N/A
1763504407,80,N/A
1763504408,80,N/A
1763504409,80,N/A
1763504410,80,N/A
1763504411,80,N/A
1763504412,80,N/A
1763504413,80,N/A
1763504415,80,N/A
1763504416,81,N/A
1763504417,81,N/A
1763504418,80,N/A
1763504419,81,N/A
1763504420,81,N/A
1763504421,80,N/A
1763504422,81,N/A
1763504423,81,N/A
1763504424,81,N/A
1763504425,81,N/A
1763504426,80,N/A
1763504427,81,N/A
1763504428,81,N/A
1763504429,81,N/A
1763504430,81,N/A
1763504431,81,N/A
1763504432,81,N/A
