timestamp,gpu_temp_c,memory_temp_c
1763487757,62,N/A
1763487758,62,N/A
1763487760,62,N/A
1763487762,62,N/A
1763487763,62,N/A
1763487764,68,N/A
1763487765,69,N/A
1763487766,69,N/A
1763487767,70,N/A
1763487768,68,N/A
1763487769,70,N/A
1763487770,71,N/A
1763487771,71,N/A
1763487772,71,N/A
1763487773,72,N/A
1763487774,71,N/A
1763487775,72,N/A
1763487776,72,N/A
1763487777,72,N/A
1763487778,73,N/A
1763487779,71,N/A
1763487780,72,N/A
1763487782,73,N/A
1763487783,73,N/A
1763487784,74,N/A
1763487785,71,N/A
1763487786,73,N/A
1763487787,74,N/A
1763487788,74,N/A
1763487789,74,N/A
1763487790,74,N/A
1763487791,73,N/A
1763487792,74,N/A
1763487793,75,N/A
1763487794,75,N/A
1763487795,75,N/A
1763487796,73,N/A
1763487797,74,N/A
1763487798,75,N/A
1763487799,75,N/A
1763487800,76,N/A
1763487801,76,N/A
1763487802,73,N/A
1763487803,76,N/A
1763487804,76,N/A
1763487805,76,N/A
1763487806,76,N/A
1763487807,74,N/A
1763487808,75,N/A
1763487809,76,N/A
1763487810,76,N/A
1763487811,76,N/A
1763487812,76,N/A
1763487813,74,N/A
1763487814,77,N/A
1763487815,77,N/A
1763487816,77,N/A
1763487817,77,N/A
1763487818,75,N/A
1763487819,76,N/A
1763487820,77,N/A
1763487822,77,N/A
1763487823,78,N/A
1763487824,77,N/A
1763487825,74,N/A
1763487826,77,N/A
1763487827,77,N/A
1763487828,77,N/A
1763487829,77,N/A
1763487830,75,N/A
1763487831,77,N/A
1763487832,77,N/A
1763487833,77,N/A
1763487834,77,N/A
1763487835,78,N/A
1763487836,75,N/A
1763487837,77,N/A
1763487838,78,N/A
1763487839,78,N/A
1763487840,78,N/A
1763487841,76,N/A
1763487842,78,N/A
1763487843,77,N/A
1763487844,78,N/A
1763487845,78,N/A
1763487846,75,N/A
1763487847,78,N/A
1763487848,78,N/A
1763487849,78,N/A
1763487850,78,N/A
1763487851,78,N/A
1763487852,76,N/A
1763487853,78,N/A
1763487854,78,N/A
1763487855,79,N/A
1763487856,78,N/A
1763487857,76,N/A
1763487858,78,N/A
1763487859,78,N/A
1763487860,78,N/A
1763487862,78,N/A
1763487863,78,N/A
1763487864,75,N/A
1763487865,78,N/A
1763487866,78,N/A
1763487867,79,N/A
1763487868,79,N/A
1763487869,77,N/A
1763487870,78,N/A
1763487871,78,N/A
1763487872,79,N/A
1763487873,79,N/A
1763487874,78,N/A
1763487875,78,N/A
1763487876,79,N/A
1763487877,79,N/A
1763487878,79,N/A
1763487879,79,N/A
1763487880,77,N/A
1763487881,78,N/A
1763487882,79,N/A
1763487883,79,N/A
1763487884,79,N/A
1763487885,76,N/A
1763487886,78,N/A
1763487887,79,N/A
1763487888,79,N/A
1763487889,79,N/A
1763487890,79,N/A
1763487891,76,N/A
1763487892,79,N/A
1763487893,79,N/A
1763487894,79,N/A
1763487895,79,N/A
1763487896,78,N/A
1763487897,78,N/A
1763487898,79,N/A
1763487899,79,N/A
1763487900,79,N/A
1763487902,79,N/A
1763487903,77,N/A
1763487904,79,N/A
1763487905,80,N/A
1763487906,79,N/A
1763487907,79,N/A
1763487908,77,N/A
1763487909,79,N/A
1763487910,79,N/A
1763487911,79,N/A
1763487912,79,N/A
1763487913,80,N/A
1763487914,77,N/A
1763487915,79,N/A
1763487916,80,N/A
1763487917,79,N/A
1763487918,80,N/A
1763487919,77,N/A
1763487920,79,N/A
