timestamp,gpu_util_percent,memory_util_percent
1763665497,0,0
1763665498,0,0
1763665499,0,0
1763665500,0,0
1763665501,0,0
1763665502,0,0
1763665503,0,0
1763665504,0,0
1763665505,1,0
1763665506,7,0
1763665507,25,16
1763665508,92,67
1763665509,93,68
1763665510,93,68
1763665511,93,68
1763665512,93,68
1763665513,93,67
1763665514,94,69
1763665515,94,69
1763665516,93,69
1763665517,85,64
1763665518,93,67
1763665519,93,68
1763665520,93,68
1763665522,93,68
1763665523,91,67
1763665524,91,66
1763665525,91,66
1763665526,91,66
1763665527,91,66
1763665528,93,68
1763665529,93,68
1763665530,93,66
1763665531,93,68
1763665532,93,68
1763665533,93,68
1763665534,93,68
1763665535,93,66
1763665536,93,68
1763665537,94,69
1763665538,94,66
1763665539,93,67
1763665540,93,68
1763665541,93,67
1763665542,93,68
1763665543,93,68
1763665544,93,68
1763665545,93,68
1763665546,91,66
1763665547,91,65
1763665548,91,65
1763665549,91,65
1763665550,91,66
1763665551,90,64
1763665552,91,66
1763665553,91,66
1763665554,92,66
1763665555,91,66
1763665557,91,66
1763665558,91,66
1763665559,91,66
1763665560,92,66
1763665561,93,67
1763665562,93,66
1763665563,93,67
1763665564,93,67
1763665565,93,67
1763665566,93,67
1763665567,93,66
1763665568,93,67
1763665569,93,66
1763665570,93,67
1763665571,92,66
1763665572,93,68
1763665573,90,65
1763665574,91,65
1763665575,93,68
1763665576,93,68
1763665577,93,66
1763665578,93,68
1763665579,93,67
1763665580,93,67
1763665581,93,67
1763665582,94,67
1763665583,94,67
1763665584,93,66
1763665585,92,66
1763665586,93,67
1763665587,93,66
1763665588,91,65
1763665589,90,65
1763665590,93,68
1763665592,91,64
1763665593,91,66
1763665594,91,64
1763665595,91,66
1763665596,92,66
1763665597,93,66
1763665598,93,66
1763665599,90,64
1763665600,92,66
1763665601,90,65
1763665602,91,65
1763665603,91,64
1763665604,91,66
1763665605,93,66
1763665606,93,66
1763665607,90,66
1763665608,91,64
1763665609,90,64
1763665610,93,66
1763665611,93,66
1763665612,91,66
1763665613,91,66
1763665614,85,61
1763665615,90,65
1763665616,92,66
1763665617,90,64
1763665618,91,65
1763665619,91,64
1763665620,91,66
1763665621,90,63
1763665622,91,63
1763665623,91,64
1763665624,90,64
1763665625,93,66
1763665626,93,67
1763665628,93,65
1763665629,94,68
1763665630,93,66
1763665631,93,67
1763665632,93,65
1763665633,93,66
1763665634,93,64
1763665635,93,64
1763665636,95,66
1763665637,93,65
1763665638,93,64
1763665639,93,64
1763665640,93,64
1763665641,91,62
1763665642,91,64
1763665643,95,64
1763665644,91,63
1763665645,91,65
1763665646,96,64
1763665647,91,61
1763665648,91,61
1763665649,92,60
1763665650,93,62
1763665651,94,63
1763665652,85,56
1763665653,86,58
1763665654,91,66
1763665655,93,61
1763665656,93,63
1763665657,93,66
1763665658,93,62
1763665659,93,62
1763665660,96,65
1763665661,93,65
1763665663,91,62
1763665664,92,61
1763665665,91,65
1763665666,90,62
1763665667,91,60
1763665668,90,60
1763665669,91,60
1763665670,96,64
1763665671,91,64
1763665672,91,63
1763665673,95,63
1763665674,94,63
1763665675,91,61
1763665676,91,60
1763665677,91,61
1763665678,91,61
1763665679,91,60
1763665680,92,62
1763665681,90,60
1763665682,93,62
1763665683,95,65
1763665684,93,63
1763665685,91,60
1763665686,91,60
1763665687,91,60
1763665688,91,60
1763665689,90,60
1763665690,90,60
1763665691,91,61
1763665692,93,62
1763665693,96,64
1763665694,93,62
1763665695,94,64
1763665697,94,63
1763665698,94,62
1763665699,95,63
1763665700,95,63
1763665701,94,65
1763665702,94,63
1763665703,93,64
1763665704,94,62
1763665705,93,63
1763665706,93,63
1763665707,93,63
1763665708,85,55
1763665709,85,57
1763665710,85,55
1763665711,86,64
1763665712,86,57
1763665713,86,59
1763665714,91,66
1763665715,91,63
1763665716,94,66
1763665717,93,65
1763665718,93,64
1763665719,91,63
1763665720,91,63
1763665721,93,66
1763665722,90,61
1763665723,94,66
1763665724,94,65
1763665725,94,66
1763665726,93,65
1763665727,93,64
1763665728,93,64
1763665729,93,64
1763665730,95,66
1763665731,93,64
1763665733,93,64
1763665734,93,66
1763665735,93,65
1763665736,93,65
1763665737,93,65
1763665738,93,66
1763665739,93,64
1763665740,93,64
1763665741,95,66
1763665742,93,65
1763665743,93,65
1763665744,93,64
1763665745,94,65
1763665746,93,65
1763665747,94,65
1763665748,94,66
1763665749,93,64
1763665750,93,64
1763665751,93,64
1763665752,95,66
1763665753,93,64
1763665754,93,64
1763665755,93,65
1763665756,93,64
1763665757,93,64
1763665758,93,64
1763665759,91,62
1763665760,94,65
1763665761,90,62
1763665762,91,62
1763665763,90,65
1763665764,90,61
1763665765,91,63
1763665766,91,62
1763665768,91,63
1763665769,91,66
1763665770,94,65
1763665771,87,63
1763665772,85,59
1763665773,92,64
1763665774,91,62
1763665775,91,62
1763665776,91,62
1763665777,94,66
1763665778,91,63
1763665779,91,62
1763665780,91,66
1763665781,91,62
1763665782,94,66
1763665783,93,65
1763665784,93,66
1763665785,91,63
1763665786,93,64
1763665787,93,64
1763665788,91,62
1763665789,91,62
1763665790,92,66
1763665791,91,63
1763665792,91,64
1763665793,94,64
1763665794,91,62
1763665795,91,62
1763665796,92,64
1763665797,85,57
1763665798,85,57
1763665799,91,63
1763665800,91,64
1763665802,91,62
1763665803,92,64
1763665804,91,62
1763665805,90,62
1763665806,90,63
1763665807,91,62
1763665808,91,62
1763665809,90,65
1763665810,93,65
1763665811,93,65
1763665812,93,66
1763665813,93,64
1763665814,93,64
1763665815,93,64
1763665816,92,63
1763665817,90,62
1763665818,91,63
1763665819,91,63
1763665820,93,64
1763665821,93,64
1763665822,94,64
1763665823,91,62
1763665824,91,66
1763665825,91,63
1763665826,91,62
1763665827,91,62
1763665828,91,62
1763665829,91,65
1763665830,93,64
1763665831,93,64
1763665832,91,63
1763665833,91,62
1763665834,94,66
1763665835,91,62
1763665837,93,66
1763665838,93,64
1763665839,94,64
1763665840,93,65
1763665841,93,66
1763665842,93,64
1763665843,93,64
1763665844,94,64
1763665845,93,64
1763665846,93,64
1763665847,85,58
1763665848,90,61
1763665849,91,63
1763665850,91,63
1763665851,91,63
1763665852,91,65
1763665853,93,64
1763665854,94,66
1763665855,85,58
1763665856,91,62
1763665857,91,62
1763665858,92,63
1763665859,91,62
1763665860,93,64
1763665861,94,65
1763665862,94,66
1763665863,91,62
1763665864,94,65
1763665865,91,63
1763665866,96,81
1763665867,96,81
1763665868,96,81
1763665869,61,53
1763665870,96,84
1763665871,96,84
1763665873,90,65
1763665874,91,66
1763665875,90,65
1763665876,93,67
1763665877,90,65
1763665878,93,66
1763665879,91,66
1763665880,90,66
1763665881,93,67
1763665882,91,66
1763665883,91,64
1763665884,94,67
1763665885,93,66
1763665886,91,66
1763665887,91,65
1763665888,90,65
1763665889,91,65
1763665890,90,65
1763665891,91,63
1763665892,91,64
1763665893,91,65
1763665894,90,65
1763665895,93,67
1763665896,91,64
1763665897,89,66
1763665898,90,65
1763665899,91,64
1763665900,90,65
1763665901,91,65
1763665902,85,61
1763665903,85,59
1763665904,93,65
1763665905,91,64
1763665907,93,66
1763665908,93,66
1763665909,91,65
1763665910,91,66
1763665911,91,66
1763665912,92,66
1763665913,95,66
1763665914,91,62
1763665915,90,62
1763665916,91,62
1763665917,93,66
1763665918,93,64
1763665919,93,64
1763665920,93,64
1763665921,95,66
1763665922,93,64
1763665923,93,65
1763665924,85,58
1763665925,94,65
1763665926,85,58
1763665927,92,64
1763665928,85,60
1763665929,93,64
1763665930,94,64
1763665931,93,64
1763665932,94,65
1763665933,95,66
1763665934,84,58
1763665935,94,65
1763665936,93,65
1763665937,93,65
1763665938,93,65
1763665939,93,64
1763665940,93,65
1763665941,93,64
1763665943,93,64
1763665944,93,64
1763665945,91,63
1763665946,93,64
1763665947,93,64
1763665948,93,65
1763665949,93,64
1763665950,93,65
1763665951,93,64
1763665952,93,64
1763665953,90,62
1763665954,91,62
1763665955,91,64
1763665956,91,63
1763665957,91,62
1763665958,93,65
1763665959,94,66
1763665960,91,63
1763665961,90,62
1763665962,91,65
1763665963,93,64
1763665964,93,64
1763665965,93,65
1763665966,95,66
1763665967,91,62
1763665968,90,66
1763665969,93,65
1763665970,93,65
1763665971,93,65
1763665972,93,66
1763665973,93,64
1763665974,93,65
1763665976,93,64
1763665977,94,65
1763665978,91,63
1763665979,92,64
1763665980,91,63
1763665981,93,65
1763665982,90,62
1763665983,93,64
1763665984,93,64
1763665985,93,65
1763665986,95,66
1763665987,94,65
1763665988,93,65
1763665989,93,65
1763665990,93,65
1763665991,94,66
1763665992,91,62
1763665993,91,62
1763665994,90,62
1763665995,94,66
1763665996,93,65
1763665997,93,65
1763665998,93,64
1763665999,93,66
1763666000,93,65
1763666001,93,65
1763666002,93,64
1763666003,93,65
1763666004,93,65
1763666005,93,65
1763666006,93,64
1763666007,93,64
1763666008,95,66
1763666009,93,65
1763666010,93,64
1763666012,93,64
1763666013,93,66
1763666014,93,64
1763666015,90,62
1763666016,90,62
1763666017,94,66
1763666018,91,63
1763666019,91,65
1763666020,93,65
1763666021,91,65
1763666022,91,63
1763666023,94,66
1763666024,91,63
1763666025,91,63
1763666026,94,64
1763666027,93,65
1763666028,91,66
1763666029,91,63
1763666030,94,66
1763666031,91,63
1763666032,91,63
1763666033,91,63
1763666034,90,62
1763666035,93,65
1763666036,93,65
1763666037,93,64
1763666038,91,63
1763666039,91,63
1763666040,93,65
1763666041,91,63
1763666042,91,62
1763666043,91,63
1763666044,90,62
1763666045,91,64
1763666047,91,63
1763666048,93,64
1763666049,94,66
1763666050,93,64
1763666051,93,65
1763666052,94,66
1763666053,90,62
1763666054,91,63
1763666055,91,63
1763666056,91,63
1763666057,93,64
1763666058,95,66
1763666059,91,63
1763666060,93,64
1763666061,91,63
1763666062,91,62
1763666063,93,64
1763666064,93,64
1763666065,94,66
1763666066,93,64
1763666067,93,65
1763666068,93,65
1763666069,93,66
1763666070,93,65
1763666071,93,65
1763666072,94,65
1763666073,93,64
1763666074,93,66
1763666075,93,65
1763666076,93,64
1763666077,93,64
1763666078,95,66
1763666079,93,65
1763666080,93,64
1763666082,93,64
1763666083,93,66
1763666084,93,65
1763666085,93,65
1763666086,93,65
1763666087,93,65
1763666088,93,65
1763666089,93,64
1763666090,93,64
1763666091,93,64
1763666092,94,66
1763666093,93,65
1763666094,94,65
1763666095,93,65
