timestamp,gpu_temp_c,memory_temp_c
1763711145,65,N/A
1763711147,65,N/A
1763711149,65,N/A
1763711151,66,N/A
1763711152,66,N/A
1763711153,72,N/A
1763711154,73,N/A
1763711155,75,N/A
1763711156,75,N/A
1763711157,75,N/A
1763711158,76,N/A
1763711159,76,N/A
1763711160,77,N/A
1763711161,77,N/A
1763711162,77,N/A
1763711163,78,N/A
1763711164,78,N/A
1763711165,78,N/A
1763711166,78,N/A
1763711167,79,N/A
1763711168,79,N/A
1763711169,79,N/A
1763711170,79,N/A
1763711171,80,N/A
1763711173,80,N/A
1763711174,80,N/A
1763711175,80,N/A
1763711176,80,N/A
1763711177,81,N/A
1763711178,81,N/A
1763711179,81,N/A
1763711180,81,N/A
1763711181,81,N/A
1763711182,82,N/A
1763711183,81,N/A
1763711184,82,N/A
1763711185,82,N/A
1763711186,82,N/A
1763711187,81,N/A
1763711188,82,N/A
1763711189,82,N/A
1763711190,82,N/A
1763711191,82,N/A
1763711192,82,N/A
1763711193,82,N/A
1763711194,82,N/A
1763711195,82,N/A
1763711196,82,N/A
1763711197,82,N/A
1763711198,82,N/A
1763711199,82,N/A
1763711200,82,N/A
1763711201,82,N/A
1763711202,82,N/A
1763711203,82,N/A
1763711204,82,N/A
1763711205,82,N/A
1763711206,82,N/A
1763711207,82,N/A
1763711208,82,N/A
1763711209,82,N/A
1763711210,82,N/A
1763711212,83,N/A
1763711213,81,N/A
1763711214,82,N/A
1763711215,82,N/A
1763711216,82,N/A
1763711217,83,N/A
1763711218,82,N/A
1763711219,82,N/A
1763711220,82,N/A
1763711221,82,N/A
1763711222,82,N/A
1763711223,83,N/A
1763711224,82,N/A
1763711225,82,N/A
1763711226,83,N/A
1763711227,82,N/A
1763711228,82,N/A
1763711229,83,N/A
1763711230,82,N/A
1763711231,82,N/A
1763711232,82,N/A
1763711233,81,N/A
1763711234,82,N/A
1763711235,82,N/A
1763711236,82,N/A
1763711237,83,N/A
1763711238,83,N/A
1763711239,82,N/A
1763711240,83,N/A
1763711241,81,N/A
1763711242,82,N/A
1763711243,83,N/A
1763711244,82,N/A
1763711245,82,N/A
1763711246,83,N/A
1763711247,83,N/A
1763711248,83,N/A
1763711250,83,N/A
1763711251,83,N/A
1763711252,82,N/A
1763711253,82,N/A
1763711254,81,N/A
1763711255,83,N/A
1763711256,80,N/A
1763711257,83,N/A
1763711258,82,N/A
1763711259,82,N/A
1763711260,82,N/A
1763711261,82,N/A
1763711262,83,N/A
1763711263,82,N/A
1763711264,82,N/A
1763711265,83,N/A
1763711266,82,N/A
1763711267,82,N/A
1763711268,82,N/A
1763711269,82,N/A
1763711270,82,N/A
1763711271,82,N/A
1763711272,83,N/A
1763711273,83,N/A
1763711274,82,N/A
1763711275,83,N/A
1763711276,83,N/A
1763711277,82,N/A
1763711278,82,N/A
1763711279,82,N/A
1763711280,82,N/A
1763711281,82,N/A
1763711282,83,N/A
1763711283,82,N/A
1763711284,83,N/A
1763711285,82,N/A
1763711286,82,N/A
1763711287,83,N/A
1763711289,82,N/A
1763711290,82,N/A
1763711291,82,N/A
1763711292,83,N/A
1763711293,82,N/A
1763711294,82,N/A
1763711295,82,N/A
1763711296,83,N/A
1763711297,83,N/A
1763711298,82,N/A
1763711299,82,N/A
1763711300,82,N/A
1763711301,83,N/A
1763711302,82,N/A
1763711303,82,N/A
1763711304,83,N/A
1763711305,82,N/A
1763711306,83,N/A
1763711307,82,N/A
1763711308,82,N/A
1763711309,82,N/A
1763711310,83,N/A
1763711311,83,N/A
1763711312,82,N/A
1763711313,82,N/A
1763711314,83,N/A
1763711315,83,N/A
1763711316,83,N/A
1763711317,83,N/A
1763711318,83,N/A
1763711319,83,N/A
1763711320,83,N/A
1763711321,83,N/A
1763711322,83,N/A
1763711323,82,N/A
1763711324,80,N/A
