timestamp,gpu_temp_c,memory_temp_c
1763720804,60,N/A
1763720805,60,N/A
1763720806,60,N/A
1763720807,60,N/A
1763720808,60,N/A
1763720809,62,N/A
1763720810,63,N/A
1763720811,63,N/A
1763720812,69,N/A
1763720813,70,N/A
1763720814,70,N/A
1763720815,71,N/A
1763720816,72,N/A
1763720817,72,N/A
1763720818,72,N/A
1763720819,74,N/A
1763720820,74,N/A
1763720821,74,N/A
1763720822,74,N/A
1763720823,74,N/A
1763720825,74,N/A
1763720826,76,N/A
1763720827,75,N/A
1763720828,76,N/A
1763720829,76,N/A
1763720830,76,N/A
1763720831,77,N/A
1763720832,76,N/A
1763720833,77,N/A
1763720834,77,N/A
1763720835,77,N/A
1763720836,77,N/A
1763720837,77,N/A
1763720838,78,N/A
1763720839,78,N/A
1763720840,79,N/A
1763720841,78,N/A
1763720842,78,N/A
1763720843,78,N/A
1763720844,79,N/A
1763720845,79,N/A
1763720846,79,N/A
1763720847,79,N/A
1763720848,79,N/A
1763720849,79,N/A
1763720850,77,N/A
1763720851,80,N/A
1763720852,80,N/A
1763720853,80,N/A
1763720854,80,N/A
1763720855,80,N/A
1763720856,80,N/A
1763720857,81,N/A
1763720858,80,N/A
1763720859,80,N/A
1763720861,80,N/A
1763720862,81,N/A
1763720863,81,N/A
1763720864,81,N/A
1763720865,81,N/A
1763720866,81,N/A
1763720867,82,N/A
1763720868,82,N/A
1763720869,82,N/A
1763720870,82,N/A
1763720871,82,N/A
1763720872,82,N/A
1763720873,82,N/A
1763720874,82,N/A
1763720875,82,N/A
1763720876,82,N/A
1763720877,83,N/A
1763720878,82,N/A
1763720879,82,N/A
1763720880,82,N/A
1763720881,82,N/A
1763720882,82,N/A
1763720883,82,N/A
1763720884,81,N/A
1763720885,82,N/A
1763720886,82,N/A
1763720887,82,N/A
1763720888,81,N/A
1763720889,81,N/A
1763720890,82,N/A
1763720891,82,N/A
1763720892,81,N/A
1763720893,81,N/A
1763720894,82,N/A
1763720895,82,N/A
1763720896,81,N/A
1763720897,81,N/A
1763720898,82,N/A
1763720900,82,N/A
1763720901,81,N/A
1763720902,82,N/A
1763720903,82,N/A
1763720904,82,N/A
1763720905,82,N/A
1763720906,82,N/A
1763720907,82,N/A
1763720908,82,N/A
1763720909,82,N/A
1763720910,82,N/A
1763720911,82,N/A
1763720912,80,N/A
1763720913,81,N/A
1763720914,82,N/A
1763720915,81,N/A
1763720916,81,N/A
1763720917,82,N/A
