timestamp,power_draw_w
1763726879,76.47
1763726881,76.49
1763726883,76.27
1763726884,84.88
1763726885,85.28
1763726887,103.73
1763726888,160.58
1763726889,219.51
1763726890,230.70
1763726891,231.50
1763726892,232.79
1763726893,232.92
1763726894,236.00
1763726895,237.25
1763726896,238.90
1763726897,237.59
1763726898,238.18
1763726899,240.43
1763726900,240.80
1763726901,240.04
1763726902,240.95
1763726903,242.61
1763726904,241.42
1763726905,239.70
1763726906,242.83
1763726907,244.50
1763726908,243.74
1763726909,240.99
1763726910,243.10
1763726911,244.60
1763726912,237.94
1763726913,241.85
1763726914,243.13
1763726915,244.67
1763726916,242.91
1763726917,243.07
1763726918,244.80
1763726919,245.74
1763726920,243.81
1763726921,244.95
1763726922,245.85
1763726923,241.87
1763726924,245.04
1763726926,245.45
1763726927,241.89
1763726928,240.59
1763726929,245.56
1763726930,247.05
1763726931,247.69
1763726932,240.95
1763726933,244.68
1763726934,242.58
1763726935,235.27
1763726936,244.26
1763726937,250.64
1763726938,252.83
1763726939,242.87
1763726940,247.67
1763726941,253.46
1763726942,248.66
1763726943,247.18
1763726944,254.06
1763726945,245.15
1763726946,246.73
1763726947,254.46
1763726948,242.50
1763726949,247.61
1763726950,244.74
1763726951,244.34
1763726952,249.89
1763726953,225.55
1763726954,225.39
1763726955,252.86
1763726956,251.92
1763726957,250.85
1763726958,249.95
1763726959,245.05
1763726960,247.61
1763726961,246.10
1763726962,248.81
1763726963,243.89
1763726965,242.96
1763726966,247.00
1763726967,241.53
1763726968,248.13
1763726969,246.13
1763726970,241.94
1763726971,240.16
1763726972,248.55
1763726973,242.46
1763726974,244.67
1763726975,242.82
1763726976,242.40
1763726977,240.92
1763726978,241.40
1763726979,245.05
1763726980,243.55
1763726981,240.75
1763726982,242.97
1763726983,247.04
1763726984,241.35
1763726985,240.61
1763726986,245.24
1763726987,237.25
1763726988,244.63
1763726989,243.25
1763726990,241.80
1763726991,243.53
1763726992,247.18
1763726993,241.94
1763726994,244.65
1763726995,249.51
1763726996,249.26
1763726997,243.43
1763726998,246.57
1763726999,245.12
1763727000,250.00
1763727001,247.00
1763727002,245.72
1763727004,250.81
1763727005,247.62
1763727006,250.26
1763727007,245.91
1763727008,249.04
1763727009,249.44
1763727010,228.36
1763727011,253.74
1763727012,252.32
1763727013,253.91
1763727014,254.58
1763727015,253.66
1763727016,246.79
1763727017,251.02
1763727018,254.35
1763727019,252.86
1763727020,236.27
1763727021,231.62
1763727022,252.37
1763727023,252.32
1763727024,252.14
1763727025,254.28
1763727026,248.68
1763727027,250.37
1763727028,253.71
1763727029,253.88
1763727030,244.81
1763727031,244.54
1763727032,252.04
1763727033,253.74
1763727034,250.67
1763727035,244.48
1763727036,251.82
1763727037,245.09
1763727038,243.36
1763727039,249.38
1763727040,255.88
1763727041,251.20
1763727043,245.44
1763727044,249.67
1763727045,252.54
1763727046,251.09
1763727047,245.09
1763727048,243.56
1763727049,245.07
1763727050,246.04
1763727051,243.43
1763727052,246.84
1763727053,255.58
1763727054,253.09
1763727055,250.93
1763727056,245.17
1763727057,247.08
1763727058,253.62
1763727059,255.62
1763727060,248.00
1763727061,252.99
1763727062,255.95
1763727063,247.51
1763727064,249.32
1763727065,255.38
1763727066,253.06
1763727067,250.84
1763727068,245.62
1763727069,252.57
1763727070,254.25
1763727071,252.21
1763727072,247.80
1763727073,253.73
1763727074,254.98
1763727075,245.06
1763727076,243.88
1763727077,254.55
1763727078,253.65
1763727079,247.53
1763727080,245.90
1763727081,253.27
1763727083,254.08
1763727084,248.77
1763727085,246.05
1763727086,240.11
1763727087,228.57
1763727088,252.58
1763727089,245.63
1763727090,246.99
1763727091,246.11
1763727092,253.64
1763727093,255.13
1763727094,248.15
1763727095,248.02
1763727096,255.65
1763727097,236.53
1763727098,248.35
1763727099,254.82
1763727100,255.14
1763727101,244.28
1763727102,247.50
1763727103,255.75
1763727104,252.27
1763727105,252.05
1763727106,245.23
1763727107,246.71
1763727108,255.01
1763727109,254.67
1763727110,251.08
1763727111,245.88
1763727112,246.34
1763727113,248.89
1763727114,255.09
1763727115,253.70
1763727116,243.89
1763727117,251.08
1763727118,256.10
1763727119,247.74
1763727120,249.87
1763727122,255.98
1763727123,253.15
1763727124,251.28
1763727125,247.81
1763727126,252.84
1763727127,252.51
1763727128,246.42
1763727129,246.10
1763727130,255.75
1763727131,254.63
1763727132,244.38
1763727133,254.58
1763727134,256.04
1763727135,247.87
1763727136,250.78
1763727137,256.36
1763727138,249.22
1763727139,247.70
1763727140,256.48
1763727141,252.00
1763727142,246.40
1763727143,255.53
1763727144,253.27
1763727145,250.95
1763727146,255.68
1763727147,237.60
1763727148,246.24
1763727149,254.73
1763727150,253.78
1763727151,246.28
1763727152,235.27
1763727153,236.07
1763727154,248.91
1763727155,250.58
1763727156,255.19
1763727157,253.12
1763727158,244.02
1763727159,250.23
1763727160,254.28
1763727162,253.56
1763727163,254.61
1763727164,250.69
1763727165,244.13
1763727166,245.00
1763727167,248.80
1763727168,254.40
1763727169,254.56
1763727170,250.50
1763727171,245.61
1763727172,248.01
1763727173,256.18
1763727174,255.27
1763727175,249.79
1763727176,246.81
1763727177,251.99
1763727178,253.19
1763727179,250.35
1763727180,245.30
1763727181,247.74
1763727182,252.72
1763727183,256.08
1763727184,247.92
1763727185,249.21
1763727186,254.94
1763727187,252.93
1763727188,254.81
1763727189,255.21
1763727190,245.42
1763727191,248.36
1763727192,254.25
1763727193,244.30
1763727194,250.44
1763727195,254.40
1763727196,251.40
1763727197,254.38
1763727198,247.72
1763727199,249.47
1763727201,252.82
1763727202,253.22
1763727203,249.97
1763727204,246.43
1763727205,248.84
1763727206,249.24
1763727207,255.05
1763727208,248.38
1763727209,247.40
1763727210,252.51
1763727211,254.42
1763727212,244.49
1763727213,245.49
1763727214,249.48
1763727215,251.63
1763727216,249.46
1763727217,242.97
1763727218,240.16
1763727219,238.70
1763727220,252.80
1763727221,244.95
1763727222,254.34
1763727223,253.97
1763727224,249.39
1763727225,246.42
1763727226,250.70
1763727227,248.37
1763727228,250.15
1763727229,255.57
1763727230,236.15
1763727231,245.41
1763727232,247.06
1763727233,254.09
1763727234,254.10
1763727235,250.09
1763727236,251.31
1763727237,248.26
1763727238,248.21
1763727240,254.03
1763727241,251.72
1763727242,247.66
1763727243,249.85
1763727244,245.66
1763727245,252.03
1763727246,254.45
1763727247,253.19
1763727248,252.63
1763727249,249.19
1763727250,248.27
1763727251,254.04
1763727252,252.61
1763727253,251.22
1763727254,246.55
1763727255,251.84
1763727256,249.43
1763727257,245.65
1763727258,248.38
1763727259,248.56
1763727260,255.98
1763727261,248.78
1763727262,254.59
1763727263,249.68
1763727264,248.79
1763727265,255.32
1763727266,252.28
1763727267,252.82
1763727268,247.86
1763727269,246.65
1763727270,252.84
1763727271,251.74
1763727272,245.12
1763727273,254.62
1763727274,250.00
1763727275,249.24
1763727276,256.06
1763727278,253.96
1763727279,246.61
1763727280,250.83
1763727281,238.20
1763727282,251.21
1763727283,246.20
1763727284,236.32
1763727285,231.43
1763727286,247.35
1763727287,247.19
1763727288,249.61
1763727289,252.31
1763727290,248.44
1763727291,243.26
1763727292,245.65
1763727293,254.57
1763727294,250.15
1763727295,249.40
1763727296,247.02
1763727297,247.61
1763727298,249.85
1763727299,245.85
1763727300,242.99
1763727301,249.21
1763727302,248.13
1763727303,246.43
1763727304,244.79
1763727305,251.66
1763727306,250.87
1763727307,247.24
1763727308,247.73
1763727309,250.21
1763727310,254.07
1763727311,251.59
1763727312,243.11
1763727313,244.95
1763727314,253.57
1763727315,246.96
1763727316,249.90
1763727318,250.96
1763727319,250.36
1763727320,254.82
1763727321,248.01
1763727322,245.80
1763727323,246.27
1763727324,254.57
1763727325,254.74
1763727326,250.45
1763727327,252.53
1763727328,251.17
1763727329,249.96
1763727330,252.53
1763727331,247.05
1763727332,254.17
1763727333,233.68
1763727334,253.38
1763727335,244.96
1763727336,252.92
1763727337,253.95
1763727338,242.54
1763727339,246.57
1763727340,248.52
1763727341,251.56
1763727342,251.23
1763727343,247.53
1763727344,245.16
1763727345,249.68
1763727346,250.74
1763727347,252.63
1763727348,248.28
1763727349,239.37
1763727350,228.41
1763727351,248.59
1763727352,246.59
1763727353,252.41
1763727354,251.63
1763727356,254.24
1763727357,249.76
1763727358,251.23
1763727359,247.85
1763727360,244.61
1763727361,254.17
1763727362,248.05
1763727363,248.88
1763727364,243.68
1763727365,251.88
1763727366,245.96
1763727367,246.14
1763727368,251.12
1763727369,248.52
1763727370,250.79
1763727371,251.66
1763727372,251.79
1763727373,245.47
1763727374,253.37
1763727375,251.05
1763727376,245.91
1763727377,255.43
1763727378,249.56
1763727379,250.71
1763727380,249.62
1763727381,246.52
1763727382,249.91
1763727383,249.96
1763727384,251.42
1763727385,253.04
1763727386,248.39
1763727387,244.02
1763727388,246.51
1763727389,250.97
1763727390,250.74
1763727391,246.16
1763727392,247.26
1763727393,246.67
1763727395,250.85
1763727396,249.66
1763727397,250.57
1763727398,254.38
1763727399,251.83
1763727400,247.78
1763727401,245.51
1763727402,255.12
