timestamp,gpu_util_percent,memory_util_percent
1763726879,0,0
1763726881,0,0
1763726883,0,0
1763726884,0,0
1763726885,0,0
1763726887,40,8
1763726888,45,22
1763726889,66,37
1763726890,60,33
1763726891,65,33
1763726892,68,37
1763726893,59,34
1763726894,60,34
1763726895,60,29
1763726896,71,40
1763726897,64,36
1763726898,60,32
1763726899,66,33
1763726900,69,37
1763726901,60,34
1763726902,60,34
1763726903,62,30
1763726904,71,39
1763726905,63,35
1763726906,60,30
1763726907,69,37
1763726908,65,36
1763726909,60,31
1763726910,60,31
1763726911,69,37
1763726912,67,36
1763726913,60,33
1763726914,64,31
1763726915,70,38
1763726916,61,35
1763726917,61,34
1763726918,60,29
1763726919,72,40
1763726920,64,36
1763726921,61,31
1763726922,69,37
1763726923,67,37
1763726924,60,33
1763726926,60,34
1763726927,63,30
1763726928,72,39
1763726929,63,35
1763726930,60,30
1763726931,69,37
1763726932,67,36
1763726933,61,33
1763726934,61,31
1763726935,67,35
1763726936,66,36
1763726937,62,30
1763726938,72,40
1763726939,62,35
1763726940,64,31
1763726941,67,35
1763726942,67,36
1763726943,61,31
1763726944,72,40
1763726945,61,35
1763726946,64,31
1763726947,69,38
1763726948,63,33
1763726949,61,31
1763726950,68,36
1763726951,67,37
1763726952,65,34
1763726953,54,29
1763726954,62,35
1763726955,60,29
1763726956,60,29
1763726957,70,38
1763726958,65,36
1763726959,60,31
1763726960,65,32
1763726961,70,37
1763726962,60,34
1763726963,62,34
1763726965,62,29
1763726966,69,37
1763726967,67,37
1763726968,60,33
1763726969,64,31
1763726970,72,39
1763726971,73,40
1763726972,64,35
1763726973,61,31
1763726974,67,34
1763726975,71,37
1763726976,61,35
1763726977,64,30
1763726978,72,40
1763726979,70,37
1763726980,66,36
1763726981,61,31
1763726982,66,33
1763726983,71,38
1763726984,62,35
1763726985,61,29
1763726986,69,37
1763726987,68,35
1763726988,70,37
1763726989,61,35
1763726990,61,29
1763726991,73,40
1763726992,63,35
1763726993,61,31
1763726994,60,31
1763726995,67,33
1763726996,70,37
1763726997,62,35
1763726998,62,30
1763726999,72,39
1763727000,65,36
1763727001,60,31
1763727002,60,31
1763727004,64,31
1763727005,72,40
1763727006,63,35
1763727007,61,31
1763727008,70,37
1763727009,68,37
1763727010,61,29
1763727011,72,40
1763727012,63,35
1763727013,60,29
1763727014,71,38
1763727015,65,36
1763727016,60,31
1763727017,61,33
1763727018,66,32
1763727019,68,37
1763727020,54,29
1763727021,72,40
1763727022,64,36
1763727023,60,30
1763727024,70,37
1763727025,69,37
1763727026,66,36
1763727027,61,33
1763727028,65,32
1763727029,71,38
1763727030,61,35
1763727031,62,29
1763727032,71,39
1763727033,71,38
1763727034,66,36
1763727035,60,32
1763727036,69,36
1763727037,67,36
1763727038,61,32
1763727039,69,37
1763727040,72,40
1763727041,63,35
1763727043,63,30
1763727044,70,38
1763727045,61,33
1763727046,69,36
1763727047,67,36
1763727048,61,31
1763727049,60,31
1763727050,70,37
1763727051,66,36
1763727052,62,31
1763727053,72,40
1763727054,63,35
1763727055,63,30
1763727056,72,39
1763727057,71,38
1763727058,61,34
1763727059,68,35
1763727060,66,36
1763727061,62,30
1763727062,73,40
1763727063,62,35
1763727064,62,35
1763727065,66,33
1763727066,67,37
1763727067,61,32
1763727068,70,37
1763727069,65,36
1763727070,61,29
1763727071,72,39
1763727072,71,38
1763727073,61,34
1763727074,69,36
1763727075,67,36
1763727076,61,31
1763727077,71,39
1763727078,63,35
1763727079,62,35
1763727080,65,31
1763727081,70,38
1763727083,61,33
1763727084,69,36
1763727085,66,36
