timestamp,power_draw_w
1763704660,314.73
1763704661,313.74
1763704662,310.93
1763704663,314.24
1763704664,313.60
1763704665,304.65
1763704666,293.75
1763704667,306.79
1763704668,309.55
1763704669,302.46
1763704670,307.58
1763704671,309.45
1763704672,309.42
1763704673,302.64
1763704675,304.52
1763704676,302.38
1763704677,299.18
1763704678,300.41
1763704679,308.67
1763704680,298.91
1763704681,302.44
1763704682,300.14
1763704683,308.59
1763704684,298.19
1763704685,296.21
1763704686,305.25
1763704687,299.40
1763704688,291.24
1763704689,294.69
1763704690,296.21
1763704691,295.88
1763704692,291.47
1763704694,294.48
1763704695,298.36
1763704696,292.07
1763704697,294.91
1763704698,289.73
1763704699,291.98
1763704700,290.10
1763704701,293.51
1763704703,242.15
1763704704,236.46
1763704705,216.07
1763704706,298.96
1763704707,295.95
1763704708,294.91
1763704709,292.14
1763704710,291.74
1763704712,292.15
1763704713,290.21
1763704714,293.28
1763704715,288.91
1763704716,292.58
1763704717,290.94
1763704718,287.83
1763704719,295.06
1763704721,288.30
1763704722,286.26
1763704723,292.17
1763704724,284.52
1763704725,292.76
1763704726,257.48
1763704727,264.33
1763704729,290.20
1763704730,284.62
1763704731,279.27
1763704732,285.48
1763704733,283.49
1763704734,284.88
1763704735,267.94
1763704737,260.61
1763704738,256.60
1763704739,253.05
1763704740,241.37
1763704741,267.10
1763704742,269.49
1763704743,276.79
1763704745,290.11
1763704746,277.93
1763704747,283.02
1763704748,294.90
1763704749,282.54
1763704750,288.34
1763704751,287.59
1763704752,281.18
1763704754,279.17
1763704755,276.86
1763704756,281.18
1763704757,268.68
1763704758,271.67
1763704759,274.25
1763704761,279.62
1763704762,279.14
1763704763,273.83
1763704764,286.37
1763704765,279.25
1763704766,281.65
1763704768,278.80
1763704769,273.73
1763704770,282.12
1763704771,269.05
1763704772,282.03
1763704773,278.62
1763704774,268.65
1763704776,280.93
1763704777,183.80
1763704778,209.98
1763704779,183.81
1763704780,176.36
1763704781,261.96
1763704783,251.91
1763704784,260.46
1763704785,277.88
1763704786,291.03
1763704787,282.86
1763704788,267.92
1763704790,238.64
1763704791,237.20
1763704792,237.04
1763704793,233.68
1763704794,230.81
1763704796,242.35
1763704797,248.39
1763704798,247.20
1763704799,237.29
1763704801,243.20
1763704802,234.14
1763704803,250.16
1763704804,247.32
1763704806,262.11
1763704807,252.65
1763704808,254.41
1763704809,237.08
1763704810,260.97
1763704812,249.88
1763704813,249.47
1763704814,258.21
1763704815,232.91
1763704816,239.14
1763704818,272.26
1763704819,259.41
1763704820,243.13
1763704821,281.56
1763704823,276.56
1763704824,247.33
1763704825,230.38
1763704826,235.07
1763704827,249.01
1763704829,257.32
1763704830,230.90
1763704831,220.77
1763704832,223.62
1763704834,251.71
1763704835,286.88
1763704836,245.77
1763704837,251.13
1763704838,245.30
1763704840,275.33
1763704841,238.45
1763704842,236.20
1763704843,238.10
1763704844,243.52
1763704846,236.17
1763704847,234.16
1763704848,241.54
1763704849,263.63
1763704850,240.17
1763704851,245.33
1763704853,238.75
1763704854,259.61
1763704855,244.74
1763704857,288.73
1763704858,261.15
1763704859,263.49
1763704860,286.48
1763704861,254.58
1763704863,239.65
1763704864,239.46
1763704865,248.83
1763704866,255.17
1763704868,242.46
1763704869,239.01
1763704870,245.95
1763704871,236.40
1763704872,258.30
1763704874,269.36
1763704875,247.62
1763704876,235.29
1763704877,232.90
1763704879,152.49
1763704880,164.40
1763704881,164.12
1763704882,172.72
1763704884,163.49
1763704885,167.54
1763704886,227.99
1763704887,228.95
1763704888,225.89
1763704889,224.35
1763704891,223.98
1763704892,213.29
1763704893,232.17
1763704894,238.57
1763704896,237.70
1763704897,237.13
1763704898,235.99
1763704900,207.08
1763704901,205.74
1763704902,243.30
1763704903,246.19
1763704905,219.47
1763704906,212.34
1763704907,212.84
1763704909,235.86
1763704910,236.88
1763704911,233.98
1763704912,213.52
1763704914,227.24
1763704915,208.82
1763704916,203.54
1763704918,210.17
1763704919,214.99
1763704920,213.97
1763704922,220.98
1763704923,249.05
1763704924,237.99
1763704925,213.85
1763704927,224.05
1763704928,235.67
1763704929,214.72
1763704931,221.46
1763704932,206.06
1763704933,205.32
1763704935,225.94
1763704936,183.92
1763704937,218.27
1763704938,208.92
1763704939,200.74
1763704941,234.60
1763704942,185.96
1763704943,200.33
1763704944,232.26
1763704946,237.64
1763704947,216.58
1763704948,235.15
1763704950,210.33
1763704951,223.90
1763704952,235.08
1763704953,231.24
1763704955,223.75
1763704956,206.35
1763704957,226.18
1763704958,237.67
1763704960,226.38
1763704961,224.00
1763704962,225.27
1763704964,221.42
1763704965,231.73
1763704966,186.87
1763704967,214.34
1763704968,236.71
1763704970,209.22
1763704971,181.59
1763704972,235.27
1763704973,212.91
1763704975,219.38
1763704976,197.47
1763704977,192.68
1763704978,225.89
1763704980,236.09
1763704981,236.75
1763704982,236.54
1763704984,229.41
1763704985,266.92
1763704986,212.61
1763704987,220.19
1763704989,236.29
1763704990,221.99
1763704991,212.24
1763704992,233.43
1763704994,222.83
1763704995,212.42
1763704996,247.98
1763704997,218.68
1763704999,216.09
1763705000,236.12
1763705001,221.88
1763705003,219.39
1763705004,228.10
1763705005,189.32
1763705006,211.24
1763705008,199.57
1763705009,209.41
1763705010,209.19
1763705011,235.87
1763705012,236.41
1763705014,217.89
1763705015,237.00
1763705016,144.30
1763705017,152.51
1763705019,152.14
1763705020,123.44
1763705021,122.76
1763705023,116.31
1763705024,211.06
1763705025,234.70
1763705026,235.47
1763705028,198.31
1763705029,219.77
1763705030,179.03
1763705031,233.10
1763705033,222.70
1763705034,226.34
1763705035,213.94
1763705037,199.28
1763705038,188.71
1763705039,209.77
1763705041,182.62
1763705042,210.42
1763705043,196.25
1763705045,190.16
1763705046,214.44
1763705047,207.92
1763705048,197.66
1763705050,233.93
1763705051,238.34
1763705052,282.79
1763705053,247.20
1763705055,243.93
1763705056,253.56
1763705057,278.89
1763705058,232.84
1763705060,214.15
1763705061,206.58
1763705062,208.47
1763705064,219.21
1763705065,222.14
1763705066,217.68
1763705068,217.77
1763705069,222.81
1763705070,232.50
1763705072,233.41
1763705073,231.51
1763705074,212.90
1763705075,186.59
1763705077,224.37
1763705078,226.66
1763705079,222.85
1763705080,223.52
1763705082,225.29
1763705083,225.57
1763705084,233.63
1763705086,240.74
1763705087,239.26
