timestamp,gpu_util_percent,memory_util_percent
1763639612,83,71
1763639613,69,58
1763639614,73,64
1763639615,74,66
1763639616,70,60
1763639617,70,59
1763639618,81,70
1763639619,82,71
1763639620,82,70
1763639621,82,71
1763639622,82,72
1763639623,82,71
1763639624,83,72
1763639625,78,68
1763639626,79,67
1763639627,98,70
1763639628,98,70
1763639629,98,70
1763639630,98,70
1763639631,97,69
1763639632,98,69
1763639633,98,70
1763639634,98,70
1763639635,98,70
1763639636,97,70
1763639637,98,70
1763639638,98,70
1763639639,98,70
1763639640,46,30
1763639641,98,70
1763639642,98,70
1763639643,98,70
1763639644,97,69
1763639645,98,69
1763639646,98,70
1763639647,98,70
1763639648,98,70
1763639650,98,70
1763639651,87,71
1763639652,90,76
1763639653,83,72
1763639654,86,72
