timestamp,power_draw_w
1763639934,279.71
1763639935,269.67
1763639936,277.67
1763639937,274.62
1763639938,276.74
1763639939,276.30
1763639940,274.30
1763639941,279.65
1763639942,277.99
1763639943,277.45
1763639944,280.02
1763639945,278.42
1763639946,280.36
1763639947,278.40
1763639948,276.65
1763639949,280.96
1763639950,282.22
1763639951,282.74
1763639952,283.08
1763639953,283.46
1763639954,284.34
1763639956,282.57
1763639957,283.76
1763639958,283.45
1763639959,282.35
1763639960,283.15
1763639961,281.73
1763639962,283.96
1763639963,242.55
1763639964,259.00
1763639965,283.10
1763639966,282.20
1763639967,283.72
1763639968,280.66
1763639969,282.36
1763639970,282.36
1763639971,281.65
1763639972,282.24
1763639973,287.39
1763639974,315.14
1763639975,314.70
1763639976,314.11
1763639977,314.75
1763639978,313.89
1763639979,314.50
1763639980,314.59
1763639981,314.94
1763639982,312.73
1763639983,315.25
1763639984,313.88
1763639985,314.02
1763639986,314.06
1763639987,314.22
1763639988,314.28
1763639989,314.10
1763639990,314.55
1763639991,312.98
1763639992,313.32
1763639993,312.91
1763639995,313.69
1763639996,314.52
1763639997,313.16
1763639998,314.34
1763639999,313.17
1763640000,313.79
1763640001,312.15
1763640002,313.42
1763640003,314.64
1763640004,313.71
1763640005,312.80
1763640006,312.71
1763640007,314.31
1763640008,314.79
1763640009,314.57
1763640010,315.42
1763640011,313.44
1763640012,313.61
1763640013,314.41
1763640014,314.17
1763640015,313.99
1763640016,313.57
1763640017,313.82
1763640018,314.91
1763640019,315.15
1763640020,313.23
1763640021,313.39
1763640022,313.88
1763640023,314.27
1763640024,313.94
1763640025,315.39
1763640026,313.03
1763640027,313.58
1763640028,314.68
1763640029,313.92
1763640030,299.34
1763640031,278.17
1763640032,283.10
