timestamp,gpu_temp_c,memory_temp_c
1763642955,78,N/A
1763642956,78,N/A
1763642957,79,N/A
1763642958,79,N/A
1763642959,79,N/A
1763642960,79,N/A
1763642961,79,N/A
1763642962,80,N/A
1763642963,80,N/A
1763642964,80,N/A
1763642965,80,N/A
1763642966,81,N/A
1763642967,81,N/A
1763642968,81,N/A
1763642970,81,N/A
1763642971,81,N/A
1763642972,81,N/A
1763642973,81,N/A
1763642974,82,N/A
1763642975,81,N/A
1763642976,82,N/A
1763642977,81,N/A
1763642978,82,N/A
1763642979,82,N/A
1763642980,82,N/A
1763642981,82,N/A
1763642982,82,N/A
1763642983,82,N/A
1763642984,82,N/A
1763642985,82,N/A
1763642986,82,N/A
1763642987,82,N/A
1763642988,81,N/A
1763642989,82,N/A
1763642990,81,N/A
1763642991,82,N/A
1763642992,82,N/A
1763642993,82,N/A
1763642994,82,N/A
1763642995,82,N/A
1763642996,82,N/A
1763642997,81,N/A
1763642998,81,N/A
1763642999,81,N/A
1763643000,81,N/A
1763643001,82,N/A
1763643002,81,N/A
1763643003,82,N/A
1763643004,81,N/A
1763643006,82,N/A
1763643007,82,N/A
1763643008,82,N/A
1763643009,82,N/A
1763643010,82,N/A
1763643011,82,N/A
1763643012,82,N/A
1763643013,82,N/A
1763643014,82,N/A
1763643015,82,N/A
1763643016,82,N/A
1763643017,82,N/A
1763643018,82,N/A
1763643019,82,N/A
1763643020,82,N/A
1763643021,82,N/A
1763643022,82,N/A
1763643023,82,N/A
1763643024,82,N/A
1763643025,82,N/A
1763643026,83,N/A
1763643027,83,N/A
1763643028,82,N/A
1763643029,82,N/A
1763643030,82,N/A
1763643031,83,N/A
1763643032,82,N/A
1763643033,83,N/A
1763643034,82,N/A
1763643035,83,N/A
1763643036,82,N/A
1763643037,82,N/A
1763643038,83,N/A
1763643039,82,N/A
1763643040,83,N/A
1763643042,82,N/A
1763643043,82,N/A
1763643044,82,N/A
1763643045,83,N/A
1763643046,82,N/A
1763643047,82,N/A
1763643048,83,N/A
1763643049,82,N/A
1763643050,82,N/A
1763643051,83,N/A
1763643052,82,N/A
1763643053,83,N/A
1763643054,82,N/A
1763643055,83,N/A
1763643056,83,N/A
1763643057,82,N/A
1763643058,83,N/A
1763643059,83,N/A
1763643060,83,N/A
1763643061,83,N/A
1763643062,83,N/A
1763643063,83,N/A
1763643064,82,N/A
1763643065,83,N/A
1763643066,82,N/A
1763643067,83,N/A
1763643068,83,N/A
1763643069,83,N/A
1763643070,82,N/A
1763643071,83,N/A
1763643072,82,N/A
1763643073,83,N/A
1763643074,83,N/A
1763643075,83,N/A
1763643077,83,N/A
1763643078,82,N/A
1763643079,83,N/A
1763643080,83,N/A
1763643081,83,N/A
1763643082,83,N/A
1763643083,83,N/A
1763643084,83,N/A
1763643085,83,N/A
1763643086,83,N/A
1763643087,83,N/A
1763643088,83,N/A
1763643089,83,N/A
1763643090,83,N/A
1763643091,83,N/A
1763643092,83,N/A
1763643093,83,N/A
1763643094,83,N/A
1763643095,83,N/A
1763643096,83,N/A
1763643097,83,N/A
1763643098,83,N/A
1763643099,83,N/A
1763643100,82,N/A
1763643101,83,N/A
1763643102,83,N/A
1763643103,83,N/A
1763643104,83,N/A
1763643105,83,N/A
1763643106,83,N/A
1763643107,83,N/A
1763643108,83,N/A
1763643109,83,N/A
1763643110,83,N/A
1763643111,83,N/A
1763643113,83,N/A
1763643114,83,N/A
1763643115,82,N/A
1763643116,83,N/A
1763643117,83,N/A
1763643118,82,N/A
1763643119,83,N/A
1763643120,83,N/A
1763643121,83,N/A
1763643122,83,N/A
1763643123,82,N/A
1763643124,82,N/A
1763643125,82,N/A
1763643126,83,N/A
1763643127,82,N/A
1763643128,83,N/A
1763643129,82,N/A
1763643130,83,N/A
1763643131,82,N/A
1763643132,83,N/A
1763643133,83,N/A
1763643134,83,N/A
1763643135,82,N/A
1763643136,83,N/A
1763643137,82,N/A
1763643138,83,N/A
1763643139,83,N/A
1763643140,82,N/A
1763643141,83,N/A
1763643142,82,N/A
1763643143,83,N/A
1763643144,82,N/A
1763643145,81,N/A
1763643146,81,N/A
1763643147,80,N/A
1763643149,80,N/A
1763643150,80,N/A
1763643151,80,N/A
1763643152,79,N/A
1763643153,79,N/A
1763643154,79,N/A
1763643155,79,N/A
1763643156,79,N/A
1763643157,79,N/A
1763643158,79,N/A
1763643159,79,N/A
1763643160,78,N/A
1763643161,78,N/A
1763643162,78,N/A
1763643163,78,N/A
1763643164,78,N/A
1763643165,78,N/A
1763643166,78,N/A
1763643167,78,N/A
1763643168,78,N/A
1763643169,78,N/A
1763643170,78,N/A
1763643171,78,N/A
1763643172,77,N/A
1763643173,77,N/A
1763643174,77,N/A
1763643175,77,N/A
1763643176,77,N/A
1763643177,77,N/A
1763643178,77,N/A
1763643179,77,N/A
1763643180,77,N/A
1763643181,77,N/A
1763643182,77,N/A
1763643183,77,N/A
1763643185,77,N/A
1763643186,77,N/A
1763643187,77,N/A
1763643188,77,N/A
1763643189,77,N/A
1763643190,77,N/A
1763643191,77,N/A
1763643192,77,N/A
1763643193,76,N/A
1763643194,77,N/A
1763643195,77,N/A
1763643196,77,N/A
1763643197,77,N/A
1763643198,77,N/A
1763643199,77,N/A
1763643200,79,N/A
1763643201,80,N/A
1763643202,80,N/A
1763643203,80,N/A
1763643204,81,N/A
1763643205,81,N/A
1763643206,81,N/A
1763643207,81,N/A
1763643208,81,N/A
1763643209,82,N/A
1763643210,81,N/A
1763643211,82,N/A
1763643212,82,N/A
1763643213,82,N/A
1763643214,82,N/A
1763643215,82,N/A
1763643216,82,N/A
1763643217,83,N/A
1763643218,83,N/A
1763643219,83,N/A
1763643221,83,N/A
1763643222,82,N/A
1763643223,83,N/A
1763643224,83,N/A
1763643225,83,N/A
1763643226,83,N/A
1763643227,83,N/A
1763643228,83,N/A
1763643229,83,N/A
1763643230,83,N/A
1763643231,83,N/A
1763643232,83,N/A
1763643233,84,N/A
1763643234,83,N/A
1763643235,83,N/A
1763643236,83,N/A
1763643237,83,N/A
1763643238,83,N/A
1763643239,83,N/A
1763643240,82,N/A
1763643241,82,N/A
1763643242,82,N/A
1763643243,83,N/A
1763643244,83,N/A
1763643245,82,N/A
1763643246,83,N/A
1763643247,82,N/A
1763643248,82,N/A
1763643249,82,N/A
1763643250,82,N/A
1763643251,82,N/A
1763643252,82,N/A
1763643253,82,N/A
1763643254,82,N/A
1763643256,82,N/A
1763643257,82,N/A
1763643258,82,N/A
1763643259,82,N/A
1763643260,82,N/A
1763643261,82,N/A
1763643262,82,N/A
1763643263,82,N/A
1763643264,82,N/A
1763643265,79,N/A
1763643266,82,N/A
1763643267,82,N/A
1763643268,82,N/A
1763643269,82,N/A
1763643270,82,N/A
1763643271,82,N/A
1763643272,82,N/A
1763643273,82,N/A
1763643274,82,N/A
1763643275,82,N/A
1763643276,82,N/A
1763643277,82,N/A
1763643278,82,N/A
1763643279,82,N/A
1763643280,82,N/A
1763643281,82,N/A
1763643282,82,N/A
1763643283,81,N/A
1763643284,81,N/A
1763643285,81,N/A
1763643286,81,N/A
1763643287,81,N/A
1763643288,80,N/A
1763643289,81,N/A
1763643291,80,N/A
