timestamp,gpu_util_percent,memory_util_percent
1763642955,98,71
1763642956,99,63
1763642957,99,68
1763642958,98,72
1763642959,99,65
1763642960,99,63
1763642961,98,71
1763642962,99,63
1763642963,99,64
1763642964,99,72
1763642965,98,69
1763642966,99,63
1763642967,98,71
1763642968,99,68
1763642970,99,62
1763642971,99,69
1763642972,98,72
1763642973,99,64
1763642974,99,63
1763642975,98,70
1763642976,99,63
1763642977,99,65
1763642978,98,71
1763642979,99,69
1763642980,99,62
1763642981,99,69
1763642982,99,66
1763642983,99,62
1763642984,99,71
1763642985,98,71
1763642986,99,63
1763642987,99,65
1763642988,99,73
1763642989,99,63
1763642990,99,67
1763642991,98,71
1763642992,99,67
1763642993,99,62
1763642994,99,70
1763642995,99,64
1763642996,99,63
1763642997,97,63
1763642998,99,71
1763642999,98,71
1763643000,99,63
1763643001,99,63
1763643002,98,70
1763643003,99,63
1763643004,99,64
1763643006,99,73
1763643007,98,69
1763643008,99,63
1763643009,99,66
1763643010,99,68
1763643011,99,62
1763643012,99,69
1763643013,98,72
1763643014,99,65
1763643015,99,63
1763643016,99,72
1763643017,99,63
1763643018,99,65
1763643019,99,72
1763643020,99,70
1763643021,99,62
1763643022,99,69
1763643023,98,71
1763643024,99,62
1763643025,99,71
1763643026,98,72
1763643027,99,63
1763643028,99,63
1763643029,99,72
1763643030,98,70
1763643031,99,64
1763643032,99,72
1763643033,98,69
1763643034,99,62
1763643035,99,66
1763643036,99,71
1763643037,99,69
1763643038,99,67
1763643039,98,71
1763643040,99,69
1763643042,99,63
1763643043,99,65
1763643044,99,72
1763643045,98,70
1763643046,99,63
1763643047,99,72
1763643048,98,70
1763643049,99,64
1763643050,99,62
1763643051,99,69
1763643052,99,67
1763643053,99,62
1763643054,99,68
1763643055,97,70
1763643056,99,69
1763643057,99,62
1763643058,99,66
1763643059,98,68
1763643060,99,62
1763643061,99,65
1763643062,99,72
1763643063,97,64
1763643064,8,4
1763643065,98,70
1763643066,99,62
1763643067,99,67
1763643068,98,71
1763643069,98,69
1763643070,99,62
1763643071,99,65
1763643072,99,72
1763643073,99,62
1763643074,99,63
1763643075,99,72
1763643077,98,71
1763643078,99,63
1763643079,99,62
1763643080,99,68
1763643081,99,69
1763643082,99,63
1763643083,99,64
1763643084,99,71
1763643085,98,71
1763643086,99,65
1763643087,99,61
1763643088,98,71
1763643089,99,69
1763643090,99,63
1763643091,99,65
1763643092,99,71
1763643093,98,71
1763643094,99,67
1763643095,99,65
1763643096,99,72
1763643097,98,69
1763643098,99,62
1763643099,99,62
1763643100,99,69
1763643101,98,71
1763643102,99,62
1763643103,99,64
1763643104,99,72
1763643105,98,71
1763643106,99,67
1763643107,99,63
1763643108,99,63
1763643109,98,71
1763643110,99,68
1763643111,99,62
1763643113,99,65
1763643114,99,72
1763643115,98,70
1763643116,99,66
1763643117,99,64
1763643118,99,69
1763643119,98,69
1763643120,98,68
1763643121,99,62
1763643122,99,62
1763643123,98,70
1763643124,98,68
1763643125,99,64
1763643126,99,62
1763643127,99,63
1763643128,99,70
1763643129,98,71
1763643130,97,62
1763643131,99,65
1763643132,99,71
1763643133,98,70
1763643134,99,65
1763643135,99,62
1763643136,99,65
1763643137,98,69
1763643138,99,63
1763643139,99,62
1763643140,99,67
1763643141,99,72
1763643142,98,70
1763643143,99,64
1763643144,99,66
1763643145,99,70
1763643146,99,69
1763643147,99,69
1763643149,99,68
1763643150,99,67
1763643151,99,65
1763643152,99,68
1763643153,99,67
1763643154,99,65
1763643155,99,64
1763643156,99,62
1763643157,99,61
1763643158,99,60
1763643159,99,63
1763643160,99,62
1763643161,99,61
1763643162,99,60
1763643163,99,59
1763643164,99,60
1763643165,99,60
1763643166,99,60
1763643167,99,59
1763643168,99,60
1763643169,99,60
1763643170,99,61
1763643171,99,60
1763643172,99,61
1763643173,99,60
1763643174,99,60
1763643175,99,61
1763643176,99,61
1763643177,99,61
1763643178,99,63
1763643179,99,65
1763643180,99,61
1763643181,99,60
1763643182,99,61
1763643183,99,63
1763643185,99,64
1763643186,99,66
1763643187,99,67
1763643188,99,61
1763643189,99,62
1763643190,99,64
1763643191,99,65
1763643192,99,67
1763643193,98,66
1763643194,98,68
1763643195,99,62
1763643196,99,64
1763643197,99,65
1763643198,99,67
1763643199,97,60
1763643200,72,47
1763643201,98,71
1763643202,99,63
1763643203,99,72
1763643204,98,70
1763643205,99,63
1763643206,99,65
1763643207,99,71
1763643208,99,62
1763643209,99,68
1763643210,98,71
1763643211,99,67
1763643212,99,62
1763643213,99,69
1763643214,98,72
1763643215,99,63
1763643216,99,70
1763643217,98,71
1763643218,99,64
1763643219,99,62
1763643221,99,70
1763643222,98,72
1763643223,99,65
1763643224,99,69
1763643225,98,71
1763643226,99,68
1763643227,99,62
1763643228,99,65
1763643229,99,72
1763643230,99,62
1763643231,99,62
1763643232,99,68
1763643233,98,70
1763643234,99,69
1763643235,99,62
1763643236,99,63
1763643237,98,71
1763643238,99,66
1763643239,99,62
1763643240,99,64
1763643241,99,68
1763643242,98,70
1763643243,99,62
1763643244,99,61
1763643245,99,64
1763643246,99,71
1763643247,98,71
1763643248,99,68
1763643249,99,62
1763643250,99,66
1763643251,99,71
1763643252,98,70
1763643253,99,69
1763643254,99,62
1763643256,99,62
1763643257,99,64
1763643258,98,70
1763643259,99,69
1763643260,99,62
1763643261,99,61
1763643262,99,64
1763643263,99,70
1763643264,98,70
1763643265,63,40
1763643266,98,65
1763643267,99,68
1763643268,99,62
1763643269,99,61
1763643270,99,64
1763643271,98,70
1763643272,99,68
1763643273,99,62
1763643274,99,61
1763643275,99,65
1763643276,99,70
1763643277,98,69
1763643278,99,62
1763643279,99,61
1763643280,99,64
1763643281,99,71
1763643282,98,70
1763643283,98,68
1763643284,99,66
1763643285,99,61
1763643286,99,60
1763643287,99,61
1763643288,99,61
1763643289,99,62
1763643291,99,63
