timestamp,power_draw_w
1763643382,312.73
1763643383,313.67
1763643384,314.15
1763643385,315.17
1763643386,315.03
1763643387,315.72
1763643388,316.91
1763643389,315.70
1763643390,310.57
1763643391,314.56
1763643392,313.03
1763643393,312.33
1763643394,311.76
1763643395,310.57
1763643396,311.33
1763643397,310.61
1763643398,309.18
1763643399,308.60
1763643400,306.24
1763643401,308.37
1763643402,310.41
1763643403,310.09
1763643404,305.45
1763643405,305.92
1763643406,308.08
1763643407,307.64
1763643408,304.19
1763643409,309.17
1763643410,308.82
1763643412,305.10
1763643413,305.98
1763643414,307.83
1763643415,303.19
1763643416,303.99
1763643417,305.40
1763643418,302.44
1763643419,309.20
1763643420,297.94
1763643421,305.62
1763643422,307.87
1763643423,300.14
1763643424,259.34
1763643425,255.32
1763643426,299.46
1763643427,309.21
1763643428,305.48
1763643429,303.92
1763643430,299.00
1763643431,307.01
1763643432,302.57
1763643433,299.43
1763643434,303.74
1763643435,302.93
1763643436,302.67
1763643437,304.92
1763643438,303.44
1763643439,294.85
1763643440,302.77
1763643441,302.18
1763643442,297.49
1763643443,299.33
1763643444,293.83
1763643445,299.19
1763643446,293.88
1763643448,298.48
1763643449,297.09
1763643450,300.90
1763643451,295.10
1763643452,298.95
1763643453,295.58
1763643454,293.74
1763643455,296.30
1763643456,292.90
1763643457,299.18
1763643458,285.62
1763643459,299.50
1763643460,299.37
1763643461,293.70
1763643462,299.36
1763643463,294.08
1763643464,294.35
1763643465,288.60
1763643466,296.91
1763643467,290.00
1763643468,299.48
1763643469,298.82
1763643470,288.90
1763643471,292.51
1763643472,290.45
1763643473,292.02
1763643474,286.21
1763643475,292.97
1763643476,285.57
1763643477,269.70
1763643478,275.45
1763643479,273.29
1763643480,274.65
1763643481,271.64
1763643483,274.67
1763643484,276.49
1763643485,274.01
1763643486,268.38
1763643487,268.66
1763643488,268.23
1763643489,268.29
1763643490,268.05
1763643491,252.62
1763643492,256.34
1763643493,240.68
1763643494,272.57
1763643495,272.74
1763643496,272.92
1763643497,272.98
1763643498,272.42
1763643499,272.83
1763643500,272.00
1763643501,272.79
1763643502,273.20
1763643503,272.48
1763643504,272.66
1763643505,273.44
1763643506,273.31
1763643507,272.24
1763643508,273.34
1763643509,272.99
1763643510,271.93
1763643511,272.65
1763643512,272.56
1763643513,272.70
1763643514,272.42
1763643515,271.96
1763643516,272.03
1763643517,272.80
1763643519,272.79
1763643520,272.30
1763643521,273.07
1763643522,272.81
1763643523,273.15
1763643524,273.48
1763643525,272.88
1763643526,272.79
1763643527,269.08
1763643528,268.06
1763643529,268.85
1763643530,267.75
1763643531,267.67
1763643532,268.75
1763643533,267.80
1763643534,267.61
1763643535,267.75
1763643536,268.62
1763643537,267.91
1763643538,266.88
1763643539,263.22
1763643540,263.36
1763643541,258.81
1763643542,253.33
1763643543,246.76
1763643544,242.94
1763643545,243.21
1763643546,242.84
1763643547,242.69
1763643548,243.21
1763643549,243.70
1763643550,244.46
1763643551,243.41
1763643552,242.86
1763643553,243.35
1763643555,244.37
1763643556,243.40
1763643557,243.89
1763643558,243.56
1763643559,229.99
1763643560,225.40
1763643561,241.68
1763643562,249.84
1763643563,249.12
1763643564,249.84
1763643565,249.19
1763643566,248.38
1763643567,249.62
1763643568,248.65
1763643569,248.59
1763643570,248.98
1763643571,248.63
1763643572,249.22
1763643573,248.75
1763643574,248.86
1763643575,250.59
1763643576,249.89
1763643577,250.23
1763643578,249.72
1763643579,249.59
1763643580,248.80
1763643581,249.39
1763643582,249.50
1763643583,249.87
1763643584,248.56
1763643585,249.26
1763643586,249.99
1763643587,249.04
1763643588,249.01
1763643589,248.67
1763643591,249.05
1763643592,248.95
1763643593,250.01
