timestamp,gpu_util_percent,memory_util_percent
1763643779,0,0
1763643780,0,0
1763643782,2,0
1763643783,50,24
1763643784,51,25
1763643785,50,24
1763643786,51,24
1763643787,51,24
1763643788,50,24
1763643789,50,23
1763643791,51,24
1763643792,51,24
1763643793,52,25
1763643794,52,25
1763643795,51,24
1763643796,51,24
1763643797,51,24
1763643798,51,24
1763643799,51,24
1763643800,50,24
1763643801,51,24
1763643802,51,24
1763643803,50,24
1763643804,52,25
1763643805,51,24
1763643806,51,24
1763643807,51,24
1763643808,51,24
1763643809,52,25
1763643810,51,24
1763643811,51,24
1763643812,52,25
1763643813,51,24
1763643814,51,24
1763643815,51,24
1763643816,52,25
1763643817,51,24
1763643818,51,24
1763643819,50,24
1763643820,50,24
1763643821,50,23
1763643822,50,24
1763643823,51,24
1763643824,51,24
1763643825,51,24
1763643826,52,24
1763643827,51,24
1763643828,51,24
1763643829,51,24
1763643831,51,23
1763643832,52,25
1763643833,52,24
1763643834,51,24
1763643835,52,25
1763643836,51,24
1763643837,52,25
1763643838,51,24
1763643839,51,24
1763643840,51,24
1763643841,51,24
1763643842,51,24
1763643843,41,14
1763643844,51,24
1763643845,51,24
1763643846,52,25
1763643847,52,24
1763643848,52,25
1763643849,52,25
1763643850,52,25
1763643851,52,25
1763643852,52,25
1763643853,52,25
1763643854,52,25
1763643855,52,25
1763643856,51,24
1763643857,51,24
1763643858,51,24
1763643859,52,25
1763643860,52,25
1763643861,52,25
1763643862,51,24
1763643863,51,24
1763643864,52,25
1763643865,52,25
1763643866,52,25
1763643867,52,24
1763643868,51,24
1763643870,52,24
1763643871,52,24
1763643872,52,25
1763643873,35,12
1763643874,51,24
1763643875,51,24
1763643876,52,25
1763643877,51,24
1763643878,52,25
1763643879,51,24
1763643880,52,24
1763643881,51,24
1763643882,51,24
1763643883,51,24
1763643884,51,24
1763643885,52,24
1763643886,51,24
1763643887,51,24
1763643888,51,24
1763643889,51,24
1763643890,51,24
1763643891,51,24
1763643892,51,24
1763643893,52,25
1763643894,51,24
1763643895,50,24
1763643896,50,23
1763643897,50,23
1763643898,50,23
1763643899,50,24
1763643900,50,24
1763643901,51,24
1763643902,28,10
1763643903,52,24
1763643904,51,24
1763643905,52,24
1763643906,51,24
1763643907,52,24
1763643908,52,25
1763643910,52,24
1763643911,52,24
1763643912,51,24
1763643913,51,24
1763643914,52,25
1763643915,51,24
1763643916,51,24
1763643917,52,25
1763643918,52,25
1763643919,51,24
1763643920,51,24
1763643921,52,25
1763643922,51,24
1763643923,51,24
1763643924,52,25
1763643925,52,24
1763643926,51,24
1763643927,52,25
1763643928,51,24
1763643929,52,24
1763643930,51,24
1763643931,52,24
1763643932,37,18
1763643933,52,24
1763643934,51,24
1763643935,51,24
1763643936,51,24
1763643937,52,25
1763643938,52,25
1763643939,51,24
1763643940,52,25
1763643941,51,24
1763643942,51,24
1763643943,52,25
1763643944,52,24
1763643945,51,24
1763643946,52,25
1763643947,51,24
1763643948,52,25
1763643950,51,24
1763643951,52,24
1763643952,51,24
1763643953,51,24
1763643954,52,25
1763643955,51,24
1763643956,52,25
1763643957,52,24
1763643958,51,24
1763643959,51,24
1763643960,52,24
1763643961,52,25
1763643962,52,24
1763643963,51,24
1763643964,52,24
1763643965,52,24
1763643966,52,24
1763643967,52,24
1763643968,52,24
1763643969,51,24
1763643970,52,24
1763643971,52,24
1763643972,51,23
1763643973,50,24
1763643974,51,23
1763643975,51,24
1763643976,50,23
1763643977,51,24
1763643978,50,23
1763643979,50,24
1763643980,50,23
1763643981,50,24
1763643982,50,23
1763643983,51,24
1763643984,50,23
1763643985,52,24
1763643986,51,24
1763643987,52,24
1763643989,52,24
1763643990,52,24
1763643991,52,24
1763643992,51,24
1763643993,45,16
1763643994,51,24
1763643995,51,24
1763643996,52,25
1763643997,51,24
1763643998,51,24
1763643999,52,25
1763644000,51,24
1763644001,51,24
1763644002,52,24
1763644003,52,24
1763644004,51,24
1763644005,51,24
1763644006,52,25
1763644007,51,24
1763644008,51,24
1763644009,52,24
1763644010,51,24
1763644011,52,25
1763644012,51,24
1763644013,51,24
1763644014,51,24
1763644015,51,24
1763644016,52,24
1763644017,51,24
1763644018,51,24
1763644019,51,24
1763644020,52,24
1763644021,52,25
1763644022,32,11
1763644023,52,24
1763644024,52,24
1763644025,52,25
1763644026,52,24
1763644027,51,24
1763644029,52,24
1763644030,52,24
1763644031,52,25
1763644032,52,24
1763644033,52,24
1763644034,52,24
1763644035,52,25
1763644036,52,25
1763644037,51,24
1763644038,51,24
1763644039,52,24
1763644040,51,24
1763644041,52,24
1763644042,52,24
1763644043,51,24
1763644044,51,24
1763644045,52,25
1763644046,52,25
1763644047,52,24
1763644048,51,24
1763644049,51,24
1763644050,52,25
1763644051,52,25
1763644052,29,12
1763644053,51,24
1763644054,52,24
1763644055,51,24
1763644056,51,24
1763644057,52,24
1763644058,51,24
1763644059,51,24
1763644060,51,24
1763644061,52,25
1763644062,52,24
1763644063,52,25
1763644064,51,24
1763644065,52,24
1763644066,52,25
1763644068,52,25
1763644069,52,24
1763644070,51,24
1763644071,52,24
1763644072,51,24
1763644073,52,24
1763644074,51,24
1763644075,52,24
1763644076,51,24
1763644077,51,24
1763644078,52,25
1763644079,51,24
1763644080,52,24
1763644081,51,24
1763644082,45,21
1763644083,52,24
1763644084,51,24
1763644085,51,24
1763644086,52,25
1763644087,51,24
1763644088,51,24
1763644089,51,23
1763644090,50,23
1763644091,49,23
1763644092,49,23
1763644093,49,23
1763644094,50,23
1763644095,49,24
1763644096,50,23
1763644097,50,23
1763644098,51,24
1763644099,51,24
1763644100,50,24
1763644101,50,23
1763644102,50,24
1763644103,50,24
1763644104,50,24
1763644105,51,24
1763644106,51,24
1763644108,52,25
1763644109,52,25
1763644110,52,24
1763644111,51,24
1763644112,52,25
1763644113,47,16
1763644114,51,24
1763644115,51,24
1763644116,51,24
1763644117,52,24
1763644118,51,24
1763644119,52,25
1763644120,51,24
1763644121,51,24
1763644122,52,24
1763644123,51,23
1763644124,51,24
1763644125,52,25
1763644126,51,24
1763644127,51,24
1763644128,52,25
1763644129,51,24
1763644130,52,24
1763644131,51,24
1763644132,51,24
1763644133,52,24
1763644134,52,24
1763644135,51,24
1763644136,51,24
1763644137,51,24
1763644138,51,24
1763644139,51,24
1763644140,51,24
1763644141,52,24
1763644142,51,23
1763644143,51,24
1763644144,51,24
1763644145,52,24
1763644146,51,23
1763644148,52,24
1763644149,51,24
1763644150,51,24
1763644151,52,24
1763644152,52,24
1763644153,51,24
1763644154,52,24
1763644155,52,25
1763644156,52,24
1763644157,51,24
1763644158,51,24
1763644159,52,24
1763644160,52,24
1763644161,51,24
1763644162,51,24
1763644163,52,25
1763644164,51,24
1763644165,52,25
1763644166,52,25
1763644167,51,24
1763644168,51,24
1763644169,52,25
1763644170,51,24
1763644171,51,24
1763644172,52,24
1763644173,52,24
1763644174,51,24
1763644175,52,24
1763644176,51,24
1763644177,52,25
1763644178,51,24
1763644179,52,24
1763644180,51,24
1763644181,51,24
1763644182,52,25
1763644183,51,24
1763644184,52,25
1763644185,51,24
1763644187,52,24
1763644188,51,24
1763644189,51,24
1763644190,52,24
1763644191,51,24
1763644192,52,24
1763644193,51,24
1763644194,52,24
1763644195,51,24
1763644196,51,24
1763644197,51,24
1763644198,52,25
1763644199,52,25
1763644200,51,24
1763644201,52,24
1763644202,51,24
1763644203,0,0
