timestamp,power_draw_w
1763655068,85.07
1763655069,88.01
1763655070,78.66
1763655072,84.72
1763655073,89.34
1763655074,192.85
1763655075,225.17
1763655076,226.87
1763655077,232.89
1763655078,203.60
1763655079,194.12
1763655080,227.35
1763655081,228.57
1763655082,231.13
1763655083,232.71
1763655084,170.69
1763655085,236.77
1763655086,237.21
1763655087,236.96
1763655088,231.15
1763655089,204.41
1763655090,206.08
1763655091,227.52
1763655092,238.63
1763655093,238.92
1763655094,236.29
1763655095,177.86
1763655096,231.62
1763655097,234.09
1763655099,234.87
1763655100,234.40
1763655101,210.59
1763655102,203.70
1763655103,239.63
1763655104,241.65
1763655105,234.85
1763655106,242.17
1763655107,176.19
1763655108,232.24
1763655109,235.80
1763655110,237.76
1763655111,236.76
1763655112,215.26
1763655113,188.93
1763655114,240.66
1763655115,239.96
1763655116,240.37
1763655117,233.44
1763655118,194.04
1763655119,212.80
1763655120,237.87
1763655121,235.17
1763655122,218.13
1763655123,216.41
1763655124,190.07
1763655125,216.12
1763655126,242.99
1763655127,242.73
1763655128,244.17
1763655129,219.70
1763655130,187.36
1763655131,237.46
1763655132,235.12
1763655133,240.03
1763655134,246.31
1763655135,203.61
1763655136,216.84
1763655138,237.78
1763655139,243.71
1763655140,240.60
1763655141,226.13
1763655142,186.84
1763655143,244.61
1763655144,246.51
1763655145,244.89
1763655146,241.90
1763655147,197.50
1763655148,217.75
1763655149,238.95
1763655150,244.49
1763655151,245.63
1763655152,224.68
1763655153,199.61
1763655154,234.51
1763655155,244.27
1763655156,245.02
1763655157,245.56
1763655158,188.79
1763655159,226.47
1763655160,236.46
1763655161,237.87
1763655162,239.21
1763655163,231.57
1763655164,189.80
1763655165,232.03
1763655166,247.53
1763655167,247.06
1763655168,247.54
1763655169,202.13
1763655170,212.53
1763655171,241.47
1763655172,241.72
1763655173,244.82
1763655174,237.88
1763655175,167.37
1763655176,247.31
1763655178,246.68
1763655179,239.97
1763655180,246.40
1763655181,200.16
1763655182,205.70
1763655183,231.25
1763655184,248.24
1763655185,247.87
1763655186,247.65
1763655187,171.01
1763655188,241.61
1763655189,242.28
1763655190,244.19
1763655191,248.47
1763655192,214.53
1763655193,199.35
1763655194,247.96
1763655195,242.29
1763655196,245.67
1763655197,234.48
1763655198,188.13
1763655199,224.52
1763655200,251.73
1763655201,247.92
1763655202,248.67
1763655203,208.45
1763655204,204.00
1763655205,246.40
1763655206,238.16
1763655207,243.47
1763655208,246.64
1763655209,188.40
1763655210,229.55
1763655211,242.74
1763655212,240.05
1763655213,241.68
1763655214,223.03
1763655215,197.20
1763655216,245.07
1763655218,245.15
1763655219,244.15
1763655220,244.25
1763655221,191.64
1763655222,215.54
1763655223,247.68
1763655224,249.16
1763655225,247.57
1763655226,226.36
1763655227,196.14
1763655228,227.13
1763655229,243.96
1763655230,244.91
1763655231,245.49
1763655232,200.40
1763655233,225.34
1763655234,248.81
1763655235,249.62
1763655236,241.13
1763655237,224.99
1763655238,202.97
1763655239,248.88
1763655240,251.63
1763655241,245.79
1763655242,250.52
1763655243,184.21
1763655244,235.70
1763655245,248.13
1763655246,249.02
1763655247,248.90
1763655248,221.57
1763655249,210.49
1763655250,237.72
1763655251,250.27
1763655253,240.26
1763655254,248.65
1763655255,174.75
1763655256,247.88
1763655257,248.81
1763655258,247.90
1763655259,246.78
1763655260,204.13
1763655261,214.40
1763655262,248.19
1763655263,244.22
1763655264,247.83
1763655265,241.12
1763655266,182.84
1763655267,249.39
1763655268,246.21
1763655269,239.93
1763655270,248.95
1763655271,201.34
1763655272,213.65
1763655273,247.96
1763655274,245.89
1763655275,243.54
1763655276,241.41
1763655277,180.30
1763655278,247.99
1763655279,247.49
1763655280,247.86
1763655281,250.13
1763655282,202.43
1763655283,217.77
1763655285,234.13
1763655286,242.70
1763655287,248.46
1763655288,243.73
1763655289,180.32
1763655290,244.76
1763655291,247.52
1763655292,247.53
1763655293,246.48
1763655294,205.33
1763655295,198.67
1763655296,242.66
1763655297,248.84
1763655298,248.56
1763655299,246.69
1763655300,185.21
1763655301,245.29
1763655302,242.40
1763655303,246.01
1763655304,246.83
1763655305,204.50
1763655306,205.87
1763655307,246.52
1763655308,246.75
1763655309,242.40
1763655310,237.13
1763655311,180.38
1763655312,247.10
1763655313,247.16
1763655314,247.74
1763655315,244.83
1763655316,212.80
1763655317,202.96
1763655318,240.69
1763655319,247.14
1763655320,247.74
1763655321,247.46
1763655323,186.65
1763655324,247.10
1763655325,246.82
1763655326,242.28
1763655327,244.50
1763655328,205.68
1763655329,207.39
1763655330,244.89
1763655331,243.84
1763655332,247.93
1763655333,249.73
1763655334,178.39
1763655335,242.04
1763655336,245.51
1763655337,245.14
1763655338,246.03
1763655339,214.17
1763655340,211.87
1763655341,247.74
1763655342,242.63
1763655343,245.80
1763655344,239.83
1763655345,181.64
1763655346,242.50
1763655347,244.32
1763655348,246.62
1763655349,247.64
1763655350,201.96
1763655351,211.66
1763655352,247.13
1763655353,239.69
1763655354,247.52
1763655355,245.19
1763655356,182.36
1763655357,247.94
1763655358,239.26
1763655359,245.75
1763655360,246.56
1763655362,204.12
1763655363,212.53
1763655364,245.99
1763655365,247.86
1763655366,248.16
1763655367,232.99
1763655368,176.18
1763655369,245.93
1763655370,244.94
1763655371,241.11
1763655372,248.78
1763655373,206.15
1763655374,219.83
1763655375,242.23
1763655376,239.77
1763655377,242.49
1763655378,236.89
1763655379,183.37
1763655380,248.63
1763655381,247.64
1763655382,249.05
1763655383,240.95
1763655384,203.45
1763655385,216.79
1763655386,244.18
1763655387,247.47
1763655388,247.81
1763655389,230.51
1763655390,194.60
1763655391,243.68
1763655392,246.09
1763655393,246.41
1763655394,246.06
1763655395,197.88
1763655396,233.59
1763655397,246.48
1763655398,246.37
1763655399,241.52
1763655401,218.46
1763655402,189.72
1763655403,241.85
1763655404,245.26
1763655405,244.74
1763655406,244.89
1763655407,201.95
1763655408,219.03
1763655409,242.10
1763655410,247.05
1763655411,247.46
1763655412,223.26
1763655413,200.90
1763655414,240.28
1763655415,249.69
1763655416,245.08
1763655417,246.26
1763655418,189.95
1763655419,219.13
1763655420,248.01
1763655421,246.88
1763655422,246.55
1763655423,225.22
1763655424,200.93
1763655425,240.23
1763655426,239.74
1763655427,241.53
1763655428,240.90
1763655429,201.48
1763655430,218.40
1763655431,241.78
1763655432,244.67
1763655433,240.67
1763655434,232.10
1763655435,187.95
1763655436,245.87
1763655437,247.69
1763655438,249.91
1763655439,248.10
1763655441,198.86
1763655442,217.46
1763655443,243.84
1763655444,245.15
1763655445,242.20
1763655446,233.54
1763655447,178.78
1763655448,247.67
1763655449,242.48
1763655450,238.31
1763655451,240.70
1763655452,208.25
1763655453,215.22
1763655454,247.49
1763655455,251.30
1763655456,249.50
1763655457,228.13
1763655458,182.46
1763655459,245.47
1763655460,244.93
1763655461,248.15
1763655462,250.80
1763655463,198.38
1763655464,223.43
1763655465,243.35
1763655466,235.26
1763655467,245.81
1763655468,229.61
1763655469,180.78
1763655470,247.72
1763655471,248.75
1763655472,249.85
1763655473,244.84
1763655474,197.44
1763655475,215.09
1763655476,245.83
1763655477,247.13
1763655478,246.18
1763655479,233.36
1763655481,185.54
1763655482,240.38
1763655483,245.57
1763655484,245.70
1763655485,239.55
1763655486,207.55
1763655487,213.90
1763655488,247.33
1763655489,247.28
1763655490,241.98
1763655491,240.29
1763655492,181.31
1763655493,244.58
1763655494,246.95
1763655495,247.31
1763655496,247.64
1763655497,209.65
1763655498,215.86
1763655499,247.98
1763655500,247.58
1763655501,242.51
1763655502,229.77
1763655503,182.42
1763655504,247.17
1763655505,248.12
1763655506,243.39
1763655507,248.15
1763655508,206.01
1763655509,213.43
1763655510,247.39
1763655511,249.77
1763655512,249.95
1763655513,228.77
1763655514,187.74
1763655515,246.13
1763655516,245.85
1763655517,246.93
1763655518,247.90
1763655520,204.35
1763655521,224.97
1763655522,251.71
1763655523,232.17
1763655524,243.46
1763655525,230.71
1763655526,194.98
1763655527,235.39
1763655528,227.04
1763655529,243.24
1763655530,249.96
1763655531,210.14
1763655532,189.76
1763655533,243.79
1763655534,246.69
1763655535,241.72
1763655536,247.10
1763655537,191.86
1763655538,229.79
1763655539,244.19
1763655540,249.32
1763655541,248.34
1763655542,220.61
1763655543,200.95
1763655544,248.56
1763655545,249.68
1763655546,248.35
1763655547,239.50
1763655548,177.71
1763655549,233.25
1763655550,246.86
1763655551,247.80
1763655552,248.56
1763655553,220.69
1763655554,205.06
1763655555,243.31
1763655556,248.09
1763655557,246.50
1763655559,249.17
1763655560,185.46
1763655561,246.52
1763655562,250.19
1763655563,249.80
1763655564,243.20
1763655565,212.08
1763655566,207.10
1763655567,244.16
1763655568,246.92
1763655569,245.03
1763655570,242.88
1763655571,184.16
1763655572,241.08
1763655573,247.87
1763655574,244.54
1763655575,240.15
1763655576,219.61
1763655577,207.02
1763655578,245.25
1763655579,251.08
1763655580,245.64
1763655581,246.04
1763655582,183.61
1763655583,237.41
1763655584,240.72
1763655585,243.55
1763655586,245.06
1763655587,225.95
1763655588,185.65
1763655589,249.83
1763655590,249.38
1763655591,249.54
1763655592,248.13
1763655593,204.46
1763655594,222.50
