timestamp,gpu_util_percent,memory_util_percent
1763880859,100,76
1763880860,100,77
1763880861,100,77
1763880862,100,77
1763880863,100,77
1763880864,100,77
1763880865,100,77
1763880866,100,77
1763880867,100,77
1763880868,100,76
1763880869,100,77
1763880870,100,77
1763880871,100,77
1763880872,100,77
1763880873,100,79
1763880875,100,78
1763880876,100,78
1763880877,100,79
1763880878,100,79
1763880879,100,77
1763880880,100,78
1763880881,100,78
1763880882,100,79
1763880883,100,77
1763880884,100,77
1763880885,100,77
1763880886,100,77
1763880887,100,77
1763880888,100,77
1763880889,100,77
1763880890,100,77
1763880891,100,77
1763880892,100,77
1763880893,100,77
1763880894,100,77
1763880895,100,79
1763880896,100,77
1763880897,100,75
1763880898,100,78
1763880899,100,78
1763880900,100,78
1763880902,100,77
1763880903,100,78
1763880904,100,79
1763880905,100,79
1763880906,100,79
1763880907,100,79
1763880908,92,72
1763880909,100,94
1763880910,100,95
1763880911,100,92
